seqnames	start	end	strand	transcript_id	type	gene_id
chr14	59	115	+	ENST00000380656.7	UTR	NA
chr14	116	229	+	ENST00000380656.7	CDS	ENSG00000165533.19
chr14	229	614	+	ENST00000380656.7	intron	ENSG00000165533.19
chr14	614	643	+	ENST00000380656.7	CDS	ENSG00000165533.19
chr14	643	1005	+	ENST00000380656.7	intron	ENSG00000165533.19
chr14	1005	1125	+	ENST00000380656.7	CDS	ENSG00000165533.19
chr14	1125	1816	+	ENST00000380656.7	intron	ENSG00000165533.19
chr14	1816	1879	+	ENST00000380656.7	CDS	ENSG00000165533.19
chr14	1879	1986	+	ENST00000380656.7	intron	ENSG00000165533.19
chr14	1986	2145	+	ENST00000380656.7	CDS	ENSG00000165533.19
chr14	2145	2374	+	ENST00000380656.7	intron	ENSG00000165533.19
chr14	2374	2463	+	ENST00000380656.7	CDS	ENSG00000165533.19
chr14	2463	4755	+	ENST00000380656.7	intron	ENSG00000165533.19
chr14	4755	4799	+	ENST00000380656.7	CDS	ENSG00000165533.19
chr14	4799	6154	+	ENST00000380656.7	intron	ENSG00000165533.19
chr14	6154	6239	+	ENST00000380656.7	CDS	ENSG00000165533.19
chr14	6239	6340	+	ENST00000380656.7	intron	ENSG00000165533.19
chr14	6340	6427	+	ENST00000380656.7	CDS	ENSG00000165533.19
chr14	6427	7822	+	ENST00000380656.7	intron	ENSG00000165533.19
chr14	7822	7932	+	ENST00000380656.7	CDS	ENSG00000165533.19
chr14	7932	8033	+	ENST00000380656.7	intron	ENSG00000165533.19
chr14	8033	8172	+	ENST00000380656.7	CDS	ENSG00000165533.19
chr14	8172	8273	+	ENST00000380656.7	intron	ENSG00000165533.19
chr14	8273	8447	+	ENST00000380656.7	CDS	ENSG00000165533.19
chr14	8447	8562	+	ENST00000380656.7	intron	ENSG00000165533.19
chr14	8562	8684	+	ENST00000380656.7	CDS	ENSG00000165533.19
chr14	8684	8789	+	ENST00000380656.7	intron	ENSG00000165533.19
chr14	8789	8872	+	ENST00000380656.7	CDS	ENSG00000165533.19
chr14	8872	10526	+	ENST00000380656.7	intron	ENSG00000165533.19
chr14	10526	10645	+	ENST00000380656.7	CDS	ENSG00000165533.19
chr14	10646	11220	+	ENST00000380656.7	UTR	NA
chr14	72	115	+	ONT14.2897.8988	UTR	NA
chr14	116	229	+	ONT14.2897.8988	CDS	TTC8
chr14	229	1005	+	ONT14.2897.8988	intron	TTC8
chr14	1005	1125	+	ONT14.2897.8988	CDS	TTC8
chr14	1125	1816	+	ONT14.2897.8988	intron	TTC8
chr14	1816	1879	+	ONT14.2897.8988	CDS	TTC8
chr14	1879	1986	+	ONT14.2897.8988	intron	TTC8
chr14	1986	2145	+	ONT14.2897.8988	CDS	TTC8
chr14	2145	2374	+	ONT14.2897.8988	intron	TTC8
chr14	2374	2463	+	ONT14.2897.8988	CDS	TTC8
chr14	2463	4755	+	ONT14.2897.8988	intron	TTC8
chr14	4755	4799	+	ONT14.2897.8988	CDS	TTC8
chr14	4799	6154	+	ONT14.2897.8988	intron	TTC8
chr14	6154	6239	+	ONT14.2897.8988	CDS	TTC8
chr14	6239	6340	+	ONT14.2897.8988	intron	TTC8
chr14	6340	6427	+	ONT14.2897.8988	CDS	TTC8
chr14	6427	7822	+	ONT14.2897.8988	intron	TTC8
chr14	7822	7932	+	ONT14.2897.8988	CDS	TTC8
chr14	7932	8033	+	ONT14.2897.8988	intron	TTC8
chr14	8033	8172	+	ONT14.2897.8988	CDS	TTC8
chr14	8172	8273	+	ONT14.2897.8988	intron	TTC8
chr14	8273	8447	+	ONT14.2897.8988	CDS	TTC8
chr14	8447	8562	+	ONT14.2897.8988	intron	TTC8
chr14	8562	8684	+	ONT14.2897.8988	CDS	TTC8
chr14	8684	10526	+	ONT14.2897.8988	intron	TTC8
chr14	10526	10642	+	ONT14.2897.8988	CDS	TTC8
chr14	10643	11218	+	ONT14.2897.8988	UTR	NA
chr14	59	115	+	ONT14.2897.8989	UTR	NA
chr14	116	229	+	ONT14.2897.8989	CDS	TTC8
chr14	229	1005	+	ONT14.2897.8989	intron	TTC8
chr14	1005	1125	+	ONT14.2897.8989	CDS	TTC8
chr14	1125	1816	+	ONT14.2897.8989	intron	TTC8
chr14	1816	1879	+	ONT14.2897.8989	CDS	TTC8
chr14	1879	1986	+	ONT14.2897.8989	intron	TTC8
chr14	1986	2145	+	ONT14.2897.8989	CDS	TTC8
chr14	2145	2374	+	ONT14.2897.8989	intron	TTC8
chr14	2374	2463	+	ONT14.2897.8989	CDS	TTC8
chr14	2463	4755	+	ONT14.2897.8989	intron	TTC8
chr14	4755	4799	+	ONT14.2897.8989	CDS	TTC8
chr14	4799	6154	+	ONT14.2897.8989	intron	TTC8
chr14	6154	6239	+	ONT14.2897.8989	CDS	TTC8
chr14	6239	6340	+	ONT14.2897.8989	intron	TTC8
chr14	6340	6427	+	ONT14.2897.8989	CDS	TTC8
chr14	6427	7822	+	ONT14.2897.8989	intron	TTC8
chr14	7822	7932	+	ONT14.2897.8989	CDS	TTC8
chr14	7932	8033	+	ONT14.2897.8989	intron	TTC8
chr14	8033	8172	+	ONT14.2897.8989	CDS	TTC8
chr14	8172	8273	+	ONT14.2897.8989	intron	TTC8
chr14	8273	8447	+	ONT14.2897.8989	CDS	TTC8
chr14	8447	8562	+	ONT14.2897.8989	intron	TTC8
chr14	8562	8684	+	ONT14.2897.8989	CDS	TTC8
chr14	8684	8789	+	ONT14.2897.8989	intron	TTC8
chr14	8789	8872	+	ONT14.2897.8989	CDS	TTC8
chr14	8872	10526	+	ONT14.2897.8989	intron	TTC8
chr14	10526	10642	+	ONT14.2897.8989	CDS	TTC8
chr14	10643	11217	+	ONT14.2897.8989	UTR	NA
chr14	2	115	+	ONT14.2897.8991	UTR	NA
chr14	116	229	+	ONT14.2897.8991	CDS	TTC8
chr14	229	1005	+	ONT14.2897.8991	intron	TTC8
chr14	1005	1125	+	ONT14.2897.8991	CDS	TTC8
chr14	1125	1816	+	ONT14.2897.8991	intron	TTC8
chr14	1816	1879	+	ONT14.2897.8991	CDS	TTC8
chr14	1879	1986	+	ONT14.2897.8991	intron	TTC8
chr14	1986	2145	+	ONT14.2897.8991	CDS	TTC8
chr14	2145	4755	+	ONT14.2897.8991	intron	TTC8
chr14	4755	4799	+	ONT14.2897.8991	CDS	TTC8
chr14	4799	6154	+	ONT14.2897.8991	intron	TTC8
chr14	6154	6239	+	ONT14.2897.8991	CDS	TTC8
chr14	6239	6340	+	ONT14.2897.8991	intron	TTC8
chr14	6340	6427	+	ONT14.2897.8991	CDS	TTC8
chr14	6427	7822	+	ONT14.2897.8991	intron	TTC8
chr14	7822	7932	+	ONT14.2897.8991	CDS	TTC8
chr14	7932	8033	+	ONT14.2897.8991	intron	TTC8
chr14	8033	8172	+	ONT14.2897.8991	CDS	TTC8
chr14	8172	8273	+	ONT14.2897.8991	intron	TTC8
chr14	8273	8447	+	ONT14.2897.8991	CDS	TTC8
chr14	8447	8562	+	ONT14.2897.8991	intron	TTC8
chr14	8562	8688	+	ONT14.2897.8991	CDS	TTC8
chr14	8688	8789	+	ONT14.2897.8991	intron	TTC8
chr14	8789	8838	+	ONT14.2897.8991	CDS	TTC8
chr14	8839	8872	+	ONT14.2897.8991	UTR	NA
chr14	8872	10526	+	ONT14.2897.8991	intron	NA
chr14	10526	11217	+	ONT14.2897.8991	UTR	NA
chr14	2	115	+	ONT14.2897.8992	UTR	NA
chr14	116	229	+	ONT14.2897.8992	CDS	TTC8
chr14	229	8033	+	ONT14.2897.8992	intron	TTC8
chr14	8033	8172	+	ONT14.2897.8992	CDS	TTC8
chr14	8172	8273	+	ONT14.2897.8992	intron	TTC8
chr14	8273	8447	+	ONT14.2897.8992	CDS	TTC8
chr14	8447	8562	+	ONT14.2897.8992	intron	TTC8
chr14	8562	8684	+	ONT14.2897.8992	CDS	TTC8
chr14	8684	8789	+	ONT14.2897.8992	intron	TTC8
chr14	8789	8872	+	ONT14.2897.8992	CDS	TTC8
chr14	8872	10526	+	ONT14.2897.8992	intron	TTC8
chr14	10526	10642	+	ONT14.2897.8992	CDS	TTC8
chr14	10643	11223	+	ONT14.2897.8992	UTR	NA
chr14	2	115	+	ONT14.2897.8994	UTR	NA
chr14	116	229	+	ONT14.2897.8994	CDS	TTC8
chr14	229	1005	+	ONT14.2897.8994	intron	TTC8
chr14	1005	1125	+	ONT14.2897.8994	CDS	TTC8
chr14	1125	1816	+	ONT14.2897.8994	intron	TTC8
chr14	1816	1879	+	ONT14.2897.8994	CDS	TTC8
chr14	1879	1986	+	ONT14.2897.8994	intron	TTC8
chr14	1986	2145	+	ONT14.2897.8994	CDS	TTC8
chr14	2145	2374	+	ONT14.2897.8994	intron	TTC8
chr14	2374	2475	+	ONT14.2897.8994	CDS	TTC8
chr14	2476	2506	+	ONT14.2897.8994	UTR	NA
chr14	2506	6154	+	ONT14.2897.8994	intron	NA
chr14	6154	6239	+	ONT14.2897.8994	UTR	NA
chr14	6239	6340	+	ONT14.2897.8994	intron	NA
chr14	6340	6427	+	ONT14.2897.8994	UTR	NA
chr14	6427	7822	+	ONT14.2897.8994	intron	NA
chr14	7822	7932	+	ONT14.2897.8994	UTR	NA
chr14	7932	8033	+	ONT14.2897.8994	intron	NA
chr14	8033	8172	+	ONT14.2897.8994	UTR	NA
chr14	8172	8273	+	ONT14.2897.8994	intron	NA
chr14	8273	8447	+	ONT14.2897.8994	UTR	NA
chr14	8447	8562	+	ONT14.2897.8994	intron	NA
chr14	8562	8684	+	ONT14.2897.8994	UTR	NA
chr14	8684	8789	+	ONT14.2897.8994	intron	NA
chr14	8789	8872	+	ONT14.2897.8994	UTR	NA
chr14	8872	10526	+	ONT14.2897.8994	intron	NA
chr14	10526	11207	+	ONT14.2897.8994	UTR	NA
chr14	108	115	+	ONT14.2897.8996	UTR	NA
chr14	116	229	+	ONT14.2897.8996	CDS	TTC8
chr14	229	614	+	ONT14.2897.8996	intron	TTC8
