seqnames	start	end	strand	transcript_id	type	gene_id
chr17	2	114	+	ENST00000448471.3	UTR	NA
chr17	114	450	+	ENST00000448471.3	intron	NA
chr17	450	463	+	ENST00000448471.3	UTR	NA
chr17	464	579	+	ENST00000448471.3	CDS	ENSG00000250506.9
chr17	579	912	+	ENST00000448471.3	intron	ENSG00000250506.9
chr17	912	989	+	ENST00000448471.3	CDS	ENSG00000250506.9
chr17	989	1060	+	ENST00000448471.3	intron	ENSG00000250506.9
chr17	1060	1180	+	ENST00000448471.3	CDS	ENSG00000250506.9
chr17	1180	1283	+	ENST00000448471.3	intron	ENSG00000250506.9
chr17	1283	1453	+	ENST00000448471.3	CDS	ENSG00000250506.9
chr17	1453	1546	+	ENST00000448471.3	intron	ENSG00000250506.9
chr17	1546	1647	+	ENST00000448471.3	CDS	ENSG00000250506.9
chr17	1647	2230	+	ENST00000448471.3	intron	ENSG00000250506.9
chr17	2230	2433	+	ENST00000448471.3	CDS	ENSG00000250506.9
chr17	2433	2534	+	ENST00000448471.3	intron	ENSG00000250506.9
chr17	2534	2662	+	ENST00000448471.3	CDS	ENSG00000250506.9
chr17	2663	3234	+	ENST00000448471.3	UTR	NA
chr17	215	915	+	ONT17.2069.18414	UTR	NA
chr17	916	989	+	ONT17.2069.18414	CDS	CDK3
chr17	989	1060	+	ONT17.2069.18414	intron	CDK3
chr17	1060	1180	+	ONT17.2069.18414	CDS	CDK3
chr17	1180	1283	+	ONT17.2069.18414	intron	CDK3
chr17	1283	1453	+	ONT17.2069.18414	CDS	CDK3
chr17	1453	1546	+	ONT17.2069.18414	intron	CDK3
chr17	1546	1743	+	ONT17.2069.18414	CDS	CDK3
chr17	1744	2433	+	ONT17.2069.18414	UTR	NA
chr17	2433	2534	+	ONT17.2069.18414	intron	NA
chr17	2534	3234	+	ONT17.2069.18414	UTR	NA
chr17	948	989	+	ONT17.2069.18453	UTR	NA
chr17	989	1060	+	ONT17.2069.18453	intron	NA
chr17	1060	1135	+	ONT17.2069.18453	UTR	NA
chr17	1136	1180	+	ONT17.2069.18453	CDS	CDK3
chr17	1180	1283	+	ONT17.2069.18453	intron	CDK3
chr17	1283	1453	+	ONT17.2069.18453	CDS	CDK3
chr17	1453	1546	+	ONT17.2069.18453	intron	CDK3
chr17	1546	1647	+	ONT17.2069.18453	CDS	CDK3
chr17	1647	2230	+	ONT17.2069.18453	intron	CDK3
chr17	2230	2433	+	ONT17.2069.18453	CDS	CDK3
chr17	2433	2534	+	ONT17.2069.18453	intron	CDK3
chr17	2534	2659	+	ONT17.2069.18453	CDS	CDK3
chr17	2660	3234	+	ONT17.2069.18453	UTR	NA
chr17	1060	1135	+	ONT17.2069.18456	UTR	NA
chr17	1136	1180	+	ONT17.2069.18456	CDS	CDK3
chr17	1180	1283	+	ONT17.2069.18456	intron	CDK3
chr17	1283	1453	+	ONT17.2069.18456	CDS	CDK3
chr17	1453	1546	+	ONT17.2069.18456	intron	CDK3
chr17	1546	1647	+	ONT17.2069.18456	CDS	CDK3
chr17	1647	2230	+	ONT17.2069.18456	intron	CDK3
chr17	2230	2433	+	ONT17.2069.18456	CDS	CDK3
chr17	2433	2534	+	ONT17.2069.18456	intron	CDK3
