seqnames	start	end	strand	transcript_id	type	gene_id
chr15	172	300	+	ENST00000299638.8	UTR	NA
chr15	301	413	+	ENST00000299638.8	CDS	ENSG00000255529.9
chr15	413	924	+	ENST00000299638.8	intron	ENSG00000255529.9
chr15	924	1568	+	ENST00000299638.8	CDS	ENSG00000255529.9
chr15	1568	1673	+	ENST00000299638.8	intron	ENSG00000255529.9
chr15	1673	1877	+	ENST00000299638.8	CDS	ENSG00000255529.9
chr15	1877	1993	+	ENST00000299638.8	intron	ENSG00000255529.9
chr15	1993	2139	+	ENST00000299638.8	CDS	ENSG00000255529.9
chr15	2140	5014	+	ENST00000299638.8	UTR	NA
chr15	160	185	+	ONT15.1301.101	UTR	NA
chr15	186	413	+	ONT15.1301.101	CDS	POLR2M
chr15	413	924	+	ONT15.1301.101	intron	POLR2M
chr15	924	956	+	ONT15.1301.101	CDS	POLR2M
chr15	957	1079	+	ONT15.1301.101	UTR	NA
chr15	1079	1095	+	ONT15.1301.101	intron	NA
chr15	1095	1568	+	ONT15.1301.101	UTR	NA
chr15	1568	1673	+	ONT15.1301.101	intron	NA
chr15	1673	1877	+	ONT15.1301.101	UTR	NA
chr15	1877	1993	+	ONT15.1301.101	intron	NA
chr15	1993	3711	+	ONT15.1301.101	UTR	NA
chr15	160	185	+	ONT15.1301.104	UTR	NA
chr15	186	413	+	ONT15.1301.104	CDS	POLR2M
chr15	413	924	+	ONT15.1301.104	intron	POLR2M
chr15	924	956	+	ONT15.1301.104	CDS	POLR2M
chr15	957	1568	+	ONT15.1301.104	UTR	NA
chr15	1568	1673	+	ONT15.1301.104	intron	NA
chr15	1673	1877	+	ONT15.1301.104	UTR	NA
chr15	1877	5471	+	ONT15.1301.104	intron	NA
chr15	5471	6634	+	ONT15.1301.104	UTR	NA
chr15	172	185	+	ONT15.1301.110	UTR	NA
chr15	186	413	+	ONT15.1301.110	CDS	POLR2M
chr15	413	924	+	ONT15.1301.110	intron	POLR2M
chr15	924	956	+	ONT15.1301.110	CDS	POLR2M
chr15	957	1568	+	ONT15.1301.110	UTR	NA
chr15	1568	1673	+	ONT15.1301.110	intron	NA
chr15	1673	1877	+	ONT15.1301.110	UTR	NA
chr15	1877	1993	+	ONT15.1301.110	intron	NA
chr15	1993	2102	+	ONT15.1301.110	UTR	NA
chr15	163	185	+	ONT15.1301.112	UTR	NA
chr15	186	413	+	ONT15.1301.112	CDS	POLR2M
chr15	413	924	+	ONT15.1301.112	intron	POLR2M
chr15	924	956	+	ONT15.1301.112	CDS	POLR2M
chr15	957	1568	+	ONT15.1301.112	UTR	NA
chr15	1568	1673	+	ONT15.1301.112	intron	NA
chr15	1673	1886	+	ONT15.1301.112	UTR	NA
chr15	1886	1993	+	ONT15.1301.112	intron	NA
chr15	1993	3708	+	ONT15.1301.112	UTR	NA
chr15	172	185	+	ONT15.1301.114	UTR	NA
chr15	186	413	+	ONT15.1301.114	CDS	POLR2M
chr15	413	924	+	ONT15.1301.114	intron	POLR2M
chr15	924	956	+	ONT15.1301.114	CDS	POLR2M
chr15	957	1568	+	ONT15.1301.114	UTR	NA
chr15	1568	1673	+	ONT15.1301.114	intron	NA
chr15	1673	1886	+	ONT15.1301.114	UTR	NA
chr15	1886	2015	+	ONT15.1301.114	intron	NA
chr15	2015	4636	+	ONT15.1301.114	UTR	NA
chr15	163	185	+	ONT15.1301.120	UTR	NA
chr15	186	400	+	ONT15.1301.120	CDS	POLR2M
chr15	400	924	+	ONT15.1301.120	intron	POLR2M
chr15	924	1566	+	ONT15.1301.120	CDS	POLR2M
chr15	1566	1673	+	ONT15.1301.120	intron	POLR2M
chr15	1673	1693	+	ONT15.1301.120	CDS	POLR2M
chr15	1694	1877	+	ONT15.1301.120	UTR	NA
chr15	1877	1993	+	ONT15.1301.120	intron	NA
chr15	1993	3705	+	ONT15.1301.120	UTR	NA
chr15	169	185	+	ONT15.1301.128	UTR	NA
chr15	186	413	+	ONT15.1301.128	CDS	POLR2M
chr15	413	1395	+	ONT15.1301.128	intron	POLR2M
chr15	1395	1427	+	ONT15.1301.128	CDS	POLR2M
chr15	1428	1568	+	ONT15.1301.128	UTR	NA
chr15	1568	1673	+	ONT15.1301.128	intron	NA
chr15	1673	1877	+	ONT15.1301.128	UTR	NA
chr15	1877	1993	+	ONT15.1301.128	intron	NA
chr15	1993	5009	+	ONT15.1301.128	UTR	NA
chr15	167	185	+	ONT15.1301.134	UTR	NA
chr15	186	413	+	ONT15.1301.134	CDS	POLR2M
chr15	413	924	+	ONT15.1301.134	intron	POLR2M
chr15	924	956	+	ONT15.1301.134	CDS	POLR2M
chr15	956	1166	+	ONT15.1301.134	intron	NA
chr15	1166	1568	+	ONT15.1301.134	UTR	NA
chr15	1568	1673	+	ONT15.1301.134	intron	NA
chr15	1673	1877	+	ONT15.1301.134	UTR	NA
chr15	1877	1993	+	ONT15.1301.134	intron	NA
chr15	1993	5012	+	ONT15.1301.134	UTR	NA
chr15	172	185	+	ONT15.1301.137	UTR	NA
chr15	186	603	+	ONT15.1301.137	CDS	POLR2M
chr15	603	924	+	ONT15.1301.137	intron	POLR2M
chr15	924	985	+	ONT15.1301.137	CDS	POLR2M
chr15	986	1566	+	ONT15.1301.137	UTR	NA
chr15	1566	1673	+	ONT15.1301.137	intron	NA
chr15	1673	1877	+	ONT15.1301.137	UTR	NA
chr15	1877	1993	+	ONT15.1301.137	intron	NA
chr15	1993	3269	+	ONT15.1301.137	UTR	NA
chr15	176	185	+	ONT15.1301.144	UTR	NA
chr15	186	413	+	ONT15.1301.144	CDS	POLR2M
chr15	413	924	+	ONT15.1301.144	intron	POLR2M
chr15	924	956	+	ONT15.1301.144	CDS	POLR2M
chr15	957	1568	+	ONT15.1301.144	UTR	NA
chr15	1568	1673	+	ONT15.1301.144	intron	NA
chr15	1673	1878	+	ONT15.1301.144	UTR	NA
chr15	170	185	+	ONT15.1301.146	UTR	NA
chr15	186	413	+	ONT15.1301.146	CDS	POLR2M
chr15	413	1754	+	ONT15.1301.146	intron	POLR2M
chr15	1754	1759	+	ONT15.1301.146	CDS	POLR2M
chr15	1760	1877	+	ONT15.1301.146	UTR	NA
chr15	1877	1993	+	ONT15.1301.146	intron	NA
chr15	1993	3707	+	ONT15.1301.146	UTR	NA
chr15	169	185	+	ONT15.1301.150	UTR	NA
chr15	186	413	+	ONT15.1301.150	CDS	POLR2M
chr15	413	704	+	ONT15.1301.150	intron	POLR2M
chr15	704	742	+	ONT15.1301.150	CDS	POLR2M
chr15	743	803	+	ONT15.1301.150	UTR	NA
chr15	803	924	+	ONT15.1301.150	intron	NA
chr15	924	1568	+	ONT15.1301.150	UTR	NA
chr15	1568	1673	+	ONT15.1301.150	intron	NA
chr15	1673	1877	+	ONT15.1301.150	UTR	NA
chr15	1877	1993	+	ONT15.1301.150	intron	NA
chr15	1993	5012	+	ONT15.1301.150	UTR	NA
chr15	169	185	+	ONT15.1301.155	UTR	NA
chr15	186	413	+	ONT15.1301.155	CDS	POLR2M
chr15	413	924	+	ONT15.1301.155	intron	POLR2M
chr15	924	956	+	ONT15.1301.155	CDS	POLR2M
chr15	957	992	+	ONT15.1301.155	UTR	NA
chr15	992	1764	+	ONT15.1301.155	intron	NA
chr15	1764	1877	+	ONT15.1301.155	UTR	NA
chr15	1877	1993	+	ONT15.1301.155	intron	NA
