seqnames	start	end	strand	transcript_id	type	gene_id
chr3	2508	2947	-	ENST00000322623.10	UTR	NA
chr3	2948	3107	-	ENST00000322623.10	CDS	ENSG00000175792.12
chr3	3107	3296	-	ENST00000322623.10	intron	ENSG00000175792.12
chr3	3296	3387	-	ENST00000322623.10	CDS	ENSG00000175792.12
chr3	3387	5553	-	ENST00000322623.10	intron	ENSG00000175792.12
chr3	5553	5655	-	ENST00000322623.10	CDS	ENSG00000175792.12
chr3	5655	7829	-	ENST00000322623.10	intron	ENSG00000175792.12
chr3	7829	8027	-	ENST00000322623.10	CDS	ENSG00000175792.12
chr3	8027	8152	-	ENST00000322623.10	intron	ENSG00000175792.12
chr3	8152	8215	-	ENST00000322623.10	CDS	ENSG00000175792.12
chr3	8215	8387	-	ENST00000322623.10	intron	ENSG00000175792.12
chr3	8387	8536	-	ENST00000322623.10	CDS	ENSG00000175792.12
chr3	8536	8639	-	ENST00000322623.10	intron	ENSG00000175792.12
chr3	8639	8728	-	ENST00000322623.10	CDS	ENSG00000175792.12
chr3	8728	8839	-	ENST00000322623.10	intron	ENSG00000175792.12
chr3	8839	8990	-	ENST00000322623.10	CDS	ENSG00000175792.12
chr3	8990	9110	-	ENST00000322623.10	intron	ENSG00000175792.12
chr3	9110	9242	-	ENST00000322623.10	CDS	ENSG00000175792.12
chr3	9242	9632	-	ENST00000322623.10	intron	ENSG00000175792.12
chr3	9632	9718	-	ENST00000322623.10	CDS	ENSG00000175792.12
chr3	9718	10126	-	ENST00000322623.10	intron	ENSG00000175792.12
chr3	10126	10269	-	ENST00000322623.10	CDS	ENSG00000175792.12
chr3	10270	10354	-	ENST00000322623.10	UTR	NA
chr3	3	539	-	ONT3.5955.4913	UTR	NA
chr3	540	545	-	ONT3.5955.4913	CDS	RUVBL1
chr3	545	5553	-	ONT3.5955.4913	intron	RUVBL1
chr3	5553	5655	-	ONT3.5955.4913	CDS	RUVBL1
chr3	5655	7829	-	ONT3.5955.4913	intron	RUVBL1
chr3	7829	8027	-	ONT3.5955.4913	CDS	RUVBL1
chr3	8027	8152	-	ONT3.5955.4913	intron	RUVBL1
chr3	8152	8215	-	ONT3.5955.4913	CDS	RUVBL1
chr3	8215	8387	-	ONT3.5955.4913	intron	RUVBL1
chr3	8387	8536	-	ONT3.5955.4913	CDS	RUVBL1
chr3	8536	8639	-	ONT3.5955.4913	intron	RUVBL1
chr3	8639	8728	-	ONT3.5955.4913	CDS	RUVBL1
chr3	8728	8839	-	ONT3.5955.4913	intron	RUVBL1
chr3	8839	8990	-	ONT3.5955.4913	CDS	RUVBL1
chr3	8990	9110	-	ONT3.5955.4913	intron	RUVBL1
chr3	9110	9242	-	ONT3.5955.4913	CDS	RUVBL1
chr3	9242	9632	-	ONT3.5955.4913	intron	RUVBL1
chr3	9632	9718	-	ONT3.5955.4913	CDS	RUVBL1
chr3	9718	10126	-	ONT3.5955.4913	intron	RUVBL1
chr3	10126	10269	-	ONT3.5955.4913	CDS	RUVBL1
chr3	10270	10366	-	ONT3.5955.4913	UTR	NA
chr3	12	355	-	ONT3.5955.4914	UTR	NA
chr3	356	545	-	ONT3.5955.4914	CDS	RUVBL1
chr3	545	3296	-	ONT3.5955.4914	intron	RUVBL1
chr3	3296	3387	-	ONT3.5955.4914	CDS	RUVBL1
chr3	3387	5553	-	ONT3.5955.4914	intron	RUVBL1
chr3	5553	5655	-	ONT3.5955.4914	CDS	RUVBL1
chr3	5655	7829	-	ONT3.5955.4914	intron	RUVBL1
chr3	7829	8027	-	ONT3.5955.4914	CDS	RUVBL1
chr3	8027	8152	-	ONT3.5955.4914	intron	RUVBL1
chr3	8152	8215	-	ONT3.5955.4914	CDS	RUVBL1
chr3	8215	8387	-	ONT3.5955.4914	intron	RUVBL1
chr3	8387	8536	-	ONT3.5955.4914	CDS	RUVBL1
chr3	8536	8639	-	ONT3.5955.4914	intron	RUVBL1
chr3	8639	8728	-	ONT3.5955.4914	CDS	RUVBL1
chr3	8728	8839	-	ONT3.5955.4914	intron	RUVBL1
chr3	8839	8990	-	ONT3.5955.4914	CDS	RUVBL1
chr3	8990	9110	-	ONT3.5955.4914	intron	RUVBL1
chr3	9110	9242	-	ONT3.5955.4914	CDS	RUVBL1
chr3	9242	9632	-	ONT3.5955.4914	intron	RUVBL1
chr3	9632	9718	-	ONT3.5955.4914	CDS	RUVBL1
chr3	9718	10126	-	ONT3.5955.4914	intron	RUVBL1
chr3	10126	10269	-	ONT3.5955.4914	CDS	RUVBL1
chr3	10270	10373	-	ONT3.5955.4914	UTR	NA
chr3	2	355	-	ONT3.5955.4916	UTR	NA
chr3	356	545	-	ONT3.5955.4916	CDS	RUVBL1
chr3	545	3296	-	ONT3.5955.4916	intron	RUVBL1
chr3	3296	3387	-	ONT3.5955.4916	CDS	RUVBL1
chr3	3387	5553	-	ONT3.5955.4916	intron	RUVBL1
chr3	5553	5655	-	ONT3.5955.4916	CDS	RUVBL1
chr3	5655	7829	-	ONT3.5955.4916	intron	RUVBL1
chr3	7829	8027	-	ONT3.5955.4916	CDS	RUVBL1
chr3	8027	8152	-	ONT3.5955.4916	intron	RUVBL1
chr3	8152	8215	-	ONT3.5955.4916	CDS	RUVBL1
chr3	8215	8387	-	ONT3.5955.4916	intron	RUVBL1
chr3	8387	8536	-	ONT3.5955.4916	CDS	RUVBL1
chr3	8536	8639	-	ONT3.5955.4916	intron	RUVBL1
chr3	8639	8728	-	ONT3.5955.4916	CDS	RUVBL1
chr3	8728	8839	-	ONT3.5955.4916	intron	RUVBL1
chr3	8839	8990	-	ONT3.5955.4916	CDS	RUVBL1
chr3	8990	9110	-	ONT3.5955.4916	intron	RUVBL1
chr3	9110	9242	-	ONT3.5955.4916	CDS	RUVBL1
chr3	9242	9632	-	ONT3.5955.4916	intron	RUVBL1
chr3	9632	9682	-	ONT3.5955.4916	CDS	RUVBL1
chr3	9683	9718	-	ONT3.5955.4916	UTR	NA
chr3	9718	10126	-	ONT3.5955.4916	intron	NA
chr3	10126	10191	-	ONT3.5955.4916	UTR	NA
chr3	102	545	-	ONT3.5955.4918	UTR	NA
chr3	545	646	-	ONT3.5955.4918	intron	NA
chr3	646	884	-	ONT3.5955.4918	UTR	NA
chr3	885	923	-	ONT3.5955.4918	CDS	RUVBL1
chr3	923	5553	-	ONT3.5955.4918	intron	RUVBL1
chr3	5553	5655	-	ONT3.5955.4918	CDS	RUVBL1
chr3	5655	7829	-	ONT3.5955.4918	intron	RUVBL1
chr3	7829	8027	-	ONT3.5955.4918	CDS	RUVBL1
chr3	8027	8152	-	ONT3.5955.4918	intron	RUVBL1
chr3	8152	8215	-	ONT3.5955.4918	CDS	RUVBL1
chr3	8215	8387	-	ONT3.5955.4918	intron	RUVBL1
chr3	8387	8536	-	ONT3.5955.4918	CDS	RUVBL1
chr3	8536	8639	-	ONT3.5955.4918	intron	RUVBL1
chr3	8639	8728	-	ONT3.5955.4918	CDS	RUVBL1
chr3	8728	8839	-	ONT3.5955.4918	intron	RUVBL1
chr3	8839	8990	-	ONT3.5955.4918	CDS	RUVBL1
chr3	8990	9110	-	ONT3.5955.4918	intron	RUVBL1
chr3	9110	9242	-	ONT3.5955.4918	CDS	RUVBL1
chr3	9242	9632	-	ONT3.5955.4918	intron	RUVBL1
chr3	9632	9718	-	ONT3.5955.4918	CDS	RUVBL1
chr3	9718	10126	-	ONT3.5955.4918	intron	RUVBL1
chr3	10126	10269	-	ONT3.5955.4918	CDS	RUVBL1
chr3	10270	10366	-	ONT3.5955.4918	UTR	NA
chr3	107	355	-	ONT3.5955.4921	UTR	NA
chr3	356	545	-	ONT3.5955.4921	CDS	RUVBL1
chr3	545	3296	-	ONT3.5955.4921	intron	RUVBL1
chr3	3296	3387	-	ONT3.5955.4921	CDS	RUVBL1
chr3	3387	5553	-	ONT3.5955.4921	intron	RUVBL1
chr3	5553	5655	-	ONT3.5955.4921	CDS	RUVBL1
chr3	5655	7829	-	ONT3.5955.4921	intron	RUVBL1
chr3	7829	8027	-	ONT3.5955.4921	CDS	RUVBL1
chr3	8027	8152	-	ONT3.5955.4921	intron	RUVBL1
chr3	8152	8215	-	ONT3.5955.4921	CDS	RUVBL1
chr3	8215	8387	-	ONT3.5955.4921	intron	RUVBL1
chr3	8387	8536	-	ONT3.5955.4921	CDS	RUVBL1
chr3	8536	8639	-	ONT3.5955.4921	intron	RUVBL1
chr3	8639	8728	-	ONT3.5955.4921	CDS	RUVBL1
chr3	8728	8839	-	ONT3.5955.4921	intron	RUVBL1
chr3	8839	8990	-	ONT3.5955.4921	CDS	RUVBL1
chr3	8990	9110	-	ONT3.5955.4921	intron	RUVBL1
chr3	9110	9242	-	ONT3.5955.4921	CDS	RUVBL1
chr3	9242	9632	-	ONT3.5955.4921	intron	RUVBL1
chr3	9632	9718	-	ONT3.5955.4921	CDS	RUVBL1
chr3	9718	10126	-	ONT3.5955.4921	intron	RUVBL1
chr3	10126	10269	-	ONT3.5955.4921	CDS	RUVBL1
chr3	10270	10354	-	ONT3.5955.4921	UTR	NA
chr3	102	539	-	ONT3.5955.4923	UTR	NA
chr3	540	545	-	ONT3.5955.4923	CDS	RUVBL1
chr3	545	5553	-	ONT3.5955.4923	intron	RUVBL1
chr3	5553	5655	-	ONT3.5955.4923	CDS	RUVBL1
chr3	5655	7829	-	ONT3.5955.4923	intron	RUVBL1
chr3	7829	7932	-	ONT3.5955.4923	CDS	RUVBL1
chr3	7933	7966	-	ONT3.5955.4923	UTR	NA
chr3	107	355	-	ONT3.5955.4926	UTR	NA
chr3	356	545	-	ONT3.5955.4926	CDS	RUVBL1
chr3	545	7829	-	ONT3.5955.4926	intron	RUVBL1
chr3	7829	8027	-	ONT3.5955.4926	CDS	RUVBL1
chr3	8027	8152	-	ONT3.5955.4926	intron	RUVBL1
chr3	8152	8215	-	ONT3.5955.4926	CDS	RUVBL1
chr3	8215	8387	-	ONT3.5955.4926	intron	RUVBL1
chr3	8387	8536	-	ONT3.5955.4926	CDS	RUVBL1
chr3	8536	8639	-	ONT3.5955.4926	intron	RUVBL1
chr3	8639	8728	-	ONT3.5955.4926	CDS	RUVBL1
chr3	8728	8839	-	ONT3.5955.4926	intron	RUVBL1
chr3	8839	8990	-	ONT3.5955.4926	CDS	RUVBL1
chr3	8990	9110	-	ONT3.5955.4926	intron	RUVBL1
chr3	9110	9242	-	ONT3.5955.4926	CDS	RUVBL1
chr3	9242	9632	-	ONT3.5955.4926	intron	RUVBL1
chr3	9632	9718	-	ONT3.5955.4926	CDS	RUVBL1
chr3	9718	10126	-	ONT3.5955.4926	intron	RUVBL1
chr3	10126	10269	-	ONT3.5955.4926	CDS	RUVBL1
chr3	10270	10344	-	ONT3.5955.4926	UTR	NA
chr3	107	539	-	ONT3.5955.4927	UTR	NA
