seqnames	start	end	strand	transcript_id	type	gene_id
chr6	8	1071	-	ENST00000375107.8	UTR	NA
chr6	1072	1244	-	ENST00000375107.8	CDS	ENSG00000204310.13
chr6	1244	1762	-	ENST00000375107.8	intron	ENSG00000204310.13
chr6	1762	1834	-	ENST00000375107.8	CDS	ENSG00000204310.13
chr6	1834	1961	-	ENST00000375107.8	intron	ENSG00000204310.13
chr6	1961	2056	-	ENST00000375107.8	CDS	ENSG00000204310.13
chr6	2056	2221	-	ENST00000375107.8	intron	ENSG00000204310.13
chr6	2221	2396	-	ENST00000375107.8	CDS	ENSG00000204310.13
chr6	2396	2733	-	ENST00000375107.8	intron	ENSG00000204310.13
chr6	2733	2866	-	ENST00000375107.8	CDS	ENSG00000204310.13
chr6	2866	3093	-	ENST00000375107.8	intron	ENSG00000204310.13
chr6	3093	3295	-	ENST00000375107.8	CDS	ENSG00000204310.13
chr6	3296	3301	-	ENST00000375107.8	UTR	NA
chr6	3301	3406	-	ENST00000375107.8	intron	NA
chr6	3406	3676	-	ENST00000375107.8	UTR	NA
chr6	31	1074	-	ONT6.1585.621	UTR	NA
chr6	1075	1244	-	ONT6.1585.621	CDS	AGPAT1
chr6	1244	1762	-	ONT6.1585.621	intron	AGPAT1
chr6	1762	1834	-	ONT6.1585.621	CDS	AGPAT1
chr6	1834	1961	-	ONT6.1585.621	intron	AGPAT1
chr6	1961	2056	-	ONT6.1585.621	CDS	AGPAT1
chr6	2056	2221	-	ONT6.1585.621	intron	AGPAT1
chr6	2221	2396	-	ONT6.1585.621	CDS	AGPAT1
chr6	2396	2733	-	ONT6.1585.621	intron	AGPAT1
chr6	2733	2866	-	ONT6.1585.621	CDS	AGPAT1
chr6	2866	3093	-	ONT6.1585.621	intron	AGPAT1
chr6	3093	3295	-	ONT6.1585.621	CDS	AGPAT1
chr6	3296	3301	-	ONT6.1585.621	UTR	NA
chr6	3301	3406	-	ONT6.1585.621	intron	NA
chr6	3406	3649	-	ONT6.1585.621	UTR	NA
chr6	10	1074	-	ONT6.1585.622	UTR	NA
chr6	1075	1244	-	ONT6.1585.622	CDS	AGPAT1
chr6	1244	1762	-	ONT6.1585.622	intron	AGPAT1
chr6	1762	1834	-	ONT6.1585.622	CDS	AGPAT1
chr6	1834	1961	-	ONT6.1585.622	intron	AGPAT1
chr6	1961	2056	-	ONT6.1585.622	CDS	AGPAT1
chr6	2056	2221	-	ONT6.1585.622	intron	AGPAT1
chr6	2221	2259	-	ONT6.1585.622	CDS	AGPAT1
chr6	2260	2339	-	ONT6.1585.622	UTR	NA
chr6	3	1074	-	ONT6.1585.624	UTR	NA
chr6	1075	1244	-	ONT6.1585.624	CDS	AGPAT1
chr6	1244	1762	-	ONT6.1585.624	intron	AGPAT1
chr6	1762	1834	-	ONT6.1585.624	CDS	AGPAT1
chr6	1834	1961	-	ONT6.1585.624	intron	AGPAT1
chr6	1961	2056	-	ONT6.1585.624	CDS	AGPAT1
chr6	2056	2221	-	ONT6.1585.624	intron	AGPAT1
chr6	2221	2396	-	ONT6.1585.624	CDS	AGPAT1
chr6	2396	2733	-	ONT6.1585.624	intron	AGPAT1
chr6	2733	2866	-	ONT6.1585.624	CDS	AGPAT1
chr6	2866	3093	-	ONT6.1585.624	intron	AGPAT1
chr6	3093	3295	-	ONT6.1585.624	CDS	AGPAT1
chr6	3296	3301	-	ONT6.1585.624	UTR	NA
chr6	3301	3406	-	ONT6.1585.624	intron	NA
chr6	3406	3613	-	ONT6.1585.624	UTR	NA
chr6	14	1074	-	ONT6.1585.625	UTR	NA
chr6	1075	1244	-	ONT6.1585.625	CDS	AGPAT1
chr6	1244	1762	-	ONT6.1585.625	intron	AGPAT1
chr6	1762	1834	-	ONT6.1585.625	CDS	AGPAT1
chr6	1834	1961	-	ONT6.1585.625	intron	AGPAT1
chr6	1961	2056	-	ONT6.1585.625	CDS	AGPAT1
chr6	2056	2221	-	ONT6.1585.625	intron	AGPAT1
chr6	2221	2396	-	ONT6.1585.625	CDS	AGPAT1
chr6	2396	2733	-	ONT6.1585.625	intron	AGPAT1
chr6	2733	2866	-	ONT6.1585.625	CDS	AGPAT1
chr6	2866	3093	-	ONT6.1585.625	intron	AGPAT1
chr6	3093	3295	-	ONT6.1585.625	CDS	AGPAT1
chr6	3296	3301	-	ONT6.1585.625	UTR	NA
chr6	3301	4545	-	ONT6.1585.625	intron	NA
chr6	4545	4654	-	ONT6.1585.625	UTR	NA
chr6	8	1074	-	ONT6.1585.626	UTR	NA
chr6	1075	1244	-	ONT6.1585.626	CDS	AGPAT1
chr6	1244	1762	-	ONT6.1585.626	intron	AGPAT1
chr6	1762	1834	-	ONT6.1585.626	CDS	AGPAT1
chr6	1834	1961	-	ONT6.1585.626	intron	AGPAT1
chr6	1961	2056	-	ONT6.1585.626	CDS	AGPAT1
chr6	2056	2221	-	ONT6.1585.626	intron	AGPAT1
chr6	2221	2396	-	ONT6.1585.626	CDS	AGPAT1
chr6	2396	2733	-	ONT6.1585.626	intron	AGPAT1
chr6	2733	2866	-	ONT6.1585.626	CDS	AGPAT1
chr6	2866	3093	-	ONT6.1585.626	intron	AGPAT1
chr6	3093	3295	-	ONT6.1585.626	CDS	AGPAT1
chr6	3296	3303	-	ONT6.1585.626	UTR	NA
chr6	8	1244	-	ONT6.1585.632	UTR	NA
chr6	1244	1762	-	ONT6.1585.632	intron	NA
chr6	1762	1834	-	ONT6.1585.632	UTR	NA
chr6	1834	1961	-	ONT6.1585.632	intron	NA
chr6	1961	2055	-	ONT6.1585.632	UTR	NA
chr6	2056	2056	-	ONT6.1585.632	CDS	AGPAT1
chr6	2056	3093	-	ONT6.1585.632	intron	AGPAT1
chr6	3093	3295	-	ONT6.1585.632	CDS	AGPAT1
chr6	3296	3301	-	ONT6.1585.632	UTR	NA
chr6	3301	3406	-	ONT6.1585.632	intron	NA
chr6	3406	3538	-	ONT6.1585.632	UTR	NA
chr6	10	1244	-	ONT6.1585.633	UTR	NA
chr6	1244	1762	-	ONT6.1585.633	intron	NA
