seqnames	start	end	strand	transcript_id	type	gene_id
chrX	1419	7176	-	ENST00000340855.11	UTR	NA
chrX	7177	7649	-	ENST00000340855.11	CDS	ENSG00000010404.18
chrX	7649	7750	-	ENST00000340855.11	intron	ENSG00000010404.18
chrX	7750	7923	-	ENST00000340855.11	CDS	ENSG00000010404.18
chrX	7923	8261	-	ENST00000340855.11	intron	ENSG00000010404.18
chrX	8261	8387	-	ENST00000340855.11	CDS	ENSG00000010404.18
chrX	8387	9281	-	ENST00000340855.11	intron	ENSG00000010404.18
chrX	9281	9451	-	ENST00000340855.11	CDS	ENSG00000010404.18
chrX	9451	9570	-	ENST00000340855.11	intron	ENSG00000010404.18
chrX	9570	9770	-	ENST00000340855.11	CDS	ENSG00000010404.18
chrX	9770	10120	-	ENST00000340855.11	intron	ENSG00000010404.18
chrX	10120	10208	-	ENST00000340855.11	CDS	ENSG00000010404.18
chrX	10208	12483	-	ENST00000340855.11	intron	ENSG00000010404.18
chrX	12483	12660	-	ENST00000340855.11	CDS	ENSG00000010404.18
chrX	12660	13328	-	ENST00000340855.11	intron	ENSG00000010404.18
chrX	13328	13464	-	ENST00000340855.11	CDS	ENSG00000010404.18
chrX	13464	14206	-	ENST00000340855.11	intron	ENSG00000010404.18
chrX	14206	14311	-	ENST00000340855.11	CDS	ENSG00000010404.18
chrX	14312	14477	-	ENST00000340855.11	UTR	NA
chrX	3200	7649	-	ONTX.9503.1000	UTR	NA
chrX	7649	8261	-	ONTX.9503.1000	intron	NA
chrX	8261	8387	-	ONTX.9503.1000	UTR	NA
chrX	8387	9281	-	ONTX.9503.1000	intron	NA
chrX	9281	9451	-	ONTX.9503.1000	UTR	NA
chrX	9451	9570	-	ONTX.9503.1000	intron	NA
chrX	9570	9770	-	ONTX.9503.1000	UTR	NA
chrX	9770	10120	-	ONTX.9503.1000	intron	NA
chrX	10120	10208	-	ONTX.9503.1000	UTR	NA
chrX	10208	12483	-	ONTX.9503.1000	intron	NA
chrX	12483	12610	-	ONTX.9503.1000	UTR	NA
chrX	12611	12616	-	ONTX.9503.1000	CDS	IDS
chrX	12616	13328	-	ONTX.9503.1000	intron	IDS
chrX	13328	13464	-	ONTX.9503.1000	CDS	IDS
chrX	13464	14206	-	ONTX.9503.1000	intron	IDS
chrX	14206	14311	-	ONTX.9503.1000	CDS	IDS
chrX	14312	14477	-	ONTX.9503.1000	UTR	NA
chrX	3200	7649	-	ONTX.9503.1009	UTR	NA
chrX	7649	7750	-	ONTX.9503.1009	intron	NA
chrX	7750	7923	-	ONTX.9503.1009	UTR	NA
chrX	7923	8261	-	ONTX.9503.1009	intron	NA
chrX	8261	8387	-	ONTX.9503.1009	UTR	NA
chrX	8387	9281	-	ONTX.9503.1009	intron	NA
chrX	9281	9442	-	ONTX.9503.1009	UTR	NA
chrX	9442	9570	-	ONTX.9503.1009	intron	NA
chrX	9570	9643	-	ONTX.9503.1009	UTR	NA
chrX	9644	9770	-	ONTX.9503.1009	CDS	IDS
chrX	9770	10136	-	ONTX.9503.1009	intron	IDS
chrX	10136	10208	-	ONTX.9503.1009	CDS	IDS
chrX	10208	12483	-	ONTX.9503.1009	intron	IDS
chrX	12483	12660	-	ONTX.9503.1009	CDS	IDS
chrX	12660	13328	-	ONTX.9503.1009	intron	IDS
chrX	13328	13464	-	ONTX.9503.1009	CDS	IDS
chrX	13464	14206	-	ONTX.9503.1009	intron	IDS
chrX	14206	14311	-	ONTX.9503.1009	CDS	IDS
chrX	14312	14508	-	ONTX.9503.1009	UTR	NA
chrX	3208	3495	-	ONTX.9503.1015	UTR	NA
chrX	3495	5540	-	ONTX.9503.1015	intron	NA
chrX	5540	7179	-	ONTX.9503.1015	UTR	NA
chrX	7180	7649	-	ONTX.9503.1015	CDS	IDS
chrX	7649	7750	-	ONTX.9503.1015	intron	IDS
chrX	7750	7923	-	ONTX.9503.1015	CDS	IDS
chrX	7923	8261	-	ONTX.9503.1015	intron	IDS
chrX	8261	8387	-	ONTX.9503.1015	CDS	IDS
chrX	8387	9281	-	ONTX.9503.1015	intron	IDS
chrX	9281	9451	-	ONTX.9503.1015	CDS	IDS
chrX	9451	9570	-	ONTX.9503.1015	intron	IDS
chrX	9570	9770	-	ONTX.9503.1015	CDS	IDS
chrX	9770	10120	-	ONTX.9503.1015	intron	IDS
chrX	10120	10208	-	ONTX.9503.1015	CDS	IDS
chrX	10208	12483	-	ONTX.9503.1015	intron	IDS
chrX	12483	12660	-	ONTX.9503.1015	CDS	IDS
chrX	12660	13328	-	ONTX.9503.1015	intron	IDS
chrX	13328	13464	-	ONTX.9503.1015	CDS	IDS
chrX	13464	14206	-	ONTX.9503.1015	intron	IDS
chrX	14206	14311	-	ONTX.9503.1015	CDS	IDS
chrX	14312	14509	-	ONTX.9503.1015	UTR	NA
chrX	3200	3558	-	ONTX.9503.1018	UTR	NA
chrX	3558	6625	-	ONTX.9503.1018	intron	NA
chrX	6625	7179	-	ONTX.9503.1018	UTR	NA
chrX	7180	7649	-	ONTX.9503.1018	CDS	IDS
chrX	7649	7750	-	ONTX.9503.1018	intron	IDS
chrX	7750	7923	-	ONTX.9503.1018	CDS	IDS
chrX	7923	8261	-	ONTX.9503.1018	intron	IDS
chrX	8261	8387	-	ONTX.9503.1018	CDS	IDS
chrX	8387	9281	-	ONTX.9503.1018	intron	IDS
chrX	9281	9451	-	ONTX.9503.1018	CDS	IDS
chrX	9451	9570	-	ONTX.9503.1018	intron	IDS
chrX	9570	9770	-	ONTX.9503.1018	CDS	IDS
chrX	9770	10120	-	ONTX.9503.1018	intron	IDS
chrX	10120	10208	-	ONTX.9503.1018	CDS	IDS
chrX	10208	12483	-	ONTX.9503.1018	intron	IDS
chrX	12483	12660	-	ONTX.9503.1018	CDS	IDS
chrX	12660	13328	-	ONTX.9503.1018	intron	IDS
chrX	13328	13464	-	ONTX.9503.1018	CDS	IDS
chrX	13464	14206	-	ONTX.9503.1018	intron	IDS
chrX	14206	14311	-	ONTX.9503.1018	CDS	IDS
chrX	14312	14477	-	ONTX.9503.1018	UTR	NA
chrX	1423	7179	-	ONTX.9503.109	UTR	NA
chrX	7180	7649	-	ONTX.9503.109	CDS	IDS
chrX	7649	7750	-	ONTX.9503.109	intron	IDS
chrX	7750	7923	-	ONTX.9503.109	CDS	IDS
chrX	7923	8261	-	ONTX.9503.109	intron	IDS
chrX	8261	8387	-	ONTX.9503.109	CDS	IDS
chrX	8387	9281	-	ONTX.9503.109	intron	IDS
chrX	9281	9451	-	ONTX.9503.109	CDS	IDS
chrX	9451	9570	-	ONTX.9503.109	intron	IDS
chrX	9570	9770	-	ONTX.9503.109	CDS	IDS
chrX	9770	10120	-	ONTX.9503.109	intron	IDS
chrX	10120	10208	-	ONTX.9503.109	CDS	IDS
chrX	10208	12483	-	ONTX.9503.109	intron	IDS
chrX	12483	12660	-	ONTX.9503.109	CDS	IDS
chrX	12660	13328	-	ONTX.9503.109	intron	IDS
chrX	13328	13464	-	ONTX.9503.109	CDS	IDS
chrX	13464	14206	-	ONTX.9503.109	intron	IDS
chrX	14206	14311	-	ONTX.9503.109	CDS	IDS
chrX	14312	14466	-	ONTX.9503.109	UTR	NA
chrX	3206	4943	-	ONTX.9503.1093	UTR	NA
chrX	4943	5310	-	ONTX.9503.1093	intron	NA
chrX	5310	7179	-	ONTX.9503.1093	UTR	NA
chrX	7180	7649	-	ONTX.9503.1093	CDS	IDS
chrX	7649	7750	-	ONTX.9503.1093	intron	IDS
chrX	7750	7923	-	ONTX.9503.1093	CDS	IDS
chrX	7923	8261	-	ONTX.9503.1093	intron	IDS
chrX	8261	8387	-	ONTX.9503.1093	CDS	IDS
