seqnames	start	end	strand	transcript_id	type	gene_id
chr10	394	3813	-	ENST00000369603.10	UTR	NA
chr10	3814	3951	-	ENST00000369603.10	CDS	ENSG00000119953.14
chr10	3951	4892	-	ENST00000369603.10	intron	ENSG00000119953.14
chr10	4892	5045	-	ENST00000369603.10	CDS	ENSG00000119953.14
chr10	5045	6337	-	ENST00000369603.10	intron	ENSG00000119953.14
chr10	6337	6498	-	ENST00000369603.10	CDS	ENSG00000119953.14
chr10	6498	6620	-	ENST00000369603.10	intron	ENSG00000119953.14
chr10	6620	6762	-	ENST00000369603.10	CDS	ENSG00000119953.14
chr10	6762	7193	-	ENST00000369603.10	intron	ENSG00000119953.14
chr10	7193	7315	-	ENST00000369603.10	CDS	ENSG00000119953.14
chr10	7315	7801	-	ENST00000369603.10	intron	NA
chr10	7801	7973	-	ENST00000369603.10	UTR	NA
chr10	2	3816	-	ONT10.5143.4941	UTR	NA
chr10	3817	3951	-	ONT10.5143.4941	CDS	SMNDC1
chr10	3951	4892	-	ONT10.5143.4941	intron	SMNDC1
chr10	4892	5045	-	ONT10.5143.4941	CDS	SMNDC1
chr10	5045	6337	-	ONT10.5143.4941	intron	SMNDC1
chr10	6337	6498	-	ONT10.5143.4941	CDS	SMNDC1
chr10	6498	6620	-	ONT10.5143.4941	intron	SMNDC1
chr10	6620	6762	-	ONT10.5143.4941	CDS	SMNDC1
chr10	6762	7193	-	ONT10.5143.4941	intron	SMNDC1
chr10	7193	7315	-	ONT10.5143.4941	CDS	SMNDC1
chr10	7315	7801	-	ONT10.5143.4941	intron	NA
chr10	7801	7972	-	ONT10.5143.4941	UTR	NA
chr10	4	3816	-	ONT10.5143.4946	UTR	NA
chr10	3817	3951	-	ONT10.5143.4946	CDS	SMNDC1
chr10	3951	4892	-	ONT10.5143.4946	intron	SMNDC1
chr10	4892	5045	-	ONT10.5143.4946	CDS	SMNDC1
chr10	5045	6337	-	ONT10.5143.4946	intron	SMNDC1
chr10	6337	6498	-	ONT10.5143.4946	CDS	SMNDC1
chr10	6498	6620	-	ONT10.5143.4946	intron	SMNDC1
chr10	6620	6762	-	ONT10.5143.4946	CDS	SMNDC1
chr10	6762	7193	-	ONT10.5143.4946	intron	SMNDC1
chr10	7193	7315	-	ONT10.5143.4946	CDS	SMNDC1
chr10	7315	7801	-	ONT10.5143.4946	intron	NA
chr10	7801	7960	-	ONT10.5143.4946	UTR	NA
chr10	4	3925	-	ONT10.5143.4963	UTR	NA
chr10	3926	3945	-	ONT10.5143.4963	CDS	SMNDC1
chr10	3945	4888	-	ONT10.5143.4963	intron	SMNDC1
chr10	4888	5045	-	ONT10.5143.4963	CDS	SMNDC1
chr10	5045	6337	-	ONT10.5143.4963	intron	SMNDC1
chr10	6337	6498	-	ONT10.5143.4963	CDS	SMNDC1
chr10	6498	6620	-	ONT10.5143.4963	intron	SMNDC1
chr10	6620	6762	-	ONT10.5143.4963	CDS	SMNDC1
chr10	6762	7193	-	ONT10.5143.4963	intron	SMNDC1
chr10	7193	7315	-	ONT10.5143.4963	CDS	SMNDC1
chr10	7315	7801	-	ONT10.5143.4963	intron	NA
chr10	7801	8016	-	ONT10.5143.4963	UTR	NA
chr10	364	3951	-	ONT10.5143.5001	UTR	NA
chr10	3951	4888	-	ONT10.5143.5001	intron	NA
chr10	4888	5045	-	ONT10.5143.5001	UTR	NA
chr10	5045	6333	-	ONT10.5143.5001	intron	NA
chr10	6333	6335	-	ONT10.5143.5001	UTR	NA
chr10	6336	6498	-	ONT10.5143.5001	CDS	SMNDC1
chr10	6498	6620	-	ONT10.5143.5001	intron	SMNDC1
chr10	6620	6762	-	ONT10.5143.5001	CDS	SMNDC1
chr10	6762	7193	-	ONT10.5143.5001	intron	SMNDC1
chr10	7193	7315	-	ONT10.5143.5001	CDS	SMNDC1
chr10	7315	7801	-	ONT10.5143.5001	intron	NA
chr10	7801	8002	-	ONT10.5143.5001	UTR	NA
chr10	364	3925	-	ONT10.5143.5003	UTR	NA
chr10	3926	3945	-	ONT10.5143.5003	CDS	SMNDC1
chr10	3945	4888	-	ONT10.5143.5003	intron	SMNDC1
chr10	4888	5045	-	ONT10.5143.5003	CDS	SMNDC1
chr10	5045	6337	-	ONT10.5143.5003	intron	SMNDC1
chr10	6337	6498	-	ONT10.5143.5003	CDS	SMNDC1
chr10	6498	6620	-	ONT10.5143.5003	intron	SMNDC1
chr10	6620	6762	-	ONT10.5143.5003	CDS	SMNDC1
chr10	6762	7193	-	ONT10.5143.5003	intron	SMNDC1
chr10	7193	7315	-	ONT10.5143.5003	CDS	SMNDC1
chr10	7315	7801	-	ONT10.5143.5003	intron	NA
