seqnames	start	end	strand	transcript_id	type	gene_id
chr7	2	159	-	ENST00000352861.9	UTR	NA
chr7	160	169	-	ENST00000352861.9	CDS	ENSG00000132432.14
chr7	169	270	-	ENST00000352861.9	intron	ENSG00000132432.14
chr7	270	372	-	ENST00000352861.9	CDS	ENSG00000132432.14
chr7	372	473	-	ENST00000352861.9	intron	ENSG00000132432.14
chr7	473	569	-	ENST00000352861.9	CDS	ENSG00000132432.14
chr7	570	572	-	ENST00000352861.9	UTR	NA
chr7	572	673	-	ENST00000352861.9	intron	NA
chr7	673	726	-	ENST00000352861.9	UTR	NA
chr7	3356	3523	-	ENST00000352861.9	exon	ENSG00000132432.14
chr7	3523	6882	-	ENST00000352861.9	intron	ENSG00000132432.14
chr7	6882	6984	-	ENST00000352861.9	exon	ENSG00000132432.14
chr7	6984	8598	-	ENST00000352861.9	intron	ENSG00000132432.14
chr7	8598	8697	-	ENST00000352861.9	exon	ENSG00000132432.14
chr7	8697	9043	-	ENST00000352861.9	intron	NA
chr7	9043	9096	-	ENST00000352861.9	exon	ENSG00000132432.14
chr7	2	3523	-	ONT7.3036.533	exon	SEC61G
chr7	3524	3626	-	ONT7.3036.533	exon	SEC61G
chr7	3627	3726	-	ONT7.3036.533	exon	SEC61G
chr7	3727	3802	-	ONT7.3036.533	exon	SEC61G
chr7	479	3523	-	ONT7.3036.551	exon	SEC61G
chr7	3524	3626	-	ONT7.3036.551	exon	SEC61G
chr7	3627	3726	-	ONT7.3036.551	exon	SEC61G
chr7	3727	3808	-	ONT7.3036.551	exon	SEC61G
chr7	1093	3523	-	ONT7.3036.564	exon	SEC61G
chr7	3524	3626	-	ONT7.3036.564	exon	SEC61G
chr7	3627	3726	-	ONT7.3036.564	exon	SEC61G
chr7	3727	3811	-	ONT7.3036.564	exon	SEC61G
chr7	2906	3523	-	ONT7.3036.598	exon	SEC61G
chr7	3524	3626	-	ONT7.3036.598	exon	SEC61G
chr7	3627	3726	-	ONT7.3036.598	exon	SEC61G
chr7	3727	3803	-	ONT7.3036.598	exon	SEC61G
chr7	3214	3523	-	ONT7.3036.604	exon	SEC61G
chr7	3524	3626	-	ONT7.3036.604	exon	SEC61G
chr7	3627	3726	-	ONT7.3036.604	exon	SEC61G
chr7	3727	3804	-	ONT7.3036.604	exon	SEC61G
chr7	3250	3523	-	ONT7.3036.606	exon	SEC61G
chr7	3524	3618	-	ONT7.3036.606	exon	SEC61G
chr7	3619	3718	-	ONT7.3036.606	exon	SEC61G
chr7	3719	3764	-	ONT7.3036.606	exon	SEC61G
chr7	3280	3523	-	ONT7.3036.608	exon	SEC61G
chr7	3524	3626	-	ONT7.3036.608	exon	SEC61G
chr7	3627	3728	-	ONT7.3036.608	exon	SEC61G
chr7	3288	3508	-	ONT7.3036.609	exon	SEC61G
chr7	3509	3611	-	ONT7.3036.609	exon	SEC61G
chr7	3612	3711	-	ONT7.3036.609	exon	SEC61G
chr7	3712	3761	-	ONT7.3036.609	exon	SEC61G
chr7	3352	3523	-	ONT7.3036.612	exon	SEC61G
chr7	3524	3626	-	ONT7.3036.612	exon	SEC61G
chr7	3627	3726	-	ONT7.3036.612	exon	SEC61G
chr7	3727	3862	-	ONT7.3036.612	exon	SEC61G
chr7	3350	3523	-	ONT7.3036.613	exon	SEC61G
chr7	3524	3626	-	ONT7.3036.613	exon	SEC61G
chr7	3627	3726	-	ONT7.3036.613	exon	SEC61G
chr7	3727	3880	-	ONT7.3036.613	exon	SEC61G
chr7	3352	3523	-	ONT7.3036.615	exon	SEC61G
chr7	3524	3628	-	ONT7.3036.615	exon	SEC61G
chr7	3356	3523	-	ONT7.3036.616	exon	SEC61G
chr7	3524	3669	-	ONT7.3036.616	exon	SEC61G
chr7	3670	3769	-	ONT7.3036.616	exon	SEC61G
chr7	3770	3842	-	ONT7.3036.616	exon	SEC61G
chr7	3356	3523	-	ONT7.3036.617	exon	SEC61G
