seqnames	start	end	strand	transcript_id	type	gene_id
chr5	55	139	+	ENST00000429602.7	UTR	NA
chr5	140	268	+	ENST00000429602.7	CDS	ENSG00000170085.18
chr5	268	1468	+	ENST00000429602.7	intron	ENSG00000170085.18
chr5	1468	2769	+	ENST00000429602.7	CDS	ENSG00000170085.18
chr5	2769	2870	+	ENST00000429602.7	intron	ENSG00000170085.18
chr5	2870	3102	+	ENST00000429602.7	CDS	ENSG00000170085.18
chr5	3102	4091	+	ENST00000429602.7	intron	ENSG00000170085.18
chr5	4091	4160	+	ENST00000429602.7	CDS	ENSG00000170085.18
chr5	4160	5726	+	ENST00000429602.7	intron	ENSG00000170085.18
chr5	5726	5880	+	ENST00000429602.7	CDS	ENSG00000170085.18
chr5	5880	5981	+	ENST00000429602.7	intron	ENSG00000170085.18
chr5	5981	6133	+	ENST00000429602.7	CDS	ENSG00000170085.18
chr5	6133	7012	+	ENST00000429602.7	intron	ENSG00000170085.18
chr5	7012	7140	+	ENST00000429602.7	CDS	ENSG00000170085.18
chr5	7140	7244	+	ENST00000429602.7	intron	ENSG00000170085.18
chr5	7244	7400	+	ENST00000429602.7	CDS	ENSG00000170085.18
chr5	7400	7501	+	ENST00000429602.7	intron	ENSG00000170085.18
chr5	7501	7585	+	ENST00000429602.7	CDS	ENSG00000170085.18
chr5	7585	7686	+	ENST00000429602.7	intron	ENSG00000170085.18
chr5	7686	7951	+	ENST00000429602.7	CDS	ENSG00000170085.18
chr5	7952	8492	+	ENST00000429602.7	UTR	NA
chr5	43	139	+	ONT5.10247.6583	UTR	NA
chr5	140	268	+	ONT5.10247.6583	CDS	SIMC1
chr5	268	1468	+	ONT5.10247.6583	intron	SIMC1
chr5	1468	2769	+	ONT5.10247.6583	CDS	SIMC1
chr5	2769	2870	+	ONT5.10247.6583	intron	SIMC1
chr5	2870	3102	+	ONT5.10247.6583	CDS	SIMC1
chr5	3102	4091	+	ONT5.10247.6583	intron	SIMC1
chr5	4091	4160	+	ONT5.10247.6583	CDS	SIMC1
chr5	4160	5726	+	ONT5.10247.6583	intron	SIMC1
chr5	5726	5880	+	ONT5.10247.6583	CDS	SIMC1
chr5	5880	5981	+	ONT5.10247.6583	intron	SIMC1
chr5	5981	6133	+	ONT5.10247.6583	CDS	SIMC1
chr5	6133	7012	+	ONT5.10247.6583	intron	SIMC1
chr5	7012	7140	+	ONT5.10247.6583	CDS	SIMC1
chr5	7140	7244	+	ONT5.10247.6583	intron	SIMC1
chr5	7244	7400	+	ONT5.10247.6583	CDS	SIMC1
chr5	7400	7501	+	ONT5.10247.6583	intron	SIMC1
chr5	7501	7585	+	ONT5.10247.6583	CDS	SIMC1
chr5	7585	7686	+	ONT5.10247.6583	intron	SIMC1
chr5	7686	7948	+	ONT5.10247.6583	CDS	SIMC1
chr5	7949	8492	+	ONT5.10247.6583	UTR	NA
chr5	16	139	+	ONT5.10247.6586	UTR	NA
chr5	140	163	+	ONT5.10247.6586	CDS	SIMC1
chr5	163	1468	+	ONT5.10247.6586	intron	SIMC1
chr5	1468	2769	+	ONT5.10247.6586	CDS	SIMC1
chr5	2769	2870	+	ONT5.10247.6586	intron	SIMC1
chr5	2870	3102	+	ONT5.10247.6586	CDS	SIMC1
chr5	3102	4091	+	ONT5.10247.6586	intron	SIMC1
chr5	4091	4160	+	ONT5.10247.6586	CDS	SIMC1
chr5	4160	5726	+	ONT5.10247.6586	intron	SIMC1
chr5	5726	5875	+	ONT5.10247.6586	CDS	SIMC1
chr5	5875	5981	+	ONT5.10247.6586	intron	SIMC1
chr5	5981	6016	+	ONT5.10247.6586	CDS	SIMC1
chr5	6017	6133	+	ONT5.10247.6586	UTR	NA
chr5	6133	7012	+	ONT5.10247.6586	intron	NA
chr5	7012	7140	+	ONT5.10247.6586	UTR	NA
chr5	7140	7244	+	ONT5.10247.6586	intron	NA
chr5	7244	7400	+	ONT5.10247.6586	UTR	NA
chr5	7400	7501	+	ONT5.10247.6586	intron	NA
chr5	7501	7585	+	ONT5.10247.6586	UTR	NA
chr5	7585	7686	+	ONT5.10247.6586	intron	NA
chr5	7686	8492	+	ONT5.10247.6586	UTR	NA
chr5	2	139	+	ONT5.10247.6587	UTR	NA
chr5	140	268	+	ONT5.10247.6587	CDS	SIMC1
chr5	268	1468	+	ONT5.10247.6587	intron	SIMC1
chr5	1468	2769	+	ONT5.10247.6587	CDS	SIMC1
chr5	2769	2870	+	ONT5.10247.6587	intron	SIMC1
chr5	2870	3102	+	ONT5.10247.6587	CDS	SIMC1
chr5	3102	4091	+	ONT5.10247.6587	intron	SIMC1
chr5	4091	4160	+	ONT5.10247.6587	CDS	SIMC1
chr5	4160	5726	+	ONT5.10247.6587	intron	SIMC1
chr5	5726	5880	+	ONT5.10247.6587	CDS	SIMC1
chr5	5880	7244	+	ONT5.10247.6587	intron	SIMC1
chr5	7244	7400	+	ONT5.10247.6587	CDS	SIMC1
chr5	7400	7505	+	ONT5.10247.6587	intron	SIMC1
chr5	7505	7582	+	ONT5.10247.6587	CDS	SIMC1
chr5	7583	7585	+	ONT5.10247.6587	UTR	NA
chr5	7585	7686	+	ONT5.10247.6587	intron	NA
chr5	7686	8492	+	ONT5.10247.6587	UTR	NA
chr5	3	139	+	ONT5.10247.6589	UTR	NA
chr5	140	268	+	ONT5.10247.6589	CDS	SIMC1
chr5	268	591	+	ONT5.10247.6589	intron	SIMC1
chr5	591	614	+	ONT5.10247.6589	CDS	SIMC1
chr5	615	1134	+	ONT5.10247.6589	UTR	NA
chr5	1134	1468	+	ONT5.10247.6589	intron	NA
chr5	1468	2769	+	ONT5.10247.6589	UTR	NA
chr5	2769	2870	+	ONT5.10247.6589	intron	NA
chr5	2870	3102	+	ONT5.10247.6589	UTR	NA
chr5	3102	4091	+	ONT5.10247.6589	intron	NA
chr5	4091	4160	+	ONT5.10247.6589	UTR	NA
chr5	4160	5726	+	ONT5.10247.6589	intron	NA
chr5	5726	5880	+	ONT5.10247.6589	UTR	NA
chr5	5880	5981	+	ONT5.10247.6589	intron	NA
chr5	5981	6133	+	ONT5.10247.6589	UTR	NA
chr5	6133	7012	+	ONT5.10247.6589	intron	NA
chr5	7012	7140	+	ONT5.10247.6589	UTR	NA
chr5	7140	7244	+	ONT5.10247.6589	intron	NA
chr5	7244	7400	+	ONT5.10247.6589	UTR	NA
chr5	7400	7501	+	ONT5.10247.6589	intron	NA
chr5	7501	7585	+	ONT5.10247.6589	UTR	NA
chr5	7585	7686	+	ONT5.10247.6589	intron	NA
chr5	7686	8492	+	ONT5.10247.6589	UTR	NA
chr5	8	139	+	ONT5.10247.6590	UTR	NA
chr5	140	268	+	ONT5.10247.6590	CDS	SIMC1
chr5	268	1237	+	ONT5.10247.6590	intron	SIMC1
chr5	1237	1278	+	ONT5.10247.6590	CDS	SIMC1
chr5	1279	1366	+	ONT5.10247.6590	UTR	NA
chr5	1366	1468	+	ONT5.10247.6590	intron	NA
chr5	1468	2769	+	ONT5.10247.6590	UTR	NA
chr5	2769	2870	+	ONT5.10247.6590	intron	NA
chr5	2870	3102	+	ONT5.10247.6590	UTR	NA
chr5	3102	4091	+	ONT5.10247.6590	intron	NA
chr5	4091	4160	+	ONT5.10247.6590	UTR	NA
chr5	4160	5726	+	ONT5.10247.6590	intron	NA
chr5	5726	5880	+	ONT5.10247.6590	UTR	NA
chr5	5880	5981	+	ONT5.10247.6590	intron	NA
chr5	5981	6133	+	ONT5.10247.6590	UTR	NA
chr5	6133	7012	+	ONT5.10247.6590	intron	NA
chr5	7012	7140	+	ONT5.10247.6590	UTR	NA
chr5	7140	7244	+	ONT5.10247.6590	intron	NA
chr5	7244	7400	+	ONT5.10247.6590	UTR	NA
chr5	7400	7501	+	ONT5.10247.6590	intron	NA
chr5	7501	7585	+	ONT5.10247.6590	UTR	NA
chr5	7585	7686	+	ONT5.10247.6590	intron	NA
chr5	7686	8492	+	ONT5.10247.6590	UTR	NA
chr5	4	92	+	ONT5.10247.6592	UTR	NA
chr5	92	1468	+	ONT5.10247.6592	intron	NA
chr5	1468	1662	+	ONT5.10247.6592	UTR	NA
chr5	1663	2769	+	ONT5.10247.6592	CDS	SIMC1
chr5	2769	2870	+	ONT5.10247.6592	intron	SIMC1
chr5	2870	3102	+	ONT5.10247.6592	CDS	SIMC1
chr5	3102	4091	+	ONT5.10247.6592	intron	SIMC1
chr5	4091	4160	+	ONT5.10247.6592	CDS	SIMC1
chr5	4160	5726	+	ONT5.10247.6592	intron	SIMC1
chr5	5726	5880	+	ONT5.10247.6592	CDS	SIMC1
chr5	5880	5981	+	ONT5.10247.6592	intron	SIMC1
chr5	5981	6133	+	ONT5.10247.6592	CDS	SIMC1
chr5	6133	7012	+	ONT5.10247.6592	intron	SIMC1
chr5	7012	7140	+	ONT5.10247.6592	CDS	SIMC1
chr5	7140	7244	+	ONT5.10247.6592	intron	SIMC1
chr5	7244	7400	+	ONT5.10247.6592	CDS	SIMC1
chr5	7400	7501	+	ONT5.10247.6592	intron	SIMC1
chr5	7501	7585	+	ONT5.10247.6592	CDS	SIMC1
chr5	7585	7686	+	ONT5.10247.6592	intron	SIMC1
chr5	7686	7948	+	ONT5.10247.6592	CDS	SIMC1
chr5	7949	8492	+	ONT5.10247.6592	UTR	NA
chr5	16	139	+	ONT5.10247.6596	UTR	NA
chr5	140	154	+	ONT5.10247.6596	CDS	SIMC1
chr5	154	1468	+	ONT5.10247.6596	intron	SIMC1
chr5	1468	2769	+	ONT5.10247.6596	CDS	SIMC1
chr5	2769	2870	+	ONT5.10247.6596	intron	SIMC1
chr5	2870	3102	+	ONT5.10247.6596	CDS	SIMC1
chr5	3102	4091	+	ONT5.10247.6596	intron	SIMC1
chr5	4091	4160	+	ONT5.10247.6596	CDS	SIMC1
chr5	4160	5726	+	ONT5.10247.6596	intron	SIMC1
chr5	5726	5880	+	ONT5.10247.6596	CDS	SIMC1
chr5	5880	5981	+	ONT5.10247.6596	intron	SIMC1
chr5	5981	6133	+	ONT5.10247.6596	CDS	SIMC1
chr5	6133	7012	+	ONT5.10247.6596	intron	SIMC1
chr5	7012	7140	+	ONT5.10247.6596	CDS	SIMC1
chr5	7140	7244	+	ONT5.10247.6596	intron	SIMC1
chr5	7244	7400	+	ONT5.10247.6596	CDS	SIMC1
chr5	7400	7501	+	ONT5.10247.6596	intron	SIMC1
chr5	7501	7585	+	ONT5.10247.6596	CDS	SIMC1
chr5	7585	7686	+	ONT5.10247.6596	intron	SIMC1
chr5	7686	7948	+	ONT5.10247.6596	CDS	SIMC1
chr5	7949	8492	+	ONT5.10247.6596	UTR	NA
chr5	43	116	+	ONT5.10247.6597	UTR	NA
chr5	116	1468	+	ONT5.10247.6597	intron	NA
chr5	1468	1662	+	ONT5.10247.6597	UTR	NA
chr5	1663	2769	+	ONT5.10247.6597	CDS	SIMC1
chr5	2769	2870	+	ONT5.10247.6597	intron	SIMC1
chr5	2870	3102	+	ONT5.10247.6597	CDS	SIMC1
chr5	3102	4091	+	ONT5.10247.6597	intron	SIMC1
chr5	4091	4160	+	ONT5.10247.6597	CDS	SIMC1
chr5	4160	5726	+	ONT5.10247.6597	intron	SIMC1
chr5	5726	5880	+	ONT5.10247.6597	CDS	SIMC1
chr5	5880	5981	+	ONT5.10247.6597	intron	SIMC1
chr5	5981	6133	+	ONT5.10247.6597	CDS	SIMC1
chr5	6133	7012	+	ONT5.10247.6597	intron	SIMC1
chr5	7012	7140	+	ONT5.10247.6597	CDS	SIMC1
chr5	7140	7244	+	ONT5.10247.6597	intron	SIMC1
chr5	7244	7400	+	ONT5.10247.6597	CDS	SIMC1
chr5	7400	7501	+	ONT5.10247.6597	intron	SIMC1
