seqnames	start	end	strand	transcript_id	type	gene_id
chr15	2	2204	-	ENST00000309731.12	UTR	NA
chr15	2205	2208	-	ENST00000309731.12	CDS	ENSG00000175318.12
chr15	2208	2309	-	ENST00000309731.12	intron	ENSG00000175318.12
chr15	2309	2413	-	ENST00000309731.12	CDS	ENSG00000175318.12
chr15	2413	2514	-	ENST00000309731.12	intron	ENSG00000175318.12
chr15	2514	2724	-	ENST00000309731.12	CDS	ENSG00000175318.12
chr15	2724	2861	-	ENST00000309731.12	intron	ENSG00000175318.12
chr15	2861	3005	-	ENST00000309731.12	CDS	ENSG00000175318.12
chr15	3005	3562	-	ENST00000309731.12	intron	ENSG00000175318.12
chr15	3562	3618	-	ENST00000309731.12	CDS	ENSG00000175318.12
chr15	3618	3719	-	ENST00000309731.12	intron	ENSG00000175318.12
chr15	3719	3790	-	ENST00000309731.12	CDS	ENSG00000175318.12
chr15	3790	3891	-	ENST00000309731.12	intron	ENSG00000175318.12
chr15	3891	3989	-	ENST00000309731.12	CDS	ENSG00000175318.12
chr15	3989	4090	-	ENST00000309731.12	intron	ENSG00000175318.12
chr15	4090	4193	-	ENST00000309731.12	CDS	ENSG00000175318.12
chr15	4193	4294	-	ENST00000309731.12	intron	ENSG00000175318.12
chr15	4294	4369	-	ENST00000309731.12	CDS	ENSG00000175318.12
chr15	4369	4470	-	ENST00000309731.12	intron	ENSG00000175318.12
chr15	4470	4527	-	ENST00000309731.12	CDS	ENSG00000175318.12
chr15	4527	4628	-	ENST00000309731.12	intron	ENSG00000175318.12
chr15	4628	4720	-	ENST00000309731.12	CDS	ENSG00000175318.12
chr15	4720	4821	-	ENST00000309731.12	intron	ENSG00000175318.12
chr15	4821	4864	-	ENST00000309731.12	CDS	ENSG00000175318.12
chr15	4865	4877	-	ENST00000309731.12	UTR	NA
chr15	11	2207	-	ONT15.1797.8020	UTR	NA
chr15	2208	2208	-	ONT15.1797.8020	CDS	GRAMD2A
chr15	2208	2309	-	ONT15.1797.8020	intron	GRAMD2A
chr15	2309	2413	-	ONT15.1797.8020	CDS	GRAMD2A
chr15	2413	2514	-	ONT15.1797.8020	intron	GRAMD2A
chr15	2514	2724	-	ONT15.1797.8020	CDS	GRAMD2A
chr15	2724	2861	-	ONT15.1797.8020	intron	GRAMD2A
chr15	2861	2990	-	ONT15.1797.8020	CDS	GRAMD2A
chr15	2991	3115	-	ONT15.1797.8020	UTR	NA
chr15	4	2207	-	ONT15.1797.8022	UTR	NA
chr15	2208	2208	-	ONT15.1797.8022	CDS	GRAMD2A
chr15	2208	2309	-	ONT15.1797.8022	intron	GRAMD2A
chr15	2309	2413	-	ONT15.1797.8022	CDS	GRAMD2A
chr15	2413	2514	-	ONT15.1797.8022	intron	GRAMD2A
chr15	2514	2724	-	ONT15.1797.8022	CDS	GRAMD2A
chr15	2724	2861	-	ONT15.1797.8022	intron	GRAMD2A
chr15	2861	2990	-	ONT15.1797.8022	CDS	GRAMD2A
chr15	2991	3005	-	ONT15.1797.8022	UTR	NA
chr15	3005	3106	-	ONT15.1797.8022	intron	NA
chr15	3106	3146	-	ONT15.1797.8022	UTR	NA
chr15	2	2207	-	ONT15.1797.8024	UTR	NA
chr15	2208	2208	-	ONT15.1797.8024	CDS	GRAMD2A
chr15	2208	2309	-	ONT15.1797.8024	intron	GRAMD2A
chr15	2309	2413	-	ONT15.1797.8024	CDS	GRAMD2A
chr15	2413	2514	-	ONT15.1797.8024	intron	GRAMD2A
chr15	2514	2674	-	ONT15.1797.8024	CDS	GRAMD2A
chr15	2675	2930	-	ONT15.1797.8024	UTR	NA
chr15	2	2207	-	ONT15.1797.8030	UTR	NA
chr15	2208	2208	-	ONT15.1797.8030	CDS	GRAMD2A
chr15	2208	2309	-	ONT15.1797.8030	intron	GRAMD2A
chr15	2309	2413	-	ONT15.1797.8030	CDS	GRAMD2A
chr15	2413	2514	-	ONT15.1797.8030	intron	GRAMD2A
chr15	2514	2674	-	ONT15.1797.8030	CDS	GRAMD2A
chr15	2675	3061	-	ONT15.1797.8030	UTR	NA
chr15	2	2207	-	ONT15.1797.8034	UTR	NA
chr15	2208	2208	-	ONT15.1797.8034	CDS	GRAMD2A
chr15	2208	2309	-	ONT15.1797.8034	intron	GRAMD2A
chr15	2309	2413	-	ONT15.1797.8034	CDS	GRAMD2A
chr15	2413	2514	-	ONT15.1797.8034	intron	GRAMD2A
chr15	2514	2724	-	ONT15.1797.8034	CDS	GRAMD2A
chr15	2724	2861	-	ONT15.1797.8034	intron	GRAMD2A
chr15	2861	3005	-	ONT15.1797.8034	CDS	GRAMD2A
chr15	3005	3562	-	ONT15.1797.8034	intron	GRAMD2A
chr15	3562	3618	-	ONT15.1797.8034	CDS	GRAMD2A
chr15	3618	3719	-	ONT15.1797.8034	intron	GRAMD2A
chr15	3719	3790	-	ONT15.1797.8034	CDS	GRAMD2A
chr15	3790	3891	-	ONT15.1797.8034	intron	GRAMD2A
chr15	3891	3989	-	ONT15.1797.8034	CDS	GRAMD2A
chr15	3989	4090	-	ONT15.1797.8034	intron	GRAMD2A
chr15	4090	4193	-	ONT15.1797.8034	CDS	GRAMD2A
chr15	4193	4294	-	ONT15.1797.8034	intron	GRAMD2A
chr15	4294	4369	-	ONT15.1797.8034	CDS	GRAMD2A
chr15	4369	4470	-	ONT15.1797.8034	intron	GRAMD2A
chr15	4470	4527	-	ONT15.1797.8034	CDS	GRAMD2A
chr15	4527	4628	-	ONT15.1797.8034	intron	GRAMD2A
chr15	4628	4720	-	ONT15.1797.8034	CDS	GRAMD2A
chr15	4720	4821	-	ONT15.1797.8034	intron	GRAMD2A
chr15	4821	4864	-	ONT15.1797.8034	CDS	GRAMD2A
chr15	4865	4903	-	ONT15.1797.8034	UTR	NA
chr15	2	2207	-	ONT15.1797.8039	UTR	NA
chr15	2208	2208	-	ONT15.1797.8039	CDS	GRAMD2A
chr15	2208	2309	-	ONT15.1797.8039	intron	GRAMD2A
chr15	2309	2413	-	ONT15.1797.8039	CDS	GRAMD2A
chr15	2413	2514	-	ONT15.1797.8039	intron	GRAMD2A
chr15	2514	2724	-	ONT15.1797.8039	CDS	GRAMD2A
chr15	2724	2861	-	ONT15.1797.8039	intron	GRAMD2A
chr15	2861	2870	-	ONT15.1797.8039	CDS	GRAMD2A
chr15	2871	2926	-	ONT15.1797.8039	UTR	NA
chr15	4	2207	-	ONT15.1797.8046	UTR	NA
chr15	2208	2208	-	ONT15.1797.8046	CDS	GRAMD2A
chr15	2208	2309	-	ONT15.1797.8046	intron	GRAMD2A
chr15	2309	2413	-	ONT15.1797.8046	CDS	GRAMD2A
chr15	2413	2514	-	ONT15.1797.8046	intron	GRAMD2A
