seqnames	start	end	strand	transcript_id	type	gene_id
chr7	32	331	+	ENST00000199448.9	UTR	NA
chr7	332	600	+	ENST00000199448.9	CDS	ENSG00000086289.12
chr7	600	946	+	ENST00000199448.9	intron	ENSG00000086289.12
chr7	946	1154	+	ENST00000199448.9	CDS	ENSG00000086289.12
chr7	1154	2306	+	ENST00000199448.9	intron	ENSG00000086289.12
chr7	2306	2505	+	ENST00000199448.9	CDS	ENSG00000086289.12
chr7	2506	4042	+	ENST00000199448.9	UTR	NA
chr7	19	331	+	ONT7.1411.369	UTR	NA
chr7	332	600	+	ONT7.1411.369	CDS	EPDR1
chr7	600	2306	+	ONT7.1411.369	intron	EPDR1
chr7	2306	2309	+	ONT7.1411.369	CDS	EPDR1
chr7	2310	4042	+	ONT7.1411.369	UTR	NA
chr7	36	331	+	ONT7.1411.370	UTR	NA
chr7	332	600	+	ONT7.1411.370	CDS	EPDR1
chr7	600	946	+	ONT7.1411.370	intron	EPDR1
chr7	946	1154	+	ONT7.1411.370	CDS	EPDR1
chr7	1154	2306	+	ONT7.1411.370	intron	EPDR1
chr7	2306	2502	+	ONT7.1411.370	CDS	EPDR1
chr7	2503	4042	+	ONT7.1411.370	UTR	NA
chr7	70	331	+	ONT7.1411.374	UTR	NA
chr7	332	600	+	ONT7.1411.374	CDS	EPDR1
chr7	600	946	+	ONT7.1411.374	intron	EPDR1
chr7	946	1154	+	ONT7.1411.374	CDS	EPDR1
chr7	1154	2306	+	ONT7.1411.374	intron	EPDR1
chr7	2306	2502	+	ONT7.1411.374	CDS	EPDR1
chr7	2503	2909	+	ONT7.1411.374	UTR	NA
chr7	19	331	+	ONT7.1411.375	UTR	NA
chr7	332	600	+	ONT7.1411.375	CDS	EPDR1
chr7	600	946	+	ONT7.1411.375	intron	EPDR1
chr7	946	1154	+	ONT7.1411.375	CDS	EPDR1
chr7	1154	2306	+	ONT7.1411.375	intron	EPDR1
chr7	2306	2502	+	ONT7.1411.375	CDS	EPDR1
chr7	2503	3793	+	ONT7.1411.375	UTR	NA
chr7	5	331	+	ONT7.1411.376	UTR	NA
chr7	332	600	+	ONT7.1411.376	CDS	EPDR1
chr7	600	946	+	ONT7.1411.376	intron	EPDR1
chr7	946	1154	+	ONT7.1411.376	CDS	EPDR1
chr7	1154	2306	+	ONT7.1411.376	intron	EPDR1
chr7	2306	2502	+	ONT7.1411.376	CDS	EPDR1
chr7	2503	3118	+	ONT7.1411.376	UTR	NA
chr7	32	331	+	ONT7.1411.377	UTR	NA
chr7	332	600	+	ONT7.1411.377	CDS	EPDR1
chr7	600	946	+	ONT7.1411.377	intron	EPDR1
chr7	946	1144	+	ONT7.1411.377	CDS	EPDR1
chr7	1144	2306	+	ONT7.1411.377	intron	EPDR1
chr7	2306	2371	+	ONT7.1411.377	CDS	EPDR1
chr7	2372	4047	+	ONT7.1411.377	UTR	NA
chr7	2	331	+	ONT7.1411.378	UTR	NA
chr7	332	600	+	ONT7.1411.378	CDS	EPDR1
chr7	600	946	+	ONT7.1411.378	intron	EPDR1
chr7	946	1154	+	ONT7.1411.378	CDS	EPDR1
chr7	1154	2306	+	ONT7.1411.378	intron	EPDR1
chr7	2306	2502	+	ONT7.1411.378	CDS	EPDR1
chr7	2503	2937	+	ONT7.1411.378	UTR	NA
chr7	2937	3011	+	ONT7.1411.378	intron	NA
chr7	3011	4042	+	ONT7.1411.378	UTR	NA
chr7	5	331	+	ONT7.1411.381	UTR	NA
chr7	332	600	+	ONT7.1411.381	CDS	EPDR1
chr7	600	2306	+	ONT7.1411.381	intron	EPDR1
chr7	2306	2309	+	ONT7.1411.381	CDS	EPDR1
chr7	2310	3933	+	ONT7.1411.381	UTR	NA
chr7	11	201	+	ONT7.1411.386	UTR	NA
chr7	201	488	+	ONT7.1411.386	intron	NA
chr7	488	490	+	ONT7.1411.386	UTR	NA
chr7	491	600	+	ONT7.1411.386	CDS	EPDR1
chr7	600	946	+	ONT7.1411.386	intron	EPDR1
chr7	946	1154	+	ONT7.1411.386	CDS	EPDR1
chr7	1154	2306	+	ONT7.1411.386	intron	EPDR1
chr7	2306	2502	+	ONT7.1411.386	CDS	EPDR1
chr7	2503	4030	+	ONT7.1411.386	UTR	NA
chr7	66	331	+	ONT7.1411.387	UTR	NA
chr7	332	600	+	ONT7.1411.387	CDS	EPDR1
chr7	600	2306	+	ONT7.1411.387	intron	EPDR1
chr7	2306	2309	+	ONT7.1411.387	CDS	EPDR1
chr7	2310	2679	+	ONT7.1411.387	UTR	NA
chr7	19	331	+	ONT7.1411.392	UTR	NA
chr7	332	600	+	ONT7.1411.392	CDS	EPDR1
chr7	600	946	+	ONT7.1411.392	intron	EPDR1
chr7	946	1083	+	ONT7.1411.392	CDS	EPDR1
chr7	1083	2577	+	ONT7.1411.392	intron	EPDR1
chr7	2577	2610	+	ONT7.1411.392	CDS	EPDR1
chr7	2611	4042	+	ONT7.1411.392	UTR	NA
chr7	32	206	+	ONT7.1411.403	UTR	NA
chr7	206	946	+	ONT7.1411.403	intron	NA
chr7	946	982	+	ONT7.1411.403	UTR	NA
chr7	983	1154	+	ONT7.1411.403	CDS	EPDR1
chr7	1154	2306	+	ONT7.1411.403	intron	EPDR1
chr7	2306	2502	+	ONT7.1411.403	CDS	EPDR1
chr7	2503	4036	+	ONT7.1411.403	UTR	NA
chr7	59	331	+	ONT7.1411.409	UTR	NA
chr7	332	600	+	ONT7.1411.409	CDS	EPDR1
chr7	600	4148	+	ONT7.1411.409	intron	EPDR1
chr7	4148	4331	+	ONT7.1411.409	CDS	EPDR1
chr7	4332	4850	+	ONT7.1411.409	UTR	NA
chr7	32	331	+	ONT7.1411.412	UTR	NA
