seqnames	start	end	strand	transcript_id	type	gene_id
chr15	2	116	+	ENST00000249776.13	UTR	NA
chr15	117	325	+	ENST00000249776.13	CDS	ENSG00000128944.14
chr15	325	509	+	ENST00000249776.13	intron	ENSG00000128944.14
chr15	509	603	+	ENST00000249776.13	CDS	ENSG00000128944.14
chr15	603	776	+	ENST00000249776.13	intron	ENSG00000128944.14
chr15	776	908	+	ENST00000249776.13	CDS	ENSG00000128944.14
chr15	908	1573	+	ENST00000249776.13	intron	ENSG00000128944.14
chr15	1573	1620	+	ENST00000249776.13	CDS	ENSG00000128944.14
chr15	1620	2061	+	ENST00000249776.13	intron	ENSG00000128944.14
chr15	2061	2166	+	ENST00000249776.13	CDS	ENSG00000128944.14
chr15	2166	2391	+	ENST00000249776.13	intron	ENSG00000128944.14
chr15	2391	2484	+	ENST00000249776.13	CDS	ENSG00000128944.14
chr15	2484	2628	+	ENST00000249776.13	intron	ENSG00000128944.14
chr15	2628	2689	+	ENST00000249776.13	CDS	ENSG00000128944.14
chr15	2689	2802	+	ENST00000249776.13	intron	ENSG00000128944.14
chr15	2802	2876	+	ENST00000249776.13	CDS	ENSG00000128944.14
chr15	2876	3253	+	ENST00000249776.13	intron	ENSG00000128944.14
chr15	3253	3384	+	ENST00000249776.13	CDS	ENSG00000128944.14
chr15	3385	4072	+	ENST00000249776.13	UTR	NA
chr15	225	325	+	ONT15.936.4621	UTR	NA
chr15	325	509	+	ONT15.936.4621	intron	NA
chr15	509	533	+	ONT15.936.4621	UTR	NA
chr15	534	603	+	ONT15.936.4621	CDS	KNSTRN
chr15	603	776	+	ONT15.936.4621	intron	KNSTRN
chr15	776	908	+	ONT15.936.4621	CDS	KNSTRN
chr15	908	1573	+	ONT15.936.4621	intron	KNSTRN
chr15	1573	1620	+	ONT15.936.4621	CDS	KNSTRN
chr15	1620	2061	+	ONT15.936.4621	intron	KNSTRN
chr15	2061	2166	+	ONT15.936.4621	CDS	KNSTRN
chr15	2166	2391	+	ONT15.936.4621	intron	KNSTRN
chr15	2391	2484	+	ONT15.936.4621	CDS	KNSTRN
chr15	2484	2628	+	ONT15.936.4621	intron	KNSTRN
chr15	2628	2689	+	ONT15.936.4621	CDS	KNSTRN
chr15	2689	2802	+	ONT15.936.4621	intron	KNSTRN
chr15	2802	2876	+	ONT15.936.4621	CDS	KNSTRN
chr15	2876	3253	+	ONT15.936.4621	intron	KNSTRN
chr15	3253	3381	+	ONT15.936.4621	CDS	KNSTRN
chr15	3382	4072	+	ONT15.936.4621	UTR	NA
chr15	203	308	+	ONT15.936.4623	UTR	NA
chr15	308	776	+	ONT15.936.4623	intron	NA
chr15	776	908	+	ONT15.936.4623	UTR	NA
chr15	908	1573	+	ONT15.936.4623	intron	NA
chr15	1573	1576	+	ONT15.936.4623	UTR	NA
chr15	1577	1620	+	ONT15.936.4623	CDS	KNSTRN
chr15	1620	2061	+	ONT15.936.4623	intron	KNSTRN
chr15	2061	2166	+	ONT15.936.4623	CDS	KNSTRN
chr15	2166	2391	+	ONT15.936.4623	intron	KNSTRN
chr15	2391	2484	+	ONT15.936.4623	CDS	KNSTRN
chr15	2484	2628	+	ONT15.936.4623	intron	KNSTRN
chr15	2628	2689	+	ONT15.936.4623	CDS	KNSTRN
chr15	2689	2802	+	ONT15.936.4623	intron	KNSTRN
chr15	2802	2876	+	ONT15.936.4623	CDS	KNSTRN
chr15	2876	3253	+	ONT15.936.4623	intron	KNSTRN
chr15	3253	3381	+	ONT15.936.4623	CDS	KNSTRN
chr15	3382	4026	+	ONT15.936.4623	UTR	NA
chr15	222	325	+	ONT15.936.4624	UTR	NA
chr15	325	509	+	ONT15.936.4624	intron	NA
chr15	509	533	+	ONT15.936.4624	UTR	NA
chr15	534	603	+	ONT15.936.4624	CDS	KNSTRN
chr15	603	776	+	ONT15.936.4624	intron	KNSTRN
chr15	776	908	+	ONT15.936.4624	CDS	KNSTRN
chr15	908	1573	+	ONT15.936.4624	intron	KNSTRN
chr15	1573	1620	+	ONT15.936.4624	CDS	KNSTRN
chr15	1620	2061	+	ONT15.936.4624	intron	KNSTRN
chr15	2061	2166	+	ONT15.936.4624	CDS	KNSTRN
chr15	2166	2391	+	ONT15.936.4624	intron	KNSTRN
chr15	2391	2484	+	ONT15.936.4624	CDS	KNSTRN
chr15	2484	2802	+	ONT15.936.4624	intron	KNSTRN
chr15	2802	2842	+	ONT15.936.4624	CDS	KNSTRN
chr15	2843	2876	+	ONT15.936.4624	UTR	NA
chr15	2876	3253	+	ONT15.936.4624	intron	NA
chr15	3253	4027	+	ONT15.936.4624	UTR	NA
chr15	274	325	+	ONT15.936.4625	UTR	NA
chr15	325	509	+	ONT15.936.4625	intron	NA
chr15	509	533	+	ONT15.936.4625	UTR	NA
chr15	534	603	+	ONT15.936.4625	CDS	KNSTRN
chr15	603	776	+	ONT15.936.4625	intron	KNSTRN
chr15	776	908	+	ONT15.936.4625	CDS	KNSTRN
chr15	908	1573	+	ONT15.936.4625	intron	KNSTRN
chr15	1573	1620	+	ONT15.936.4625	CDS	KNSTRN
chr15	1620	2061	+	ONT15.936.4625	intron	KNSTRN
chr15	2061	2166	+	ONT15.936.4625	CDS	KNSTRN
chr15	2166	2391	+	ONT15.936.4625	intron	KNSTRN
chr15	2391	2484	+	ONT15.936.4625	CDS	KNSTRN
chr15	2484	2628	+	ONT15.936.4625	intron	KNSTRN
chr15	2628	2689	+	ONT15.936.4625	CDS	KNSTRN
chr15	2689	2802	+	ONT15.936.4625	intron	KNSTRN
chr15	2802	2876	+	ONT15.936.4625	CDS	KNSTRN
chr15	2876	3253	+	ONT15.936.4625	intron	KNSTRN
chr15	3253	3381	+	ONT15.936.4625	CDS	KNSTRN
chr15	3382	4072	+	ONT15.936.4625	UTR	NA
chr15	221	325	+	ONT15.936.4626	UTR	NA
chr15	325	509	+	ONT15.936.4626	intron	NA
