seqnames	start	end	strand	transcript_id	type	gene_id
chr19	2	879	-	ENST00000344175.10	UTR	NA
chr19	880	1023	-	ENST00000344175.10	CDS	ENSG00000204673.11
chr19	1023	2510	-	ENST00000344175.10	intron	ENSG00000204673.11
chr19	2510	2679	-	ENST00000344175.10	CDS	ENSG00000204673.11
chr19	2679	2775	-	ENST00000344175.10	intron	ENSG00000204673.11
chr19	2775	2852	-	ENST00000344175.10	CDS	ENSG00000204673.11
chr19	2852	2955	-	ENST00000344175.10	intron	ENSG00000204673.11
chr19	2955	3336	-	ENST00000344175.10	CDS	ENSG00000204673.11
chr19	3337	3340	-	ENST00000344175.10	UTR	NA
chr19	3340	5053	-	ENST00000344175.10	intron	NA
chr19	5053	5171	-	ENST00000344175.10	UTR	NA
chr19	2	882	-	ONT19.575.94074	UTR	NA
chr19	883	1023	-	ONT19.575.94074	CDS	AKT1S1
chr19	1023	2510	-	ONT19.575.94074	intron	AKT1S1
chr19	2510	2679	-	ONT19.575.94074	CDS	AKT1S1
chr19	2679	2771	-	ONT19.575.94074	intron	AKT1S1
chr19	2771	2840	-	ONT19.575.94074	CDS	AKT1S1
chr19	2841	2852	-	ONT19.575.94074	UTR	NA
chr19	2852	2955	-	ONT19.575.94074	intron	NA
chr19	2955	3320	-	ONT19.575.94074	UTR	NA
chr19	14	882	-	ONT19.575.94075	UTR	NA
chr19	883	1023	-	ONT19.575.94075	CDS	AKT1S1
chr19	1023	2510	-	ONT19.575.94075	intron	AKT1S1
chr19	2510	2679	-	ONT19.575.94075	CDS	AKT1S1
chr19	2679	2775	-	ONT19.575.94075	intron	AKT1S1
chr19	2775	2852	-	ONT19.575.94075	CDS	AKT1S1
chr19	2852	2955	-	ONT19.575.94075	intron	AKT1S1
chr19	2955	3336	-	ONT19.575.94075	CDS	AKT1S1
chr19	3337	3340	-	ONT19.575.94075	UTR	NA
chr19	3340	4841	-	ONT19.575.94075	intron	NA
chr19	4841	5159	-	ONT19.575.94075	UTR	NA
chr19	2	882	-	ONT19.575.94077	UTR	NA
chr19	883	1023	-	ONT19.575.94077	CDS	AKT1S1
chr19	1023	2510	-	ONT19.575.94077	intron	AKT1S1
chr19	2510	2679	-	ONT19.575.94077	CDS	AKT1S1
chr19	2679	2775	-	ONT19.575.94077	intron	AKT1S1
chr19	2775	2844	-	ONT19.575.94077	CDS	AKT1S1
chr19	2845	2852	-	ONT19.575.94077	UTR	NA
chr19	2852	2955	-	ONT19.575.94077	intron	NA
chr19	2955	3250	-	ONT19.575.94077	UTR	NA
chr19	2	882	-	ONT19.575.94078	UTR	NA
chr19	883	1023	-	ONT19.575.94078	CDS	AKT1S1
chr19	1023	2510	-	ONT19.575.94078	intron	AKT1S1
chr19	2510	2679	-	ONT19.575.94078	CDS	AKT1S1
chr19	2679	2775	-	ONT19.575.94078	intron	AKT1S1
chr19	2775	2852	-	ONT19.575.94078	CDS	AKT1S1
chr19	2852	2955	-	ONT19.575.94078	intron	AKT1S1
chr19	2955	3340	-	ONT19.575.94078	CDS	AKT1S1
chr19	3340	4419	-	ONT19.575.94078	intron	AKT1S1
chr19	4419	4438	-	ONT19.575.94078	CDS	AKT1S1
chr19	22	882	-	ONT19.575.94079	UTR	NA
chr19	883	990	-	ONT19.575.94079	CDS	AKT1S1
chr19	991	1023	-	ONT19.575.94079	UTR	NA
chr19	1023	2510	-	ONT19.575.94079	intron	NA
chr19	2510	2680	-	ONT19.575.94079	UTR	NA
chr19	2	882	-	ONT19.575.94080	UTR	NA
chr19	883	1023	-	ONT19.575.94080	CDS	AKT1S1
chr19	1023	2510	-	ONT19.575.94080	intron	AKT1S1
chr19	2510	2679	-	ONT19.575.94080	CDS	AKT1S1
chr19	2679	2775	-	ONT19.575.94080	intron	AKT1S1
chr19	2775	2852	-	ONT19.575.94080	CDS	AKT1S1
chr19	2852	2955	-	ONT19.575.94080	intron	AKT1S1
chr19	2955	3336	-	ONT19.575.94080	CDS	AKT1S1
chr19	3337	3340	-	ONT19.575.94080	UTR	NA
chr19	3340	5053	-	ONT19.575.94080	intron	NA
chr19	5053	5201	-	ONT19.575.94080	UTR	NA
chr19	8	882	-	ONT19.575.94082	UTR	NA
chr19	883	1023	-	ONT19.575.94082	CDS	AKT1S1
chr19	1023	2510	-	ONT19.575.94082	intron	AKT1S1
chr19	2510	2679	-	ONT19.575.94082	CDS	AKT1S1
chr19	2679	2775	-	ONT19.575.94082	intron	AKT1S1
chr19	2775	2852	-	ONT19.575.94082	CDS	AKT1S1
chr19	2852	2955	-	ONT19.575.94082	intron	AKT1S1
chr19	2955	3336	-	ONT19.575.94082	CDS	AKT1S1
chr19	3337	3340	-	ONT19.575.94082	UTR	NA
chr19	3340	5053	-	ONT19.575.94082	intron	NA
chr19	5053	5299	-	ONT19.575.94082	UTR	NA
chr19	8	882	-	ONT19.575.94086	UTR	NA
chr19	883	1023	-	ONT19.575.94086	CDS	AKT1S1
chr19	1023	2510	-	ONT19.575.94086	intron	AKT1S1
chr19	2510	2679	-	ONT19.575.94086	CDS	AKT1S1
chr19	2679	2775	-	ONT19.575.94086	intron	AKT1S1
chr19	2775	2852	-	ONT19.575.94086	CDS	AKT1S1
chr19	2852	2955	-	ONT19.575.94086	intron	AKT1S1
chr19	2955	3340	-	ONT19.575.94086	CDS	AKT1S1
chr19	3340	4419	-	ONT19.575.94086	intron	AKT1S1
chr19	4419	4474	-	ONT19.575.94086	CDS	AKT1S1
chr19	4475	5210	-	ONT19.575.94086	UTR	NA
chr19	2	882	-	ONT19.575.94088	UTR	NA
chr19	883	1023	-	ONT19.575.94088	CDS	AKT1S1
