seqnames	start	end	strand	transcript_id	type	gene_id
chr2	65	83	+	ENST00000314761.9	UTR	NA
chr2	84	169	+	ENST00000314761.9	CDS	ENSG00000115368.10
chr2	169	488	+	ENST00000314761.9	intron	ENSG00000115368.10
chr2	488	617	+	ENST00000314761.9	CDS	ENSG00000115368.10
chr2	617	720	+	ENST00000314761.9	intron	ENSG00000115368.10
chr2	720	785	+	ENST00000314761.9	CDS	ENSG00000115368.10
chr2	785	919	+	ENST00000314761.9	intron	ENSG00000115368.10
chr2	919	1009	+	ENST00000314761.9	CDS	ENSG00000115368.10
chr2	1009	2372	+	ENST00000314761.9	intron	ENSG00000115368.10
chr2	2372	2496	+	ENST00000314761.9	CDS	ENSG00000115368.10
chr2	2496	4363	+	ENST00000314761.9	intron	ENSG00000115368.10
chr2	4363	4433	+	ENST00000314761.9	CDS	ENSG00000115368.10
chr2	4433	5092	+	ENST00000314761.9	intron	ENSG00000115368.10
chr2	5092	5211	+	ENST00000314761.9	CDS	ENSG00000115368.10
chr2	5211	5313	+	ENST00000314761.9	intron	ENSG00000115368.10
chr2	5313	5401	+	ENST00000314761.9	CDS	ENSG00000115368.10
chr2	5401	5522	+	ENST00000314761.9	intron	ENSG00000115368.10
chr2	5522	5680	+	ENST00000314761.9	CDS	ENSG00000115368.10
chr2	5680	5840	+	ENST00000314761.9	intron	ENSG00000115368.10
chr2	5840	5899	+	ENST00000314761.9	CDS	ENSG00000115368.10
chr2	5899	5992	+	ENST00000314761.9	intron	ENSG00000115368.10
chr2	5992	6107	+	ENST00000314761.9	CDS	ENSG00000115368.10
chr2	6107	7225	+	ENST00000314761.9	intron	ENSG00000115368.10
chr2	7225	7400	+	ENST00000314761.9	CDS	ENSG00000115368.10
chr2	7400	8571	+	ENST00000314761.9	intron	ENSG00000115368.10
chr2	8571	8728	+	ENST00000314761.9	CDS	ENSG00000115368.10
chr2	8728	8829	+	ENST00000314761.9	intron	ENSG00000115368.10
chr2	8829	9009	+	ENST00000314761.9	CDS	ENSG00000115368.10
chr2	9009	9116	+	ENST00000314761.9	intron	ENSG00000115368.10
chr2	9116	9210	+	ENST00000314761.9	CDS	ENSG00000115368.10
chr2	9210	9985	+	ENST00000314761.9	intron	ENSG00000115368.10
chr2	9985	10080	+	ENST00000314761.9	CDS	ENSG00000115368.10
chr2	10080	10717	+	ENST00000314761.9	intron	ENSG00000115368.10
chr2	10717	10886	+	ENST00000314761.9	CDS	ENSG00000115368.10
chr2	10886	10987	+	ENST00000314761.9	intron	ENSG00000115368.10
chr2	10987	11046	+	ENST00000314761.9	CDS	ENSG00000115368.10
chr2	11046	11195	+	ENST00000314761.9	intron	ENSG00000115368.10
chr2	11195	11341	+	ENST00000314761.9	CDS	ENSG00000115368.10
chr2	11341	11572	+	ENST00000314761.9	intron	ENSG00000115368.10
chr2	11572	11663	+	ENST00000314761.9	CDS	ENSG00000115368.10
chr2	11663	12068	+	ENST00000314761.9	intron	ENSG00000115368.10
chr2	12068	12275	+	ENST00000314761.9	CDS	ENSG00000115368.10
chr2	12276	12407	+	ENST00000314761.9	UTR	NA
chr2	2232	2496	+	ONT2.10905.1038	UTR	NA
chr2	2496	4363	+	ONT2.10905.1038	intron	NA
chr2	4363	4433	+	ONT2.10905.1038	UTR	NA
chr2	4433	5092	+	ONT2.10905.1038	intron	NA
chr2	5092	5188	+	ONT2.10905.1038	UTR	NA
chr2	5189	5211	+	ONT2.10905.1038	CDS	WDR75
chr2	5211	5313	+	ONT2.10905.1038	intron	WDR75
chr2	5313	5401	+	ONT2.10905.1038	CDS	WDR75
chr2	5401	5522	+	ONT2.10905.1038	intron	WDR75
chr2	5522	5680	+	ONT2.10905.1038	CDS	WDR75
chr2	5680	5840	+	ONT2.10905.1038	intron	WDR75
chr2	5840	5899	+	ONT2.10905.1038	CDS	WDR75
chr2	5899	5992	+	ONT2.10905.1038	intron	WDR75
chr2	5992	6107	+	ONT2.10905.1038	CDS	WDR75
chr2	6107	7225	+	ONT2.10905.1038	intron	WDR75
chr2	7225	7400	+	ONT2.10905.1038	CDS	WDR75
chr2	7400	8571	+	ONT2.10905.1038	intron	WDR75
chr2	8571	8728	+	ONT2.10905.1038	CDS	WDR75
chr2	8728	8829	+	ONT2.10905.1038	intron	WDR75
chr2	8829	9009	+	ONT2.10905.1038	CDS	WDR75
chr2	9009	9116	+	ONT2.10905.1038	intron	WDR75
chr2	9116	9210	+	ONT2.10905.1038	CDS	WDR75
chr2	9210	9985	+	ONT2.10905.1038	intron	WDR75
chr2	9985	10080	+	ONT2.10905.1038	CDS	WDR75
chr2	10080	10717	+	ONT2.10905.1038	intron	WDR75
chr2	10717	10886	+	ONT2.10905.1038	CDS	WDR75
chr2	10886	10987	+	ONT2.10905.1038	intron	WDR75
chr2	10987	11046	+	ONT2.10905.1038	CDS	WDR75
chr2	11046	11195	+	ONT2.10905.1038	intron	WDR75
chr2	11195	11341	+	ONT2.10905.1038	CDS	WDR75
chr2	11341	11572	+	ONT2.10905.1038	intron	WDR75
chr2	11572	11663	+	ONT2.10905.1038	CDS	WDR75
chr2	11663	12068	+	ONT2.10905.1038	intron	WDR75
chr2	12068	12272	+	ONT2.10905.1038	CDS	WDR75
chr2	12273	12410	+	ONT2.10905.1038	UTR	NA
chr2	2368	2496	+	ONT2.10905.1048	UTR	NA
chr2	2496	4363	+	ONT2.10905.1048	intron	NA
chr2	4363	4433	+	ONT2.10905.1048	UTR	NA
chr2	4433	5092	+	ONT2.10905.1048	intron	NA
chr2	5092	5188	+	ONT2.10905.1048	UTR	NA
chr2	5189	5211	+	ONT2.10905.1048	CDS	WDR75
chr2	5211	5313	+	ONT2.10905.1048	intron	WDR75
chr2	5313	5401	+	ONT2.10905.1048	CDS	WDR75
chr2	5401	5522	+	ONT2.10905.1048	intron	WDR75
chr2	5522	5680	+	ONT2.10905.1048	CDS	WDR75
chr2	5680	5840	+	ONT2.10905.1048	intron	WDR75
chr2	5840	5899	+	ONT2.10905.1048	CDS	WDR75
chr2	5899	5992	+	ONT2.10905.1048	intron	WDR75
chr2	5992	6107	+	ONT2.10905.1048	CDS	WDR75
chr2	6107	7225	+	ONT2.10905.1048	intron	WDR75
chr2	7225	7400	+	ONT2.10905.1048	CDS	WDR75
chr2	7400	8571	+	ONT2.10905.1048	intron	WDR75
chr2	8571	8728	+	ONT2.10905.1048	CDS	WDR75
chr2	8728	8829	+	ONT2.10905.1048	intron	WDR75
chr2	8829	9009	+	ONT2.10905.1048	CDS	WDR75
chr2	9009	9116	+	ONT2.10905.1048	intron	WDR75
chr2	9116	9210	+	ONT2.10905.1048	CDS	WDR75
chr2	9210	9985	+	ONT2.10905.1048	intron	WDR75
chr2	9985	10080	+	ONT2.10905.1048	CDS	WDR75
chr2	10080	10717	+	ONT2.10905.1048	intron	WDR75
chr2	10717	10886	+	ONT2.10905.1048	CDS	WDR75
chr2	10886	10987	+	ONT2.10905.1048	intron	WDR75
chr2	10987	11046	+	ONT2.10905.1048	CDS	WDR75
chr2	11046	11202	+	ONT2.10905.1048	intron	WDR75
chr2	11202	11276	+	ONT2.10905.1048	CDS	WDR75
chr2	11277	11341	+	ONT2.10905.1048	UTR	NA
