seqnames	start	end	strand	transcript_id	type	gene_id
chr18	73	147	+	ENST00000269466.8	UTR	NA
chr18	147	250	+	ENST00000269466.8	intron	NA
chr18	250	257	+	ENST00000269466.8	UTR	NA
chr18	258	414	+	ENST00000269466.8	CDS	ENSG00000141642.9
chr18	414	515	+	ENST00000269466.8	intron	ENSG00000141642.9
chr18	515	982	+	ENST00000269466.8	CDS	ENSG00000141642.9
chr18	982	1087	+	ENST00000269466.8	intron	ENSG00000141642.9
chr18	1087	1556	+	ENST00000269466.8	CDS	ENSG00000141642.9
chr18	1557	2589	+	ENST00000269466.8	UTR	NA
chr18	49	147	+	ONT18.3238.4572	UTR	NA
chr18	147	250	+	ONT18.3238.4572	intron	NA
chr18	250	257	+	ONT18.3238.4572	UTR	NA
chr18	258	414	+	ONT18.3238.4572	CDS	ELAC1
chr18	414	515	+	ONT18.3238.4572	intron	ELAC1
chr18	515	982	+	ONT18.3238.4572	CDS	ELAC1
chr18	982	1087	+	ONT18.3238.4572	intron	ELAC1
chr18	1087	1553	+	ONT18.3238.4572	CDS	ELAC1
chr18	1554	1752	+	ONT18.3238.4572	UTR	NA
chr18	2	147	+	ONT18.3238.4574	UTR	NA
chr18	147	250	+	ONT18.3238.4574	intron	NA
chr18	250	257	+	ONT18.3238.4574	UTR	NA
chr18	258	349	+	ONT18.3238.4574	CDS	ELAC1
chr18	349	519	+	ONT18.3238.4574	intron	ELAC1
chr18	519	986	+	ONT18.3238.4574	CDS	ELAC1
chr18	986	1087	+	ONT18.3238.4574	intron	ELAC1
chr18	1087	1219	+	ONT18.3238.4574	CDS	ELAC1
chr18	1220	1744	+	ONT18.3238.4574	UTR	NA
chr18	23	147	+	ONT18.3238.4580	UTR	NA
chr18	147	250	+	ONT18.3238.4580	intron	NA
chr18	250	257	+	ONT18.3238.4580	UTR	NA
chr18	258	414	+	ONT18.3238.4580	CDS	ELAC1
chr18	414	515	+	ONT18.3238.4580	intron	ELAC1
chr18	515	982	+	ONT18.3238.4580	CDS	ELAC1
chr18	982	1087	+	ONT18.3238.4580	intron	ELAC1
chr18	1087	1553	+	ONT18.3238.4580	CDS	ELAC1
chr18	1554	2589	+	ONT18.3238.4580	UTR	NA
chr18	20	147	+	ONT18.3238.4581	UTR	NA
chr18	147	250	+	ONT18.3238.4581	intron	NA
chr18	250	257	+	ONT18.3238.4581	UTR	NA
chr18	258	414	+	ONT18.3238.4581	CDS	ELAC1
chr18	414	515	+	ONT18.3238.4581	intron	ELAC1
chr18	515	949	+	ONT18.3238.4581	CDS	ELAC1
chr18	949	1087	+	ONT18.3238.4581	intron	ELAC1
chr18	1087	1553	+	ONT18.3238.4581	CDS	ELAC1
chr18	1554	1752	+	ONT18.3238.4581	UTR	NA
chr18	42	147	+	ONT18.3238.4608	UTR	NA
chr18	147	250	+	ONT18.3238.4608	intron	NA
chr18	250	257	+	ONT18.3238.4608	UTR	NA
chr18	258	414	+	ONT18.3238.4608	CDS	ELAC1
chr18	414	515	+	ONT18.3238.4608	intron	ELAC1
chr18	515	982	+	ONT18.3238.4608	CDS	ELAC1
chr18	982	1087	+	ONT18.3238.4608	intron	ELAC1
chr18	1087	1553	+	ONT18.3238.4608	CDS	ELAC1
chr18	1554	5380	+	ONT18.3238.4608	UTR	NA
chr18	81	147	+	ONT18.3238.4612	UTR	NA
chr18	147	250	+	ONT18.3238.4612	intron	NA
chr18	250	257	+	ONT18.3238.4612	UTR	NA
chr18	258	414	+	ONT18.3238.4612	CDS	ELAC1
chr18	414	515	+	ONT18.3238.4612	intron	ELAC1
chr18	515	982	+	ONT18.3238.4612	CDS	ELAC1
chr18	982	1099	+	ONT18.3238.4612	intron	ELAC1
chr18	1099	1553	+	ONT18.3238.4612	CDS	ELAC1
chr18	1554	1752	+	ONT18.3238.4612	UTR	NA
chr18	52	147	+	ONT18.3238.4632	UTR	NA
chr18	147	258	+	ONT18.3238.4632	intron	ELAC1
chr18	258	414	+	ONT18.3238.4632	CDS	ELAC1
chr18	414	515	+	ONT18.3238.4632	intron	ELAC1
chr18	515	982	+	ONT18.3238.4632	CDS	ELAC1
chr18	982	1087	+	ONT18.3238.4632	intron	ELAC1
chr18	1087	1553	+	ONT18.3238.4632	CDS	ELAC1
chr18	1554	1745	+	ONT18.3238.4632	UTR	NA
chr18	70	147	+	ONT18.3238.4664	UTR	NA
chr18	147	250	+	ONT18.3238.4664	intron	NA
chr18	250	257	+	ONT18.3238.4664	UTR	NA
chr18	258	349	+	ONT18.3238.4664	CDS	ELAC1
chr18	349	906	+	ONT18.3238.4664	intron	ELAC1
chr18	906	982	+	ONT18.3238.4664	CDS	ELAC1
chr18	982	1087	+	ONT18.3238.4664	intron	ELAC1
chr18	1087	1553	+	ONT18.3238.4664	CDS	ELAC1
chr18	1554	1752	+	ONT18.3238.4664	UTR	NA
chr18	107	147	+	ONT18.3238.4681	UTR	NA
chr18	147	250	+	ONT18.3238.4681	intron	NA
chr18	250	257	+	ONT18.3238.4681	UTR	NA
chr18	258	414	+	ONT18.3238.4681	CDS	ELAC1
chr18	414	515	+	ONT18.3238.4681	intron	ELAC1
chr18	515	982	+	ONT18.3238.4681	CDS	ELAC1
chr18	982	1087	+	ONT18.3238.4681	intron	ELAC1
chr18	1087	1553	+	ONT18.3238.4681	CDS	ELAC1
chr18	1554	2316	+	ONT18.3238.4681	UTR	NA
chr18	248	257	+	ONT18.3238.4800	UTR	NA
chr18	258	414	+	ONT18.3238.4800	CDS	ELAC1
chr18	414	1087	+	ONT18.3238.4800	intron	ELAC1
chr18	1087	1553	+	ONT18.3238.4800	CDS	ELAC1
chr18	1554	1743	+	ONT18.3238.4800	UTR	NA
chr18	252	257	+	ONT18.3238.4804	UTR	NA
chr18	258	414	+	ONT18.3238.4804	CDS	ELAC1
chr18	414	515	+	ONT18.3238.4804	intron	ELAC1
chr18	515	982	+	ONT18.3238.4804	CDS	ELAC1
chr18	982	1087	+	ONT18.3238.4804	intron	ELAC1
chr18	1087	1553	+	ONT18.3238.4804	CDS	ELAC1
chr18	1554	2584	+	ONT18.3238.4804	UTR	NA
chr18	522	609	+	ONT18.3238.4923	UTR	NA
chr18	610	982	+	ONT18.3238.4923	CDS	ELAC1
chr18	982	1087	+	ONT18.3238.4923	intron	ELAC1
chr18	1087	1553	+	ONT18.3238.4923	CDS	ELAC1
chr18	1554	1752	+	ONT18.3238.4923	UTR	NA
chr18	565	609	+	ONT18.3238.4927	UTR	NA
chr18	610	982	+	ONT18.3238.4927	CDS	ELAC1
chr18	982	1087	+	ONT18.3238.4927	intron	ELAC1
chr18	1087	1553	+	ONT18.3238.4927	CDS	ELAC1
chr18	1554	1747	+	ONT18.3238.4927	UTR	NA
chr18	618	675	+	ONT18.3238.4934	UTR	NA
chr18	676	982	+	ONT18.3238.4934	CDS	ELAC1
chr18	982	1087	+	ONT18.3238.4934	intron	ELAC1
chr18	1087	1553	+	ONT18.3238.4934	CDS	ELAC1
chr18	1554	1752	+	ONT18.3238.4934	UTR	NA
chr18	108	182	+	ENST00000269466.8	exon	ENSG00000141642.9
chr18	182	2097	+	ENST00000269466.8	intron	NA
chr18	2097	2261	+	ENST00000269466.8	exon	ENSG00000141642.9
chr18	2261	2368	+	ENST00000269466.8	intron	ENSG00000141642.9
chr18	2368	2835	+	ENST00000269466.8	exon	ENSG00000141642.9
chr18	2835	4891	+	ENST00000269466.8	intron	ENSG00000141642.9
chr18	4891	6393	+	ENST00000269466.8	exon	ENSG00000141642.9
chr18	2	182	+	ONT18.3238.4569	exon	ELAC1
chr18	183	822	+	ONT18.3238.4569	exon	ELAC1
chr18	84	182	+	ONT18.3238.4572	exon	ELAC1
chr18	182	2097	+	ONT18.3238.4572	intron	NA
chr18	2097	2261	+	ONT18.3238.4572	exon	ELAC1
chr18	2261	2368	+	ONT18.3238.4572	intron	ELAC1
chr18	2368	2835	+	ONT18.3238.4572	exon	ELAC1
chr18	2835	4891	+	ONT18.3238.4572	intron	ELAC1
chr18	4891	5556	+	ONT18.3238.4572	exon	ELAC1
chr18	55	182	+	ONT18.3238.4573	exon	ELAC1
chr18	183	347	+	ONT18.3238.4573	exon	ELAC1
chr18	348	424	+	ONT18.3238.4573	exon	ELAC1
chr18	425	1081	+	ONT18.3238.4573	exon	ELAC1
chr18	37	182	+	ONT18.3238.4574	exon	ELAC1
chr18	182	2097	+	ONT18.3238.4574	intron	NA
chr18	2097	2196	+	ONT18.3238.4574	exon	ELAC1
chr18	2196	2372	+	ONT18.3238.4574	intron	ELAC1
chr18	2372	2839	+	ONT18.3238.4574	exon	ELAC1
chr18	2839	4891	+	ONT18.3238.4574	intron	ELAC1
chr18	4891	5548	+	ONT18.3238.4574	exon	ELAC1
chr18	81	182	+	ONT18.3238.4575	exon	ELAC1
chr18	183	351	+	ONT18.3238.4575	exon	ELAC1
chr18	352	819	+	ONT18.3238.4575	exon	ELAC1
chr18	820	1485	+	ONT18.3238.4575	exon	ELAC1
chr18	109	182	+	ONT18.3238.4578	exon	ELAC1
chr18	183	1615	+	ONT18.3238.4578	exon	ELAC1
chr18	58	182	+	ONT18.3238.4580	exon	ELAC1
chr18	182	2097	+	ONT18.3238.4580	intron	NA
chr18	2097	2261	+	ONT18.3238.4580	exon	ELAC1
chr18	2261	2368	+	ONT18.3238.4580	intron	ELAC1
chr18	2368	2835	+	ONT18.3238.4580	exon	ELAC1
chr18	2835	4891	+	ONT18.3238.4580	intron	ELAC1
chr18	4891	6393	+	ONT18.3238.4580	exon	ELAC1
