seqnames	start	end	strand	transcript_id	type	gene_id
chr1	2	913	+	ENST00000366653.6	UTR	NA
chr1	914	1957	+	ENST00000366653.6	CDS	ENSG00000119283.16
chr1	1957	2058	+	ENST00000366653.6	intron	ENSG00000119283.16
chr1	2058	2153	+	ENST00000366653.6	CDS	ENSG00000119283.16
chr1	2153	2254	+	ENST00000366653.6	intron	ENSG00000119283.16
chr1	2254	2376	+	ENST00000366653.6	CDS	ENSG00000119283.16
chr1	2376	2477	+	ENST00000366653.6	intron	ENSG00000119283.16
chr1	2477	2587	+	ENST00000366653.6	CDS	ENSG00000119283.16
chr1	2587	2688	+	ENST00000366653.6	intron	ENSG00000119283.16
chr1	2688	2847	+	ENST00000366653.6	CDS	ENSG00000119283.16
chr1	2847	2948	+	ENST00000366653.6	intron	ENSG00000119283.16
chr1	2948	3093	+	ENST00000366653.6	CDS	ENSG00000119283.16
chr1	3093	3194	+	ENST00000366653.6	intron	ENSG00000119283.16
chr1	3194	3332	+	ENST00000366653.6	CDS	ENSG00000119283.16
chr1	3332	3433	+	ENST00000366653.6	intron	ENSG00000119283.16
chr1	3433	3736	+	ENST00000366653.6	CDS	ENSG00000119283.16
chr1	3736	3837	+	ENST00000366653.6	intron	ENSG00000119283.16
chr1	3837	3999	+	ENST00000366653.6	CDS	ENSG00000119283.16
chr1	3999	4100	+	ENST00000366653.6	intron	ENSG00000119283.16
chr1	4100	4168	+	ENST00000366653.6	CDS	ENSG00000119283.16
chr1	4169	10290	+	ENST00000366653.6	UTR	NA
chr1	2292	2376	+	ONT1.9529.1830	UTR	NA
chr1	2376	2477	+	ONT1.9529.1830	intron	TRIM67
chr1	2477	2587	+	ONT1.9529.1830	CDS	TRIM67
chr1	2587	2688	+	ONT1.9529.1830	intron	TRIM67
chr1	2688	2841	+	ONT1.9529.1830	CDS	TRIM67
chr1	2841	2948	+	ONT1.9529.1830	intron	TRIM67
chr1	2948	3093	+	ONT1.9529.1830	CDS	TRIM67
chr1	3093	3194	+	ONT1.9529.1830	intron	TRIM67
chr1	3194	3332	+	ONT1.9529.1830	CDS	TRIM67
chr1	3332	3433	+	ONT1.9529.1830	intron	TRIM67
chr1	3433	3736	+	ONT1.9529.1830	CDS	TRIM67
chr1	3736	3837	+	ONT1.9529.1830	intron	TRIM67
chr1	3837	3999	+	ONT1.9529.1830	CDS	TRIM67
chr1	3999	4100	+	ONT1.9529.1830	intron	TRIM67
chr1	4100	4165	+	ONT1.9529.1830	CDS	TRIM67
chr1	4166	5749	+	ONT1.9529.1830	UTR	NA
chr1	2	1957	+	ENST00000366653.6	exon	ENSG00000119283.16
chr1	1957	2058	+	ENST00000366653.6	intron	ENSG00000119283.16
chr1	2058	2153	+	ENST00000366653.6	exon	ENSG00000119283.16
chr1	2153	2254	+	ENST00000366653.6	intron	ENSG00000119283.16
chr1	2254	2376	+	ENST00000366653.6	exon	ENSG00000119283.16
chr1	2376	2477	+	ENST00000366653.6	intron	ENSG00000119283.16
chr1	2477	2587	+	ENST00000366653.6	exon	ENSG00000119283.16
chr1	2587	2688	+	ENST00000366653.6	intron	ENSG00000119283.16
chr1	2688	2847	+	ENST00000366653.6	exon	ENSG00000119283.16
chr1	2847	2948	+	ENST00000366653.6	intron	ENSG00000119283.16
chr1	2948	3093	+	ENST00000366653.6	exon	ENSG00000119283.16
chr1	3093	3194	+	ENST00000366653.6	intron	ENSG00000119283.16
chr1	3194	3332	+	ENST00000366653.6	exon	ENSG00000119283.16
chr1	3332	3433	+	ENST00000366653.6	intron	ENSG00000119283.16
chr1	3433	3736	+	ENST00000366653.6	exon	ENSG00000119283.16
chr1	3736	3837	+	ENST00000366653.6	intron	ENSG00000119283.16
chr1	3837	3999	+	ENST00000366653.6	exon	ENSG00000119283.16
chr1	3999	4100	+	ENST00000366653.6	intron	ENSG00000119283.16
chr1	4100	10290	+	ENST00000366653.6	exon	ENSG00000119283.16
chr1	2292	2376	+	ONT1.9529.1830	exon	TRIM67
chr1	2376	2477	+	ONT1.9529.1830	intron	TRIM67
chr1	2477	2587	+	ONT1.9529.1830	exon	TRIM67
chr1	2587	2688	+	ONT1.9529.1830	intron	TRIM67
chr1	2688	2841	+	ONT1.9529.1830	exon	TRIM67
chr1	2841	2948	+	ONT1.9529.1830	intron	TRIM67
chr1	2948	3093	+	ONT1.9529.1830	exon	TRIM67
chr1	3093	3194	+	ONT1.9529.1830	intron	TRIM67
chr1	3194	3332	+	ONT1.9529.1830	exon	TRIM67
chr1	3332	3433	+	ONT1.9529.1830	intron	TRIM67
chr1	3433	3736	+	ONT1.9529.1830	exon	TRIM67
chr1	3736	3837	+	ONT1.9529.1830	intron	TRIM67
chr1	3837	3999	+	ONT1.9529.1830	exon	TRIM67
chr1	3999	4100	+	ONT1.9529.1830	intron	TRIM67
chr1	4100	5749	+	ONT1.9529.1830	exon	TRIM67
chr1	5450	7484	+	ONT1.9529.2037	exon	TRIM67
chr1	7485	10202	+	ONT1.9529.2037	exon	TRIM67
chr1	6275	7483	+	ONT1.9529.2063	exon	TRIM67
chr1	7484	10207	+	ONT1.9529.2063	exon	TRIM67
chr1	6682	7484	+	ONT1.9529.2082	exon	TRIM67
chr1	7485	10208	+	ONT1.9529.2082	exon	TRIM67
chr1	6682	7473	+	ONT1.9529.2083	exon	TRIM67
chr1	7474	10196	+	ONT1.9529.2083	exon	TRIM67
chr1	6694	7466	+	ONT1.9529.2085	exon	TRIM67
chr1	7467	10181	+	ONT1.9529.2085	exon	TRIM67
chr1	6868	7484	+	ONT1.9529.2126	exon	TRIM67
chr1	7485	10194	+	ONT1.9529.2126	exon	TRIM67
chr1	6893	7483	+	ONT1.9529.2130	exon	TRIM67
chr1	7484	10207	+	ONT1.9529.2130	exon	TRIM67
chr1	7039	7466	+	ONT1.9529.2142	exon	TRIM67
chr1	7467	10181	+	ONT1.9529.2142	exon	TRIM67
chr1	7051	7484	+	ONT1.9529.2144	exon	TRIM67
chr1	7485	10198	+	ONT1.9529.2144	exon	TRIM67
chr1	7042	7473	+	ONT1.9529.2145	exon	TRIM67
chr1	7474	10191	+	ONT1.9529.2145	exon	TRIM67
chr1	7116	7483	+	ONT1.9529.2181	exon	TRIM67
chr1	7484	10198	+	ONT1.9529.2181	exon	TRIM67
chr1	7130	7484	+	ONT1.9529.2185	exon	TRIM67
chr1	7485	10198	+	ONT1.9529.2185	exon	TRIM67
chr1	7196	7466	+	ONT1.9529.2190	exon	TRIM67
chr1	7467	10181	+	ONT1.9529.2190	exon	TRIM67
chr1	7283	7483	+	ONT1.9529.2206	exon	TRIM67
chr1	7484	10212	+	ONT1.9529.2206	exon	TRIM67
chr1	7390	7484	+	ONT1.9529.2213	exon	TRIM67
chr1	7485	10199	+	ONT1.9529.2213	exon	TRIM67
chr1	9422	9975	+	ONT1.9529.2368	exon	TRIM67
chr1	9976	10173	+	ONT1.9529.2368	exon	TRIM67
