seqnames	start	end	strand	transcript_id	type	gene_id
chr20	26	237	+	ENST00000615891.2	UTR	NA
chr20	237	338	+	ENST00000615891.2	intron	NA
chr20	338	353	+	ENST00000615891.2	UTR	NA
chr20	354	529	+	ENST00000615891.2	CDS	ENSG00000125843.11
chr20	529	630	+	ENST00000615891.2	intron	ENSG00000125843.11
chr20	630	1059	+	ENST00000615891.2	CDS	ENSG00000125843.11
chr20	1060	5597	+	ENST00000615891.2	UTR	NA
chr20	2	237	+	ONT20.131.23087	UTR	NA
chr20	237	338	+	ONT20.131.23087	intron	NA
chr20	338	353	+	ONT20.131.23087	UTR	NA
chr20	354	529	+	ONT20.131.23087	CDS	AP5S1
chr20	529	630	+	ONT20.131.23087	intron	AP5S1
chr20	630	933	+	ONT20.131.23087	CDS	AP5S1
chr20	933	988	+	ONT20.131.23087	intron	AP5S1
chr20	988	1056	+	ONT20.131.23087	CDS	AP5S1
chr20	1057	1698	+	ONT20.131.23087	UTR	NA
chr20	19	237	+	ONT20.131.23116	UTR	NA
chr20	237	338	+	ONT20.131.23116	intron	NA
chr20	338	353	+	ONT20.131.23116	UTR	NA
chr20	354	529	+	ONT20.131.23116	CDS	AP5S1
chr20	529	630	+	ONT20.131.23116	intron	AP5S1
chr20	630	882	+	ONT20.131.23116	CDS	AP5S1
chr20	882	988	+	ONT20.131.23116	intron	AP5S1
chr20	988	1056	+	ONT20.131.23116	CDS	AP5S1
chr20	1057	2061	+	ONT20.131.23116	UTR	NA
chr20	26	181	+	ONT20.131.23167	UTR	NA
chr20	181	338	+	ONT20.131.23167	intron	NA
chr20	338	353	+	ONT20.131.23167	UTR	NA
chr20	354	529	+	ONT20.131.23167	CDS	AP5S1
chr20	529	638	+	ONT20.131.23167	intron	AP5S1
chr20	638	710	+	ONT20.131.23167	CDS	AP5S1
chr20	711	2061	+	ONT20.131.23167	UTR	NA
chr20	35	237	+	ONT20.131.23235	UTR	NA
chr20	237	338	+	ONT20.131.23235	intron	NA
chr20	338	353	+	ONT20.131.23235	UTR	NA
chr20	354	529	+	ONT20.131.23235	CDS	AP5S1
chr20	529	630	+	ONT20.131.23235	intron	AP5S1
chr20	630	930	+	ONT20.131.23235	CDS	AP5S1
chr20	930	988	+	ONT20.131.23235	intron	AP5S1
chr20	988	1056	+	ONT20.131.23235	CDS	AP5S1
chr20	1057	2061	+	ONT20.131.23235	UTR	NA
chr20	364	529	+	ONT20.131.23365	UTR	NA
chr20	529	630	+	ONT20.131.23365	intron	NA
chr20	630	642	+	ONT20.131.23365	UTR	NA
chr20	643	1056	+	ONT20.131.23365	CDS	AP5S1
chr20	1057	2061	+	ONT20.131.23365	UTR	NA
chr20	441	529	+	ONT20.131.23373	UTR	NA
chr20	529	630	+	ONT20.131.23373	intron	NA
chr20	630	642	+	ONT20.131.23373	UTR	NA
chr20	643	1056	+	ONT20.131.23373	CDS	AP5S1
