seqnames	start	end	strand	transcript_id	type	gene_id
chr17	2	135	+	ENST00000448097.7	UTR	NA
chr17	135	236	+	ENST00000448097.7	intron	NA
chr17	236	354	+	ENST00000448097.7	UTR	NA
chr17	354	455	+	ENST00000448097.7	intron	NA
chr17	455	574	+	ENST00000448097.7	UTR	NA
chr17	574	675	+	ENST00000448097.7	intron	NA
chr17	675	817	+	ENST00000448097.7	UTR	NA
chr17	817	911	+	ENST00000448097.7	intron	NA
chr17	911	915	+	ENST00000448097.7	UTR	NA
chr17	916	1052	+	ENST00000448097.7	CDS	ENSG00000132510.11
chr17	1052	1153	+	ENST00000448097.7	intron	ENSG00000132510.11
chr17	1153	1251	+	ENST00000448097.7	CDS	ENSG00000132510.11
chr17	1251	1352	+	ENST00000448097.7	intron	ENSG00000132510.11
chr17	1352	1571	+	ENST00000448097.7	CDS	ENSG00000132510.11
chr17	1571	1672	+	ENST00000448097.7	intron	ENSG00000132510.11
chr17	1672	1764	+	ENST00000448097.7	CDS	ENSG00000132510.11
chr17	1764	1851	+	ENST00000448097.7	intron	ENSG00000132510.11
chr17	1851	2012	+	ENST00000448097.7	CDS	ENSG00000132510.11
chr17	2012	2091	+	ENST00000448097.7	intron	ENSG00000132510.11
chr17	2091	2288	+	ENST00000448097.7	CDS	ENSG00000132510.11
chr17	2288	2377	+	ENST00000448097.7	intron	ENSG00000132510.11
chr17	2377	2724	+	ENST00000448097.7	CDS	ENSG00000132510.11
chr17	2724	2818	+	ENST00000448097.7	intron	ENSG00000132510.11
chr17	2818	5000	+	ENST00000448097.7	CDS	ENSG00000132510.11
chr17	5000	5093	+	ENST00000448097.7	intron	ENSG00000132510.11
chr17	5093	5219	+	ENST00000448097.7	CDS	ENSG00000132510.11
chr17	5219	5344	+	ENST00000448097.7	intron	ENSG00000132510.11
chr17	5344	5449	+	ENST00000448097.7	CDS	ENSG00000132510.11
chr17	5449	5896	+	ENST00000448097.7	intron	ENSG00000132510.11
chr17	5896	6101	+	ENST00000448097.7	CDS	ENSG00000132510.11
chr17	6101	6205	+	ENST00000448097.7	intron	ENSG00000132510.11
chr17	6205	6269	+	ENST00000448097.7	CDS	ENSG00000132510.11
chr17	6269	6353	+	ENST00000448097.7	intron	ENSG00000132510.11
chr17	6353	6424	+	ENST00000448097.7	CDS	ENSG00000132510.11
chr17	6424	6523	+	ENST00000448097.7	intron	ENSG00000132510.11
chr17	6523	6671	+	ENST00000448097.7	CDS	ENSG00000132510.11
chr17	6671	6775	+	ENST00000448097.7	intron	ENSG00000132510.11
chr17	6775	6889	+	ENST00000448097.7	CDS	ENSG00000132510.11
chr17	6889	6973	+	ENST00000448097.7	intron	ENSG00000132510.11
chr17	6973	7160	+	ENST00000448097.7	CDS	ENSG00000132510.11
chr17	7160	7262	+	ENST00000448097.7	intron	ENSG00000132510.11
chr17	7262	7403	+	ENST00000448097.7	CDS	ENSG00000132510.11
chr17	7403	7504	+	ENST00000448097.7	intron	ENSG00000132510.11
chr17	7504	7630	+	ENST00000448097.7	CDS	ENSG00000132510.11
chr17	7630	7714	+	ENST00000448097.7	intron	ENSG00000132510.11
chr17	7714	7884	+	ENST00000448097.7	CDS	ENSG00000132510.11
chr17	7884	8002	+	ENST00000448097.7	intron	ENSG00000132510.11
chr17	8002	8028	+	ENST00000448097.7	CDS	ENSG00000132510.11
chr17	8029	9300	+	ENST00000448097.7	UTR	NA
chr17	3611	3654	+	ONT17.125.27988	UTR	NA
chr17	3655	5000	+	ONT17.125.27988	CDS	KDM6B
chr17	5000	5093	+	ONT17.125.27988	intron	KDM6B
chr17	5093	5219	+	ONT17.125.27988	CDS	KDM6B
chr17	5219	5344	+	ONT17.125.27988	intron	KDM6B
chr17	5344	5449	+	ONT17.125.27988	CDS	KDM6B
chr17	5449	5896	+	ONT17.125.27988	intron	KDM6B
chr17	5896	6101	+	ONT17.125.27988	CDS	KDM6B
chr17	6101	6205	+	ONT17.125.27988	intron	KDM6B
chr17	6205	6274	+	ONT17.125.27988	CDS	KDM6B
chr17	6274	6356	+	ONT17.125.27988	intron	KDM6B
chr17	6356	6428	+	ONT17.125.27988	CDS	KDM6B
chr17	6428	6523	+	ONT17.125.27988	intron	KDM6B
chr17	6523	6671	+	ONT17.125.27988	CDS	KDM6B
chr17	6671	6775	+	ONT17.125.27988	intron	KDM6B
chr17	6775	6889	+	ONT17.125.27988	CDS	KDM6B
chr17	6889	6973	+	ONT17.125.27988	intron	KDM6B
chr17	6973	7160	+	ONT17.125.27988	CDS	KDM6B
chr17	7160	7262	+	ONT17.125.27988	intron	KDM6B
chr17	7262	7403	+	ONT17.125.27988	CDS	KDM6B
chr17	7403	7504	+	ONT17.125.27988	intron	KDM6B
chr17	7504	7630	+	ONT17.125.27988	CDS	KDM6B
chr17	7630	7714	+	ONT17.125.27988	intron	KDM6B
chr17	7714	7884	+	ONT17.125.27988	CDS	KDM6B
chr17	7884	8002	+	ONT17.125.27988	intron	KDM6B
chr17	8002	8025	+	ONT17.125.27988	CDS	KDM6B
chr17	8026	8196	+	ONT17.125.27988	UTR	NA
chr17	3649	3654	+	ONT17.125.27989	UTR	NA
chr17	3655	5000	+	ONT17.125.27989	CDS	KDM6B
chr17	5000	5093	+	ONT17.125.27989	intron	KDM6B
chr17	5093	5219	+	ONT17.125.27989	CDS	KDM6B
chr17	5219	5344	+	ONT17.125.27989	intron	KDM6B
chr17	5344	5449	+	ONT17.125.27989	CDS	KDM6B
chr17	5449	5896	+	ONT17.125.27989	intron	KDM6B
chr17	5896	6101	+	ONT17.125.27989	CDS	KDM6B
chr17	6101	6205	+	ONT17.125.27989	intron	KDM6B
chr17	6205	6269	+	ONT17.125.27989	CDS	KDM6B
chr17	6269	6353	+	ONT17.125.27989	intron	KDM6B
chr17	6353	6424	+	ONT17.125.27989	CDS	KDM6B
chr17	6424	6523	+	ONT17.125.27989	intron	KDM6B
chr17	6523	6671	+	ONT17.125.27989	CDS	KDM6B
chr17	6671	6775	+	ONT17.125.27989	intron	KDM6B
chr17	6775	6889	+	ONT17.125.27989	CDS	KDM6B
chr17	6889	6973	+	ONT17.125.27989	intron	KDM6B
chr17	6973	7160	+	ONT17.125.27989	CDS	KDM6B
chr17	7160	7262	+	ONT17.125.27989	intron	KDM6B
chr17	7262	7403	+	ONT17.125.27989	CDS	KDM6B
chr17	7403	7504	+	ONT17.125.27989	intron	KDM6B
chr17	7504	7630	+	ONT17.125.27989	CDS	KDM6B
chr17	7630	7714	+	ONT17.125.27989	intron	KDM6B
chr17	7714	7884	+	ONT17.125.27989	CDS	KDM6B
chr17	7884	8002	+	ONT17.125.27989	intron	KDM6B
chr17	8002	8025	+	ONT17.125.27989	CDS	KDM6B
chr17	8026	9300	+	ONT17.125.27989	UTR	NA
chr17	4110	4236	+	ONT17.125.28009	UTR	NA
chr17	4237	5000	+	ONT17.125.28009	CDS	KDM6B
chr17	5000	5093	+	ONT17.125.28009	intron	KDM6B
chr17	5093	5219	+	ONT17.125.28009	CDS	KDM6B
chr17	5219	5344	+	ONT17.125.28009	intron	KDM6B
chr17	5344	5449	+	ONT17.125.28009	CDS	KDM6B
chr17	5449	5896	+	ONT17.125.28009	intron	KDM6B
