seqnames	start	end	strand	transcript_id	type	gene_id
chr17	2	1464	-	ENST00000331302.12	UTR	NA
chr17	1465	1536	-	ENST00000331302.12	CDS	ENSG00000181031.16
chr17	1536	1641	-	ENST00000331302.12	intron	ENSG00000181031.16
chr17	1641	1789	-	ENST00000331302.12	CDS	ENSG00000181031.16
chr17	1789	1895	-	ENST00000331302.12	intron	ENSG00000181031.16
chr17	1895	2008	-	ENST00000331302.12	CDS	ENSG00000181031.16
chr17	2008	2109	-	ENST00000331302.12	intron	ENSG00000181031.16
chr17	2109	2283	-	ENST00000331302.12	CDS	ENSG00000181031.16
chr17	2283	2384	-	ENST00000331302.12	intron	ENSG00000181031.16
chr17	2384	2470	-	ENST00000331302.12	CDS	ENSG00000181031.16
chr17	2470	2571	-	ENST00000331302.12	intron	ENSG00000181031.16
chr17	2571	2700	-	ENST00000331302.12	CDS	ENSG00000181031.16
chr17	2700	2801	-	ENST00000331302.12	intron	ENSG00000181031.16
chr17	2801	2944	-	ENST00000331302.12	CDS	ENSG00000181031.16
chr17	2944	3045	-	ENST00000331302.12	intron	ENSG00000181031.16
chr17	3045	3124	-	ENST00000331302.12	CDS	ENSG00000181031.16
chr17	3125	3157	-	ENST00000331302.12	UTR	NA
chr17	3157	3703	-	ENST00000331302.12	intron	NA
chr17	3703	3878	-	ENST00000331302.12	UTR	NA
chr17	3878	4487	-	ENST00000331302.12	intron	NA
chr17	4487	4582	-	ENST00000331302.12	UTR	NA
chr17	115	1467	-	ONT17.52.102	UTR	NA
chr17	1468	1536	-	ONT17.52.102	CDS	RPH3AL
chr17	1536	1641	-	ONT17.52.102	intron	RPH3AL
chr17	1641	1789	-	ONT17.52.102	CDS	RPH3AL
chr17	1789	1895	-	ONT17.52.102	intron	RPH3AL
chr17	1895	2008	-	ONT17.52.102	CDS	RPH3AL
chr17	2008	2109	-	ONT17.52.102	intron	RPH3AL
chr17	2109	2283	-	ONT17.52.102	CDS	RPH3AL
chr17	2283	2571	-	ONT17.52.102	intron	RPH3AL
chr17	2571	2700	-	ONT17.52.102	CDS	RPH3AL
chr17	2700	2801	-	ONT17.52.102	intron	RPH3AL
chr17	2801	2944	-	ONT17.52.102	CDS	RPH3AL
chr17	2944	3045	-	ONT17.52.102	intron	RPH3AL
chr17	3045	3124	-	ONT17.52.102	CDS	RPH3AL
chr17	3125	3157	-	ONT17.52.102	UTR	NA
chr17	3157	4128	-	ONT17.52.102	intron	NA
chr17	4128	4236	-	ONT17.52.102	UTR	NA
chr17	115	1467	-	ONT17.52.103	UTR	NA
chr17	1468	1536	-	ONT17.52.103	CDS	RPH3AL
chr17	1536	1641	-	ONT17.52.103	intron	RPH3AL
chr17	1641	1789	-	ONT17.52.103	CDS	RPH3AL
chr17	1789	1895	-	ONT17.52.103	intron	RPH3AL
chr17	1895	2008	-	ONT17.52.103	CDS	RPH3AL
chr17	2008	2109	-	ONT17.52.103	intron	RPH3AL
chr17	2109	2283	-	ONT17.52.103	CDS	RPH3AL
chr17	2283	2384	-	ONT17.52.103	intron	RPH3AL
chr17	2384	2470	-	ONT17.52.103	CDS	RPH3AL
chr17	2470	2571	-	ONT17.52.103	intron	RPH3AL
chr17	2571	2700	-	ONT17.52.103	CDS	RPH3AL
chr17	2700	2801	-	ONT17.52.103	intron	RPH3AL
chr17	2801	2944	-	ONT17.52.103	CDS	RPH3AL
chr17	2944	3045	-	ONT17.52.103	intron	RPH3AL
chr17	3045	3124	-	ONT17.52.103	CDS	RPH3AL
chr17	3125	3157	-	ONT17.52.103	UTR	NA
chr17	3157	4128	-	ONT17.52.103	intron	NA
chr17	4128	4208	-	ONT17.52.103	UTR	NA
chr17	115	1536	-	ONT17.52.109	UTR	NA
chr17	1536	1641	-	ONT17.52.109	intron	NA
chr17	1641	1707	-	ONT17.52.109	UTR	NA
chr17	1708	1782	-	ONT17.52.109	CDS	RPH3AL
chr17	1782	1890	-	ONT17.52.109	intron	RPH3AL
chr17	1890	2008	-	ONT17.52.109	CDS	RPH3AL
chr17	2008	2109	-	ONT17.52.109	intron	RPH3AL
chr17	2109	2283	-	ONT17.52.109	CDS	RPH3AL
chr17	2283	2384	-	ONT17.52.109	intron	RPH3AL
chr17	2384	2470	-	ONT17.52.109	CDS	RPH3AL
chr17	2470	2571	-	ONT17.52.109	intron	RPH3AL
chr17	2571	2700	-	ONT17.52.109	CDS	RPH3AL
