seqnames	start	end	strand	transcript_id	type	gene_id
chr17	1426	1697	+	ENST00000397640.6	UTR	NA
chr17	1697	2348	+	ENST00000397640.6	intron	NA
chr17	2348	2353	+	ENST00000397640.6	UTR	NA
chr17	2354	2445	+	ENST00000397640.6	CDS	ENSG00000257949.7
chr17	2445	2549	+	ENST00000397640.6	intron	ENSG00000257949.7
chr17	2549	2706	+	ENST00000397640.6	CDS	ENSG00000257949.7
chr17	2706	2807	+	ENST00000397640.6	intron	ENSG00000257949.7
chr17	2807	2931	+	ENST00000397640.6	CDS	ENSG00000257949.7
chr17	2932	3252	+	ENST00000397640.6	UTR	NA
chr17	2	85	+	ONT17.2069.17408	UTR	NA
chr17	85	186	+	ONT17.2069.17408	intron	NA
chr17	186	306	+	ONT17.2069.17408	UTR	NA
chr17	306	407	+	ONT17.2069.17408	intron	NA
chr17	407	513	+	ONT17.2069.17408	UTR	NA
chr17	513	614	+	ONT17.2069.17408	intron	NA
chr17	614	615	+	ONT17.2069.17408	UTR	NA
chr17	616	775	+	ONT17.2069.17408	CDS	TEN1
chr17	775	876	+	ONT17.2069.17408	intron	TEN1
chr17	876	1035	+	ONT17.2069.17408	CDS	TEN1
chr17	1035	1151	+	ONT17.2069.17408	intron	TEN1
chr17	1151	1286	+	ONT17.2069.17408	CDS	TEN1
chr17	1287	1602	+	ONT17.2069.17408	UTR	NA
chr17	272	306	+	ONT17.2069.17412	UTR	NA
chr17	306	407	+	ONT17.2069.17412	intron	NA
chr17	407	513	+	ONT17.2069.17412	UTR	NA
chr17	513	614	+	ONT17.2069.17412	intron	NA
chr17	614	615	+	ONT17.2069.17412	UTR	NA
chr17	616	775	+	ONT17.2069.17412	CDS	TEN1
chr17	775	876	+	ONT17.2069.17412	intron	TEN1
chr17	876	1035	+	ONT17.2069.17412	CDS	TEN1
chr17	1035	1151	+	ONT17.2069.17412	intron	TEN1
chr17	1151	1286	+	ONT17.2069.17412	CDS	TEN1
chr17	1287	1611	+	ONT17.2069.17412	UTR	NA
chr17	1136	1697	+	ONT17.2069.18021	UTR	NA
chr17	1697	2348	+	ONT17.2069.18021	intron	NA
chr17	2348	2353	+	ONT17.2069.18021	UTR	NA
chr17	2354	2445	+	ONT17.2069.18021	CDS	TEN1
chr17	2445	2549	+	ONT17.2069.18021	intron	TEN1
chr17	2549	2706	+	ONT17.2069.18021	CDS	TEN1
chr17	2706	2807	+	ONT17.2069.18021	intron	TEN1
chr17	2807	2928	+	ONT17.2069.18021	CDS	TEN1
chr17	2929	3252	+	ONT17.2069.18021	UTR	NA
chr17	1217	1697	+	ONT17.2069.18023	UTR	NA
chr17	1697	2348	+	ONT17.2069.18023	intron	NA
chr17	2348	2353	+	ONT17.2069.18023	UTR	NA
chr17	2354	2445	+	ONT17.2069.18023	CDS	TEN1
chr17	2445	2549	+	ONT17.2069.18023	intron	TEN1
chr17	2549	2706	+	ONT17.2069.18023	CDS	TEN1
chr17	2706	2807	+	ONT17.2069.18023	intron	TEN1
chr17	2807	2928	+	ONT17.2069.18023	CDS	TEN1
chr17	2929	3246	+	ONT17.2069.18023	UTR	NA
chr17	1204	1697	+	ONT17.2069.18024	UTR	NA
chr17	1697	2128	+	ONT17.2069.18024	intron	NA
chr17	2128	2243	+	ONT17.2069.18024	UTR	NA
chr17	2243	2348	+	ONT17.2069.18024	intron	NA
chr17	2348	2353	+	ONT17.2069.18024	UTR	NA
chr17	2354	2445	+	ONT17.2069.18024	CDS	TEN1
chr17	2445	2549	+	ONT17.2069.18024	intron	TEN1
chr17	2549	2706	+	ONT17.2069.18024	CDS	TEN1
chr17	2706	2807	+	ONT17.2069.18024	intron	TEN1
chr17	2807	2928	+	ONT17.2069.18024	CDS	TEN1
chr17	2929	3252	+	ONT17.2069.18024	UTR	NA
chr17	1267	1697	+	ONT17.2069.18028	UTR	NA
chr17	1697	2348	+	ONT17.2069.18028	intron	NA
chr17	2348	2353	+	ONT17.2069.18028	UTR	NA
chr17	2354	2445	+	ONT17.2069.18028	CDS	TEN1
chr17	2445	2549	+	ONT17.2069.18028	intron	TEN1
chr17	2549	2706	+	ONT17.2069.18028	CDS	TEN1
chr17	2706	2807	+	ONT17.2069.18028	intron	TEN1
chr17	2807	2928	+	ONT17.2069.18028	CDS	TEN1
chr17	2929	3239	+	ONT17.2069.18028	UTR	NA
chr17	1383	1697	+	ONT17.2069.18029	UTR	NA
chr17	1697	2348	+	ONT17.2069.18029	intron	NA
chr17	2348	2353	+	ONT17.2069.18029	UTR	NA
chr17	2354	2445	+	ONT17.2069.18029	CDS	TEN1
chr17	2445	2549	+	ONT17.2069.18029	intron	TEN1
chr17	2549	2706	+	ONT17.2069.18029	CDS	TEN1
chr17	2706	2807	+	ONT17.2069.18029	intron	TEN1
chr17	2807	2928	+	ONT17.2069.18029	CDS	TEN1
chr17	2929	3248	+	ONT17.2069.18029	UTR	NA
chr17	1408	1697	+	ONT17.2069.18032	UTR	NA
chr17	1697	2128	+	ONT17.2069.18032	intron	NA
chr17	2128	2243	+	ONT17.2069.18032	UTR	NA
chr17	2243	2348	+	ONT17.2069.18032	intron	NA
chr17	2348	2353	+	ONT17.2069.18032	UTR	NA
chr17	2354	2445	+	ONT17.2069.18032	CDS	TEN1
chr17	2445	2549	+	ONT17.2069.18032	intron	TEN1
chr17	2549	2706	+	ONT17.2069.18032	CDS	TEN1
chr17	2706	2807	+	ONT17.2069.18032	intron	TEN1
chr17	2807	2928	+	ONT17.2069.18032	CDS	TEN1
chr17	2929	3252	+	ONT17.2069.18032	UTR	NA
chr17	1408	1697	+	ONT17.2069.18034	UTR	NA
chr17	1697	2348	+	ONT17.2069.18034	intron	NA
chr17	2348	2353	+	ONT17.2069.18034	UTR	NA
chr17	2354	2445	+	ONT17.2069.18034	CDS	TEN1
chr17	2445	2549	+	ONT17.2069.18034	intron	TEN1
chr17	2549	2706	+	ONT17.2069.18034	CDS	TEN1
chr17	2706	2807	+	ONT17.2069.18034	intron	TEN1
chr17	2807	2928	+	ONT17.2069.18034	CDS	TEN1
chr17	2929	3252	+	ONT17.2069.18034	UTR	NA
chr17	1396	1697	+	ONT17.2069.18035	UTR	NA
chr17	1697	1903	+	ONT17.2069.18035	intron	NA
chr17	1903	1921	+	ONT17.2069.18035	UTR	NA
chr17	1922	2023	+	ONT17.2069.18035	CDS	TEN1
chr17	2023	2348	+	ONT17.2069.18035	intron	TEN1
chr17	2348	2445	+	ONT17.2069.18035	CDS	TEN1
chr17	2445	2549	+	ONT17.2069.18035	intron	TEN1
chr17	2549	2706	+	ONT17.2069.18035	CDS	TEN1
chr17	2706	2807	+	ONT17.2069.18035	intron	TEN1
chr17	2807	2928	+	ONT17.2069.18035	CDS	TEN1
chr17	2929	3247	+	ONT17.2069.18035	UTR	NA
chr17	1407	1697	+	ONT17.2069.18040	UTR	NA
chr17	1697	2348	+	ONT17.2069.18040	intron	NA
chr17	2348	2353	+	ONT17.2069.18040	UTR	NA
chr17	2354	2445	+	ONT17.2069.18040	CDS	TEN1
chr17	2445	2807	+	ONT17.2069.18040	intron	TEN1
