seqnames	start	end	strand	transcript_id	type	gene_id
chr3	2	294	+	ENST00000312521.9	UTR	NA
chr3	295	310	+	ENST00000312521.9	CDS	ENSG00000174738.13
chr3	310	411	+	ENST00000312521.9	intron	ENSG00000174738.13
chr3	411	677	+	ENST00000312521.9	CDS	ENSG00000174738.13
chr3	677	778	+	ENST00000312521.9	intron	ENSG00000174738.13
chr3	778	866	+	ENST00000312521.9	CDS	ENSG00000174738.13
chr3	866	969	+	ENST00000312521.9	intron	ENSG00000174738.13
chr3	969	1113	+	ENST00000312521.9	CDS	ENSG00000174738.13
chr3	1113	1214	+	ENST00000312521.9	intron	ENSG00000174738.13
chr3	1214	1842	+	ENST00000312521.9	CDS	ENSG00000174738.13
chr3	1842	3205	+	ENST00000312521.9	intron	ENSG00000174738.13
chr3	3205	3390	+	ENST00000312521.9	CDS	ENSG00000174738.13
chr3	3390	3493	+	ENST00000312521.9	intron	ENSG00000174738.13
chr3	3493	3703	+	ENST00000312521.9	CDS	ENSG00000174738.13
chr3	3703	3804	+	ENST00000312521.9	intron	ENSG00000174738.13
chr3	3804	4003	+	ENST00000312521.9	CDS	ENSG00000174738.13
chr3	4004	7198	+	ENST00000312521.9	UTR	NA
chr3	9	87	+	ONT3.761.13381	UTR	NA
chr3	87	411	+	ONT3.761.13381	intron	NA
chr3	411	619	+	ONT3.761.13381	UTR	NA
chr3	620	677	+	ONT3.761.13381	CDS	NR1D2
chr3	677	778	+	ONT3.761.13381	intron	NR1D2
chr3	778	866	+	ONT3.761.13381	CDS	NR1D2
chr3	866	969	+	ONT3.761.13381	intron	NR1D2
chr3	969	1113	+	ONT3.761.13381	CDS	NR1D2
chr3	1113	1214	+	ONT3.761.13381	intron	NR1D2
chr3	1214	1848	+	ONT3.761.13381	CDS	NR1D2
chr3	1848	3205	+	ONT3.761.13381	intron	NA
chr3	3205	3390	+	ONT3.761.13381	UTR	NA
chr3	3390	3493	+	ONT3.761.13381	intron	NA
chr3	3493	3703	+	ONT3.761.13381	UTR	NA
chr3	3703	3804	+	ONT3.761.13381	intron	NA
chr3	3804	7193	+	ONT3.761.13381	UTR	NA
chr3	13	138	+	ONT3.761.13383	UTR	NA
chr3	138	267	+	ONT3.761.13383	intron	NA
chr3	267	294	+	ONT3.761.13383	UTR	NA
chr3	295	310	+	ONT3.761.13383	CDS	NR1D2
chr3	310	411	+	ONT3.761.13383	intron	NR1D2
chr3	411	677	+	ONT3.761.13383	CDS	NR1D2
chr3	677	778	+	ONT3.761.13383	intron	NR1D2
chr3	778	866	+	ONT3.761.13383	CDS	NR1D2
chr3	866	969	+	ONT3.761.13383	intron	NR1D2
chr3	969	1113	+	ONT3.761.13383	CDS	NR1D2
chr3	1113	1214	+	ONT3.761.13383	intron	NR1D2
chr3	1214	1842	+	ONT3.761.13383	CDS	NR1D2
chr3	1842	3205	+	ONT3.761.13383	intron	NR1D2
chr3	3205	3390	+	ONT3.761.13383	CDS	NR1D2
chr3	3390	3493	+	ONT3.761.13383	intron	NR1D2
chr3	3493	3703	+	ONT3.761.13383	CDS	NR1D2
chr3	3703	3804	+	ONT3.761.13383	intron	NR1D2
chr3	3804	4000	+	ONT3.761.13383	CDS	NR1D2
chr3	4001	5072	+	ONT3.761.13383	UTR	NA
chr3	264	294	+	ONT3.761.13422	UTR	NA
chr3	295	310	+	ONT3.761.13422	CDS	NR1D2
chr3	310	411	+	ONT3.761.13422	intron	NR1D2
chr3	411	677	+	ONT3.761.13422	CDS	NR1D2
chr3	677	778	+	ONT3.761.13422	intron	NR1D2
chr3	778	866	+	ONT3.761.13422	CDS	NR1D2
chr3	866	969	+	ONT3.761.13422	intron	NR1D2
chr3	969	1113	+	ONT3.761.13422	CDS	NR1D2
chr3	1113	1214	+	ONT3.761.13422	intron	NR1D2
chr3	1214	1842	+	ONT3.761.13422	CDS	NR1D2
chr3	1842	3205	+	ONT3.761.13422	intron	NR1D2
chr3	3205	3390	+	ONT3.761.13422	CDS	NR1D2
chr3	3390	3493	+	ONT3.761.13422	intron	NR1D2
chr3	3493	3703	+	ONT3.761.13422	CDS	NR1D2
chr3	3703	3804	+	ONT3.761.13422	intron	NR1D2
chr3	3804	4000	+	ONT3.761.13422	CDS	NR1D2
chr3	4001	7200	+	ONT3.761.13422	UTR	NA
chr3	427	619	+	ONT3.761.13597	UTR	NA
chr3	620	677	+	ONT3.761.13597	CDS	NR1D2
chr3	677	778	+	ONT3.761.13597	intron	NR1D2
chr3	778	866	+	ONT3.761.13597	CDS	NR1D2
chr3	866	969	+	ONT3.761.13597	intron	NR1D2
chr3	969	1113	+	ONT3.761.13597	CDS	NR1D2
chr3	1113	1214	+	ONT3.761.13597	intron	NR1D2
chr3	1214	1842	+	ONT3.761.13597	CDS	NR1D2
chr3	1842	3205	+	ONT3.761.13597	intron	NR1D2
chr3	3205	3390	+	ONT3.761.13597	CDS	NR1D2
chr3	3390	3493	+	ONT3.761.13597	intron	NR1D2
chr3	3493	3703	+	ONT3.761.13597	CDS	NR1D2
chr3	3703	3804	+	ONT3.761.13597	intron	NR1D2
chr3	3804	4000	+	ONT3.761.13597	CDS	NR1D2
chr3	4001	5050	+	ONT3.761.13597	UTR	NA
chr3	523	619	+	ONT3.761.13608	UTR	NA
chr3	620	677	+	ONT3.761.13608	CDS	NR1D2
chr3	677	778	+	ONT3.761.13608	intron	NR1D2
chr3	778	866	+	ONT3.761.13608	CDS	NR1D2
chr3	866	969	+	ONT3.761.13608	intron	NR1D2
chr3	969	1113	+	ONT3.761.13608	CDS	NR1D2
chr3	1113	1214	+	ONT3.761.13608	intron	NR1D2
chr3	1214	1842	+	ONT3.761.13608	CDS	NR1D2
chr3	1842	3205	+	ONT3.761.13608	intron	NR1D2
chr3	3205	3390	+	ONT3.761.13608	CDS	NR1D2
chr3	3390	3493	+	ONT3.761.13608	intron	NR1D2
chr3	3493	3703	+	ONT3.761.13608	CDS	NR1D2
chr3	3703	3804	+	ONT3.761.13608	intron	NR1D2
chr3	3804	4000	+	ONT3.761.13608	CDS	NR1D2
chr3	4001	7199	+	ONT3.761.13608	UTR	NA
chr3	536	619	+	ONT3.761.13609	UTR	NA
chr3	620	677	+	ONT3.761.13609	CDS	NR1D2
chr3	677	778	+	ONT3.761.13609	intron	NR1D2
chr3	778	866	+	ONT3.761.13609	CDS	NR1D2
chr3	866	969	+	ONT3.761.13609	intron	NR1D2
chr3	969	1113	+	ONT3.761.13609	CDS	NR1D2
chr3	1113	1214	+	ONT3.761.13609	intron	NR1D2
chr3	1214	1842	+	ONT3.761.13609	CDS	NR1D2
