seqnames	start	end	strand	transcript_id	type	gene_id
chr1	4	73	+	ENST00000524377.7	UTR	NA
chr1	74	285	+	ENST00000524377.7	CDS	ENSG00000198400.13
chr1	285	386	+	ENST00000524377.7	intron	ENSG00000198400.13
chr1	386	460	+	ENST00000524377.7	CDS	ENSG00000198400.13
chr1	460	561	+	ENST00000524377.7	intron	ENSG00000198400.13
chr1	561	632	+	ENST00000524377.7	CDS	ENSG00000198400.13
chr1	632	733	+	ENST00000524377.7	intron	ENSG00000198400.13
chr1	733	801	+	ENST00000524377.7	CDS	ENSG00000198400.13
chr1	801	902	+	ENST00000524377.7	intron	ENSG00000198400.13
chr1	902	1047	+	ENST00000524377.7	CDS	ENSG00000198400.13
chr1	1047	1148	+	ENST00000524377.7	intron	ENSG00000198400.13
chr1	1148	1290	+	ENST00000524377.7	CDS	ENSG00000198400.13
chr1	1290	1391	+	ENST00000524377.7	intron	ENSG00000198400.13
chr1	1391	1523	+	ENST00000524377.7	CDS	ENSG00000198400.13
chr1	1523	1624	+	ENST00000524377.7	intron	ENSG00000198400.13
chr1	1624	1950	+	ENST00000524377.7	CDS	ENSG00000198400.13
chr1	1950	2051	+	ENST00000524377.7	intron	ENSG00000198400.13
chr1	2051	2068	+	ENST00000524377.7	CDS	ENSG00000198400.13
chr1	2068	2199	+	ENST00000524377.7	intron	ENSG00000198400.13
chr1	2199	2254	+	ENST00000524377.7	CDS	ENSG00000198400.13
chr1	2254	2355	+	ENST00000524377.7	intron	ENSG00000198400.13
chr1	2355	2457	+	ENST00000524377.7	CDS	ENSG00000198400.13
chr1	2457	2558	+	ENST00000524377.7	intron	ENSG00000198400.13
chr1	2558	2704	+	ENST00000524377.7	CDS	ENSG00000198400.13
chr1	2704	2805	+	ENST00000524377.7	intron	ENSG00000198400.13
chr1	2805	2935	+	ENST00000524377.7	CDS	ENSG00000198400.13
chr1	2935	3036	+	ENST00000524377.7	intron	ENSG00000198400.13
chr1	3036	3208	+	ENST00000524377.7	CDS	ENSG00000198400.13
chr1	3208	3310	+	ENST00000524377.7	intron	ENSG00000198400.13
chr1	3310	3550	+	ENST00000524377.7	CDS	ENSG00000198400.13
chr1	3550	3651	+	ENST00000524377.7	intron	ENSG00000198400.13
chr1	3651	3809	+	ENST00000524377.7	CDS	ENSG00000198400.13
chr1	3809	3910	+	ENST00000524377.7	intron	ENSG00000198400.13
chr1	3910	4098	+	ENST00000524377.7	CDS	ENSG00000198400.13
chr1	4099	4303	+	ENST00000524377.7	UTR	NA
chr1	2	73	+	ONT1.5119.46530	UTR	NA
chr1	74	285	+	ONT1.5119.46530	CDS	NTRK1
chr1	285	386	+	ONT1.5119.46530	intron	NTRK1
chr1	386	460	+	ONT1.5119.46530	CDS	NTRK1
chr1	460	561	+	ONT1.5119.46530	intron	NTRK1
chr1	561	632	+	ONT1.5119.46530	CDS	NTRK1
chr1	632	733	+	ONT1.5119.46530	intron	NTRK1
chr1	733	801	+	ONT1.5119.46530	CDS	NTRK1
chr1	801	902	+	ONT1.5119.46530	intron	NTRK1
chr1	902	1047	+	ONT1.5119.46530	CDS	NTRK1
chr1	1047	1148	+	ONT1.5119.46530	intron	NTRK1
chr1	1148	1290	+	ONT1.5119.46530	CDS	NTRK1
