seqnames	start	end	strand	transcript_id	type	gene_id
chr3	2	4628	-	ENST00000393845.9	UTR	NA
chr3	4629	4820	-	ENST00000393845.9	CDS	ENSG00000206530.11
chr3	4820	5112	-	ENST00000393845.9	intron	ENSG00000206530.11
chr3	5112	5246	-	ENST00000393845.9	CDS	ENSG00000206530.11
chr3	5246	5347	-	ENST00000393845.9	intron	ENSG00000206530.11
chr3	5347	5507	-	ENST00000393845.9	CDS	ENSG00000206530.11
chr3	5507	5806	-	ENST00000393845.9	intron	ENSG00000206530.11
chr3	5806	6007	-	ENST00000393845.9	CDS	ENSG00000206530.11
chr3	6007	6332	-	ENST00000393845.9	intron	ENSG00000206530.11
chr3	6332	6448	-	ENST00000393845.9	CDS	ENSG00000206530.11
chr3	6448	6549	-	ENST00000393845.9	intron	ENSG00000206530.11
chr3	6549	6679	-	ENST00000393845.9	CDS	ENSG00000206530.11
chr3	6679	6780	-	ENST00000393845.9	intron	ENSG00000206530.11
chr3	6780	6890	-	ENST00000393845.9	CDS	ENSG00000206530.11
chr3	6890	6991	-	ENST00000393845.9	intron	ENSG00000206530.11
chr3	6991	7186	-	ENST00000393845.9	CDS	ENSG00000206530.11
chr3	7186	7287	-	ENST00000393845.9	intron	ENSG00000206530.11
chr3	7287	7490	-	ENST00000393845.9	CDS	ENSG00000206530.11
chr3	7490	7591	-	ENST00000393845.9	intron	ENSG00000206530.11
chr3	7591	8091	-	ENST00000393845.9	CDS	ENSG00000206530.11
chr3	8091	8192	-	ENST00000393845.9	intron	ENSG00000206530.11
chr3	8192	8369	-	ENST00000393845.9	CDS	ENSG00000206530.11
chr3	8369	8470	-	ENST00000393845.9	intron	ENSG00000206530.11
chr3	8470	8644	-	ENST00000393845.9	CDS	ENSG00000206530.11
chr3	8644	8745	-	ENST00000393845.9	intron	ENSG00000206530.11
chr3	8745	8941	-	ENST00000393845.9	CDS	ENSG00000206530.11
chr3	8941	9042	-	ENST00000393845.9	intron	ENSG00000206530.11
chr3	9042	9172	-	ENST00000393845.9	CDS	ENSG00000206530.11
chr3	9172	10561	-	ENST00000393845.9	intron	ENSG00000206530.11
chr3	10561	10723	-	ENST00000393845.9	CDS	ENSG00000206530.11
chr3	10723	10824	-	ENST00000393845.9	intron	ENSG00000206530.11
chr3	10824	10879	-	ENST00000393845.9	CDS	ENSG00000206530.11
chr3	10879	10980	-	ENST00000393845.9	intron	ENSG00000206530.11
chr3	10980	11250	-	ENST00000393845.9	CDS	ENSG00000206530.11
chr3	11250	11351	-	ENST00000393845.9	intron	ENSG00000206530.11
chr3	11351	11496	-	ENST00000393845.9	CDS	ENSG00000206530.11
chr3	11496	11597	-	ENST00000393845.9	intron	ENSG00000206530.11
chr3	11597	11842	-	ENST00000393845.9	CDS	ENSG00000206530.11
chr3	11842	11943	-	ENST00000393845.9	intron	ENSG00000206530.11
chr3	11943	12104	-	ENST00000393845.9	CDS	ENSG00000206530.11
chr3	12104	12205	-	ENST00000393845.9	intron	ENSG00000206530.11
chr3	12205	12315	-	ENST00000393845.9	CDS	ENSG00000206530.11
chr3	12315	12416	-	ENST00000393845.9	intron	ENSG00000206530.11
chr3	12416	12625	-	ENST00000393845.9	CDS	ENSG00000206530.11
chr3	12625	12726	-	ENST00000393845.9	intron	ENSG00000206530.11
chr3	12726	12820	-	ENST00000393845.9	CDS	ENSG00000206530.11
chr3	12820	12921	-	ENST00000393845.9	intron	ENSG00000206530.11
chr3	12921	13020	-	ENST00000393845.9	CDS	ENSG00000206530.11
chr3	13020	13121	-	ENST00000393845.9	intron	ENSG00000206530.11
