seqnames	start	end	strand	transcript_id	type	gene_id
chr14	2	8045	-	ENST00000322893.12	UTR	NA
chr14	8046	8993	-	ENST00000322893.12	CDS	ENSG00000140015.20
chr14	8993	9844	-	ENST00000322893.12	intron	ENSG00000140015.20
chr14	9844	10040	-	ENST00000322893.12	CDS	ENSG00000140015.20
chr14	10040	10141	-	ENST00000322893.12	intron	ENSG00000140015.20
chr14	10141	10393	-	ENST00000322893.12	CDS	ENSG00000140015.20
chr14	10393	10494	-	ENST00000322893.12	intron	ENSG00000140015.20
chr14	10494	10693	-	ENST00000322893.12	CDS	ENSG00000140015.20
chr14	10693	10794	-	ENST00000322893.12	intron	ENSG00000140015.20
chr14	10794	11220	-	ENST00000322893.12	CDS	ENSG00000140015.20
chr14	11220	11321	-	ENST00000322893.12	intron	ENSG00000140015.20
chr14	11321	11713	-	ENST00000322893.12	CDS	ENSG00000140015.20
chr14	11713	12972	-	ENST00000322893.12	intron	ENSG00000140015.20
chr14	12972	13087	-	ENST00000322893.12	CDS	ENSG00000140015.20
chr14	13087	13961	-	ENST00000322893.12	intron	ENSG00000140015.20
chr14	13961	14089	-	ENST00000322893.12	CDS	ENSG00000140015.20
chr14	14089	14190	-	ENST00000322893.12	intron	ENSG00000140015.20
chr14	14190	14296	-	ENST00000322893.12	CDS	ENSG00000140015.20
chr14	14296	14397	-	ENST00000322893.12	intron	ENSG00000140015.20
chr14	14397	14520	-	ENST00000322893.12	CDS	ENSG00000140015.20
chr14	14520	14621	-	ENST00000322893.12	intron	ENSG00000140015.20
chr14	14621	14696	-	ENST00000322893.12	CDS	ENSG00000140015.20
chr14	14697	14965	-	ENST00000322893.12	UTR	NA
chr14	4025	8048	-	ONT14.1966.130	UTR	NA
chr14	8049	8993	-	ONT14.1966.130	CDS	KCNH5
chr14	8993	9844	-	ONT14.1966.130	intron	KCNH5
chr14	9844	10040	-	ONT14.1966.130	CDS	KCNH5
chr14	10040	10141	-	ONT14.1966.130	intron	KCNH5
chr14	10141	10393	-	ONT14.1966.130	CDS	KCNH5
chr14	10393	10494	-	ONT14.1966.130	intron	KCNH5
chr14	10494	10693	-	ONT14.1966.130	CDS	KCNH5
chr14	10693	10794	-	ONT14.1966.130	intron	KCNH5
chr14	10794	11220	-	ONT14.1966.130	CDS	KCNH5
chr14	11220	11321	-	ONT14.1966.130	intron	KCNH5
chr14	11321	11713	-	ONT14.1966.130	CDS	KCNH5
chr14	11713	12972	-	ONT14.1966.130	intron	KCNH5
chr14	12972	13087	-	ONT14.1966.130	CDS	KCNH5
chr14	13087	13961	-	ONT14.1966.130	intron	KCNH5
chr14	13961	14089	-	ONT14.1966.130	CDS	KCNH5
chr14	14089	14190	-	ONT14.1966.130	intron	KCNH5
chr14	14190	14296	-	ONT14.1966.130	CDS	KCNH5
chr14	14296	14397	-	ONT14.1966.130	intron	KCNH5
chr14	14397	14520	-	ONT14.1966.130	CDS	KCNH5
chr14	14520	14621	-	ONT14.1966.130	intron	KCNH5
chr14	14621	14696	-	ONT14.1966.130	CDS	KCNH5
chr14	14697	14965	-	ONT14.1966.130	UTR	NA
chr14	11814	12959	-	ONT14.1966.1630	UTR	NA
chr14	12960	13087	-	ONT14.1966.1630	CDS	KCNH5
chr14	13087	13961	-	ONT14.1966.1630	intron	KCNH5
chr14	13961	14089	-	ONT14.1966.1630	CDS	KCNH5
chr14	14089	14190	-	ONT14.1966.1630	intron	KCNH5
chr14	14190	14296	-	ONT14.1966.1630	CDS	KCNH5
chr14	14296	14397	-	ONT14.1966.1630	intron	KCNH5
chr14	14397	14520	-	ONT14.1966.1630	CDS	KCNH5
chr14	14520	14621	-	ONT14.1966.1630	intron	KCNH5
chr14	14621	14696	-	ONT14.1966.1630	CDS	KCNH5
chr14	14697	14977	-	ONT14.1966.1630	UTR	NA
chr14	13188	13916	-	ONT14.1966.1683	UTR	NA
chr14	13917	14089	-	ONT14.1966.1683	CDS	KCNH5
chr14	14089	14190	-	ONT14.1966.1683	intron	KCNH5
chr14	14190	14296	-	ONT14.1966.1683	CDS	KCNH5
chr14	14296	14397	-	ONT14.1966.1683	intron	KCNH5
chr14	14397	14520	-	ONT14.1966.1683	CDS	KCNH5
chr14	14520	14621	-	ONT14.1966.1683	intron	KCNH5
chr14	14621	14696	-	ONT14.1966.1683	CDS	KCNH5
chr14	14697	14981	-	ONT14.1966.1683	UTR	NA
chr14	7040	8048	-	ONT14.1966.193	UTR	NA
chr14	8049	8993	-	ONT14.1966.193	CDS	KCNH5
chr14	8993	9844	-	ONT14.1966.193	intron	KCNH5
chr14	9844	10040	-	ONT14.1966.193	CDS	KCNH5
chr14	10040	10141	-	ONT14.1966.193	intron	KCNH5
chr14	10141	10393	-	ONT14.1966.193	CDS	KCNH5
chr14	10393	10494	-	ONT14.1966.193	intron	KCNH5
chr14	10494	10693	-	ONT14.1966.193	CDS	KCNH5
chr14	10693	10794	-	ONT14.1966.193	intron	KCNH5
chr14	10794	11220	-	ONT14.1966.193	CDS	KCNH5
chr14	11220	11321	-	ONT14.1966.193	intron	KCNH5
chr14	11321	11713	-	ONT14.1966.193	CDS	KCNH5
chr14	11713	12972	-	ONT14.1966.193	intron	KCNH5
chr14	12972	13087	-	ONT14.1966.193	CDS	KCNH5
chr14	13087	13961	-	ONT14.1966.193	intron	KCNH5
chr14	13961	14089	-	ONT14.1966.193	CDS	KCNH5
chr14	14089	14190	-	ONT14.1966.193	intron	KCNH5
chr14	14190	14296	-	ONT14.1966.193	CDS	KCNH5
chr14	14296	14397	-	ONT14.1966.193	intron	KCNH5
chr14	14397	14520	-	ONT14.1966.193	CDS	KCNH5
chr14	14520	14621	-	ONT14.1966.193	intron	KCNH5
chr14	14621	14696	-	ONT14.1966.193	CDS	KCNH5
chr14	14697	14965	-	ONT14.1966.193	UTR	NA
chr14	7056	8048	-	ONT14.1966.205	UTR	NA
chr14	8049	8993	-	ONT14.1966.205	CDS	KCNH5
chr14	8993	9844	-	ONT14.1966.205	intron	KCNH5
chr14	9844	10040	-	ONT14.1966.205	CDS	KCNH5
chr14	10040	10141	-	ONT14.1966.205	intron	KCNH5
chr14	10141	10393	-	ONT14.1966.205	CDS	KCNH5
chr14	10393	10494	-	ONT14.1966.205	intron	KCNH5
chr14	10494	10550	-	ONT14.1966.205	CDS	KCNH5
chr14	10551	10597	-	ONT14.1966.205	UTR	NA
chr14	7771	8048	-	ONT14.1966.246	UTR	NA
chr14	8049	8672	-	ONT14.1966.246	CDS	KCNH5
chr14	8673	8993	-	ONT14.1966.246	UTR	NA
chr14	8993	9844	-	ONT14.1966.246	intron	NA
chr14	9844	10023	-	ONT14.1966.246	UTR	NA
chr14	7770	8048	-	ONT14.1966.247	UTR	NA
chr14	8049	8993	-	ONT14.1966.247	CDS	KCNH5
chr14	8993	9844	-	ONT14.1966.247	intron	KCNH5
chr14	9844	10040	-	ONT14.1966.247	CDS	KCNH5
chr14	10040	10141	-	ONT14.1966.247	intron	KCNH5
chr14	10141	10393	-	ONT14.1966.247	CDS	KCNH5
chr14	10393	10494	-	ONT14.1966.247	intron	KCNH5
chr14	10494	10693	-	ONT14.1966.247	CDS	KCNH5
chr14	10693	10794	-	ONT14.1966.247	intron	KCNH5
chr14	10794	11220	-	ONT14.1966.247	CDS	KCNH5
chr14	11220	11321	-	ONT14.1966.247	intron	KCNH5
chr14	11321	11410	-	ONT14.1966.247	CDS	KCNH5
chr14	11411	11494	-	ONT14.1966.247	UTR	NA
chr14	7770	8048	-	ONT14.1966.248	UTR	NA
chr14	8049	8993	-	ONT14.1966.248	CDS	KCNH5
chr14	8993	9844	-	ONT14.1966.248	intron	KCNH5
chr14	9844	10040	-	ONT14.1966.248	CDS	KCNH5
chr14	10040	10141	-	ONT14.1966.248	intron	KCNH5
chr14	10141	10393	-	ONT14.1966.248	CDS	KCNH5
chr14	10393	10494	-	ONT14.1966.248	intron	KCNH5
chr14	10494	10693	-	ONT14.1966.248	CDS	KCNH5
chr14	10693	10794	-	ONT14.1966.248	intron	KCNH5
chr14	10794	11220	-	ONT14.1966.248	CDS	KCNH5
chr14	11220	11321	-	ONT14.1966.248	intron	KCNH5
chr14	11321	11713	-	ONT14.1966.248	CDS	KCNH5
chr14	11713	12972	-	ONT14.1966.248	intron	KCNH5
chr14	12972	13087	-	ONT14.1966.248	CDS	KCNH5
chr14	13087	13961	-	ONT14.1966.248	intron	KCNH5
chr14	13961	14089	-	ONT14.1966.248	CDS	KCNH5
chr14	14089	14190	-	ONT14.1966.248	intron	KCNH5
chr14	14190	14296	-	ONT14.1966.248	CDS	KCNH5
chr14	14296	14397	-	ONT14.1966.248	intron	KCNH5
chr14	14397	14520	-	ONT14.1966.248	CDS	KCNH5
chr14	14520	14621	-	ONT14.1966.248	intron	KCNH5
chr14	14621	14696	-	ONT14.1966.248	CDS	KCNH5
chr14	14697	14981	-	ONT14.1966.248	UTR	NA
chr14	7775	8048	-	ONT14.1966.249	UTR	NA
chr14	8049	8993	-	ONT14.1966.249	CDS	KCNH5
chr14	8993	9844	-	ONT14.1966.249	intron	KCNH5
chr14	9844	10040	-	ONT14.1966.249	CDS	KCNH5
chr14	10040	10141	-	ONT14.1966.249	intron	KCNH5
chr14	10141	10393	-	ONT14.1966.249	CDS	KCNH5
chr14	10393	10494	-	ONT14.1966.249	intron	KCNH5
chr14	10494	10646	-	ONT14.1966.249	CDS	KCNH5
chr14	10647	10674	-	ONT14.1966.249	UTR	NA
chr14	7770	8048	-	ONT14.1966.260	UTR	NA
chr14	8049	8993	-	ONT14.1966.260	CDS	KCNH5
chr14	8993	9844	-	ONT14.1966.260	intron	KCNH5
chr14	9844	10040	-	ONT14.1966.260	CDS	KCNH5
chr14	10040	10141	-	ONT14.1966.260	intron	KCNH5
chr14	10141	10393	-	ONT14.1966.260	CDS	KCNH5
chr14	10393	10494	-	ONT14.1966.260	intron	KCNH5
chr14	10494	10693	-	ONT14.1966.260	CDS	KCNH5
chr14	10693	10794	-	ONT14.1966.260	intron	KCNH5
chr14	10794	10827	-	ONT14.1966.260	CDS	KCNH5
chr14	10828	10839	-	ONT14.1966.260	UTR	NA
chr14	7795	8048	-	ONT14.1966.267	UTR	NA
chr14	8049	8672	-	ONT14.1966.267	CDS	KCNH5
chr14	8673	8993	-	ONT14.1966.267	UTR	NA
chr14	8993	9844	-	ONT14.1966.267	intron	NA
chr14	9844	9943	-	ONT14.1966.267	UTR	NA
chr14	7770	8048	-	ONT14.1966.270	UTR	NA
chr14	8049	8993	-	ONT14.1966.270	CDS	KCNH5
chr14	8993	9844	-	ONT14.1966.270	intron	KCNH5
chr14	9844	10040	-	ONT14.1966.270	CDS	KCNH5
chr14	10040	10141	-	ONT14.1966.270	intron	KCNH5
chr14	10141	10372	-	ONT14.1966.270	CDS	KCNH5
chr14	10373	10393	-	ONT14.1966.270	UTR	NA
chr14	7770	8048	-	ONT14.1966.274	UTR	NA
chr14	8049	8993	-	ONT14.1966.274	CDS	KCNH5
chr14	8993	9844	-	ONT14.1966.274	intron	KCNH5
chr14	9844	10040	-	ONT14.1966.274	CDS	KCNH5
chr14	10040	10141	-	ONT14.1966.274	intron	KCNH5
chr14	10141	10393	-	ONT14.1966.274	CDS	KCNH5
chr14	10393	10494	-	ONT14.1966.274	intron	KCNH5
chr14	10494	10550	-	ONT14.1966.274	CDS	KCNH5
chr14	10551	10581	-	ONT14.1966.274	UTR	NA
chr14	9094	9544	-	ONT14.1966.350	UTR	NA
chr14	9545	9571	-	ONT14.1966.350	CDS	KCNH5
chr14	9571	9844	-	ONT14.1966.350	intron	KCNH5
chr14	9844	10040	-	ONT14.1966.350	CDS	KCNH5
chr14	10040	10141	-	ONT14.1966.350	intron	KCNH5
chr14	10141	10393	-	ONT14.1966.350	CDS	KCNH5
chr14	10393	10494	-	ONT14.1966.350	intron	KCNH5
chr14	10494	10693	-	ONT14.1966.350	CDS	KCNH5
chr14	10693	10794	-	ONT14.1966.350	intron	KCNH5
chr14	10794	11220	-	ONT14.1966.350	CDS	KCNH5
chr14	11220	11321	-	ONT14.1966.350	intron	KCNH5
chr14	11321	11713	-	ONT14.1966.350	CDS	KCNH5
chr14	11713	12972	-	ONT14.1966.350	intron	KCNH5
chr14	12972	13087	-	ONT14.1966.350	CDS	KCNH5
chr14	13087	13961	-	ONT14.1966.350	intron	KCNH5
chr14	13961	14089	-	ONT14.1966.350	CDS	KCNH5
chr14	14089	14190	-	ONT14.1966.350	intron	KCNH5
chr14	14190	14296	-	ONT14.1966.350	CDS	KCNH5
chr14	14296	14397	-	ONT14.1966.350	intron	KCNH5
chr14	14397	14520	-	ONT14.1966.350	CDS	KCNH5
chr14	14520	14621	-	ONT14.1966.350	intron	KCNH5
chr14	14621	14696	-	ONT14.1966.350	CDS	KCNH5
chr14	14697	15476	-	ONT14.1966.350	UTR	NA
chr14	9672	9795	-	ONT14.1966.553	UTR	NA
chr14	9796	10040	-	ONT14.1966.553	CDS	KCNH5
chr14	10040	10141	-	ONT14.1966.553	intron	KCNH5
chr14	10141	10393	-	ONT14.1966.553	CDS	KCNH5
chr14	10393	10494	-	ONT14.1966.553	intron	KCNH5
chr14	10494	10693	-	ONT14.1966.553	CDS	KCNH5
chr14	10693	10794	-	ONT14.1966.553	intron	KCNH5
chr14	10794	11220	-	ONT14.1966.553	CDS	KCNH5
chr14	11220	11321	-	ONT14.1966.553	intron	KCNH5
chr14	11321	11713	-	ONT14.1966.553	CDS	KCNH5
chr14	11713	12972	-	ONT14.1966.553	intron	KCNH5
chr14	12972	13087	-	ONT14.1966.553	CDS	KCNH5
chr14	13087	13961	-	ONT14.1966.553	intron	KCNH5
chr14	13961	14089	-	ONT14.1966.553	CDS	KCNH5
chr14	14089	14190	-	ONT14.1966.553	intron	KCNH5
chr14	14190	14296	-	ONT14.1966.553	CDS	KCNH5
chr14	14296	14397	-	ONT14.1966.553	intron	KCNH5
chr14	14397	14520	-	ONT14.1966.553	CDS	KCNH5
chr14	14520	14621	-	ONT14.1966.553	intron	KCNH5
chr14	14621	14696	-	ONT14.1966.553	CDS	KCNH5
chr14	14697	14957	-	ONT14.1966.553	UTR	NA
chr14	2	8993	-	ENST00000322893.12	exon	ENSG00000140015.20
chr14	8993	9845	-	ENST00000322893.12	intron	ENSG00000140015.20
chr14	9845	10041	-	ENST00000322893.12	exon	ENSG00000140015.20
chr14	10041	10142	-	ENST00000322893.12	intron	ENSG00000140015.20
chr14	10142	10394	-	ENST00000322893.12	exon	ENSG00000140015.20
chr14	10394	10495	-	ENST00000322893.12	intron	ENSG00000140015.20
chr14	10495	10694	-	ENST00000322893.12	exon	ENSG00000140015.20
chr14	10694	10795	-	ENST00000322893.12	intron	ENSG00000140015.20
chr14	10795	11221	-	ENST00000322893.12	exon	ENSG00000140015.20
chr14	11221	11322	-	ENST00000322893.12	intron	ENSG00000140015.20
chr14	11322	11714	-	ENST00000322893.12	exon	ENSG00000140015.20
chr14	11714	12973	-	ENST00000322893.12	intron	ENSG00000140015.20
chr14	12973	13088	-	ENST00000322893.12	exon	ENSG00000140015.20
chr14	13088	13962	-	ENST00000322893.12	intron	ENSG00000140015.20
chr14	13962	14090	-	ENST00000322893.12	exon	ENSG00000140015.20
chr14	14090	14191	-	ENST00000322893.12	intron	ENSG00000140015.20
chr14	14191	14297	-	ENST00000322893.12	exon	ENSG00000140015.20
chr14	14297	14398	-	ENST00000322893.12	intron	ENSG00000140015.20
chr14	14398	14521	-	ENST00000322893.12	exon	ENSG00000140015.20
chr14	14521	14622	-	ENST00000322893.12	intron	ENSG00000140015.20
chr14	14622	14966	-	ENST00000322893.12	exon	ENSG00000140015.20
chr14	4025	8993	-	ONT14.1966.130	exon	KCNH5
chr14	8993	9845	-	ONT14.1966.130	intron	KCNH5
chr14	9845	10041	-	ONT14.1966.130	exon	KCNH5
chr14	10041	10142	-	ONT14.1966.130	intron	KCNH5
chr14	10142	10394	-	ONT14.1966.130	exon	KCNH5
chr14	10394	10495	-	ONT14.1966.130	intron	KCNH5
chr14	10495	10694	-	ONT14.1966.130	exon	KCNH5
chr14	10694	10795	-	ONT14.1966.130	intron	KCNH5
chr14	10795	11221	-	ONT14.1966.130	exon	KCNH5
chr14	11221	11322	-	ONT14.1966.130	intron	KCNH5
chr14	11322	11714	-	ONT14.1966.130	exon	KCNH5
chr14	11714	12973	-	ONT14.1966.130	intron	KCNH5
chr14	12973	13088	-	ONT14.1966.130	exon	KCNH5
chr14	13088	13962	-	ONT14.1966.130	intron	KCNH5
chr14	13962	14090	-	ONT14.1966.130	exon	KCNH5
chr14	14090	14191	-	ONT14.1966.130	intron	KCNH5
chr14	14191	14297	-	ONT14.1966.130	exon	KCNH5
