seqnames	start	end	strand	transcript_id	type	gene_id
chr17	2	514	-	ENST00000618404.5	UTR	NA
chr17	515	602	-	ENST00000618404.5	CDS	ENSG00000276409.5
chr17	602	703	-	ENST00000618404.5	intron	ENSG00000276409.5
chr17	703	817	-	ENST00000618404.5	CDS	ENSG00000276409.5
chr17	817	918	-	ENST00000618404.5	intron	ENSG00000276409.5
chr17	918	999	-	ENST00000618404.5	CDS	ENSG00000276409.5
chr17	1000	1076	-	ENST00000618404.5	UTR	NA
chr17	373	517	-	ONT17.872.4441	UTR	NA
chr17	518	602	-	ONT17.872.4441	CDS	CCL14
chr17	602	703	-	ONT17.872.4441	intron	CCL14
chr17	703	817	-	ONT17.872.4441	CDS	CCL14
chr17	817	918	-	ONT17.872.4441	intron	CCL14
chr17	918	999	-	ONT17.872.4441	CDS	CCL14
chr17	1000	1075	-	ONT17.872.4441	UTR	NA
chr17	2	602	-	ENST00000618404.5	exon	ENSG00000276409.5
chr17	602	703	-	ENST00000618404.5	intron	ENSG00000276409.5
chr17	703	817	-	ENST00000618404.5	exon	ENSG00000276409.5
chr17	817	918	-	ENST00000618404.5	intron	ENSG00000276409.5
chr17	918	1076	-	ENST00000618404.5	exon	ENSG00000276409.5
chr17	373	602	-	ONT17.872.4441	exon	CCL14
chr17	602	703	-	ONT17.872.4441	intron	CCL14
chr17	703	817	-	ONT17.872.4441	exon	CCL14
chr17	817	918	-	ONT17.872.4441	intron	CCL14
chr17	918	1075	-	ONT17.872.4441	exon	CCL14
