seqnames	start	end	strand	transcript_id	type	gene_id
chr15	2	2923	-	ENST00000299213.10	UTR	NA
chr15	2924	3988	-	ENST00000299213.10	CDS	ENSG00000166173.11
chr15	3988	4109	-	ENST00000299213.10	intron	ENSG00000166173.11
chr15	4109	4319	-	ENST00000299213.10	CDS	ENSG00000166173.11
chr15	4319	5527	-	ENST00000299213.10	intron	ENSG00000166173.11
chr15	5527	5729	-	ENST00000299213.10	CDS	ENSG00000166173.11
chr15	5730	5795	-	ENST00000299213.10	UTR	NA
chr15	1754	2926	-	ONT15.1787.194	UTR	NA
chr15	2927	3988	-	ONT15.1787.194	CDS	LARP6
chr15	3988	4109	-	ONT15.1787.194	intron	LARP6
chr15	4109	4319	-	ONT15.1787.194	CDS	LARP6
chr15	4319	5527	-	ONT15.1787.194	intron	LARP6
chr15	5527	5729	-	ONT15.1787.194	CDS	LARP6
chr15	5730	5819	-	ONT15.1787.194	UTR	NA
chr15	2426	2926	-	ONT15.1787.199	UTR	NA
chr15	2927	3850	-	ONT15.1787.199	CDS	LARP6
chr15	3851	3988	-	ONT15.1787.199	UTR	NA
chr15	3988	4109	-	ONT15.1787.199	intron	NA
chr15	4109	4317	-	ONT15.1787.199	UTR	NA
chr15	2425	2926	-	ONT15.1787.200	UTR	NA
chr15	2927	3988	-	ONT15.1787.200	CDS	LARP6
chr15	3988	4109	-	ONT15.1787.200	intron	LARP6
chr15	4109	4319	-	ONT15.1787.200	CDS	LARP6
chr15	4319	5527	-	ONT15.1787.200	intron	LARP6
chr15	5527	5729	-	ONT15.1787.200	CDS	LARP6
chr15	5730	5800	-	ONT15.1787.200	UTR	NA
chr15	2425	3988	-	ONT15.1787.205	UTR	NA
chr15	3988	4109	-	ONT15.1787.205	intron	NA
chr15	4109	4245	-	ONT15.1787.205	UTR	NA
chr15	4246	4246	-	ONT15.1787.205	CDS	LARP6
chr15	4246	5638	-	ONT15.1787.205	intron	LARP6
chr15	5638	5729	-	ONT15.1787.205	CDS	LARP6
chr15	5730	5818	-	ONT15.1787.205	UTR	NA
chr15	2425	2926	-	ONT15.1787.211	UTR	NA
chr15	2927	3850	-	ONT15.1787.211	CDS	LARP6
chr15	3851	3988	-	ONT15.1787.211	UTR	NA
chr15	3988	4109	-	ONT15.1787.211	intron	NA
chr15	4109	4319	-	ONT15.1787.211	UTR	NA
chr15	4319	5231	-	ONT15.1787.211	intron	NA
chr15	5231	5401	-	ONT15.1787.211	UTR	NA
chr15	2401	2926	-	ONT15.1787.212	UTR	NA
chr15	2927	3988	-	ONT15.1787.212	CDS	LARP6
chr15	3988	4109	-	ONT15.1787.212	intron	LARP6
chr15	4109	4319	-	ONT15.1787.212	CDS	LARP6
chr15	4319	5584	-	ONT15.1787.212	intron	LARP6
chr15	5584	5729	-	ONT15.1787.212	CDS	LARP6
chr15	5730	5803	-	ONT15.1787.212	UTR	NA
chr15	2402	3987	-	ONT15.1787.213	UTR	NA
chr15	3988	4008	-	ONT15.1787.213	CDS	LARP6
chr15	4008	4142	-	ONT15.1787.213	intron	LARP6
chr15	4142	4319	-	ONT15.1787.213	CDS	LARP6
chr15	4319	5527	-	ONT15.1787.213	intron	LARP6
chr15	5527	5729	-	ONT15.1787.213	CDS	LARP6
chr15	5730	5759	-	ONT15.1787.213	UTR	NA
chr15	2422	3988	-	ONT15.1787.215	UTR	NA
chr15	3988	4109	-	ONT15.1787.215	intron	NA
