seqnames	start	end	strand	transcript_id	type	gene_id
chr7	12948	15592	-	ENST00000310758.9	UTR	NA
chr7	15593	15793	-	ENST00000310758.9	CDS	ENSG00000155849.16
chr7	15793	18642	-	ENST00000310758.9	intron	ENSG00000155849.16
chr7	18642	18719	-	ENST00000310758.9	CDS	ENSG00000155849.16
chr7	18719	19911	-	ENST00000310758.9	intron	ENSG00000155849.16
chr7	19911	19993	-	ENST00000310758.9	CDS	ENSG00000155849.16
chr7	19993	23298	-	ENST00000310758.9	intron	ENSG00000155849.16
chr7	23298	23405	-	ENST00000310758.9	CDS	ENSG00000155849.16
chr7	23405	28404	-	ENST00000310758.9	intron	ENSG00000155849.16
chr7	28404	28516	-	ENST00000310758.9	CDS	ENSG00000155849.16
chr7	28516	34297	-	ENST00000310758.9	intron	ENSG00000155849.16
chr7	34297	34460	-	ENST00000310758.9	CDS	ENSG00000155849.16
chr7	34460	40958	-	ENST00000310758.9	intron	ENSG00000155849.16
chr7	40958	41094	-	ENST00000310758.9	CDS	ENSG00000155849.16
chr7	41094	44526	-	ENST00000310758.9	intron	ENSG00000155849.16
chr7	44526	44634	-	ENST00000310758.9	CDS	ENSG00000155849.16
chr7	44634	45003	-	ENST00000310758.9	intron	ENSG00000155849.16
chr7	45003	45107	-	ENST00000310758.9	CDS	ENSG00000155849.16
chr7	45107	49320	-	ENST00000310758.9	intron	ENSG00000155849.16
chr7	49320	49451	-	ENST00000310758.9	CDS	ENSG00000155849.16
chr7	49451	49559	-	ENST00000310758.9	intron	ENSG00000155849.16
chr7	49559	49681	-	ENST00000310758.9	CDS	ENSG00000155849.16
chr7	49681	50531	-	ENST00000310758.9	intron	ENSG00000155849.16
chr7	50531	50581	-	ENST00000310758.9	CDS	ENSG00000155849.16
chr7	50581	52376	-	ENST00000310758.9	intron	ENSG00000155849.16
chr7	52376	52454	-	ENST00000310758.9	CDS	ENSG00000155849.16
chr7	52454	52610	-	ENST00000310758.9	intron	ENSG00000155849.16
chr7	52610	52761	-	ENST00000310758.9	CDS	ENSG00000155849.16
chr7	52761	53830	-	ENST00000310758.9	intron	ENSG00000155849.16
chr7	53830	53929	-	ENST00000310758.9	CDS	ENSG00000155849.16
chr7	53929	54884	-	ENST00000310758.9	intron	ENSG00000155849.16
chr7	54884	54919	-	ENST00000310758.9	CDS	ENSG00000155849.16
chr7	54919	55144	-	ENST00000310758.9	intron	ENSG00000155849.16
chr7	55144	55313	-	ENST00000310758.9	CDS	ENSG00000155849.16
chr7	55313	55566	-	ENST00000310758.9	intron	ENSG00000155849.16
chr7	55566	55616	-	ENST00000310758.9	CDS	ENSG00000155849.16
chr7	55616	56247	-	ENST00000310758.9	intron	ENSG00000155849.16
chr7	56247	56319	-	ENST00000310758.9	CDS	ENSG00000155849.16
chr7	56319	56440	-	ENST00000310758.9	intron	ENSG00000155849.16
chr7	56440	56480	-	ENST00000310758.9	CDS	ENSG00000155849.16
chr7	56480	56809	-	ENST00000310758.9	intron	ENSG00000155849.16
chr7	56809	56889	-	ENST00000310758.9	CDS	ENSG00000155849.16
chr7	56890	56959	-	ENST00000310758.9	UTR	NA
chr7	56959	61007	-	ENST00000310758.9	intron	NA
chr7	61007	61196	-	ENST00000310758.9	UTR	NA
chr7	14407	15595	-	ONT7.1361.10009	UTR	NA
chr7	15596	15732	-	ONT7.1361.10009	CDS	ELMO1
chr7	15732	15745	-	ONT7.1361.10009	intron	ELMO1
chr7	15745	15793	-	ONT7.1361.10009	CDS	ELMO1
chr7	15793	18642	-	ONT7.1361.10009	intron	ELMO1
chr7	18642	18719	-	ONT7.1361.10009	CDS	ELMO1
chr7	18719	19911	-	ONT7.1361.10009	intron	ELMO1
chr7	19911	19993	-	ONT7.1361.10009	CDS	ELMO1
chr7	19993	23298	-	ONT7.1361.10009	intron	ELMO1
chr7	23298	23405	-	ONT7.1361.10009	CDS	ELMO1
chr7	23405	28404	-	ONT7.1361.10009	intron	ELMO1
chr7	28404	28516	-	ONT7.1361.10009	CDS	ELMO1
chr7	28516	34297	-	ONT7.1361.10009	intron	ELMO1
chr7	34297	34460	-	ONT7.1361.10009	CDS	ELMO1
chr7	34460	38938	-	ONT7.1361.10009	intron	NA
chr7	38938	39149	-	ONT7.1361.10009	UTR	NA
chr7	14407	15793	-	ONT7.1361.10038	UTR	NA
chr7	15793	18642	-	ONT7.1361.10038	intron	NA
chr7	18642	18670	-	ONT7.1361.10038	UTR	NA
chr7	18671	18719	-	ONT7.1361.10038	CDS	ELMO1
chr7	18719	19931	-	ONT7.1361.10038	intron	ELMO1
