seqnames	start	end	strand	transcript_id	type	gene_id
chr20	370	1958	-	ENST00000359801.8	UTR	NA
chr20	1959	2128	-	ENST00000359801.8	CDS	ENSG00000196209.13
chr20	2128	2229	-	ENST00000359801.8	intron	ENSG00000196209.13
chr20	2229	2294	-	ENST00000359801.8	CDS	ENSG00000196209.13
chr20	2294	2818	-	ENST00000359801.8	intron	ENSG00000196209.13
chr20	2818	3159	-	ENST00000359801.8	CDS	ENSG00000196209.13
chr20	3159	3260	-	ENST00000359801.8	intron	ENSG00000196209.13
chr20	3260	3625	-	ENST00000359801.8	CDS	ENSG00000196209.13
chr20	3625	3726	-	ENST00000359801.8	intron	ENSG00000196209.13
chr20	3726	3813	-	ENST00000359801.8	CDS	ENSG00000196209.13
chr20	3814	3871	-	ENST00000359801.8	UTR	NA
chr20	2	1961	-	ONT20.79.7022	UTR	NA
chr20	1962	2128	-	ONT20.79.7022	CDS	SIRPB2
chr20	2128	2229	-	ONT20.79.7022	intron	SIRPB2
chr20	2229	2294	-	ONT20.79.7022	CDS	SIRPB2
chr20	2294	2818	-	ONT20.79.7022	intron	SIRPB2
chr20	2818	3159	-	ONT20.79.7022	CDS	SIRPB2
chr20	3159	3554	-	ONT20.79.7022	intron	SIRPB2
chr20	3554	3625	-	ONT20.79.7022	CDS	SIRPB2
chr20	3625	3726	-	ONT20.79.7022	intron	SIRPB2
chr20	3726	3813	-	ONT20.79.7022	CDS	SIRPB2
chr20	3814	3894	-	ONT20.79.7022	UTR	NA
chr20	7	1961	-	ONT20.79.7024	UTR	NA
chr20	1962	2128	-	ONT20.79.7024	CDS	SIRPB2
chr20	2128	2229	-	ONT20.79.7024	intron	SIRPB2
chr20	2229	2294	-	ONT20.79.7024	CDS	SIRPB2
chr20	2294	2818	-	ONT20.79.7024	intron	SIRPB2
chr20	2818	3159	-	ONT20.79.7024	CDS	SIRPB2
chr20	3159	3554	-	ONT20.79.7024	intron	SIRPB2
chr20	3554	3625	-	ONT20.79.7024	CDS	SIRPB2
chr20	3625	3726	-	ONT20.79.7024	intron	SIRPB2
chr20	3726	3813	-	ONT20.79.7024	CDS	SIRPB2
chr20	3814	3835	-	ONT20.79.7024	UTR	NA
chr20	2395	2500	-	ONT20.79.7050	UTR	NA
chr20	2501	3159	-	ONT20.79.7050	CDS	SIRPB2
chr20	3159	3260	-	ONT20.79.7050	intron	SIRPB2
chr20	3260	3625	-	ONT20.79.7050	CDS	SIRPB2
chr20	3625	3726	-	ONT20.79.7050	intron	SIRPB2
chr20	3726	3813	-	ONT20.79.7050	CDS	SIRPB2
chr20	3814	3923	-	ONT20.79.7050	UTR	NA
chr20	370	2128	-	ENST00000359801.8	exon	ENSG00000196209.13
chr20	2128	2229	-	ENST00000359801.8	intron	ENSG00000196209.13
chr20	2229	2294	-	ENST00000359801.8	exon	ENSG00000196209.13
chr20	2294	2818	-	ENST00000359801.8	intron	ENSG00000196209.13
chr20	2818	3159	-	ENST00000359801.8	exon	ENSG00000196209.13
chr20	3159	3260	-	ENST00000359801.8	intron	ENSG00000196209.13
chr20	3260	3625	-	ENST00000359801.8	exon	ENSG00000196209.13
chr20	3625	3726	-	ENST00000359801.8	intron	ENSG00000196209.13
chr20	3726	3871	-	ENST00000359801.8	exon	ENSG00000196209.13
chr20	2	2128	-	ONT20.79.7022	exon	SIRPB2
chr20	2128	2229	-	ONT20.79.7022	intron	SIRPB2
chr20	2229	2294	-	ONT20.79.7022	exon	SIRPB2
chr20	2294	2818	-	ONT20.79.7022	intron	SIRPB2
chr20	2818	3159	-	ONT20.79.7022	exon	SIRPB2
chr20	3159	3554	-	ONT20.79.7022	intron	SIRPB2
chr20	3554	3625	-	ONT20.79.7022	exon	SIRPB2
chr20	3625	3726	-	ONT20.79.7022	intron	SIRPB2
chr20	3726	3894	-	ONT20.79.7022	exon	SIRPB2
chr20	7	2128	-	ONT20.79.7024	exon	SIRPB2
chr20	2128	2229	-	ONT20.79.7024	intron	SIRPB2
chr20	2229	2294	-	ONT20.79.7024	exon	SIRPB2
chr20	2294	2818	-	ONT20.79.7024	intron	SIRPB2
chr20	2818	3159	-	ONT20.79.7024	exon	SIRPB2
chr20	3159	3554	-	ONT20.79.7024	intron	SIRPB2
chr20	3554	3625	-	ONT20.79.7024	exon	SIRPB2
chr20	3625	3726	-	ONT20.79.7024	intron	SIRPB2
chr20	3726	3835	-	ONT20.79.7024	exon	SIRPB2
chr20	2395	3159	-	ONT20.79.7050	exon	SIRPB2
chr20	3159	3260	-	ONT20.79.7050	intron	SIRPB2
chr20	3260	3625	-	ONT20.79.7050	exon	SIRPB2
chr20	3625	3726	-	ONT20.79.7050	intron	SIRPB2
chr20	3726	3923	-	ONT20.79.7050	exon	SIRPB2
