seqnames	start	end	strand	transcript_id	type	gene_id
chr4	75	256	+	ENST00000379987.7	UTR	NA
chr4	257	327	+	ENST00000379987.7	CDS	ENSG00000168743.13
chr4	327	428	+	ENST00000379987.7	intron	ENSG00000168743.13
chr4	428	528	+	ENST00000379987.7	CDS	ENSG00000168743.13
chr4	528	780	+	ENST00000379987.7	intron	ENSG00000168743.13
chr4	780	872	+	ENST00000379987.7	CDS	ENSG00000168743.13
chr4	872	973	+	ENST00000379987.7	intron	ENSG00000168743.13
chr4	973	1092	+	ENST00000379987.7	CDS	ENSG00000168743.13
chr4	1092	1193	+	ENST00000379987.7	intron	ENSG00000168743.13
chr4	1193	1312	+	ENST00000379987.7	CDS	ENSG00000168743.13
chr4	1312	1413	+	ENST00000379987.7	intron	ENSG00000168743.13
chr4	1413	1547	+	ENST00000379987.7	CDS	ENSG00000168743.13
chr4	1547	1649	+	ENST00000379987.7	intron	ENSG00000168743.13
chr4	1649	1771	+	ENST00000379987.7	CDS	ENSG00000168743.13
chr4	1771	1872	+	ENST00000379987.7	intron	ENSG00000168743.13
chr4	1872	2267	+	ENST00000379987.7	CDS	ENSG00000168743.13
chr4	2267	2368	+	ENST00000379987.7	intron	ENSG00000168743.13
chr4	2368	2454	+	ENST00000379987.7	CDS	ENSG00000168743.13
chr4	2454	2555	+	ENST00000379987.7	intron	ENSG00000168743.13
chr4	2555	2653	+	ENST00000379987.7	CDS	ENSG00000168743.13
chr4	2653	2754	+	ENST00000379987.7	intron	ENSG00000168743.13
chr4	2754	3010	+	ENST00000379987.7	CDS	ENSG00000168743.13
chr4	3010	3111	+	ENST00000379987.7	intron	ENSG00000168743.13
chr4	3111	3209	+	ENST00000379987.7	CDS	ENSG00000168743.13
chr4	3210	5887	+	ENST00000379987.7	UTR	NA
chr4	2	256	+	ONT4.7366.1726	UTR	NA
chr4	257	327	+	ONT4.7366.1726	CDS	NPNT
chr4	327	428	+	ONT4.7366.1726	intron	NPNT
chr4	428	528	+	ONT4.7366.1726	CDS	NPNT
chr4	528	780	+	ONT4.7366.1726	intron	NPNT
chr4	780	872	+	ONT4.7366.1726	CDS	NPNT
chr4	872	973	+	ONT4.7366.1726	intron	NPNT
chr4	973	1092	+	ONT4.7366.1726	CDS	NPNT
chr4	1092	1193	+	ONT4.7366.1726	intron	NPNT
chr4	1193	1312	+	ONT4.7366.1726	CDS	NPNT
chr4	1312	1413	+	ONT4.7366.1726	intron	NPNT
chr4	1413	1547	+	ONT4.7366.1726	CDS	NPNT
chr4	1547	1649	+	ONT4.7366.1726	intron	NPNT
chr4	1649	1771	+	ONT4.7366.1726	CDS	NPNT
chr4	1771	1872	+	ONT4.7366.1726	intron	NPNT
chr4	1872	2267	+	ONT4.7366.1726	CDS	NPNT
chr4	2267	2368	+	ONT4.7366.1726	intron	NPNT
chr4	2368	2454	+	ONT4.7366.1726	CDS	NPNT
chr4	2454	2555	+	ONT4.7366.1726	intron	NPNT
chr4	2555	2653	+	ONT4.7366.1726	CDS	NPNT
chr4	2653	2754	+	ONT4.7366.1726	intron	NPNT
chr4	2754	3010	+	ONT4.7366.1726	CDS	NPNT
chr4	3010	3111	+	ONT4.7366.1726	intron	NPNT
chr4	3111	3206	+	ONT4.7366.1726	CDS	NPNT
chr4	3207	5886	+	ONT4.7366.1726	UTR	NA
chr4	41	256	+	ONT4.7366.1730	UTR	NA
chr4	257	327	+	ONT4.7366.1730	CDS	NPNT
chr4	327	428	+	ONT4.7366.1730	intron	NPNT
chr4	428	528	+	ONT4.7366.1730	CDS	NPNT
chr4	528	629	+	ONT4.7366.1730	intron	NPNT
chr4	629	679	+	ONT4.7366.1730	CDS	NPNT
chr4	679	780	+	ONT4.7366.1730	intron	NPNT
chr4	780	872	+	ONT4.7366.1730	CDS	NPNT
chr4	872	973	+	ONT4.7366.1730	intron	NPNT
chr4	973	1092	+	ONT4.7366.1730	CDS	NPNT
chr4	1092	1193	+	ONT4.7366.1730	intron	NPNT
chr4	1193	1312	+	ONT4.7366.1730	CDS	NPNT
chr4	1312	1413	+	ONT4.7366.1730	intron	NPNT
chr4	1413	1547	+	ONT4.7366.1730	CDS	NPNT
chr4	1547	1649	+	ONT4.7366.1730	intron	NPNT
chr4	1649	1771	+	ONT4.7366.1730	CDS	NPNT
chr4	1771	1872	+	ONT4.7366.1730	intron	NPNT
chr4	1872	2267	+	ONT4.7366.1730	CDS	NPNT
chr4	2267	2368	+	ONT4.7366.1730	intron	NPNT
chr4	2368	2454	+	ONT4.7366.1730	CDS	NPNT
chr4	2454	2555	+	ONT4.7366.1730	intron	NPNT
chr4	2555	2653	+	ONT4.7366.1730	CDS	NPNT
chr4	2653	2754	+	ONT4.7366.1730	intron	NPNT
chr4	2754	3010	+	ONT4.7366.1730	CDS	NPNT
chr4	3010	3111	+	ONT4.7366.1730	intron	NPNT
chr4	3111	3206	+	ONT4.7366.1730	CDS	NPNT
chr4	3207	5880	+	ONT4.7366.1730	UTR	NA
chr4	45	256	+	ONT4.7366.1733	UTR	NA
chr4	257	327	+	ONT4.7366.1733	CDS	NPNT
chr4	327	428	+	ONT4.7366.1733	intron	NPNT
chr4	428	528	+	ONT4.7366.1733	CDS	NPNT
chr4	528	780	+	ONT4.7366.1733	intron	NPNT
chr4	780	872	+	ONT4.7366.1733	CDS	NPNT
chr4	872	973	+	ONT4.7366.1733	intron	NPNT
chr4	973	1092	+	ONT4.7366.1733	CDS	NPNT
chr4	1092	1193	+	ONT4.7366.1733	intron	NPNT
chr4	1193	1312	+	ONT4.7366.1733	CDS	NPNT
chr4	1312	1413	+	ONT4.7366.1733	intron	NPNT
chr4	1413	1547	+	ONT4.7366.1733	CDS	NPNT
chr4	1547	1649	+	ONT4.7366.1733	intron	NPNT
chr4	1649	1771	+	ONT4.7366.1733	CDS	NPNT
chr4	1771	1872	+	ONT4.7366.1733	intron	NPNT
chr4	1872	2267	+	ONT4.7366.1733	CDS	NPNT
chr4	2267	2368	+	ONT4.7366.1733	intron	NPNT
chr4	2368	2454	+	ONT4.7366.1733	CDS	NPNT
chr4	2454	2555	+	ONT4.7366.1733	intron	NPNT
chr4	2555	2653	+	ONT4.7366.1733	CDS	NPNT
chr4	2653	3111	+	ONT4.7366.1733	intron	NPNT
chr4	3111	3127	+	ONT4.7366.1733	CDS	NPNT
chr4	3128	5887	+	ONT4.7366.1733	UTR	NA
chr4	45	256	+	ONT4.7366.1739	UTR	NA
chr4	257	327	+	ONT4.7366.1739	CDS	NPNT
chr4	327	428	+	ONT4.7366.1739	intron	NPNT
chr4	428	528	+	ONT4.7366.1739	CDS	NPNT
chr4	528	780	+	ONT4.7366.1739	intron	NPNT
chr4	780	872	+	ONT4.7366.1739	CDS	NPNT
chr4	872	973	+	ONT4.7366.1739	intron	NPNT
chr4	973	1092	+	ONT4.7366.1739	CDS	NPNT
chr4	1092	1193	+	ONT4.7366.1739	intron	NPNT
chr4	1193	1312	+	ONT4.7366.1739	CDS	NPNT
chr4	1312	1413	+	ONT4.7366.1739	intron	NPNT
chr4	1413	1547	+	ONT4.7366.1739	CDS	NPNT
chr4	1547	1649	+	ONT4.7366.1739	intron	NPNT
chr4	1649	1771	+	ONT4.7366.1739	CDS	NPNT
chr4	1771	1872	+	ONT4.7366.1739	intron	NPNT
chr4	1872	2204	+	ONT4.7366.1739	CDS	NPNT
chr4	2204	3840	+	ONT4.7366.1739	intron	NPNT
chr4	3840	3859	+	ONT4.7366.1739	CDS	NPNT
chr4	3860	5882	+	ONT4.7366.1739	UTR	NA
chr4	101	256	+	ONT4.7366.1742	UTR	NA
chr4	257	327	+	ONT4.7366.1742	CDS	NPNT
chr4	327	428	+	ONT4.7366.1742	intron	NPNT
chr4	428	528	+	ONT4.7366.1742	CDS	NPNT
chr4	528	780	+	ONT4.7366.1742	intron	NPNT
chr4	780	872	+	ONT4.7366.1742	CDS	NPNT
chr4	872	973	+	ONT4.7366.1742	intron	NPNT
chr4	973	1092	+	ONT4.7366.1742	CDS	NPNT
chr4	1092	1193	+	ONT4.7366.1742	intron	NPNT
chr4	1193	1312	+	ONT4.7366.1742	CDS	NPNT
chr4	1312	1413	+	ONT4.7366.1742	intron	NPNT
chr4	1413	1547	+	ONT4.7366.1742	CDS	NPNT
chr4	1547	1649	+	ONT4.7366.1742	intron	NPNT
chr4	1649	1771	+	ONT4.7366.1742	CDS	NPNT
chr4	1771	1872	+	ONT4.7366.1742	intron	NPNT
chr4	1872	2267	+	ONT4.7366.1742	CDS	NPNT
chr4	2267	2368	+	ONT4.7366.1742	intron	NPNT
chr4	2368	2454	+	ONT4.7366.1742	CDS	NPNT
chr4	2454	2555	+	ONT4.7366.1742	intron	NPNT
chr4	2555	2653	+	ONT4.7366.1742	CDS	NPNT
chr4	2653	2754	+	ONT4.7366.1742	intron	NPNT
chr4	2754	3010	+	ONT4.7366.1742	CDS	NPNT
chr4	3010	3111	+	ONT4.7366.1742	intron	NPNT
chr4	3111	3206	+	ONT4.7366.1742	CDS	NPNT
chr4	3207	5885	+	ONT4.7366.1742	UTR	NA
chr4	112	256	+	ONT4.7366.1775	UTR	NA
chr4	257	327	+	ONT4.7366.1775	CDS	NPNT
chr4	327	428	+	ONT4.7366.1775	intron	NPNT
chr4	428	528	+	ONT4.7366.1775	CDS	NPNT
chr4	528	629	+	ONT4.7366.1775	intron	NPNT
chr4	629	679	+	ONT4.7366.1775	CDS	NPNT
chr4	679	780	+	ONT4.7366.1775	intron	NPNT
chr4	780	872	+	ONT4.7366.1775	CDS	NPNT
chr4	872	973	+	ONT4.7366.1775	intron	NPNT
chr4	973	1092	+	ONT4.7366.1775	CDS	NPNT
chr4	1092	1193	+	ONT4.7366.1775	intron	NPNT
chr4	1193	1312	+	ONT4.7366.1775	CDS	NPNT
chr4	1312	1413	+	ONT4.7366.1775	intron	NPNT
chr4	1413	1547	+	ONT4.7366.1775	CDS	NPNT
chr4	1547	1649	+	ONT4.7366.1775	intron	NPNT
chr4	1649	1769	+	ONT4.7366.1775	CDS	NPNT
chr4	1769	1872	+	ONT4.7366.1775	intron	NPNT
