seqnames	start	end	strand	transcript_id	type	gene_id
chr3	303	466	+	ENST00000324210.10	UTR	NA
chr3	466	1377	+	ENST00000324210.10	intron	NA
chr3	1377	2165	+	ENST00000324210.10	UTR	NA
chr3	2166	2339	+	ENST00000324210.10	CDS	ENSG00000152601.18
chr3	2339	2440	+	ENST00000324210.10	intron	ENSG00000152601.18
chr3	2440	2610	+	ENST00000324210.10	CDS	ENSG00000152601.18
chr3	2610	2712	+	ENST00000324210.10	intron	ENSG00000152601.18
chr3	2712	2915	+	ENST00000324210.10	CDS	ENSG00000152601.18
chr3	2915	3865	+	ENST00000324210.10	intron	ENSG00000152601.18
chr3	3865	4122	+	ENST00000324210.10	CDS	ENSG00000152601.18
chr3	4122	4753	+	ENST00000324210.10	intron	ENSG00000152601.18
chr3	4753	4906	+	ENST00000324210.10	CDS	ENSG00000152601.18
chr3	4906	5007	+	ENST00000324210.10	intron	ENSG00000152601.18
chr3	5007	5042	+	ENST00000324210.10	CDS	ENSG00000152601.18
chr3	5042	5177	+	ENST00000324210.10	intron	ENSG00000152601.18
chr3	5177	5271	+	ENST00000324210.10	CDS	ENSG00000152601.18
chr3	5271	5372	+	ENST00000324210.10	intron	ENSG00000152601.18
chr3	5372	5431	+	ENST00000324210.10	CDS	ENSG00000152601.18
chr3	5432	5446	+	ENST00000324210.10	UTR	NA
chr3	5446	5547	+	ENST00000324210.10	intron	NA
chr3	5547	8942	+	ENST00000324210.10	UTR	NA
chr3	1042	1270	+	ONT3.7300.1003	UTR	NA
chr3	1270	1377	+	ONT3.7300.1003	intron	NA
chr3	1377	2165	+	ONT3.7300.1003	UTR	NA
chr3	2166	2339	+	ONT3.7300.1003	CDS	MBNL1
chr3	2339	2440	+	ONT3.7300.1003	intron	MBNL1
chr3	2440	2610	+	ONT3.7300.1003	CDS	MBNL1
chr3	2610	2712	+	ONT3.7300.1003	intron	MBNL1
chr3	2712	2915	+	ONT3.7300.1003	CDS	MBNL1
chr3	2915	3865	+	ONT3.7300.1003	intron	MBNL1
chr3	3865	4122	+	ONT3.7300.1003	CDS	MBNL1
chr3	4122	4227	+	ONT3.7300.1003	intron	MBNL1
chr3	4227	4280	+	ONT3.7300.1003	CDS	MBNL1
chr3	4280	4753	+	ONT3.7300.1003	intron	MBNL1
chr3	4753	4906	+	ONT3.7300.1003	CDS	MBNL1
chr3	4906	5007	+	ONT3.7300.1003	intron	MBNL1
chr3	5007	5042	+	ONT3.7300.1003	CDS	MBNL1
chr3	5042	5177	+	ONT3.7300.1003	intron	MBNL1
chr3	5177	5271	+	ONT3.7300.1003	CDS	MBNL1
chr3	5271	5372	+	ONT3.7300.1003	intron	MBNL1
chr3	5372	5428	+	ONT3.7300.1003	CDS	MBNL1
chr3	5429	5446	+	ONT3.7300.1003	UTR	NA
chr3	5446	5547	+	ONT3.7300.1003	intron	NA
chr3	5547	8942	+	ONT3.7300.1003	UTR	NA
chr3	1014	1270	+	ONT3.7300.1004	UTR	NA
chr3	1270	1377	+	ONT3.7300.1004	intron	NA
chr3	1377	2165	+	ONT3.7300.1004	UTR	NA
chr3	2166	2339	+	ONT3.7300.1004	CDS	MBNL1
chr3	2339	2440	+	ONT3.7300.1004	intron	MBNL1
chr3	2440	2610	+	ONT3.7300.1004	CDS	MBNL1
chr3	2610	2712	+	ONT3.7300.1004	intron	MBNL1
chr3	2712	2915	+	ONT3.7300.1004	CDS	MBNL1
chr3	2915	3865	+	ONT3.7300.1004	intron	MBNL1
chr3	3865	4122	+	ONT3.7300.1004	CDS	MBNL1
chr3	4122	4227	+	ONT3.7300.1004	intron	MBNL1
chr3	4227	4280	+	ONT3.7300.1004	CDS	MBNL1
chr3	4280	4753	+	ONT3.7300.1004	intron	MBNL1
chr3	4753	4906	+	ONT3.7300.1004	CDS	MBNL1
chr3	4906	5007	+	ONT3.7300.1004	intron	MBNL1
chr3	5007	5042	+	ONT3.7300.1004	CDS	MBNL1
chr3	5042	5177	+	ONT3.7300.1004	intron	MBNL1
chr3	5177	5271	+	ONT3.7300.1004	CDS	MBNL1
chr3	5271	5372	+	ONT3.7300.1004	intron	MBNL1
chr3	5372	5428	+	ONT3.7300.1004	CDS	MBNL1
chr3	5429	5446	+	ONT3.7300.1004	UTR	NA
chr3	5446	5547	+	ONT3.7300.1004	intron	NA
chr3	5547	6862	+	ONT3.7300.1004	UTR	NA
chr3	1030	1270	+	ONT3.7300.1008	UTR	NA
chr3	1270	1377	+	ONT3.7300.1008	intron	NA
chr3	1377	2165	+	ONT3.7300.1008	UTR	NA
chr3	2166	2339	+	ONT3.7300.1008	CDS	MBNL1
chr3	2339	2440	+	ONT3.7300.1008	intron	MBNL1
chr3	2440	2610	+	ONT3.7300.1008	CDS	MBNL1
chr3	2610	2712	+	ONT3.7300.1008	intron	MBNL1
chr3	2712	2915	+	ONT3.7300.1008	CDS	MBNL1
chr3	2915	3865	+	ONT3.7300.1008	intron	MBNL1
chr3	3865	4122	+	ONT3.7300.1008	CDS	MBNL1
chr3	4122	4753	+	ONT3.7300.1008	intron	MBNL1
chr3	4753	4906	+	ONT3.7300.1008	CDS	MBNL1
chr3	4906	5007	+	ONT3.7300.1008	intron	MBNL1
chr3	5007	5042	+	ONT3.7300.1008	CDS	MBNL1
chr3	5042	5177	+	ONT3.7300.1008	intron	MBNL1
chr3	5177	5271	+	ONT3.7300.1008	CDS	MBNL1
chr3	5271	5372	+	ONT3.7300.1008	intron	MBNL1
chr3	5372	5428	+	ONT3.7300.1008	CDS	MBNL1
