seqnames	start	end	strand	transcript_id	type	gene_id
chr13	3	210	+	ENST00000302945.3	UTR	NA
chr13	211	622	+	ENST00000302945.3	CDS	ENSG00000169840.5
chr13	622	723	+	ENST00000302945.3	intron	ENSG00000169840.5
chr13	723	1108	+	ENST00000302945.3	CDS	ENSG00000169840.5
chr13	1109	1925	+	ENST00000302945.3	UTR	NA
chr13	3	210	+	ONT13.591.1	UTR	NA
chr13	211	622	+	ONT13.591.1	CDS	GSX1
chr13	622	723	+	ONT13.591.1	intron	GSX1
chr13	723	1105	+	ONT13.591.1	CDS	GSX1
chr13	1106	1972	+	ONT13.591.1	UTR	NA
chr13	424	622	+	ONT13.591.13	UTR	NA
chr13	622	723	+	ONT13.591.13	intron	NA
chr13	723	757	+	ONT13.591.13	UTR	NA
chr13	758	1105	+	ONT13.591.13	CDS	GSX1
chr13	1106	1982	+	ONT13.591.13	UTR	NA
chr13	2	210	+	ONT13.591.2	UTR	NA
chr13	211	622	+	ONT13.591.2	CDS	GSX1
chr13	622	723	+	ONT13.591.2	intron	GSX1
chr13	723	1105	+	ONT13.591.2	CDS	GSX1
chr13	1106	1557	+	ONT13.591.2	UTR	NA
chr13	3	622	+	ENST00000302945.3	exon	ENSG00000169840.5
chr13	622	723	+	ENST00000302945.3	intron	ENSG00000169840.5
chr13	723	1925	+	ENST00000302945.3	exon	ENSG00000169840.5
chr13	3	622	+	ONT13.591.1	exon	GSX1
chr13	622	723	+	ONT13.591.1	intron	GSX1
chr13	723	1972	+	ONT13.591.1	exon	GSX1
chr13	424	622	+	ONT13.591.13	exon	GSX1
chr13	622	723	+	ONT13.591.13	intron	NA
chr13	723	1982	+	ONT13.591.13	exon	GSX1
chr13	2	622	+	ONT13.591.2	exon	GSX1
chr13	622	723	+	ONT13.591.2	intron	GSX1
chr13	723	1557	+	ONT13.591.2	exon	GSX1
