seqnames	start	end	strand	transcript_id	type	gene_id
chr2	2	190	-	ENST00000428343.6	UTR	NA
chr2	191	367	-	ENST00000428343.6	CDS	ENSG00000196460.14
chr2	367	468	-	ENST00000428343.6	intron	ENSG00000196460.14
chr2	468	784	-	ENST00000428343.6	CDS	ENSG00000196460.14
chr2	784	885	-	ENST00000428343.6	intron	ENSG00000196460.14
chr2	885	999	-	ENST00000428343.6	CDS	ENSG00000196460.14
chr2	999	1100	-	ENST00000428343.6	intron	ENSG00000196460.14
chr2	1100	1194	-	ENST00000428343.6	CDS	ENSG00000196460.14
chr2	1194	1295	-	ENST00000428343.6	intron	ENSG00000196460.14
chr2	1295	1451	-	ENST00000428343.6	CDS	ENSG00000196460.14
chr2	1451	1552	-	ENST00000428343.6	intron	ENSG00000196460.14
chr2	1552	1610	-	ENST00000428343.6	CDS	ENSG00000196460.14
chr2	1610	1711	-	ENST00000428343.6	intron	ENSG00000196460.14
chr2	1711	1861	-	ENST00000428343.6	CDS	ENSG00000196460.14
chr2	1861	1962	-	ENST00000428343.6	intron	ENSG00000196460.14
chr2	1962	2075	-	ENST00000428343.6	CDS	ENSG00000196460.14
chr2	2075	2492	-	ENST00000428343.6	intron	ENSG00000196460.14
chr2	2492	2545	-	ENST00000428343.6	CDS	ENSG00000196460.14
chr2	2545	2647	-	ENST00000428343.6	intron	ENSG00000196460.14
chr2	2647	2757	-	ENST00000428343.6	CDS	ENSG00000196460.14
chr2	2757	5795	-	ENST00000428343.6	intron	ENSG00000196460.14
chr2	5795	5869	-	ENST00000428343.6	CDS	ENSG00000196460.14
chr2	5870	5918	-	ENST00000428343.6	UTR	NA
chr2	5918	6421	-	ENST00000428343.6	intron	NA
chr2	6421	6897	-	ENST00000428343.6	UTR	NA
chr2	2	193	-	ONT2.5476.10003	UTR	NA
chr2	194	367	-	ONT2.5476.10003	CDS	RFX8
chr2	367	468	-	ONT2.5476.10003	intron	RFX8
chr2	468	784	-	ONT2.5476.10003	CDS	RFX8
chr2	784	885	-	ONT2.5476.10003	intron	RFX8
chr2	885	999	-	ONT2.5476.10003	CDS	RFX8
chr2	999	1100	-	ONT2.5476.10003	intron	RFX8
chr2	1100	1194	-	ONT2.5476.10003	CDS	RFX8
chr2	1194	1295	-	ONT2.5476.10003	intron	RFX8
chr2	1295	1451	-	ONT2.5476.10003	CDS	RFX8
chr2	1451	1711	-	ONT2.5476.10003	intron	RFX8
chr2	1711	1761	-	ONT2.5476.10003	CDS	RFX8
chr2	1762	1861	-	ONT2.5476.10003	UTR	NA
chr2	1861	1962	-	ONT2.5476.10003	intron	NA
chr2	1962	2075	-	ONT2.5476.10003	UTR	NA
chr2	2075	2468	-	ONT2.5476.10003	intron	NA
chr2	2468	2546	-	ONT2.5476.10003	UTR	NA
chr2	2	193	-	ONT2.5476.10006	UTR	NA
chr2	194	367	-	ONT2.5476.10006	CDS	RFX8
chr2	367	468	-	ONT2.5476.10006	intron	RFX8
chr2	468	587	-	ONT2.5476.10006	CDS	RFX8
chr2	588	675	-	ONT2.5476.10006	UTR	NA
chr2	2	193	-	ONT2.5476.10010	UTR	NA
chr2	194	367	-	ONT2.5476.10010	CDS	RFX8
chr2	367	468	-	ONT2.5476.10010	intron	RFX8
chr2	468	784	-	ONT2.5476.10010	CDS	RFX8
chr2	784	885	-	ONT2.5476.10010	intron	RFX8
chr2	885	915	-	ONT2.5476.10010	CDS	RFX8
chr2	916	999	-	ONT2.5476.10010	UTR	NA
chr2	999	1100	-	ONT2.5476.10010	intron	NA
chr2	1100	1165	-	ONT2.5476.10010	UTR	NA
chr2	2	193	-	ONT2.5476.10020	UTR	NA
chr2	194	367	-	ONT2.5476.10020	CDS	RFX8
chr2	367	468	-	ONT2.5476.10020	intron	RFX8
chr2	468	784	-	ONT2.5476.10020	CDS	RFX8
chr2	784	885	-	ONT2.5476.10020	intron	RFX8
chr2	885	999	-	ONT2.5476.10020	CDS	RFX8
chr2	999	1100	-	ONT2.5476.10020	intron	RFX8
chr2	1100	1194	-	ONT2.5476.10020	CDS	RFX8
chr2	1194	1295	-	ONT2.5476.10020	intron	RFX8
chr2	1295	1451	-	ONT2.5476.10020	CDS	RFX8
chr2	1451	5795	-	ONT2.5476.10020	intron	RFX8
chr2	5795	5869	-	ONT2.5476.10020	CDS	RFX8
chr2	5870	5918	-	ONT2.5476.10020	UTR	NA
chr2	5918	6421	-	ONT2.5476.10020	intron	NA
chr2	6421	6542	-	ONT2.5476.10020	UTR	NA
chr2	2	367	-	ONT2.5476.10022	UTR	NA
chr2	367	468	-	ONT2.5476.10022	intron	NA
chr2	468	784	-	ONT2.5476.10022	UTR	NA
chr2	784	885	-	ONT2.5476.10022	intron	NA
chr2	885	999	-	ONT2.5476.10022	UTR	NA
chr2	999	1100	-	ONT2.5476.10022	intron	NA
chr2	1100	1194	-	ONT2.5476.10022	UTR	NA
chr2	1194	1295	-	ONT2.5476.10022	intron	NA
chr2	1295	1451	-	ONT2.5476.10022	UTR	NA
chr2	1451	1711	-	ONT2.5476.10022	intron	NA
chr2	1711	1861	-	ONT2.5476.10022	UTR	NA
chr2	1861	1962	-	ONT2.5476.10022	intron	NA
chr2	1962	2075	-	ONT2.5476.10022	UTR	NA
chr2	2075	2468	-	ONT2.5476.10022	intron	NA
chr2	2468	2482	-	ONT2.5476.10022	UTR	NA
chr2	2483	2545	-	ONT2.5476.10022	CDS	RFX8
chr2	2545	2647	-	ONT2.5476.10022	intron	RFX8
