seqnames	start	end	strand	transcript_id	type	gene_id
chr5	2521	4432	-	ENST00000443439.7	UTR	NA
chr5	4433	4588	-	ENST00000443439.7	CDS	ENSG00000164307.13
chr5	4588	4691	-	ENST00000443439.7	intron	ENSG00000164307.13
chr5	4691	4772	-	ENST00000443439.7	CDS	ENSG00000164307.13
chr5	4772	4873	-	ENST00000443439.7	intron	ENSG00000164307.13
chr5	4873	5013	-	ENST00000443439.7	CDS	ENSG00000164307.13
chr5	5013	5114	-	ENST00000443439.7	intron	ENSG00000164307.13
chr5	5114	5275	-	ENST00000443439.7	CDS	ENSG00000164307.13
chr5	5275	5380	-	ENST00000443439.7	intron	ENSG00000164307.13
chr5	5380	5564	-	ENST00000443439.7	CDS	ENSG00000164307.13
chr5	5564	5667	-	ENST00000443439.7	intron	ENSG00000164307.13
chr5	5667	5823	-	ENST00000443439.7	CDS	ENSG00000164307.13
chr5	5823	5924	-	ENST00000443439.7	intron	ENSG00000164307.13
chr5	5924	6107	-	ENST00000443439.7	CDS	ENSG00000164307.13
chr5	6107	6210	-	ENST00000443439.7	intron	ENSG00000164307.13
chr5	6210	6289	-	ENST00000443439.7	CDS	ENSG00000164307.13
chr5	6289	6614	-	ENST00000443439.7	intron	ENSG00000164307.13
chr5	6614	6768	-	ENST00000443439.7	CDS	ENSG00000164307.13
chr5	6768	6869	-	ENST00000443439.7	intron	ENSG00000164307.13
chr5	6869	6940	-	ENST00000443439.7	CDS	ENSG00000164307.13
chr5	6940	7045	-	ENST00000443439.7	intron	ENSG00000164307.13
chr5	7045	7176	-	ENST00000443439.7	CDS	ENSG00000164307.13
chr5	7176	7277	-	ENST00000443439.7	intron	ENSG00000164307.13
chr5	7277	7408	-	ENST00000443439.7	CDS	ENSG00000164307.13
chr5	7408	7509	-	ENST00000443439.7	intron	ENSG00000164307.13
chr5	7509	7622	-	ENST00000443439.7	CDS	ENSG00000164307.13
chr5	7622	7723	-	ENST00000443439.7	intron	ENSG00000164307.13
chr5	7723	7877	-	ENST00000443439.7	CDS	ENSG00000164307.13
chr5	7877	8848	-	ENST00000443439.7	intron	ENSG00000164307.13
chr5	8848	8968	-	ENST00000443439.7	CDS	ENSG00000164307.13
chr5	8968	9069	-	ENST00000443439.7	intron	ENSG00000164307.13
chr5	9069	9203	-	ENST00000443439.7	CDS	ENSG00000164307.13
chr5	9203	9304	-	ENST00000443439.7	intron	ENSG00000164307.13
chr5	9304	9442	-	ENST00000443439.7	CDS	ENSG00000164307.13
chr5	9442	9829	-	ENST00000443439.7	intron	ENSG00000164307.13
chr5	9829	10355	-	ENST00000443439.7	CDS	ENSG00000164307.13
chr5	10356	10369	-	ENST00000443439.7	UTR	NA
chr5	10369	10472	-	ENST00000443439.7	intron	NA
chr5	10472	10557	-	ENST00000443439.7	UTR	NA
chr5	2	2394	-	ONT5.6230.2000	UTR	NA
chr5	2395	2420	-	ONT5.6230.2000	CDS	ERAP1
chr5	2420	4441	-	ONT5.6230.2000	intron	ERAP1
chr5	4441	4588	-	ONT5.6230.2000	CDS	ERAP1
chr5	4588	4691	-	ONT5.6230.2000	intron	ERAP1
chr5	4691	4772	-	ONT5.6230.2000	CDS	ERAP1
chr5	4772	4873	-	ONT5.6230.2000	intron	ERAP1
chr5	4873	5013	-	ONT5.6230.2000	CDS	ERAP1
chr5	5013	5114	-	ONT5.6230.2000	intron	ERAP1
chr5	5114	5275	-	ONT5.6230.2000	CDS	ERAP1
chr5	5275	5380	-	ONT5.6230.2000	intron	ERAP1
chr5	5380	5564	-	ONT5.6230.2000	CDS	ERAP1
chr5	5564	5667	-	ONT5.6230.2000	intron	ERAP1
chr5	5667	5823	-	ONT5.6230.2000	CDS	ERAP1
chr5	5823	5924	-	ONT5.6230.2000	intron	ERAP1
chr5	5924	6107	-	ONT5.6230.2000	CDS	ERAP1
chr5	6107	6210	-	ONT5.6230.2000	intron	ERAP1
chr5	6210	6289	-	ONT5.6230.2000	CDS	ERAP1
chr5	6289	6614	-	ONT5.6230.2000	intron	ERAP1
chr5	6614	6768	-	ONT5.6230.2000	CDS	ERAP1
chr5	6768	6869	-	ONT5.6230.2000	intron	ERAP1
chr5	6869	6940	-	ONT5.6230.2000	CDS	ERAP1
chr5	6940	7045	-	ONT5.6230.2000	intron	ERAP1
chr5	7045	7176	-	ONT5.6230.2000	CDS	ERAP1
chr5	7176	7277	-	ONT5.6230.2000	intron	ERAP1
chr5	7277	7408	-	ONT5.6230.2000	CDS	ERAP1
chr5	7408	7509	-	ONT5.6230.2000	intron	ERAP1
chr5	7509	7622	-	ONT5.6230.2000	CDS	ERAP1
chr5	7622	7723	-	ONT5.6230.2000	intron	ERAP1
chr5	7723	7877	-	ONT5.6230.2000	CDS	ERAP1
chr5	7877	8848	-	ONT5.6230.2000	intron	ERAP1
chr5	8848	8968	-	ONT5.6230.2000	CDS	ERAP1
chr5	8968	9069	-	ONT5.6230.2000	intron	ERAP1
chr5	9069	9203	-	ONT5.6230.2000	CDS	ERAP1
chr5	9203	9304	-	ONT5.6230.2000	intron	ERAP1
chr5	9304	9442	-	ONT5.6230.2000	CDS	ERAP1
chr5	9442	9829	-	ONT5.6230.2000	intron	ERAP1
chr5	9829	10355	-	ONT5.6230.2000	CDS	ERAP1
chr5	10356	10369	-	ONT5.6230.2000	UTR	NA
chr5	10369	10472	-	ONT5.6230.2000	intron	NA
chr5	10472	10522	-	ONT5.6230.2000	UTR	NA
chr5	5	2394	-	ONT5.6230.2008	UTR	NA
chr5	2395	2420	-	ONT5.6230.2008	CDS	ERAP1
chr5	2420	4441	-	ONT5.6230.2008	intron	ERAP1
chr5	4441	4588	-	ONT5.6230.2008	CDS	ERAP1
chr5	4588	4691	-	ONT5.6230.2008	intron	ERAP1
chr5	4691	4772	-	ONT5.6230.2008	CDS	ERAP1
chr5	4772	4873	-	ONT5.6230.2008	intron	ERAP1
