seqnames	start	end	strand	transcript_id	type	gene_id
chr7	6	442	-	ENST00000223051.8	UTR	NA
chr7	443	712	-	ENST00000223051.8	CDS	ENSG00000106327.13
chr7	712	1844	-	ENST00000223051.8	intron	ENSG00000106327.13
chr7	1844	1984	-	ENST00000223051.8	CDS	ENSG00000106327.13
chr7	1984	2085	-	ENST00000223051.8	intron	ENSG00000106327.13
chr7	2085	2312	-	ENST00000223051.8	CDS	ENSG00000106327.13
chr7	2312	2398	-	ENST00000223051.8	intron	ENSG00000106327.13
chr7	2398	2482	-	ENST00000223051.8	CDS	ENSG00000106327.13
chr7	2482	2565	-	ENST00000223051.8	intron	ENSG00000106327.13
chr7	2565	2641	-	ENST00000223051.8	CDS	ENSG00000106327.13
chr7	2641	2728	-	ENST00000223051.8	intron	ENSG00000106327.13
chr7	2728	2795	-	ENST00000223051.8	CDS	ENSG00000106327.13
chr7	2795	2894	-	ENST00000223051.8	intron	ENSG00000106327.13
chr7	2894	2957	-	ENST00000223051.8	CDS	ENSG00000106327.13
chr7	2957	3045	-	ENST00000223051.8	intron	ENSG00000106327.13
chr7	3045	3127	-	ENST00000223051.8	CDS	ENSG00000106327.13
chr7	3127	3229	-	ENST00000223051.8	intron	ENSG00000106327.13
chr7	3229	3348	-	ENST00000223051.8	CDS	ENSG00000106327.13
chr7	3348	3449	-	ENST00000223051.8	intron	ENSG00000106327.13
chr7	3449	3612	-	ENST00000223051.8	CDS	ENSG00000106327.13
chr7	3612	3715	-	ENST00000223051.8	intron	ENSG00000106327.13
chr7	3715	3854	-	ENST00000223051.8	CDS	ENSG00000106327.13
chr7	3854	3955	-	ENST00000223051.8	intron	ENSG00000106327.13
chr7	3955	4071	-	ENST00000223051.8	CDS	ENSG00000106327.13
chr7	4071	4333	-	ENST00000223051.8	intron	ENSG00000106327.13
chr7	4333	4455	-	ENST00000223051.8	CDS	ENSG00000106327.13
chr7	4455	4561	-	ENST00000223051.8	intron	ENSG00000106327.13
chr7	4561	4672	-	ENST00000223051.8	CDS	ENSG00000106327.13
chr7	4672	4748	-	ENST00000223051.8	intron	ENSG00000106327.13
chr7	4748	4888	-	ENST00000223051.8	CDS	ENSG00000106327.13
chr7	4888	5462	-	ENST00000223051.8	intron	ENSG00000106327.13
chr7	5462	5648	-	ENST00000223051.8	CDS	ENSG00000106327.13
chr7	5648	5749	-	ENST00000223051.8	intron	ENSG00000106327.13
chr7	5749	6001	-	ENST00000223051.8	CDS	ENSG00000106327.13
chr7	6001	6102	-	ENST00000223051.8	intron	ENSG00000106327.13
chr7	6102	6137	-	ENST00000223051.8	CDS	ENSG00000106327.13
chr7	6138	6177	-	ENST00000223051.8	UTR	NA
chr7	6	712	-	ONT7.4318.43214	UTR	NA
chr7	712	1844	-	ONT7.4318.43214	intron	NA
chr7	1844	1984	-	ONT7.4318.43214	UTR	NA
chr7	1984	2085	-	ONT7.4318.43214	intron	NA
chr7	2085	2268	-	ONT7.4318.43214	UTR	NA
chr7	2269	2482	-	ONT7.4318.43214	CDS	TFR2
chr7	2482	2565	-	ONT7.4318.43214	intron	TFR2
chr7	2565	2641	-	ONT7.4318.43214	CDS	TFR2
chr7	2641	2728	-	ONT7.4318.43214	intron	TFR2
chr7	2728	2795	-	ONT7.4318.43214	CDS	TFR2
chr7	2795	2894	-	ONT7.4318.43214	intron	TFR2
chr7	2894	2957	-	ONT7.4318.43214	CDS	TFR2
chr7	2957	3045	-	ONT7.4318.43214	intron	TFR2
chr7	3045	3127	-	ONT7.4318.43214	CDS	TFR2
chr7	3127	3229	-	ONT7.4318.43214	intron	TFR2
chr7	3229	3244	-	ONT7.4318.43214	CDS	TFR2
chr7	3245	3348	-	ONT7.4318.43214	UTR	NA
chr7	3348	3449	-	ONT7.4318.43214	intron	NA
chr7	3449	3612	-	ONT7.4318.43214	UTR	NA
chr7	3612	3715	-	ONT7.4318.43214	intron	NA
chr7	3715	3854	-	ONT7.4318.43214	UTR	NA
chr7	3854	3955	-	ONT7.4318.43214	intron	NA
chr7	3955	4071	-	ONT7.4318.43214	UTR	NA
chr7	4071	4333	-	ONT7.4318.43214	intron	NA
chr7	4333	4455	-	ONT7.4318.43214	UTR	NA
chr7	4455	4561	-	ONT7.4318.43214	intron	NA
chr7	4561	4672	-	ONT7.4318.43214	UTR	NA
chr7	4672	4748	-	ONT7.4318.43214	intron	NA
chr7	4748	4786	-	ONT7.4318.43214	UTR	NA
chr7	6	445	-	ONT7.4318.43216	UTR	NA
chr7	446	712	-	ONT7.4318.43216	CDS	TFR2
chr7	712	1844	-	ONT7.4318.43216	intron	TFR2
chr7	1844	1984	-	ONT7.4318.43216	CDS	TFR2
chr7	1984	2085	-	ONT7.4318.43216	intron	TFR2
chr7	2085	2312	-	ONT7.4318.43216	CDS	TFR2
chr7	2312	2398	-	ONT7.4318.43216	intron	TFR2
chr7	2398	2469	-	ONT7.4318.43216	CDS	TFR2
chr7	2470	2482	-	ONT7.4318.43216	UTR	NA
chr7	2482	2565	-	ONT7.4318.43216	intron	NA
chr7	2565	2641	-	ONT7.4318.43216	UTR	NA
chr7	2641	2728	-	ONT7.4318.43216	intron	NA
chr7	2728	2795	-	ONT7.4318.43216	UTR	NA
chr7	2795	2894	-	ONT7.4318.43216	intron	NA
chr7	2894	2957	-	ONT7.4318.43216	UTR	NA
chr7	2957	3045	-	ONT7.4318.43216	intron	NA
chr7	3045	3127	-	ONT7.4318.43216	UTR	NA
chr7	3127	3449	-	ONT7.4318.43216	intron	NA
chr7	3449	3612	-	ONT7.4318.43216	UTR	NA
chr7	3612	4333	-	ONT7.4318.43216	intron	NA
chr7	4333	4455	-	ONT7.4318.43216	UTR	NA
chr7	4455	4561	-	ONT7.4318.43216	intron	NA
chr7	4561	4733	-	ONT7.4318.43216	UTR	NA
chr7	4	445	-	ONT7.4318.43218	UTR	NA
chr7	446	712	-	ONT7.4318.43218	CDS	TFR2
chr7	712	1844	-	ONT7.4318.43218	intron	TFR2
chr7	1844	1870	-	ONT7.4318.43218	CDS	TFR2
chr7	1871	1946	-	ONT7.4318.43218	UTR	NA
chr7	6	445	-	ONT7.4318.43219	UTR	NA
chr7	446	712	-	ONT7.4318.43219	CDS	TFR2
chr7	712	1844	-	ONT7.4318.43219	intron	TFR2
chr7	1844	1870	-	ONT7.4318.43219	CDS	TFR2
chr7	1871	1984	-	ONT7.4318.43219	UTR	NA
chr7	1984	2085	-	ONT7.4318.43219	intron	NA
chr7	2085	2482	-	ONT7.4318.43219	UTR	NA
chr7	2482	2565	-	ONT7.4318.43219	intron	NA
chr7	2565	2641	-	ONT7.4318.43219	UTR	NA
chr7	2641	3045	-	ONT7.4318.43219	intron	NA
chr7	3045	3127	-	ONT7.4318.43219	UTR	NA
chr7	3127	3449	-	ONT7.4318.43219	intron	NA
chr7	3449	3612	-	ONT7.4318.43219	UTR	NA
chr7	3612	4333	-	ONT7.4318.43219	intron	NA
chr7	4333	4455	-	ONT7.4318.43219	UTR	NA
chr7	4455	4561	-	ONT7.4318.43219	intron	NA
chr7	4561	4762	-	ONT7.4318.43219	UTR	NA
chr7	5	445	-	ONT7.4318.43220	UTR	NA
chr7	446	712	-	ONT7.4318.43220	CDS	TFR2
chr7	712	1844	-	ONT7.4318.43220	intron	TFR2
chr7	1844	1984	-	ONT7.4318.43220	CDS	TFR2
chr7	1984	2085	-	ONT7.4318.43220	intron	TFR2
chr7	2085	2312	-	ONT7.4318.43220	CDS	TFR2
chr7	2312	2398	-	ONT7.4318.43220	intron	TFR2
chr7	2398	2482	-	ONT7.4318.43220	CDS	TFR2
chr7	2482	2565	-	ONT7.4318.43220	intron	TFR2
chr7	2565	2641	-	ONT7.4318.43220	CDS	TFR2
chr7	2641	2728	-	ONT7.4318.43220	intron	TFR2
chr7	2728	2795	-	ONT7.4318.43220	CDS	TFR2
chr7	2795	2894	-	ONT7.4318.43220	intron	TFR2
chr7	2894	2957	-	ONT7.4318.43220	CDS	TFR2
chr7	2957	3045	-	ONT7.4318.43220	intron	TFR2
chr7	3045	3127	-	ONT7.4318.43220	CDS	TFR2
chr7	3127	3229	-	ONT7.4318.43220	intron	TFR2
chr7	3229	3244	-	ONT7.4318.43220	CDS	TFR2
chr7	3245	3348	-	ONT7.4318.43220	UTR	NA
chr7	3348	3449	-	ONT7.4318.43220	intron	NA
chr7	3449	3612	-	ONT7.4318.43220	UTR	NA
chr7	3612	3715	-	ONT7.4318.43220	intron	NA
chr7	3715	3854	-	ONT7.4318.43220	UTR	NA
chr7	3854	3955	-	ONT7.4318.43220	intron	NA
chr7	3955	4048	-	ONT7.4318.43220	UTR	NA
chr7	2	445	-	ONT7.4318.43226	UTR	NA
chr7	446	712	-	ONT7.4318.43226	CDS	TFR2
chr7	712	1844	-	ONT7.4318.43226	intron	TFR2
chr7	1844	1984	-	ONT7.4318.43226	CDS	TFR2
chr7	1984	2085	-	ONT7.4318.43226	intron	TFR2
chr7	2085	2312	-	ONT7.4318.43226	CDS	TFR2
chr7	2312	2398	-	ONT7.4318.43226	intron	TFR2
chr7	2398	2469	-	ONT7.4318.43226	CDS	TFR2
chr7	2470	2482	-	ONT7.4318.43226	UTR	NA
chr7	2482	2565	-	ONT7.4318.43226	intron	NA
chr7	2565	2641	-	ONT7.4318.43226	UTR	NA
chr7	2641	2728	-	ONT7.4318.43226	intron	NA
chr7	2728	2795	-	ONT7.4318.43226	UTR	NA
chr7	2795	3045	-	ONT7.4318.43226	intron	NA
chr7	3045	3127	-	ONT7.4318.43226	UTR	NA
chr7	3127	3449	-	ONT7.4318.43226	intron	NA
chr7	3449	3612	-	ONT7.4318.43226	UTR	NA
chr7	3612	4333	-	ONT7.4318.43226	intron	NA
chr7	4333	4455	-	ONT7.4318.43226	UTR	NA
chr7	4455	4561	-	ONT7.4318.43226	intron	NA
chr7	4561	4672	-	ONT7.4318.43226	UTR	NA
chr7	4672	4748	-	ONT7.4318.43226	intron	NA
chr7	4748	4831	-	ONT7.4318.43226	UTR	NA
chr7	6	445	-	ONT7.4318.43227	UTR	NA
chr7	446	712	-	ONT7.4318.43227	CDS	TFR2
chr7	712	1844	-	ONT7.4318.43227	intron	TFR2
chr7	1844	1870	-	ONT7.4318.43227	CDS	TFR2
chr7	1871	1984	-	ONT7.4318.43227	UTR	NA
chr7	1984	2085	-	ONT7.4318.43227	intron	NA
chr7	2085	2482	-	ONT7.4318.43227	UTR	NA
chr7	2482	2565	-	ONT7.4318.43227	intron	NA
chr7	2565	2641	-	ONT7.4318.43227	UTR	NA
chr7	2641	2728	-	ONT7.4318.43227	intron	NA
chr7	2728	2795	-	ONT7.4318.43227	UTR	NA
chr7	2795	2894	-	ONT7.4318.43227	intron	NA
chr7	2894	2957	-	ONT7.4318.43227	UTR	NA
