seqnames	start	end	strand	transcript_id	type	gene_id
chr22	888	908	+	ENST00000216225.9	UTR	NA
chr22	909	986	+	ENST00000216225.9	CDS	ENSG00000100387.9
chr22	986	1111	+	ENST00000216225.9	intron	ENSG00000100387.9
chr22	1111	1189	+	ENST00000216225.9	CDS	ENSG00000100387.9
chr22	1189	3412	+	ENST00000216225.9	intron	ENSG00000100387.9
chr22	3412	3482	+	ENST00000216225.9	CDS	ENSG00000100387.9
chr22	3482	4017	+	ENST00000216225.9	intron	ENSG00000100387.9
chr22	4017	4102	+	ENST00000216225.9	CDS	ENSG00000100387.9
chr22	4102	4282	+	ENST00000216225.9	intron	ENSG00000100387.9
chr22	4282	4297	+	ENST00000216225.9	CDS	ENSG00000100387.9
chr22	4298	5115	+	ENST00000216225.9	UTR	NA
chr22	2	908	+	ONT22.784.18382	UTR	NA
chr22	909	986	+	ONT22.784.18382	CDS	RBX1
chr22	986	1111	+	ONT22.784.18382	intron	RBX1
chr22	1111	1189	+	ONT22.784.18382	CDS	RBX1
chr22	1189	3412	+	ONT22.784.18382	intron	RBX1
chr22	3412	3482	+	ONT22.784.18382	CDS	RBX1
chr22	3482	4017	+	ONT22.784.18382	intron	RBX1
chr22	4017	4106	+	ONT22.784.18382	CDS	RBX1
chr22	4106	4282	+	ONT22.784.18382	intron	NA
chr22	4282	4467	+	ONT22.784.18382	UTR	NA
chr22	240	908	+	ONT22.784.18387	UTR	NA
chr22	909	986	+	ONT22.784.18387	CDS	RBX1
chr22	986	1111	+	ONT22.784.18387	intron	RBX1
chr22	1111	1189	+	ONT22.784.18387	CDS	RBX1
chr22	1189	3412	+	ONT22.784.18387	intron	RBX1
chr22	3412	3482	+	ONT22.784.18387	CDS	RBX1
chr22	3482	4017	+	ONT22.784.18387	intron	RBX1
chr22	4017	4102	+	ONT22.784.18387	CDS	RBX1
chr22	4102	4282	+	ONT22.784.18387	intron	RBX1
chr22	4282	4294	+	ONT22.784.18387	CDS	RBX1
chr22	4295	4474	+	ONT22.784.18387	UTR	NA
chr22	465	908	+	ONT22.784.18392	UTR	NA
chr22	909	986	+	ONT22.784.18392	CDS	RBX1
chr22	986	1111	+	ONT22.784.18392	intron	RBX1
chr22	1111	1189	+	ONT22.784.18392	CDS	RBX1
chr22	1189	3412	+	ONT22.784.18392	intron	RBX1
chr22	3412	3482	+	ONT22.784.18392	CDS	RBX1
chr22	3482	4017	+	ONT22.784.18392	intron	RBX1
chr22	4017	4102	+	ONT22.784.18392	CDS	RBX1
chr22	4102	4282	+	ONT22.784.18392	intron	RBX1
chr22	4282	4294	+	ONT22.784.18392	CDS	RBX1
chr22	4295	4470	+	ONT22.784.18392	UTR	NA
chr22	691	908	+	ONT22.784.18395	UTR	NA
chr22	909	986	+	ONT22.784.18395	CDS	RBX1
chr22	986	1111	+	ONT22.784.18395	intron	RBX1
chr22	1111	1189	+	ONT22.784.18395	CDS	RBX1
chr22	1189	3412	+	ONT22.784.18395	intron	RBX1
chr22	3412	3482	+	ONT22.784.18395	CDS	RBX1
chr22	3482	4017	+	ONT22.784.18395	intron	RBX1
chr22	4017	4102	+	ONT22.784.18395	CDS	RBX1
chr22	4102	4282	+	ONT22.784.18395	intron	RBX1
chr22	4282	4294	+	ONT22.784.18395	CDS	RBX1
chr22	4295	4470	+	ONT22.784.18395	UTR	NA
chr22	747	908	+	ONT22.784.18397	UTR	NA
chr22	909	998	+	ONT22.784.18397	CDS	RBX1
chr22	998	1121	+	ONT22.784.18397	intron	NA
chr22	1121	1189	+	ONT22.784.18397	UTR	NA
chr22	1189	3412	+	ONT22.784.18397	intron	NA
chr22	3412	3482	+	ONT22.784.18397	UTR	NA
chr22	3482	4017	+	ONT22.784.18397	intron	NA
chr22	4017	4102	+	ONT22.784.18397	UTR	NA
chr22	4102	4282	+	ONT22.784.18397	intron	NA
chr22	4282	4467	+	ONT22.784.18397	UTR	NA
chr22	754	908	+	ONT22.784.18398	UTR	NA
chr22	909	986	+	ONT22.784.18398	CDS	RBX1
chr22	986	1111	+	ONT22.784.18398	intron	RBX1
chr22	1111	1189	+	ONT22.784.18398	CDS	RBX1
chr22	1189	3412	+	ONT22.784.18398	intron	RBX1
chr22	3412	3482	+	ONT22.784.18398	CDS	RBX1
chr22	3482	4017	+	ONT22.784.18398	intron	RBX1
