seqnames	start	end	strand	transcript_id	type	gene_id
chr12	684	763	+	ENST00000229277.6	UTR	NA
chr12	763	1925	+	ENST00000229277.6	intron	NA
chr12	1925	1936	+	ENST00000229277.6	UTR	NA
chr12	1937	2021	+	ENST00000229277.6	CDS	ENSG00000111674.9
chr12	2021	2210	+	ENST00000229277.6	intron	ENSG00000111674.9
chr12	2210	2305	+	ENST00000229277.6	CDS	ENSG00000111674.9
chr12	2305	2464	+	ENST00000229277.6	intron	ENSG00000111674.9
chr12	2464	2522	+	ENST00000229277.6	CDS	ENSG00000111674.9
chr12	2522	2831	+	ENST00000229277.6	intron	ENSG00000111674.9
chr12	2831	2900	+	ENST00000229277.6	CDS	ENSG00000111674.9
chr12	2900	3374	+	ENST00000229277.6	intron	ENSG00000111674.9
chr12	3374	3507	+	ENST00000229277.6	CDS	ENSG00000111674.9
chr12	3507	3733	+	ENST00000229277.6	intron	ENSG00000111674.9
chr12	3733	3955	+	ENST00000229277.6	CDS	ENSG00000111674.9
chr12	3955	4230	+	ENST00000229277.6	intron	ENSG00000111674.9
chr12	4230	4427	+	ENST00000229277.6	CDS	ENSG00000111674.9
chr12	4427	5057	+	ENST00000229277.6	intron	ENSG00000111674.9
chr12	5057	5258	+	ENST00000229277.6	CDS	ENSG00000111674.9
chr12	5258	5532	+	ENST00000229277.6	intron	ENSG00000111674.9
chr12	5532	5640	+	ENST00000229277.6	CDS	ENSG00000111674.9
chr12	5640	5820	+	ENST00000229277.6	intron	ENSG00000111674.9
chr12	5820	5878	+	ENST00000229277.6	CDS	ENSG00000111674.9
chr12	5878	6207	+	ENST00000229277.6	intron	ENSG00000111674.9
chr12	6207	6279	+	ENST00000229277.6	CDS	ENSG00000111674.9
chr12	6280	7173	+	ENST00000229277.6	UTR	NA
chr12	2	253	+	ONT12.163.20669	UTR	NA
chr12	253	637	+	ONT12.163.20669	intron	NA
chr12	637	763	+	ONT12.163.20669	UTR	NA
chr12	763	1925	+	ONT12.163.20669	intron	NA
chr12	1925	1936	+	ONT12.163.20669	UTR	NA
chr12	1937	2021	+	ONT12.163.20669	CDS	ENO2
chr12	2021	2210	+	ONT12.163.20669	intron	ENO2
chr12	2210	2305	+	ONT12.163.20669	CDS	ENO2
chr12	2305	2464	+	ONT12.163.20669	intron	ENO2
chr12	2464	2522	+	ONT12.163.20669	CDS	ENO2
chr12	2522	2831	+	ONT12.163.20669	intron	ENO2
chr12	2831	2900	+	ONT12.163.20669	CDS	ENO2
chr12	2900	3374	+	ONT12.163.20669	intron	ENO2
chr12	3374	3507	+	ONT12.163.20669	CDS	ENO2
chr12	3507	3733	+	ONT12.163.20669	intron	ENO2
chr12	3733	3955	+	ONT12.163.20669	CDS	ENO2
chr12	3955	4230	+	ONT12.163.20669	intron	ENO2
chr12	4230	4427	+	ONT12.163.20669	CDS	ENO2
chr12	4427	5057	+	ONT12.163.20669	intron	ENO2
chr12	5057	5258	+	ONT12.163.20669	CDS	ENO2
chr12	5258	5532	+	ONT12.163.20669	intron	ENO2
chr12	5532	5640	+	ONT12.163.20669	CDS	ENO2
chr12	5640	5820	+	ONT12.163.20669	intron	ENO2
chr12	5820	5878	+	ONT12.163.20669	CDS	ENO2
chr12	5878	6207	+	ONT12.163.20669	intron	ENO2
chr12	6207	6276	+	ONT12.163.20669	CDS	ENO2
chr12	6277	7171	+	ONT12.163.20669	UTR	NA
chr12	79	253	+	ONT12.163.20675	UTR	NA
chr12	253	637	+	ONT12.163.20675	intron	NA
