seqnames	start	end	strand	transcript_id	type	gene_id
chr8	9	2811	-	ENST00000379454.9	UTR	NA
chr8	2812	2962	-	ENST00000379454.9	CDS	ENSG00000198363.18
chr8	2962	3063	-	ENST00000379454.9	intron	ENSG00000198363.18
chr8	3063	3196	-	ENST00000379454.9	CDS	ENSG00000198363.18
chr8	3196	3300	-	ENST00000379454.9	intron	ENSG00000198363.18
chr8	3300	3391	-	ENST00000379454.9	CDS	ENSG00000198363.18
chr8	3391	3492	-	ENST00000379454.9	intron	ENSG00000198363.18
chr8	3492	3627	-	ENST00000379454.9	CDS	ENSG00000198363.18
chr8	3627	3728	-	ENST00000379454.9	intron	ENSG00000198363.18
chr8	3728	3865	-	ENST00000379454.9	CDS	ENSG00000198363.18
chr8	3865	3968	-	ENST00000379454.9	intron	ENSG00000198363.18
chr8	3968	4057	-	ENST00000379454.9	CDS	ENSG00000198363.18
chr8	4057	4158	-	ENST00000379454.9	intron	ENSG00000198363.18
chr8	4158	4256	-	ENST00000379454.9	CDS	ENSG00000198363.18
chr8	4256	4359	-	ENST00000379454.9	intron	ENSG00000198363.18
chr8	4359	4495	-	ENST00000379454.9	CDS	ENSG00000198363.18
chr8	4495	4596	-	ENST00000379454.9	intron	ENSG00000198363.18
chr8	4596	4746	-	ENST00000379454.9	CDS	ENSG00000198363.18
chr8	4746	5100	-	ENST00000379454.9	intron	ENSG00000198363.18
chr8	5100	5186	-	ENST00000379454.9	CDS	ENSG00000198363.18
chr8	5186	5933	-	ENST00000379454.9	intron	ENSG00000198363.18
chr8	5933	6018	-	ENST00000379454.9	CDS	ENSG00000198363.18
chr8	6018	7199	-	ENST00000379454.9	intron	ENSG00000198363.18
chr8	7199	7240	-	ENST00000379454.9	CDS	ENSG00000198363.18
chr8	7240	10027	-	ENST00000379454.9	intron	ENSG00000198363.18
chr8	10027	10071	-	ENST00000379454.9	CDS	ENSG00000198363.18
chr8	10071	10191	-	ENST00000379454.9	intron	ENSG00000198363.18
chr8	10191	10247	-	ENST00000379454.9	CDS	ENSG00000198363.18
chr8	10247	10412	-	ENST00000379454.9	intron	ENSG00000198363.18
chr8	10412	10453	-	ENST00000379454.9	CDS	ENSG00000198363.18
chr8	10453	10554	-	ENST00000379454.9	intron	ENSG00000198363.18
chr8	10554	10586	-	ENST00000379454.9	CDS	ENSG00000198363.18
chr8	10586	10748	-	ENST00000379454.9	intron	ENSG00000198363.18
chr8	10748	10795	-	ENST00000379454.9	CDS	ENSG00000198363.18
chr8	10795	11307	-	ENST00000379454.9	intron	ENSG00000198363.18
chr8	11307	11363	-	ENST00000379454.9	CDS	ENSG00000198363.18
chr8	11363	11962	-	ENST00000379454.9	intron	ENSG00000198363.18
chr8	11962	11994	-	ENST00000379454.9	CDS	ENSG00000198363.18
chr8	11994	12765	-	ENST00000379454.9	intron	ENSG00000198363.18
chr8	12765	12893	-	ENST00000379454.9	CDS	ENSG00000198363.18
chr8	12893	13590	-	ENST00000379454.9	intron	ENSG00000198363.18
chr8	13590	13664	-	ENST00000379454.9	CDS	ENSG00000198363.18
chr8	13664	13767	-	ENST00000379454.9	intron	ENSG00000198363.18
chr8	13767	13859	-	ENST00000379454.9	CDS	ENSG00000198363.18
chr8	13859	27659	-	ENST00000379454.9	intron	ENSG00000198363.18
chr8	27659	27727	-	ENST00000379454.9	CDS	ENSG00000198363.18
chr8	27727	28020	-	ENST00000379454.9	intron	ENSG00000198363.18
chr8	28020	28169	-	ENST00000379454.9	CDS	ENSG00000198363.18
chr8	28169	29287	-	ENST00000379454.9	intron	ENSG00000198363.18
chr8	29287	29392	-	ENST00000379454.9	CDS	ENSG00000198363.18
chr8	29393	29610	-	ENST00000379454.9	UTR	NA
chr8	2	2962	-	ONT8.3364.1528	UTR	NA
chr8	2962	3063	-	ONT8.3364.1528	intron	NA
chr8	3063	3196	-	ONT8.3364.1528	UTR	NA
chr8	3196	3300	-	ONT8.3364.1528	intron	NA
chr8	3300	3391	-	ONT8.3364.1528	UTR	NA
chr8	3391	3492	-	ONT8.3364.1528	intron	NA
chr8	3492	3627	-	ONT8.3364.1528	UTR	NA
chr8	3627	3728	-	ONT8.3364.1528	intron	NA
chr8	3728	3865	-	ONT8.3364.1528	UTR	NA
chr8	3865	3968	-	ONT8.3364.1528	intron	NA
