seqnames	start	end	strand	transcript_id	type	gene_id
chr10	7	2385	-	ENST00000446961.4	UTR	NA
chr10	2386	2540	-	ENST00000446961.4	CDS	ENSG00000172731.15
chr10	2540	2851	-	ENST00000446961.4	intron	ENSG00000172731.15
chr10	2851	3018	-	ENST00000446961.4	CDS	ENSG00000172731.15
chr10	3018	3341	-	ENST00000446961.4	intron	ENSG00000172731.15
chr10	3341	3490	-	ENST00000446961.4	CDS	ENSG00000172731.15
chr10	3490	3592	-	ENST00000446961.4	intron	ENSG00000172731.15
chr10	3592	3676	-	ENST00000446961.4	CDS	ENSG00000172731.15
chr10	3677	3736	-	ENST00000446961.4	UTR	NA
chr10	3736	4163	-	ENST00000446961.4	intron	NA
chr10	4163	4239	-	ENST00000446961.4	UTR	NA
chr10	7	2388	-	ONT10.3458.4924	UTR	NA
chr10	2389	2540	-	ONT10.3458.4924	CDS	LRRC20
chr10	2540	3341	-	ONT10.3458.4924	intron	LRRC20
chr10	3341	3490	-	ONT10.3458.4924	CDS	LRRC20
chr10	3490	3592	-	ONT10.3458.4924	intron	LRRC20
chr10	3592	3676	-	ONT10.3458.4924	CDS	LRRC20
chr10	3677	3736	-	ONT10.3458.4924	UTR	NA
chr10	3736	4163	-	ONT10.3458.4924	intron	NA
chr10	4163	4262	-	ONT10.3458.4924	UTR	NA
chr10	7	2388	-	ONT10.3458.4925	UTR	NA
chr10	2389	2540	-	ONT10.3458.4925	CDS	LRRC20
chr10	2540	2851	-	ONT10.3458.4925	intron	LRRC20
chr10	2851	3018	-	ONT10.3458.4925	CDS	LRRC20
chr10	3018	3592	-	ONT10.3458.4925	intron	LRRC20
chr10	3592	3676	-	ONT10.3458.4925	CDS	LRRC20
chr10	3677	3736	-	ONT10.3458.4925	UTR	NA
chr10	3736	4163	-	ONT10.3458.4925	intron	NA
chr10	4163	4237	-	ONT10.3458.4925	UTR	NA
chr10	7	2388	-	ONT10.3458.4926	UTR	NA
chr10	2389	2540	-	ONT10.3458.4926	CDS	LRRC20
chr10	2540	3341	-	ONT10.3458.4926	intron	LRRC20
chr10	3341	3368	-	ONT10.3458.4926	CDS	LRRC20
chr10	3369	3490	-	ONT10.3458.4926	UTR	NA
chr10	3490	3592	-	ONT10.3458.4926	intron	NA
chr10	3592	3632	-	ONT10.3458.4926	UTR	NA
chr10	7	2388	-	ONT10.3458.4927	UTR	NA
chr10	2389	2540	-	ONT10.3458.4927	CDS	LRRC20
chr10	2540	3341	-	ONT10.3458.4927	intron	LRRC20
chr10	3341	3368	-	ONT10.3458.4927	CDS	LRRC20
chr10	3369	3490	-	ONT10.3458.4927	UTR	NA
chr10	3490	4163	-	ONT10.3458.4927	intron	NA
chr10	4163	4237	-	ONT10.3458.4927	UTR	NA
chr10	7	2388	-	ONT10.3458.4928	UTR	NA
