seqnames	start	end	strand	transcript_id	type	gene_id
chr22	495	2427	-	ENST00000352397.10	UTR	NA
chr22	2428	2600	-	ENST00000352397.10	CDS	ENSG00000100243.22
chr22	2600	2705	-	ENST00000352397.10	intron	ENSG00000100243.22
chr22	2705	2804	-	ENST00000352397.10	CDS	ENSG00000100243.22
chr22	2804	3691	-	ENST00000352397.10	intron	ENSG00000100243.22
chr22	3691	3776	-	ENST00000352397.10	CDS	ENSG00000100243.22
chr22	3776	3992	-	ENST00000352397.10	intron	ENSG00000100243.22
chr22	3992	4075	-	ENST00000352397.10	CDS	ENSG00000100243.22
chr22	4075	4539	-	ENST00000352397.10	intron	ENSG00000100243.22
chr22	4539	4668	-	ENST00000352397.10	CDS	ENSG00000100243.22
chr22	4668	7269	-	ENST00000352397.10	intron	ENSG00000100243.22
chr22	7269	7375	-	ENST00000352397.10	CDS	ENSG00000100243.22
chr22	7375	7765	-	ENST00000352397.10	intron	ENSG00000100243.22
chr22	7765	7837	-	ENST00000352397.10	CDS	ENSG00000100243.22
chr22	7837	8784	-	ENST00000352397.10	intron	ENSG00000100243.22
chr22	8784	8915	-	ENST00000352397.10	CDS	ENSG00000100243.22
chr22	8915	9525	-	ENST00000352397.10	intron	ENSG00000100243.22
chr22	9525	9548	-	ENST00000352397.10	CDS	ENSG00000100243.22
chr22	9549	9622	-	ENST00000352397.10	UTR	NA
chr22	2	337	-	ONT22.768.76338	UTR	NA
chr22	338	392	-	ONT22.768.76338	CDS	CYB5R3
chr22	392	2492	-	ONT22.768.76338	intron	CYB5R3
chr22	2492	2600	-	ONT22.768.76338	CDS	CYB5R3
chr22	2600	2705	-	ONT22.768.76338	intron	CYB5R3
chr22	2705	2804	-	ONT22.768.76338	CDS	CYB5R3
chr22	2804	3691	-	ONT22.768.76338	intron	CYB5R3
chr22	3691	3776	-	ONT22.768.76338	CDS	CYB5R3
chr22	3776	3992	-	ONT22.768.76338	intron	CYB5R3
chr22	3992	4075	-	ONT22.768.76338	CDS	CYB5R3
chr22	4075	4539	-	ONT22.768.76338	intron	CYB5R3
chr22	4539	4668	-	ONT22.768.76338	CDS	CYB5R3
chr22	4668	7269	-	ONT22.768.76338	intron	CYB5R3
