seqnames	start	end	strand	transcript_id	type	gene_id
chr2	2	1638	-	ENST00000318357.9	UTR	NA
chr2	1639	1734	-	ENST00000318357.9	CDS	ENSG00000163126.15
chr2	1734	1817	-	ENST00000318357.9	intron	ENSG00000163126.15
chr2	1817	1915	-	ENST00000318357.9	CDS	ENSG00000163126.15
chr2	1915	2016	-	ENST00000318357.9	intron	ENSG00000163126.15
chr2	2016	2114	-	ENST00000318357.9	CDS	ENSG00000163126.15
chr2	2114	2215	-	ENST00000318357.9	intron	ENSG00000163126.15
chr2	2215	2313	-	ENST00000318357.9	CDS	ENSG00000163126.15
chr2	2313	2399	-	ENST00000318357.9	intron	ENSG00000163126.15
chr2	2399	2497	-	ENST00000318357.9	CDS	ENSG00000163126.15
chr2	2497	2598	-	ENST00000318357.9	intron	ENSG00000163126.15
chr2	2598	2723	-	ENST00000318357.9	CDS	ENSG00000163126.15
chr2	2723	2824	-	ENST00000318357.9	intron	ENSG00000163126.15
chr2	2824	2949	-	ENST00000318357.9	CDS	ENSG00000163126.15
chr2	2949	3050	-	ENST00000318357.9	intron	ENSG00000163126.15
chr2	3050	3196	-	ENST00000318357.9	CDS	ENSG00000163126.15
chr2	3196	3297	-	ENST00000318357.9	intron	ENSG00000163126.15
chr2	3297	3326	-	ENST00000318357.9	CDS	ENSG00000163126.15
chr2	3327	3352	-	ENST00000318357.9	UTR	NA
chr2	4	1641	-	ONT2.5435.21733	UTR	NA
chr2	1642	1734	-	ONT2.5435.21733	CDS	ANKRD23
chr2	1734	1817	-	ONT2.5435.21733	intron	ANKRD23
chr2	1817	1915	-	ONT2.5435.21733	CDS	ANKRD23
chr2	1915	2016	-	ONT2.5435.21733	intron	ANKRD23
chr2	2016	2114	-	ONT2.5435.21733	CDS	ANKRD23
chr2	2114	2215	-	ONT2.5435.21733	intron	ANKRD23
chr2	2215	2313	-	ONT2.5435.21733	CDS	ANKRD23
chr2	2313	2399	-	ONT2.5435.21733	intron	ANKRD23
chr2	2399	2497	-	ONT2.5435.21733	CDS	ANKRD23
chr2	2497	2598	-	ONT2.5435.21733	intron	ANKRD23
chr2	2598	2723	-	ONT2.5435.21733	CDS	ANKRD23
chr2	2723	2824	-	ONT2.5435.21733	intron	ANKRD23
chr2	2824	2949	-	ONT2.5435.21733	CDS	ANKRD23
chr2	2949	3050	-	ONT2.5435.21733	intron	ANKRD23
chr2	3050	3196	-	ONT2.5435.21733	CDS	ANKRD23
chr2	3196	3453	-	ONT2.5435.21733	intron	ANKRD23
chr2	3453	3656	-	ONT2.5435.21733	CDS	ANKRD23
chr2	3656	3757	-	ONT2.5435.21733	intron	ANKRD23
chr2	3757	3860	-	ONT2.5435.21733	CDS	ANKRD23
chr2	3860	3961	-	ONT2.5435.21733	intron	ANKRD23
chr2	3961	4063	-	ONT2.5435.21733	CDS	ANKRD23
chr2	4064	4089	-	ONT2.5435.21733	UTR	NA
chr2	3742	5474	-	ENST00000318357.9	exon	ENSG00000163126.15
chr2	5474	5557	-	ENST00000318357.9	intron	ENSG00000163126.15
chr2	5557	5655	-	ENST00000318357.9	exon	ENSG00000163126.15
chr2	5655	5827	-	ENST00000318357.9	intron	ENSG00000163126.15
chr2	5827	5925	-	ENST00000318357.9	exon	ENSG00000163126.15
chr2	5925	6026	-	ENST00000318357.9	intron	ENSG00000163126.15
chr2	6026	6124	-	ENST00000318357.9	exon	ENSG00000163126.15
chr2	6124	6210	-	ENST00000318357.9	intron	ENSG00000163126.15
chr2	6210	6308	-	ENST00000318357.9	exon	ENSG00000163126.15
chr2	6308	6581	-	ENST00000318357.9	intron	ENSG00000163126.15
chr2	6581	6706	-	ENST00000318357.9	exon	ENSG00000163126.15
chr2	6706	6807	-	ENST00000318357.9	intron	ENSG00000163126.15
chr2	6807	6932	-	ENST00000318357.9	exon	ENSG00000163126.15
chr2	6932	7033	-	ENST00000318357.9	intron	ENSG00000163126.15
chr2	7033	7179	-	ENST00000318357.9	exon	ENSG00000163126.15
chr2	7179	7280	-	ENST00000318357.9	intron	ENSG00000163126.15
chr2	7280	7335	-	ENST00000318357.9	exon	ENSG00000163126.15
chr2	2	1118	-	ONT2.5435.21041	exon	ANKRD23
chr2	1119	3042	-	ONT2.5435.21041	exon	ANKRD23
chr2	10	1118	-	ONT2.5435.21042	exon	ANKRD23
chr2	1119	2313	-	ONT2.5435.21042	exon	ANKRD23
chr2	11	1118	-	ONT2.5435.21073	exon	ANKRD23
chr2	1119	2545	-	ONT2.5435.21073	exon	ANKRD23
chr2	8	1118	-	ONT2.5435.21075	exon	ANKRD23
chr2	1119	2725	-	ONT2.5435.21075	exon	ANKRD23
chr2	8	1118	-	ONT2.5435.21083	exon	ANKRD23
chr2	1119	3541	-	ONT2.5435.21083	exon	ANKRD23
chr2	3744	5474	-	ONT2.5435.21730	exon	ANKRD23
chr2	5475	5576	-	ONT2.5435.21730	exon	ANKRD23
chr2	5577	5675	-	ONT2.5435.21730	exon	ANKRD23
chr2	5676	5774	-	ONT2.5435.21730	exon	ANKRD23
chr2	5775	5873	-	ONT2.5435.21730	exon	ANKRD23
chr2	5874	5999	-	ONT2.5435.21730	exon	ANKRD23
