seqnames	start	end	strand	transcript_id	type	gene_id
chr3	309	2441	-	ENST00000284320.6	UTR	NA
chr3	2442	2595	-	ENST00000284320.6	CDS	ENSG00000154174.8
chr3	2595	3452	-	ENST00000284320.6	intron	ENSG00000154174.8
chr3	3452	3574	-	ENST00000284320.6	CDS	ENSG00000154174.8
chr3	3574	3679	-	ENST00000284320.6	intron	ENSG00000154174.8
chr3	3679	3776	-	ENST00000284320.6	CDS	ENSG00000154174.8
chr3	3776	5259	-	ENST00000284320.6	intron	ENSG00000154174.8
chr3	5259	5375	-	ENST00000284320.6	CDS	ENSG00000154174.8
chr3	5375	5495	-	ENST00000284320.6	intron	ENSG00000154174.8
chr3	5495	5602	-	ENST00000284320.6	CDS	ENSG00000154174.8
chr3	5602	5772	-	ENST00000284320.6	intron	ENSG00000154174.8
chr3	5772	5906	-	ENST00000284320.6	CDS	ENSG00000154174.8
chr3	5906	8102	-	ENST00000284320.6	intron	ENSG00000154174.8
chr3	8102	8309	-	ENST00000284320.6	CDS	ENSG00000154174.8
chr3	8309	8410	-	ENST00000284320.6	intron	ENSG00000154174.8
chr3	8410	8558	-	ENST00000284320.6	CDS	ENSG00000154174.8
chr3	8558	8690	-	ENST00000284320.6	intron	ENSG00000154174.8
chr3	8690	8799	-	ENST00000284320.6	CDS	ENSG00000154174.8
chr3	8799	9188	-	ENST00000284320.6	intron	ENSG00000154174.8
chr3	9188	9314	-	ENST00000284320.6	CDS	ENSG00000154174.8
chr3	9314	9775	-	ENST00000284320.6	intron	ENSG00000154174.8
chr3	9775	9948	-	ENST00000284320.6	CDS	ENSG00000154174.8
chr3	9948	10050	-	ENST00000284320.6	intron	ENSG00000154174.8
chr3	10050	10376	-	ENST00000284320.6	CDS	ENSG00000154174.8
chr3	10377	10513	-	ENST00000284320.6	UTR	NA
chr3	2	2444	-	ONT3.4705.3842	UTR	NA
chr3	2445	2595	-	ONT3.4705.3842	CDS	TOMM70
chr3	2595	3452	-	ONT3.4705.3842	intron	TOMM70
chr3	3452	3574	-	ONT3.4705.3842	CDS	TOMM70
chr3	3574	3679	-	ONT3.4705.3842	intron	TOMM70
chr3	3679	3740	-	ONT3.4705.3842	CDS	TOMM70
chr3	3741	3778	-	ONT3.4705.3842	UTR	NA
chr3	8	2444	-	ONT3.4705.3851	UTR	NA
chr3	2445	2595	-	ONT3.4705.3851	CDS	TOMM70
chr3	2595	3452	-	ONT3.4705.3851	intron	TOMM70
chr3	3452	3574	-	ONT3.4705.3851	CDS	TOMM70
chr3	3574	3679	-	ONT3.4705.3851	intron	TOMM70
chr3	3679	3776	-	ONT3.4705.3851	CDS	TOMM70
chr3	3776	5259	-	ONT3.4705.3851	intron	TOMM70
chr3	5259	5375	-	ONT3.4705.3851	CDS	TOMM70
chr3	5375	5495	-	ONT3.4705.3851	intron	TOMM70
chr3	5495	5602	-	ONT3.4705.3851	CDS	TOMM70
chr3	5602	5772	-	ONT3.4705.3851	intron	TOMM70
chr3	5772	5906	-	ONT3.4705.3851	CDS	TOMM70
chr3	5906	8102	-	ONT3.4705.3851	intron	TOMM70
chr3	8102	8309	-	ONT3.4705.3851	CDS	TOMM70
chr3	8309	8410	-	ONT3.4705.3851	intron	TOMM70
chr3	8410	8558	-	ONT3.4705.3851	CDS	TOMM70
chr3	8558	8690	-	ONT3.4705.3851	intron	TOMM70
chr3	8690	8799	-	ONT3.4705.3851	CDS	TOMM70
chr3	8799	9188	-	ONT3.4705.3851	intron	TOMM70
chr3	9188	9314	-	ONT3.4705.3851	CDS	TOMM70
chr3	9314	9775	-	ONT3.4705.3851	intron	TOMM70
chr3	9775	9948	-	ONT3.4705.3851	CDS	TOMM70
chr3	9948	10050	-	ONT3.4705.3851	intron	TOMM70
chr3	10050	10376	-	ONT3.4705.3851	CDS	TOMM70
chr3	10377	10528	-	ONT3.4705.3851	UTR	NA
chr3	341	2444	-	ONT3.4705.3877	UTR	NA
chr3	2445	2595	-	ONT3.4705.3877	CDS	TOMM70
chr3	2595	3452	-	ONT3.4705.3877	intron	TOMM70
chr3	3452	3574	-	ONT3.4705.3877	CDS	TOMM70
chr3	3574	3679	-	ONT3.4705.3877	intron	TOMM70
chr3	3679	3776	-	ONT3.4705.3877	CDS	TOMM70
chr3	3776	5259	-	ONT3.4705.3877	intron	TOMM70
chr3	5259	5375	-	ONT3.4705.3877	CDS	TOMM70
chr3	5375	5495	-	ONT3.4705.3877	intron	TOMM70
chr3	5495	5602	-	ONT3.4705.3877	CDS	TOMM70
chr3	5602	5772	-	ONT3.4705.3877	intron	TOMM70
chr3	5772	5906	-	ONT3.4705.3877	CDS	TOMM70
chr3	5906	8102	-	ONT3.4705.3877	intron	TOMM70
chr3	8102	8309	-	ONT3.4705.3877	CDS	TOMM70
chr3	8309	8410	-	ONT3.4705.3877	intron	TOMM70
chr3	8410	8558	-	ONT3.4705.3877	CDS	TOMM70
chr3	8558	8690	-	ONT3.4705.3877	intron	TOMM70
chr3	8690	8799	-	ONT3.4705.3877	CDS	TOMM70
chr3	8799	9188	-	ONT3.4705.3877	intron	TOMM70
chr3	9188	9314	-	ONT3.4705.3877	CDS	TOMM70
chr3	9314	9775	-	ONT3.4705.3877	intron	TOMM70
chr3	9775	9948	-	ONT3.4705.3877	CDS	TOMM70
chr3	9948	10050	-	ONT3.4705.3877	intron	TOMM70
chr3	10050	10376	-	ONT3.4705.3877	CDS	TOMM70
chr3	10377	10494	-	ONT3.4705.3877	UTR	NA
chr3	341	2444	-	ONT3.4705.3882	UTR	NA
chr3	2445	2595	-	ONT3.4705.3882	CDS	TOMM70
chr3	2595	3452	-	ONT3.4705.3882	intron	TOMM70
chr3	3452	3574	-	ONT3.4705.3882	CDS	TOMM70
chr3	3574	3679	-	ONT3.4705.3882	intron	TOMM70
chr3	3679	3776	-	ONT3.4705.3882	CDS	TOMM70
chr3	3776	5259	-	ONT3.4705.3882	intron	TOMM70
chr3	5259	5375	-	ONT3.4705.3882	CDS	TOMM70
chr3	5375	5495	-	ONT3.4705.3882	intron	TOMM70
chr3	5495	5602	-	ONT3.4705.3882	CDS	TOMM70
chr3	5602	5772	-	ONT3.4705.3882	intron	TOMM70
chr3	5772	5906	-	ONT3.4705.3882	CDS	TOMM70
chr3	5906	8102	-	ONT3.4705.3882	intron	TOMM70
chr3	8102	8309	-	ONT3.4705.3882	CDS	TOMM70
chr3	8309	8410	-	ONT3.4705.3882	intron	TOMM70
chr3	8410	8546	-	ONT3.4705.3882	CDS	TOMM70
chr3	8547	8560	-	ONT3.4705.3882	UTR	NA
chr3	354	2444	-	ONT3.4705.3883	UTR	NA
chr3	2445	2595	-	ONT3.4705.3883	CDS	TOMM70
chr3	2595	3452	-	ONT3.4705.3883	intron	TOMM70
chr3	3452	3574	-	ONT3.4705.3883	CDS	TOMM70
chr3	3574	3679	-	ONT3.4705.3883	intron	TOMM70
