seqnames	start	end	strand	transcript_id	type	gene_id
chr15	914	1044	-	ENST00000299601.10	UTR	NA
chr15	1045	1149	-	ENST00000299601.10	CDS	ENSG00000166477.13
chr15	1149	2364	-	ENST00000299601.10	intron	ENSG00000166477.13
chr15	2364	2461	-	ENST00000299601.10	CDS	ENSG00000166477.13
chr15	2461	2571	-	ENST00000299601.10	intron	ENSG00000166477.13
chr15	2571	2757	-	ENST00000299601.10	CDS	ENSG00000166477.13
chr15	2757	2860	-	ENST00000299601.10	intron	ENSG00000166477.13
chr15	2860	2995	-	ENST00000299601.10	CDS	ENSG00000166477.13
chr15	2995	3116	-	ENST00000299601.10	intron	ENSG00000166477.13
chr15	3116	3250	-	ENST00000299601.10	CDS	ENSG00000166477.13
chr15	3250	3353	-	ENST00000299601.10	intron	ENSG00000166477.13
chr15	3353	3447	-	ENST00000299601.10	CDS	ENSG00000166477.13
chr15	3447	4268	-	ENST00000299601.10	intron	ENSG00000166477.13
chr15	4268	4352	-	ENST00000299601.10	CDS	ENSG00000166477.13
chr15	4352	5058	-	ENST00000299601.10	intron	ENSG00000166477.13
chr15	5058	5203	-	ENST00000299601.10	CDS	ENSG00000166477.13
chr15	5203	5798	-	ENST00000299601.10	intron	ENSG00000166477.13
chr15	5798	5892	-	ENST00000299601.10	CDS	ENSG00000166477.13
chr15	5892	6081	-	ENST00000299601.10	intron	ENSG00000166477.13
chr15	6081	6185	-	ENST00000299601.10	CDS	ENSG00000166477.13
chr15	6185	6309	-	ENST00000299601.10	intron	ENSG00000166477.13
chr15	6309	7064	-	ENST00000299601.10	CDS	ENSG00000166477.13
chr15	7064	7862	-	ENST00000299601.10	intron	ENSG00000166477.13
chr15	7862	7922	-	ENST00000299601.10	CDS	ENSG00000166477.13
chr15	7923	7952	-	ENST00000299601.10	UTR	NA
chr15	28	1047	-	ONT15.1148.5819	UTR	NA
chr15	1048	1149	-	ONT15.1148.5819	CDS	LEO1
chr15	1149	2364	-	ONT15.1148.5819	intron	LEO1
chr15	2364	2461	-	ONT15.1148.5819	CDS	LEO1
chr15	2461	2571	-	ONT15.1148.5819	intron	LEO1
chr15	2571	2757	-	ONT15.1148.5819	CDS	LEO1
chr15	2757	2860	-	ONT15.1148.5819	intron	LEO1
chr15	2860	2995	-	ONT15.1148.5819	CDS	LEO1
chr15	2995	3116	-	ONT15.1148.5819	intron	LEO1
chr15	3116	3250	-	ONT15.1148.5819	CDS	LEO1
chr15	3250	3353	-	ONT15.1148.5819	intron	LEO1
chr15	3353	3447	-	ONT15.1148.5819	CDS	LEO1
chr15	3447	4268	-	ONT15.1148.5819	intron	LEO1
chr15	4268	4352	-	ONT15.1148.5819	CDS	LEO1
chr15	4352	5058	-	ONT15.1148.5819	intron	LEO1
chr15	5058	5203	-	ONT15.1148.5819	CDS	LEO1
chr15	5203	5798	-	ONT15.1148.5819	intron	LEO1
chr15	5798	5892	-	ONT15.1148.5819	CDS	LEO1
chr15	5892	6081	-	ONT15.1148.5819	intron	LEO1
chr15	6081	6185	-	ONT15.1148.5819	CDS	LEO1
chr15	6185	6309	-	ONT15.1148.5819	intron	LEO1
chr15	6309	7064	-	ONT15.1148.5819	CDS	LEO1
chr15	7064	7862	-	ONT15.1148.5819	intron	LEO1
chr15	7862	7922	-	ONT15.1148.5819	CDS	LEO1
chr15	7923	7941	-	ONT15.1148.5819	UTR	NA
chr15	2	1047	-	ONT15.1148.5824	UTR	NA
chr15	1048	1149	-	ONT15.1148.5824	CDS	LEO1
chr15	1149	2364	-	ONT15.1148.5824	intron	LEO1
chr15	2364	2461	-	ONT15.1148.5824	CDS	LEO1
chr15	2461	2571	-	ONT15.1148.5824	intron	LEO1
chr15	2571	2757	-	ONT15.1148.5824	CDS	LEO1
chr15	2757	2860	-	ONT15.1148.5824	intron	LEO1
chr15	2860	2995	-	ONT15.1148.5824	CDS	LEO1
chr15	2995	3116	-	ONT15.1148.5824	intron	LEO1
chr15	3116	3252	-	ONT15.1148.5824	CDS	LEO1
chr15	23	549	-	ONT15.1148.5826	UTR	NA
chr15	549	1044	-	ONT15.1148.5826	intron	NA
chr15	1044	1047	-	ONT15.1148.5826	UTR	NA
chr15	1048	1149	-	ONT15.1148.5826	CDS	LEO1
chr15	1149	2364	-	ONT15.1148.5826	intron	LEO1
chr15	2364	2461	-	ONT15.1148.5826	CDS	LEO1
chr15	2461	2571	-	ONT15.1148.5826	intron	LEO1
chr15	2571	2757	-	ONT15.1148.5826	CDS	LEO1
chr15	2757	2860	-	ONT15.1148.5826	intron	LEO1
chr15	2860	2995	-	ONT15.1148.5826	CDS	LEO1
chr15	2995	3116	-	ONT15.1148.5826	intron	LEO1
chr15	3116	3250	-	ONT15.1148.5826	CDS	LEO1
chr15	3250	3353	-	ONT15.1148.5826	intron	LEO1
chr15	3353	3447	-	ONT15.1148.5826	CDS	LEO1
chr15	3447	4268	-	ONT15.1148.5826	intron	LEO1
chr15	4268	4352	-	ONT15.1148.5826	CDS	LEO1
chr15	4352	5058	-	ONT15.1148.5826	intron	LEO1
chr15	5058	5203	-	ONT15.1148.5826	CDS	LEO1
chr15	5203	5798	-	ONT15.1148.5826	intron	LEO1
chr15	5798	5892	-	ONT15.1148.5826	CDS	LEO1
chr15	5892	6081	-	ONT15.1148.5826	intron	LEO1
chr15	6081	6185	-	ONT15.1148.5826	CDS	LEO1
chr15	6185	6309	-	ONT15.1148.5826	intron	LEO1
chr15	6309	7064	-	ONT15.1148.5826	CDS	LEO1
chr15	7064	7862	-	ONT15.1148.5826	intron	LEO1
chr15	7862	7922	-	ONT15.1148.5826	CDS	LEO1
chr15	7923	7944	-	ONT15.1148.5826	UTR	NA
chr15	3	1149	-	ONT15.1148.5829	UTR	NA
chr15	1149	2364	-	ONT15.1148.5829	intron	NA
chr15	2364	2461	-	ONT15.1148.5829	UTR	NA
chr15	2461	2571	-	ONT15.1148.5829	intron	NA
chr15	2571	2757	-	ONT15.1148.5829	UTR	NA
chr15	2757	2860	-	ONT15.1148.5829	intron	NA
chr15	2860	2995	-	ONT15.1148.5829	UTR	NA
chr15	2995	3116	-	ONT15.1148.5829	intron	NA
chr15	3116	3250	-	ONT15.1148.5829	UTR	NA
chr15	3250	3353	-	ONT15.1148.5829	intron	NA
chr15	3353	3447	-	ONT15.1148.5829	UTR	NA
chr15	3447	4268	-	ONT15.1148.5829	intron	NA
chr15	4268	4352	-	ONT15.1148.5829	UTR	NA
chr15	4352	5058	-	ONT15.1148.5829	intron	NA
chr15	5058	5203	-	ONT15.1148.5829	UTR	NA
chr15	5203	5798	-	ONT15.1148.5829	intron	NA
chr15	5798	5892	-	ONT15.1148.5829	UTR	NA
chr15	5892	6081	-	ONT15.1148.5829	intron	NA
chr15	6081	6185	-	ONT15.1148.5829	UTR	NA
chr15	6185	6309	-	ONT15.1148.5829	intron	NA
chr15	6309	6470	-	ONT15.1148.5829	UTR	NA
chr15	6471	6785	-	ONT15.1148.5829	CDS	LEO1
chr15	6786	6861	-	ONT15.1148.5829	UTR	NA
chr15	5	1047	-	ONT15.1148.5832	UTR	NA
chr15	1048	1149	-	ONT15.1148.5832	CDS	LEO1
chr15	1149	2364	-	ONT15.1148.5832	intron	LEO1
chr15	2364	2461	-	ONT15.1148.5832	CDS	LEO1
chr15	2461	2571	-	ONT15.1148.5832	intron	LEO1
chr15	2571	2757	-	ONT15.1148.5832	CDS	LEO1
chr15	2757	2860	-	ONT15.1148.5832	intron	LEO1
chr15	2860	2964	-	ONT15.1148.5832	CDS	LEO1
chr15	2965	2995	-	ONT15.1148.5832	UTR	NA
chr15	2995	3116	-	ONT15.1148.5832	intron	NA
chr15	3116	3193	-	ONT15.1148.5832	UTR	NA
chr15	29	129	-	ONT15.1148.5837	UTR	NA
chr15	129	1044	-	ONT15.1148.5837	intron	NA
chr15	1044	1047	-	ONT15.1148.5837	UTR	NA
chr15	1048	1149	-	ONT15.1148.5837	CDS	LEO1
chr15	1149	2364	-	ONT15.1148.5837	intron	LEO1
chr15	2364	2461	-	ONT15.1148.5837	CDS	LEO1
chr15	2461	2571	-	ONT15.1148.5837	intron	LEO1
chr15	2571	2757	-	ONT15.1148.5837	CDS	LEO1
chr15	2757	2860	-	ONT15.1148.5837	intron	LEO1
