seqnames	start	end	strand	transcript_id	type	gene_id
chr8	68	203	+	ENST00000276533.4	UTR	NA
chr8	203	304	+	ENST00000276533.4	intron	NA
chr8	304	322	+	ENST00000276533.4	UTR	NA
chr8	323	418	+	ENST00000276533.4	CDS	ENSG00000147536.12
chr8	418	519	+	ENST00000276533.4	intron	ENSG00000147536.12
chr8	519	605	+	ENST00000276533.4	CDS	ENSG00000147536.12
chr8	605	706	+	ENST00000276533.4	intron	ENSG00000147536.12
chr8	706	819	+	ENST00000276533.4	CDS	ENSG00000147536.12
chr8	819	2242	+	ENST00000276533.4	intron	ENSG00000147536.12
chr8	2242	2339	+	ENST00000276533.4	CDS	ENSG00000147536.12
chr8	2339	2444	+	ENST00000276533.4	intron	ENSG00000147536.12
chr8	2444	2532	+	ENST00000276533.4	CDS	ENSG00000147536.12
chr8	2532	2854	+	ENST00000276533.4	intron	ENSG00000147536.12
chr8	2854	2944	+	ENST00000276533.4	CDS	ENSG00000147536.12
chr8	2944	3036	+	ENST00000276533.4	intron	ENSG00000147536.12
chr8	3036	3135	+	ENST00000276533.4	CDS	ENSG00000147536.12
chr8	3136	6075	+	ENST00000276533.4	UTR	NA
chr8	80	203	+	ONT8.2173.2303	UTR	NA
chr8	203	304	+	ONT8.2173.2303	intron	NA
chr8	304	322	+	ONT8.2173.2303	UTR	NA
chr8	323	418	+	ONT8.2173.2303	CDS	GINS4
chr8	418	519	+	ONT8.2173.2303	intron	GINS4
chr8	519	605	+	ONT8.2173.2303	CDS	GINS4
chr8	605	706	+	ONT8.2173.2303	intron	GINS4
chr8	706	819	+	ONT8.2173.2303	CDS	GINS4
chr8	819	2242	+	ONT8.2173.2303	intron	GINS4
chr8	2242	2339	+	ONT8.2173.2303	CDS	GINS4
chr8	2339	2444	+	ONT8.2173.2303	intron	GINS4
chr8	2444	2532	+	ONT8.2173.2303	CDS	GINS4
chr8	2532	2854	+	ONT8.2173.2303	intron	GINS4
chr8	2854	2944	+	ONT8.2173.2303	CDS	GINS4
chr8	2944	3036	+	ONT8.2173.2303	intron	GINS4
chr8	3036	3132	+	ONT8.2173.2303	CDS	GINS4
chr8	3133	3170	+	ONT8.2173.2303	UTR	NA
chr8	3170	4988	+	ONT8.2173.2303	intron	NA
chr8	4988	5738	+	ONT8.2173.2303	UTR	NA
chr8	41	203	+	ONT8.2173.2304	UTR	NA
chr8	203	304	+	ONT8.2173.2304	intron	NA
chr8	304	322	+	ONT8.2173.2304	UTR	NA
chr8	323	418	+	ONT8.2173.2304	CDS	GINS4
chr8	418	519	+	ONT8.2173.2304	intron	GINS4
chr8	519	605	+	ONT8.2173.2304	CDS	GINS4
chr8	605	706	+	ONT8.2173.2304	intron	GINS4
chr8	706	819	+	ONT8.2173.2304	CDS	GINS4
chr8	819	2242	+	ONT8.2173.2304	intron	GINS4
chr8	2242	2339	+	ONT8.2173.2304	CDS	GINS4
chr8	2339	2444	+	ONT8.2173.2304	intron	GINS4
chr8	2444	2532	+	ONT8.2173.2304	CDS	GINS4
chr8	2532	2854	+	ONT8.2173.2304	intron	GINS4
chr8	2854	2944	+	ONT8.2173.2304	CDS	GINS4
chr8	2944	3036	+	ONT8.2173.2304	intron	GINS4
chr8	3036	3132	+	ONT8.2173.2304	CDS	GINS4
chr8	3133	3170	+	ONT8.2173.2304	UTR	NA
chr8	3170	4988	+	ONT8.2173.2304	intron	NA
chr8	4988	6120	+	ONT8.2173.2304	UTR	NA
chr8	68	203	+	ONT8.2173.2306	UTR	NA
chr8	203	304	+	ONT8.2173.2306	intron	NA
chr8	304	322	+	ONT8.2173.2306	UTR	NA
chr8	323	418	+	ONT8.2173.2306	CDS	GINS4
chr8	418	519	+	ONT8.2173.2306	intron	GINS4
chr8	519	605	+	ONT8.2173.2306	CDS	GINS4
chr8	605	706	+	ONT8.2173.2306	intron	GINS4
chr8	706	819	+	ONT8.2173.2306	CDS	GINS4
chr8	819	2242	+	ONT8.2173.2306	intron	GINS4
chr8	2242	2339	+	ONT8.2173.2306	CDS	GINS4
chr8	2339	2444	+	ONT8.2173.2306	intron	GINS4
chr8	2444	2532	+	ONT8.2173.2306	CDS	GINS4
chr8	2532	2854	+	ONT8.2173.2306	intron	GINS4
chr8	2854	2944	+	ONT8.2173.2306	CDS	GINS4
chr8	2944	3036	+	ONT8.2173.2306	intron	GINS4
chr8	3036	3132	+	ONT8.2173.2306	CDS	GINS4
chr8	3133	5808	+	ONT8.2173.2306	UTR	NA
chr8	2	203	+	ONT8.2173.2309	UTR	NA
chr8	203	304	+	ONT8.2173.2309	intron	NA
chr8	304	322	+	ONT8.2173.2309	UTR	NA
chr8	323	418	+	ONT8.2173.2309	CDS	GINS4
chr8	418	519	+	ONT8.2173.2309	intron	GINS4
chr8	519	605	+	ONT8.2173.2309	CDS	GINS4
chr8	605	706	+	ONT8.2173.2309	intron	GINS4
chr8	706	819	+	ONT8.2173.2309	CDS	GINS4
chr8	819	2242	+	ONT8.2173.2309	intron	GINS4
chr8	2242	2339	+	ONT8.2173.2309	CDS	GINS4
chr8	2339	2444	+	ONT8.2173.2309	intron	GINS4
chr8	2444	2532	+	ONT8.2173.2309	CDS	GINS4
chr8	2532	2854	+	ONT8.2173.2309	intron	GINS4
chr8	2854	2944	+	ONT8.2173.2309	CDS	GINS4
chr8	2944	3036	+	ONT8.2173.2309	intron	GINS4
chr8	3036	3132	+	ONT8.2173.2309	CDS	GINS4
chr8	3133	3170	+	ONT8.2173.2309	UTR	NA
chr8	3170	5009	+	ONT8.2173.2309	intron	NA
chr8	5009	6074	+	ONT8.2173.2309	UTR	NA
chr8	13	203	+	ONT8.2173.2311	UTR	NA
chr8	203	304	+	ONT8.2173.2311	intron	NA
chr8	304	322	+	ONT8.2173.2311	UTR	NA
chr8	323	418	+	ONT8.2173.2311	CDS	GINS4
chr8	418	519	+	ONT8.2173.2311	intron	GINS4
chr8	519	605	+	ONT8.2173.2311	CDS	GINS4
chr8	605	706	+	ONT8.2173.2311	intron	GINS4
chr8	706	819	+	ONT8.2173.2311	CDS	GINS4
chr8	819	2242	+	ONT8.2173.2311	intron	GINS4
chr8	2242	2339	+	ONT8.2173.2311	CDS	GINS4
chr8	2339	2444	+	ONT8.2173.2311	intron	GINS4
chr8	2444	2532	+	ONT8.2173.2311	CDS	GINS4
chr8	2532	2854	+	ONT8.2173.2311	intron	GINS4
chr8	2854	2944	+	ONT8.2173.2311	CDS	GINS4
chr8	2944	3036	+	ONT8.2173.2311	intron	GINS4
chr8	3036	3132	+	ONT8.2173.2311	CDS	GINS4
chr8	3133	3541	+	ONT8.2173.2311	UTR	NA
chr8	13	203	+	ONT8.2173.2317	UTR	NA
chr8	203	304	+	ONT8.2173.2317	intron	NA
chr8	304	322	+	ONT8.2173.2317	UTR	NA
chr8	323	418	+	ONT8.2173.2317	CDS	GINS4
chr8	418	519	+	ONT8.2173.2317	intron	GINS4
chr8	519	605	+	ONT8.2173.2317	CDS	GINS4
chr8	605	706	+	ONT8.2173.2317	intron	GINS4
chr8	706	819	+	ONT8.2173.2317	CDS	GINS4
chr8	819	2242	+	ONT8.2173.2317	intron	GINS4
chr8	2242	2339	+	ONT8.2173.2317	CDS	GINS4
chr8	2339	2444	+	ONT8.2173.2317	intron	GINS4
chr8	2444	2532	+	ONT8.2173.2317	CDS	GINS4
chr8	2532	2854	+	ONT8.2173.2317	intron	GINS4
chr8	2854	2944	+	ONT8.2173.2317	CDS	GINS4
chr8	2944	3036	+	ONT8.2173.2317	intron	GINS4
chr8	3036	3132	+	ONT8.2173.2317	CDS	GINS4
chr8	3133	3134	+	ONT8.2173.2317	UTR	NA
chr8	3134	4999	+	ONT8.2173.2317	intron	NA
chr8	4999	5808	+	ONT8.2173.2317	UTR	NA
chr8	34	203	+	ONT8.2173.2319	UTR	NA
chr8	203	304	+	ONT8.2173.2319	intron	NA
chr8	304	322	+	ONT8.2173.2319	UTR	NA
chr8	323	418	+	ONT8.2173.2319	CDS	GINS4
