seqnames	start	end	strand	transcript_id	type	gene_id
chr11	3877	5512	-	ENST00000301919.9	UTR	NA
chr11	5513	6088	-	ENST00000301919.9	CDS	ENSG00000170903.12
chr11	6088	6434	-	ENST00000301919.9	intron	ENSG00000170903.12
chr11	6434	6898	-	ENST00000301919.9	CDS	ENSG00000170903.12
chr11	6899	7045	-	ENST00000301919.9	UTR	NA
chr11	7045	7344	-	ENST00000301919.9	intron	NA
chr11	7344	8622	-	ENST00000301919.9	UTR	NA
chr11	2	1691	-	ONT11.5121.3288	UTR	NA
chr11	1692	1955	-	ONT11.5121.3288	CDS	MSANTD4
chr11	1955	5561	-	ONT11.5121.3288	intron	MSANTD4
chr11	5561	6088	-	ONT11.5121.3288	CDS	MSANTD4
chr11	6088	6434	-	ONT11.5121.3288	intron	MSANTD4
chr11	6434	6898	-	ONT11.5121.3288	CDS	MSANTD4
chr11	6899	7045	-	ONT11.5121.3288	UTR	NA
chr11	7045	8577	-	ONT11.5121.3288	intron	NA
chr11	8577	8628	-	ONT11.5121.3288	UTR	NA
chr11	4	1691	-	ONT11.5121.3297	UTR	NA
chr11	1692	1955	-	ONT11.5121.3297	CDS	MSANTD4
chr11	1955	5561	-	ONT11.5121.3297	intron	MSANTD4
chr11	5561	6088	-	ONT11.5121.3297	CDS	MSANTD4
chr11	6088	6434	-	ONT11.5121.3297	intron	MSANTD4
chr11	6434	6898	-	ONT11.5121.3297	CDS	MSANTD4
chr11	6899	7045	-	ONT11.5121.3297	UTR	NA
chr11	7045	8218	-	ONT11.5121.3297	intron	NA
chr11	8218	8598	-	ONT11.5121.3297	UTR	NA
chr11	7	1691	-	ONT11.5121.3314	UTR	NA
chr11	1692	1955	-	ONT11.5121.3314	CDS	MSANTD4
chr11	1955	5561	-	ONT11.5121.3314	intron	MSANTD4
chr11	5561	6088	-	ONT11.5121.3314	CDS	MSANTD4
chr11	6088	6434	-	ONT11.5121.3314	intron	MSANTD4
chr11	6434	6898	-	ONT11.5121.3314	CDS	MSANTD4
chr11	6899	7047	-	ONT11.5121.3314	UTR	NA
chr11	738	1691	-	ONT11.5121.3334	UTR	NA
chr11	1692	1955	-	ONT11.5121.3334	CDS	MSANTD4
chr11	1955	5561	-	ONT11.5121.3334	intron	MSANTD4
chr11	5561	6088	-	ONT11.5121.3334	CDS	MSANTD4
chr11	6088	6434	-	ONT11.5121.3334	intron	MSANTD4
chr11	6434	6898	-	ONT11.5121.3334	CDS	MSANTD4
chr11	6899	7047	-	ONT11.5121.3334	UTR	NA
chr11	738	1691	-	ONT11.5121.3335	UTR	NA
chr11	1692	1955	-	ONT11.5121.3335	CDS	MSANTD4
chr11	1955	5561	-	ONT11.5121.3335	intron	MSANTD4
chr11	5561	6088	-	ONT11.5121.3335	CDS	MSANTD4
chr11	6088	6434	-	ONT11.5121.3335	intron	MSANTD4
chr11	6434	6898	-	ONT11.5121.3335	CDS	MSANTD4
