seqnames	start	end	strand	transcript_id	type	gene_id
chr19	210	518	+	ENST00000392271.6	UTR	NA
chr19	519	635	+	ENST00000392271.6	CDS	ENSG00000105176.18
chr19	635	1414	+	ENST00000392271.6	intron	ENSG00000105176.18
chr19	1414	1448	+	ENST00000392271.6	CDS	ENSG00000105176.18
chr19	1448	1780	+	ENST00000392271.6	intron	ENSG00000105176.18
chr19	1780	1858	+	ENST00000392271.6	CDS	ENSG00000105176.18
chr19	1858	1960	+	ENST00000392271.6	intron	ENSG00000105176.18
chr19	1960	2095	+	ENST00000392271.6	CDS	ENSG00000105176.18
chr19	2095	3386	+	ENST00000392271.6	intron	ENSG00000105176.18
chr19	3386	3477	+	ENST00000392271.6	CDS	ENSG00000105176.18
chr19	3477	3582	+	ENST00000392271.6	intron	ENSG00000105176.18
chr19	3582	3639	+	ENST00000392271.6	CDS	ENSG00000105176.18
chr19	3639	3742	+	ENST00000392271.6	intron	ENSG00000105176.18
chr19	3742	3910	+	ENST00000392271.6	CDS	ENSG00000105176.18
chr19	3910	4019	+	ENST00000392271.6	intron	ENSG00000105176.18
chr19	4019	4367	+	ENST00000392271.6	CDS	ENSG00000105176.18
chr19	4367	4638	+	ENST00000392271.6	intron	ENSG00000105176.18
chr19	4638	4780	+	ENST00000392271.6	CDS	ENSG00000105176.18
chr19	4780	5709	+	ENST00000392271.6	intron	ENSG00000105176.18
chr19	5709	5955	+	ENST00000392271.6	CDS	ENSG00000105176.18
chr19	5955	8311	+	ENST00000392271.6	intron	ENSG00000105176.18
chr19	8311	8496	+	ENST00000392271.6	CDS	ENSG00000105176.18
chr19	8497	10036	+	ENST00000392271.6	UTR	NA
chr19	2031	2095	+	ONT19.245.1002	UTR	NA
chr19	2095	3386	+	ONT19.245.1002	intron	NA
chr19	3386	3420	+	ONT19.245.1002	UTR	NA
chr19	3421	3477	+	ONT19.245.1002	CDS	URI1
chr19	3477	3582	+	ONT19.245.1002	intron	URI1
chr19	3582	3639	+	ONT19.245.1002	CDS	URI1
chr19	3639	3742	+	ONT19.245.1002	intron	URI1
chr19	3742	3910	+	ONT19.245.1002	CDS	URI1
chr19	3910	4019	+	ONT19.245.1002	intron	URI1
chr19	4019	4367	+	ONT19.245.1002	CDS	URI1
chr19	4367	4638	+	ONT19.245.1002	intron	URI1
chr19	4638	4780	+	ONT19.245.1002	CDS	URI1
chr19	4780	5709	+	ONT19.245.1002	intron	URI1
chr19	5709	5955	+	ONT19.245.1002	CDS	URI1
chr19	5955	8960	+	ONT19.245.1002	intron	URI1
