seqnames	start	end	strand	transcript_id	type	gene_id
chr19	20	477	-	ENST00000455140.7	UTR	NA
chr19	478	624	-	ENST00000455140.7	CDS	ENSG00000127527.14
chr19	624	2439	-	ENST00000455140.7	intron	ENSG00000127527.14
chr19	2439	2644	-	ENST00000455140.7	CDS	ENSG00000127527.14
chr19	2644	2911	-	ENST00000455140.7	intron	ENSG00000127527.14
chr19	2911	3043	-	ENST00000455140.7	CDS	ENSG00000127527.14
chr19	3043	6083	-	ENST00000455140.7	intron	ENSG00000127527.14
chr19	6083	6165	-	ENST00000455140.7	CDS	ENSG00000127527.14
chr19	6165	6301	-	ENST00000455140.7	intron	ENSG00000127527.14
chr19	6301	6361	-	ENST00000455140.7	CDS	ENSG00000127527.14
chr19	6361	6468	-	ENST00000455140.7	intron	ENSG00000127527.14
chr19	6468	6604	-	ENST00000455140.7	CDS	ENSG00000127527.14
chr19	6604	6866	-	ENST00000455140.7	intron	ENSG00000127527.14
chr19	6866	6916	-	ENST00000455140.7	CDS	ENSG00000127527.14
chr19	6916	7058	-	ENST00000455140.7	intron	ENSG00000127527.14
chr19	7058	7181	-	ENST00000455140.7	CDS	ENSG00000127527.14
chr19	7181	9197	-	ENST00000455140.7	intron	ENSG00000127527.14
chr19	9197	9361	-	ENST00000455140.7	CDS	ENSG00000127527.14
chr19	9361	9462	-	ENST00000455140.7	intron	ENSG00000127527.14
chr19	9462	9659	-	ENST00000455140.7	CDS	ENSG00000127527.14
chr19	9659	9761	-	ENST00000455140.7	intron	ENSG00000127527.14
chr19	9761	9922	-	ENST00000455140.7	CDS	ENSG00000127527.14
chr19	9922	10031	-	ENST00000455140.7	intron	ENSG00000127527.14
chr19	10031	10103	-	ENST00000455140.7	CDS	ENSG00000127527.14
chr19	10103	10206	-	ENST00000455140.7	intron	ENSG00000127527.14
chr19	10206	10291	-	ENST00000455140.7	CDS	ENSG00000127527.14
chr19	10291	10400	-	ENST00000455140.7	intron	ENSG00000127527.14
chr19	10400	10556	-	ENST00000455140.7	CDS	ENSG00000127527.14
chr19	10556	10658	-	ENST00000455140.7	intron	ENSG00000127527.14
chr19	10658	10815	-	ENST00000455140.7	CDS	ENSG00000127527.14
chr19	10815	11331	-	ENST00000455140.7	intron	ENSG00000127527.14
chr19	11331	11564	-	ENST00000455140.7	CDS	ENSG00000127527.14
chr19	11564	13626	-	ENST00000455140.7	intron	ENSG00000127527.14
chr19	13626	13685	-	ENST00000455140.7	CDS	ENSG00000127527.14
chr19	13685	14222	-	ENST00000455140.7	intron	ENSG00000127527.14
chr19	14222	14347	-	ENST00000455140.7	CDS	ENSG00000127527.14
chr19	14347	15005	-	ENST00000455140.7	intron	ENSG00000127527.14
chr19	15005	15067	-	ENST00000455140.7	CDS	ENSG00000127527.14
