seqnames	start	end	strand	transcript_id	type	gene_id
chr16	9	51	+	ENST00000301019.9	UTR	NA
chr16	52	279	+	ENST00000301019.9	CDS	ENSG00000167513.9
chr16	279	719	+	ENST00000301019.9	intron	ENSG00000167513.9
chr16	719	841	+	ENST00000301019.9	CDS	ENSG00000167513.9
chr16	841	936	+	ENST00000301019.9	intron	ENSG00000167513.9
chr16	936	1072	+	ENST00000301019.9	CDS	ENSG00000167513.9
chr16	1072	1441	+	ENST00000301019.9	intron	ENSG00000167513.9
chr16	1441	1638	+	ENST00000301019.9	CDS	ENSG00000167513.9
chr16	1638	1725	+	ENST00000301019.9	intron	ENSG00000167513.9
chr16	1725	1870	+	ENST00000301019.9	CDS	ENSG00000167513.9
chr16	1870	1972	+	ENST00000301019.9	intron	ENSG00000167513.9
chr16	1972	2072	+	ENST00000301019.9	CDS	ENSG00000167513.9
chr16	2072	2173	+	ENST00000301019.9	intron	ENSG00000167513.9
chr16	2173	2361	+	ENST00000301019.9	CDS	ENSG00000167513.9
chr16	2361	2463	+	ENST00000301019.9	intron	ENSG00000167513.9
chr16	2463	2615	+	ENST00000301019.9	CDS	ENSG00000167513.9
chr16	2615	2693	+	ENST00000301019.9	intron	ENSG00000167513.9
chr16	2693	2894	+	ENST00000301019.9	CDS	ENSG00000167513.9
chr16	2894	2995	+	ENST00000301019.9	intron	ENSG00000167513.9
chr16	2995	3161	+	ENST00000301019.9	CDS	ENSG00000167513.9
chr16	3162	4138	+	ENST00000301019.9	UTR	NA
chr16	12	51	+	ONT16.3307.3109	UTR	NA
chr16	52	279	+	ONT16.3307.3109	CDS	CDT1
chr16	279	719	+	ONT16.3307.3109	intron	CDT1
chr16	719	841	+	ONT16.3307.3109	CDS	CDT1
chr16	841	936	+	ONT16.3307.3109	intron	CDT1
chr16	936	1072	+	ONT16.3307.3109	CDS	CDT1
chr16	1072	1441	+	ONT16.3307.3109	intron	CDT1
chr16	1441	1638	+	ONT16.3307.3109	CDS	CDT1
chr16	1638	1725	+	ONT16.3307.3109	intron	CDT1
chr16	1725	1870	+	ONT16.3307.3109	CDS	CDT1
chr16	1870	1972	+	ONT16.3307.3109	intron	CDT1
chr16	1972	2072	+	ONT16.3307.3109	CDS	CDT1
chr16	2072	2173	+	ONT16.3307.3109	intron	CDT1
chr16	2173	2361	+	ONT16.3307.3109	CDS	CDT1
chr16	2361	2463	+	ONT16.3307.3109	intron	CDT1
chr16	2463	2615	+	ONT16.3307.3109	CDS	CDT1
chr16	2615	2693	+	ONT16.3307.3109	intron	CDT1
chr16	2693	2894	+	ONT16.3307.3109	CDS	CDT1
chr16	2894	2995	+	ONT16.3307.3109	intron	CDT1
chr16	2995	3158	+	ONT16.3307.3109	CDS	CDT1
chr16	3159	3390	+	ONT16.3307.3109	UTR	NA
chr16	2	51	+	ONT16.3307.3110	UTR	NA
chr16	52	279	+	ONT16.3307.3110	CDS	CDT1
chr16	279	719	+	ONT16.3307.3110	intron	CDT1
chr16	719	841	+	ONT16.3307.3110	CDS	CDT1
chr16	841	936	+	ONT16.3307.3110	intron	CDT1
chr16	936	1072	+	ONT16.3307.3110	CDS	CDT1
chr16	1072	1441	+	ONT16.3307.3110	intron	CDT1
chr16	1441	1638	+	ONT16.3307.3110	CDS	CDT1
chr16	1638	1725	+	ONT16.3307.3110	intron	CDT1
chr16	1725	1870	+	ONT16.3307.3110	CDS	CDT1
chr16	1870	1972	+	ONT16.3307.3110	intron	CDT1
chr16	1972	2072	+	ONT16.3307.3110	CDS	CDT1
chr16	2072	2173	+	ONT16.3307.3110	intron	CDT1
chr16	2173	2361	+	ONT16.3307.3110	CDS	CDT1
chr16	2361	2463	+	ONT16.3307.3110	intron	CDT1
chr16	2463	2615	+	ONT16.3307.3110	CDS	CDT1
chr16	2615	2693	+	ONT16.3307.3110	intron	CDT1
chr16	2693	2894	+	ONT16.3307.3110	CDS	CDT1
chr16	2894	2995	+	ONT16.3307.3110	intron	CDT1
chr16	2995	3158	+	ONT16.3307.3110	CDS	CDT1
chr16	3159	4136	+	ONT16.3307.3110	UTR	NA
chr16	125	279	+	ONT16.3307.3125	UTR	NA
chr16	279	719	+	ONT16.3307.3125	intron	NA
chr16	719	841	+	ONT16.3307.3125	UTR	NA
chr16	841	936	+	ONT16.3307.3125	intron	NA
chr16	936	1072	+	ONT16.3307.3125	UTR	NA
chr16	1072	1441	+	ONT16.3307.3125	intron	NA
chr16	1441	1537	+	ONT16.3307.3125	UTR	NA
chr16	1538	1638	+	ONT16.3307.3125	CDS	CDT1
chr16	1638	1725	+	ONT16.3307.3125	intron	CDT1
chr16	1725	1870	+	ONT16.3307.3125	CDS	CDT1
chr16	1870	1972	+	ONT16.3307.3125	intron	CDT1
chr16	1972	2072	+	ONT16.3307.3125	CDS	CDT1
chr16	2072	2173	+	ONT16.3307.3125	intron	CDT1
chr16	2173	2361	+	ONT16.3307.3125	CDS	CDT1
chr16	2361	2463	+	ONT16.3307.3125	intron	CDT1
chr16	2463	2615	+	ONT16.3307.3125	CDS	CDT1
chr16	2615	2693	+	ONT16.3307.3125	intron	CDT1
chr16	2693	2894	+	ONT16.3307.3125	CDS	CDT1
chr16	2894	2995	+	ONT16.3307.3125	intron	CDT1
chr16	2995	3158	+	ONT16.3307.3125	CDS	CDT1
chr16	3159	3390	+	ONT16.3307.3125	UTR	NA
chr16	166	279	+	ONT16.3307.3126	UTR	NA
chr16	279	719	+	ONT16.3307.3126	intron	NA
chr16	719	841	+	ONT16.3307.3126	UTR	NA
chr16	841	936	+	ONT16.3307.3126	intron	NA
chr16	936	1072	+	ONT16.3307.3126	UTR	NA
chr16	1072	1441	+	ONT16.3307.3126	intron	NA
chr16	1441	1537	+	ONT16.3307.3126	UTR	NA
chr16	1538	1638	+	ONT16.3307.3126	CDS	CDT1
chr16	1638	1725	+	ONT16.3307.3126	intron	CDT1
chr16	1725	1870	+	ONT16.3307.3126	CDS	CDT1
chr16	1870	1972	+	ONT16.3307.3126	intron	CDT1
chr16	1972	2072	+	ONT16.3307.3126	CDS	CDT1
chr16	2072	2173	+	ONT16.3307.3126	intron	CDT1
chr16	2173	2361	+	ONT16.3307.3126	CDS	CDT1
chr16	2361	2463	+	ONT16.3307.3126	intron	CDT1
chr16	2463	2615	+	ONT16.3307.3126	CDS	CDT1
chr16	2615	2693	+	ONT16.3307.3126	intron	CDT1
chr16	2693	2894	+	ONT16.3307.3126	CDS	CDT1
chr16	2894	2995	+	ONT16.3307.3126	intron	CDT1
chr16	2995	3158	+	ONT16.3307.3126	CDS	CDT1
chr16	3159	4135	+	ONT16.3307.3126	UTR	NA
chr16	231	279	+	ONT16.3307.3127	UTR	NA
chr16	279	719	+	ONT16.3307.3127	intron	NA
chr16	719	841	+	ONT16.3307.3127	UTR	NA
chr16	841	936	+	ONT16.3307.3127	intron	NA
chr16	936	1072	+	ONT16.3307.3127	UTR	NA
chr16	1072	1441	+	ONT16.3307.3127	intron	NA
chr16	1441	1537	+	ONT16.3307.3127	UTR	NA
chr16	1538	1638	+	ONT16.3307.3127	CDS	CDT1
chr16	1638	1725	+	ONT16.3307.3127	intron	CDT1
chr16	1725	1870	+	ONT16.3307.3127	CDS	CDT1
chr16	1870	1972	+	ONT16.3307.3127	intron	CDT1
chr16	1972	2072	+	ONT16.3307.3127	CDS	CDT1
chr16	2072	2173	+	ONT16.3307.3127	intron	CDT1
chr16	2173	2361	+	ONT16.3307.3127	CDS	CDT1
chr16	2361	2463	+	ONT16.3307.3127	intron	CDT1
chr16	2463	2615	+	ONT16.3307.3127	CDS	CDT1
chr16	2615	2693	+	ONT16.3307.3127	intron	CDT1
chr16	2693	2894	+	ONT16.3307.3127	CDS	CDT1
chr16	2894	2995	+	ONT16.3307.3127	intron	CDT1
chr16	2995	3158	+	ONT16.3307.3127	CDS	CDT1
chr16	3159	3390	+	ONT16.3307.3127	UTR	NA
chr16	380	841	+	ONT16.3307.3132	UTR	NA
chr16	841	936	+	ONT16.3307.3132	intron	NA
chr16	936	1072	+	ONT16.3307.3132	UTR	NA
chr16	1072	1441	+	ONT16.3307.3132	intron	NA
chr16	1441	1537	+	ONT16.3307.3132	UTR	NA
chr16	1538	1638	+	ONT16.3307.3132	CDS	CDT1
chr16	1638	1725	+	ONT16.3307.3132	intron	CDT1
chr16	1725	1870	+	ONT16.3307.3132	CDS	CDT1
chr16	1870	1972	+	ONT16.3307.3132	intron	CDT1
chr16	1972	2072	+	ONT16.3307.3132	CDS	CDT1
chr16	2072	2173	+	ONT16.3307.3132	intron	CDT1
chr16	2173	2361	+	ONT16.3307.3132	CDS	CDT1
chr16	2361	2463	+	ONT16.3307.3132	intron	CDT1
chr16	2463	2615	+	ONT16.3307.3132	CDS	CDT1
chr16	2615	2693	+	ONT16.3307.3132	intron	CDT1
chr16	2693	2894	+	ONT16.3307.3132	CDS	CDT1
chr16	2894	2995	+	ONT16.3307.3132	intron	CDT1
chr16	2995	3158	+	ONT16.3307.3132	CDS	CDT1
chr16	3159	3390	+	ONT16.3307.3132	UTR	NA
chr16	410	841	+	ONT16.3307.3134	UTR	NA
chr16	841	936	+	ONT16.3307.3134	intron	NA
chr16	936	1072	+	ONT16.3307.3134	UTR	NA
chr16	1072	1441	+	ONT16.3307.3134	intron	NA
chr16	1441	1537	+	ONT16.3307.3134	UTR	NA
chr16	1538	1638	+	ONT16.3307.3134	CDS	CDT1
chr16	1638	1725	+	ONT16.3307.3134	intron	CDT1
chr16	1725	1870	+	ONT16.3307.3134	CDS	CDT1
chr16	1870	1972	+	ONT16.3307.3134	intron	CDT1
chr16	1972	2072	+	ONT16.3307.3134	CDS	CDT1
