seqnames	start	end	strand	transcript_id	type	gene_id
chr2	1448	3966	-	ENST00000335508.11	UTR	NA
chr2	3967	4125	-	ENST00000335508.11	CDS	ENSG00000115524.17
chr2	4125	4636	-	ENST00000335508.11	intron	ENSG00000115524.17
chr2	4636	4852	-	ENST00000335508.11	CDS	ENSG00000115524.17
chr2	4852	4957	-	ENST00000335508.11	intron	ENSG00000115524.17
chr2	4957	5229	-	ENST00000335508.11	CDS	ENSG00000115524.17
chr2	5229	5360	-	ENST00000335508.11	intron	ENSG00000115524.17
chr2	5360	5491	-	ENST00000335508.11	CDS	ENSG00000115524.17
chr2	5491	5594	-	ENST00000335508.11	intron	ENSG00000115524.17
chr2	5594	5714	-	ENST00000335508.11	CDS	ENSG00000115524.17
chr2	5714	7188	-	ENST00000335508.11	intron	ENSG00000115524.17
chr2	7188	7299	-	ENST00000335508.11	CDS	ENSG00000115524.17
chr2	7299	7385	-	ENST00000335508.11	intron	ENSG00000115524.17
chr2	7385	7567	-	ENST00000335508.11	CDS	ENSG00000115524.17
chr2	7567	7670	-	ENST00000335508.11	intron	ENSG00000115524.17
chr2	7670	7891	-	ENST00000335508.11	CDS	ENSG00000115524.17
chr2	7891	8005	-	ENST00000335508.11	intron	ENSG00000115524.17
chr2	8005	8130	-	ENST00000335508.11	CDS	ENSG00000115524.17
chr2	8130	8256	-	ENST00000335508.11	intron	ENSG00000115524.17
chr2	8256	8402	-	ENST00000335508.11	CDS	ENSG00000115524.17
chr2	8402	8499	-	ENST00000335508.11	intron	ENSG00000115524.17
chr2	8499	8644	-	ENST00000335508.11	CDS	ENSG00000115524.17
chr2	8644	9070	-	ENST00000335508.11	intron	ENSG00000115524.17
chr2	9070	9340	-	ENST00000335508.11	CDS	ENSG00000115524.17
chr2	9340	9443	-	ENST00000335508.11	intron	ENSG00000115524.17
chr2	9443	9529	-	ENST00000335508.11	CDS	ENSG00000115524.17
chr2	9529	10079	-	ENST00000335508.11	intron	ENSG00000115524.17
chr2	10079	10258	-	ENST00000335508.11	CDS	ENSG00000115524.17
chr2	10258	10359	-	ENST00000335508.11	intron	ENSG00000115524.17
chr2	10359	10460	-	ENST00000335508.11	CDS	ENSG00000115524.17
chr2	10460	10558	-	ENST00000335508.11	intron	ENSG00000115524.17
chr2	10558	10755	-	ENST00000335508.11	CDS	ENSG00000115524.17
chr2	10755	10920	-	ENST00000335508.11	intron	ENSG00000115524.17
chr2	10920	11041	-	ENST00000335508.11	CDS	ENSG00000115524.17
chr2	11041	11144	-	ENST00000335508.11	intron	ENSG00000115524.17
chr2	11144	11356	-	ENST00000335508.11	CDS	ENSG00000115524.17
chr2	11356	11483	-	ENST00000335508.11	intron	ENSG00000115524.17
chr2	11483	11720	-	ENST00000335508.11	CDS	ENSG00000115524.17
chr2	11720	11831	-	ENST00000335508.11	intron	ENSG00000115524.17
