seqnames	start	end	strand	transcript_id	type	gene_id
chr22	569	623	+	ENST00000331444.12	UTR	NA
chr22	624	733	+	ENST00000331444.12	CDS	ENSG00000183628.14
chr22	733	814	+	ENST00000331444.12	intron	ENSG00000183628.14
chr22	814	974	+	ENST00000331444.12	CDS	ENSG00000183628.14
chr22	974	4421	+	ENST00000331444.12	intron	ENSG00000183628.14
chr22	4421	4521	+	ENST00000331444.12	CDS	ENSG00000183628.14
chr22	4521	5137	+	ENST00000331444.12	intron	ENSG00000183628.14
chr22	5137	5277	+	ENST00000331444.12	CDS	ENSG00000183628.14
chr22	5277	5382	+	ENST00000331444.12	intron	ENSG00000183628.14
chr22	5382	5534	+	ENST00000331444.12	CDS	ENSG00000183628.14
chr22	5535	5930	+	ENST00000331444.12	UTR	NA
chr22	2	364	+	ONT22.333.18068	UTR	NA
chr22	364	599	+	ONT22.333.18068	intron	NA
chr22	599	623	+	ONT22.333.18068	UTR	NA
chr22	624	733	+	ONT22.333.18068	CDS	DGCR6
chr22	733	814	+	ONT22.333.18068	intron	DGCR6
chr22	814	974	+	ONT22.333.18068	CDS	DGCR6
chr22	974	4421	+	ONT22.333.18068	intron	DGCR6
chr22	4421	4521	+	ONT22.333.18068	CDS	DGCR6
chr22	4521	5137	+	ONT22.333.18068	intron	DGCR6
chr22	5137	5281	+	ONT22.333.18068	CDS	DGCR6
chr22	5281	5382	+	ONT22.333.18068	intron	DGCR6
chr22	5382	5503	+	ONT22.333.18068	CDS	DGCR6
chr22	5504	5914	+	ONT22.333.18068	UTR	NA
chr22	465	623	+	ONT22.333.18072	UTR	NA
chr22	624	733	+	ONT22.333.18072	CDS	DGCR6
chr22	733	814	+	ONT22.333.18072	intron	DGCR6
chr22	814	1138	+	ONT22.333.18072	CDS	DGCR6
chr22	492	623	+	ONT22.333.18073	UTR	NA
chr22	624	733	+	ONT22.333.18073	CDS	DGCR6
chr22	733	814	+	ONT22.333.18073	intron	DGCR6
chr22	814	974	+	ONT22.333.18073	CDS	DGCR6
