seqnames	start	end	strand	transcript_id	type	gene_id
chr1	576	715	+	ENST00000367815.9	UTR	NA
chr1	716	812	+	ENST00000367815.9	CDS	ENSG00000143153.14
chr1	812	3190	+	ENST00000367815.9	intron	ENSG00000143153.14
chr1	3190	3318	+	ENST00000367815.9	CDS	ENSG00000143153.14
chr1	3318	6656	+	ENST00000367815.9	intron	ENSG00000143153.14
chr1	6656	6811	+	ENST00000367815.9	CDS	ENSG00000143153.14
chr1	6811	6979	+	ENST00000367815.9	intron	ENSG00000143153.14
chr1	6979	7163	+	ENST00000367815.9	CDS	ENSG00000143153.14
chr1	7163	9591	+	ENST00000367815.9	intron	ENSG00000143153.14
chr1	9591	9671	+	ENST00000367815.9	CDS	ENSG00000143153.14
chr1	9671	9895	+	ENST00000367815.9	intron	ENSG00000143153.14
chr1	9895	10161	+	ENST00000367815.9	CDS	ENSG00000143153.14
chr1	10162	11322	+	ENST00000367815.9	UTR	NA
chr1	586	715	+	ONT1.5792.1003	UTR	NA
chr1	716	812	+	ONT1.5792.1003	CDS	ATP1B1
chr1	812	3190	+	ONT1.5792.1003	intron	ATP1B1
chr1	3190	3318	+	ONT1.5792.1003	CDS	ATP1B1
chr1	3318	6667	+	ONT1.5792.1003	intron	ATP1B1
chr1	6667	6689	+	ONT1.5792.1003	CDS	ATP1B1
chr1	6690	6811	+	ONT1.5792.1003	UTR	NA
chr1	6811	6979	+	ONT1.5792.1003	intron	NA
chr1	6979	7167	+	ONT1.5792.1003	UTR	NA
chr1	7167	9847	+	ONT1.5792.1003	intron	NA
chr1	9847	11335	+	ONT1.5792.1003	UTR	NA
chr1	581	715	+	ONT1.5792.1014	UTR	NA
chr1	716	812	+	ONT1.5792.1014	CDS	ATP1B1
chr1	812	3190	+	ONT1.5792.1014	intron	ATP1B1
chr1	3190	3318	+	ONT1.5792.1014	CDS	ATP1B1
chr1	3318	6656	+	ONT1.5792.1014	intron	ATP1B1
chr1	6656	6805	+	ONT1.5792.1014	CDS	ATP1B1
chr1	6805	6979	+	ONT1.5792.1014	intron	ATP1B1
chr1	6979	7167	+	ONT1.5792.1014	CDS	ATP1B1
chr1	7167	9591	+	ONT1.5792.1014	intron	ATP1B1
chr1	9591	9604	+	ONT1.5792.1014	CDS	ATP1B1
chr1	9605	9671	+	ONT1.5792.1014	UTR	NA
chr1	9671	9895	+	ONT1.5792.1014	intron	NA
chr1	9895	10394	+	ONT1.5792.1014	UTR	NA
chr1	10394	10777	+	ONT1.5792.1014	intron	NA
chr1	10777	11322	+	ONT1.5792.1014	UTR	NA
chr1	583	715	+	ONT1.5792.1025	UTR	NA
chr1	716	812	+	ONT1.5792.1025	CDS	ATP1B1
chr1	812	3190	+	ONT1.5792.1025	intron	ATP1B1
chr1	3190	3318	+	ONT1.5792.1025	CDS	ATP1B1
chr1	3318	6667	+	ONT1.5792.1025	intron	ATP1B1
chr1	6667	6689	+	ONT1.5792.1025	CDS	ATP1B1
chr1	6690	6811	+	ONT1.5792.1025	UTR	NA
chr1	6811	6979	+	ONT1.5792.1025	intron	NA
chr1	6979	7167	+	ONT1.5792.1025	UTR	NA
chr1	7167	9591	+	ONT1.5792.1025	intron	NA
chr1	9591	9671	+	ONT1.5792.1025	UTR	NA
chr1	9671	9910	+	ONT1.5792.1025	intron	NA
chr1	9910	11322	+	ONT1.5792.1025	UTR	NA
chr1	562	715	+	ONT1.5792.1027	UTR	NA
chr1	716	812	+	ONT1.5792.1027	CDS	ATP1B1
chr1	812	3190	+	ONT1.5792.1027	intron	ATP1B1
chr1	3190	3318	+	ONT1.5792.1027	CDS	ATP1B1
chr1	3318	6656	+	ONT1.5792.1027	intron	ATP1B1
chr1	6656	6781	+	ONT1.5792.1027	CDS	ATP1B1
chr1	6781	10774	+	ONT1.5792.1027	intron	ATP1B1
chr1	10774	10796	+	ONT1.5792.1027	CDS	ATP1B1
chr1	10797	11322	+	ONT1.5792.1027	UTR	NA
chr1	562	715	+	ONT1.5792.1029	UTR	NA
chr1	716	812	+	ONT1.5792.1029	CDS	ATP1B1
