seqnames	start	end	strand	transcript_id	type	gene_id
chr14	29	47	+	ENST00000555028.7	UTR	NA
chr14	48	66	+	ENST00000555028.7	CDS	ENSG00000205659.12
chr14	66	1294	+	ENST00000555028.7	intron	ENSG00000205659.12
chr14	1294	1368	+	ENST00000555028.7	CDS	ENSG00000205659.12
chr14	1368	1516	+	ENST00000555028.7	intron	ENSG00000205659.12
chr14	1516	1553	+	ENST00000555028.7	CDS	ENSG00000205659.12
chr14	1553	1917	+	ENST00000555028.7	intron	ENSG00000205659.12
chr14	1917	1983	+	ENST00000555028.7	CDS	ENSG00000205659.12
chr14	1983	2084	+	ENST00000555028.7	intron	ENSG00000205659.12
chr14	2084	2167	+	ENST00000555028.7	CDS	ENSG00000205659.12
chr14	2167	8538	+	ENST00000555028.7	intron	ENSG00000205659.12
chr14	8538	8596	+	ENST00000555028.7	CDS	ENSG00000205659.12
chr14	8597	11109	+	ENST00000555028.7	UTR	NA
chr14	2	35	+	ONT14.2091.25198	UTR	NA
chr14	36	66	+	ONT14.2091.25198	CDS	LIN52
chr14	66	1294	+	ONT14.2091.25198	intron	LIN52
chr14	1294	1368	+	ONT14.2091.25198	CDS	LIN52
chr14	1368	1516	+	ONT14.2091.25198	intron	LIN52
chr14	1516	1553	+	ONT14.2091.25198	CDS	LIN52
chr14	1553	1917	+	ONT14.2091.25198	intron	LIN52
chr14	1917	1983	+	ONT14.2091.25198	CDS	LIN52
chr14	1983	2084	+	ONT14.2091.25198	intron	LIN52
chr14	2084	2167	+	ONT14.2091.25198	CDS	LIN52
chr14	2167	8538	+	ONT14.2091.25198	intron	LIN52
chr14	8538	8593	+	ONT14.2091.25198	CDS	LIN52
chr14	8594	10848	+	ONT14.2091.25198	UTR	NA
chr14	29	35	+	ONT14.2091.25201	UTR	NA
chr14	36	66	+	ONT14.2091.25201	CDS	LIN52
chr14	66	1294	+	ONT14.2091.25201	intron	LIN52
chr14	1294	1368	+	ONT14.2091.25201	CDS	LIN52
chr14	1368	1516	+	ONT14.2091.25201	intron	LIN52
chr14	1516	1553	+	ONT14.2091.25201	CDS	LIN52
chr14	1553	1917	+	ONT14.2091.25201	intron	LIN52
chr14	1917	1983	+	ONT14.2091.25201	CDS	LIN52
chr14	1983	8538	+	ONT14.2091.25201	intron	LIN52
chr14	8538	8593	+	ONT14.2091.25201	CDS	LIN52
chr14	8594	10051	+	ONT14.2091.25201	UTR	NA
chr14	30	35	+	ONT14.2091.25204	UTR	NA
chr14	36	66	+	ONT14.2091.25204	CDS	LIN52
chr14	66	1294	+	ONT14.2091.25204	intron	LIN52
chr14	1294	1368	+	ONT14.2091.25204	CDS	LIN52
chr14	1368	1516	+	ONT14.2091.25204	intron	LIN52
chr14	1516	1553	+	ONT14.2091.25204	CDS	LIN52
chr14	1553	1917	+	ONT14.2091.25204	intron	LIN52
chr14	1917	1983	+	ONT14.2091.25204	CDS	LIN52
chr14	1983	2084	+	ONT14.2091.25204	intron	LIN52
chr14	2084	2167	+	ONT14.2091.25204	CDS	LIN52
chr14	2167	3301	+	ONT14.2091.25204	intron	LIN52
chr14	3301	3418	+	ONT14.2091.25204	CDS	LIN52
chr14	3418	8538	+	ONT14.2091.25204	intron	LIN52
chr14	8538	8748	+	ONT14.2091.25204	CDS	LIN52
chr14	8749	10051	+	ONT14.2091.25204	UTR	NA
chr14	4	35	+	ONT14.2091.25205	UTR	NA
chr14	36	66	+	ONT14.2091.25205	CDS	LIN52
chr14	66	1294	+	ONT14.2091.25205	intron	LIN52
chr14	1294	1368	+	ONT14.2091.25205	CDS	LIN52
chr14	1368	1498	+	ONT14.2091.25205	intron	LIN52
chr14	1498	1553	+	ONT14.2091.25205	CDS	LIN52
chr14	1553	1917	+	ONT14.2091.25205	intron	LIN52
chr14	1917	1983	+	ONT14.2091.25205	CDS	LIN52
chr14	1983	2084	+	ONT14.2091.25205	intron	LIN52
chr14	2084	2167	+	ONT14.2091.25205	CDS	LIN52
chr14	2167	8538	+	ONT14.2091.25205	intron	LIN52
chr14	8538	8593	+	ONT14.2091.25205	CDS	LIN52
chr14	8594	10851	+	ONT14.2091.25205	UTR	NA
chr14	29	35	+	ONT14.2091.25206	UTR	NA
chr14	36	66	+	ONT14.2091.25206	CDS	LIN52
chr14	66	1294	+	ONT14.2091.25206	intron	LIN52
chr14	1294	1368	+	ONT14.2091.25206	CDS	LIN52
chr14	1368	1516	+	ONT14.2091.25206	intron	LIN52
chr14	1516	1553	+	ONT14.2091.25206	CDS	LIN52
chr14	1553	1917	+	ONT14.2091.25206	intron	LIN52
chr14	1917	1983	+	ONT14.2091.25206	CDS	LIN52
chr14	1983	2084	+	ONT14.2091.25206	intron	LIN52
chr14	2084	2167	+	ONT14.2091.25206	CDS	LIN52
chr14	2167	8538	+	ONT14.2091.25206	intron	LIN52
chr14	8538	8593	+	ONT14.2091.25206	CDS	LIN52
chr14	8594	9747	+	ONT14.2091.25206	UTR	NA
chr14	29	35	+	ONT14.2091.25210	UTR	NA
chr14	36	66	+	ONT14.2091.25210	CDS	LIN52
chr14	66	1300	+	ONT14.2091.25210	intron	LIN52
chr14	1300	1368	+	ONT14.2091.25210	CDS	LIN52
chr14	1368	1516	+	ONT14.2091.25210	intron	LIN52
chr14	1516	1553	+	ONT14.2091.25210	CDS	LIN52
chr14	1553	1917	+	ONT14.2091.25210	intron	LIN52
chr14	1917	1983	+	ONT14.2091.25210	CDS	LIN52
chr14	1983	2084	+	ONT14.2091.25210	intron	LIN52
chr14	2084	2167	+	ONT14.2091.25210	CDS	LIN52
chr14	2167	8538	+	ONT14.2091.25210	intron	LIN52
chr14	8538	8593	+	ONT14.2091.25210	CDS	LIN52
chr14	8594	10849	+	ONT14.2091.25210	UTR	NA
chr14	32	35	+	ONT14.2091.25211	UTR	NA
chr14	36	66	+	ONT14.2091.25211	CDS	LIN52
chr14	66	1294	+	ONT14.2091.25211	intron	LIN52
chr14	1294	1368	+	ONT14.2091.25211	CDS	LIN52
chr14	1368	1516	+	ONT14.2091.25211	intron	LIN52
chr14	1516	1553	+	ONT14.2091.25211	CDS	LIN52
chr14	1553	1917	+	ONT14.2091.25211	intron	LIN52
chr14	1917	1983	+	ONT14.2091.25211	CDS	LIN52
chr14	1983	8538	+	ONT14.2091.25211	intron	LIN52
chr14	8538	8593	+	ONT14.2091.25211	CDS	LIN52
chr14	8594	10841	+	ONT14.2091.25211	UTR	NA
chr14	32	35	+	ONT14.2091.25212	UTR	NA
chr14	36	66	+	ONT14.2091.25212	CDS	LIN52
chr14	66	1294	+	ONT14.2091.25212	intron	LIN52
chr14	1294	1368	+	ONT14.2091.25212	CDS	LIN52
chr14	1368	1516	+	ONT14.2091.25212	intron	LIN52
