seqnames	start	end	strand	transcript_id	type	gene_id
chr2	2	226	-	ENST00000399080.3	UTR	NA
chr2	227	378	-	ENST00000399080.3	CDS	ENSG00000214842.6
chr2	378	479	-	ENST00000399080.3	intron	ENSG00000214842.6
chr2	479	559	-	ENST00000399080.3	CDS	ENSG00000214842.6
chr2	559	660	-	ENST00000399080.3	intron	ENSG00000214842.6
chr2	660	3909	-	ENST00000399080.3	CDS	ENSG00000214842.6
chr2	3910	3931	-	ENST00000399080.3	UTR	NA
chr2	22	267	-	ONT2.1601.57	UTR	NA
chr2	268	374	-	ONT2.1601.57	CDS	RAD51AP2
chr2	374	479	-	ONT2.1601.57	intron	RAD51AP2
chr2	479	559	-	ONT2.1601.57	CDS	RAD51AP2
chr2	559	660	-	ONT2.1601.57	intron	RAD51AP2
chr2	660	3882	-	ONT2.1601.57	CDS	RAD51AP2
chr2	3883	3891	-	ONT2.1601.57	UTR	NA
chr2	3891	4032	-	ONT2.1601.57	intron	NA
chr2	4032	4125	-	ONT2.1601.57	UTR	NA
chr2	4125	4226	-	ONT2.1601.57	intron	NA
chr2	4226	4268	-	ONT2.1601.57	UTR	NA
chr2	423	799	-	ENST00000399080.3	exon	ENSG00000214842.6
chr2	799	900	-	ENST00000399080.3	intron	ENSG00000214842.6
chr2	900	980	-	ENST00000399080.3	exon	ENSG00000214842.6
chr2	980	1081	-	ENST00000399080.3	intron	ENSG00000214842.6
chr2	1081	4352	-	ENST00000399080.3	exon	ENSG00000214842.6
chr2	3044	4312	-	ONT2.1601.137	exon	RAD51AP2
chr2	4313	4406	-	ONT2.1601.137	exon	RAD51AP2
chr2	4407	4484	-	ONT2.1601.137	exon	RAD51AP2
chr2	2	799	-	ONT2.1601.16	exon	RAD51AP2
chr2	800	1301	-	ONT2.1601.16	exon	RAD51AP2
chr2	2	799	-	ONT2.1601.17	exon	RAD51AP2
chr2	800	880	-	ONT2.1601.17	exon	RAD51AP2
chr2	881	974	-	ONT2.1601.17	exon	RAD51AP2
chr2	975	1025	-	ONT2.1601.17	exon	RAD51AP2
chr2	431	799	-	ONT2.1601.23	exon	RAD51AP2
chr2	800	880	-	ONT2.1601.23	exon	RAD51AP2
chr2	881	974	-	ONT2.1601.23	exon	RAD51AP2
chr2	975	1055	-	ONT2.1601.23	exon	RAD51AP2
chr2	1056	1137	-	ONT2.1601.23	exon	RAD51AP2
chr2	1138	1670	-	ONT2.1601.23	exon	RAD51AP2
chr2	431	799	-	ONT2.1601.28	exon	RAD51AP2
chr2	800	880	-	ONT2.1601.28	exon	RAD51AP2
chr2	881	976	-	ONT2.1601.28	exon	RAD51AP2
chr2	431	799	-	ONT2.1601.29	exon	RAD51AP2
chr2	800	880	-	ONT2.1601.29	exon	RAD51AP2
chr2	881	974	-	ONT2.1601.29	exon	RAD51AP2
chr2	975	1082	-	ONT2.1601.29	exon	RAD51AP2
chr2	423	799	-	ONT2.1601.30	exon	RAD51AP2
chr2	800	880	-	ONT2.1601.30	exon	RAD51AP2
chr2	881	974	-	ONT2.1601.30	exon	RAD51AP2
chr2	975	1055	-	ONT2.1601.30	exon	RAD51AP2
chr2	1056	1137	-	ONT2.1601.30	exon	RAD51AP2
chr2	1138	1379	-	ONT2.1601.30	exon	RAD51AP2
chr2	431	799	-	ONT2.1601.48	exon	RAD51AP2
chr2	800	880	-	ONT2.1601.48	exon	RAD51AP2
chr2	881	974	-	ONT2.1601.48	exon	RAD51AP2
chr2	975	1055	-	ONT2.1601.48	exon	RAD51AP2
chr2	1056	1137	-	ONT2.1601.48	exon	RAD51AP2
chr2	1138	1440	-	ONT2.1601.48	exon	RAD51AP2
chr2	1441	1943	-	ONT2.1601.48	exon	RAD51AP2
chr2	443	795	-	ONT2.1601.57	exon	RAD51AP2
chr2	795	900	-	ONT2.1601.57	intron	RAD51AP2
chr2	900	980	-	ONT2.1601.57	exon	RAD51AP2
chr2	980	1081	-	ONT2.1601.57	intron	RAD51AP2
chr2	1081	4312	-	ONT2.1601.57	exon	RAD51AP2
chr2	4312	4453	-	ONT2.1601.57	intron	NA
chr2	4453	4546	-	ONT2.1601.57	exon	RAD51AP2
chr2	4546	4648	-	ONT2.1601.57	intron	NA
chr2	4648	4690	-	ONT2.1601.57	exon	RAD51AP2
