seqnames	start	end	strand	transcript_id	type	gene_id
chr18	2	183	+	ENST00000316660.7	UTR	NA
chr18	184	241	+	ENST00000316660.7	CDS	ENSG00000141682.12
chr18	241	342	+	ENST00000316660.7	intron	ENSG00000141682.12
chr18	342	451	+	ENST00000316660.7	CDS	ENSG00000141682.12
chr18	452	2000	+	ENST00000316660.7	UTR	NA
chr18	2	241	+	ENST00000316660.7	exon	ENSG00000141682.12
chr18	241	342	+	ENST00000316660.7	intron	ENSG00000141682.12
chr18	342	2000	+	ENST00000316660.7	exon	ENSG00000141682.12
chr18	15	241	+	ONT18.3627.3211	exon	PMAIP1
chr18	242	1900	+	ONT18.3627.3211	exon	PMAIP1
chr18	2	241	+	ONT18.3627.3214	exon	PMAIP1
chr18	242	1139	+	ONT18.3627.3214	exon	PMAIP1
chr18	2	241	+	ONT18.3627.3216	exon	PMAIP1
chr18	242	1643	+	ONT18.3627.3216	exon	PMAIP1
chr18	2	241	+	ONT18.3627.3228	exon	PMAIP1
chr18	242	1036	+	ONT18.3627.3228	exon	PMAIP1
chr18	1037	1439	+	ONT18.3627.3228	exon	PMAIP1
chr18	2	241	+	ONT18.3627.3232	exon	PMAIP1
chr18	242	624	+	ONT18.3627.3232	exon	PMAIP1
chr18	2	119	+	ONT18.3627.3237	exon	PMAIP1
chr18	120	1778	+	ONT18.3627.3237	exon	PMAIP1
chr18	93	241	+	ONT18.3627.3272	exon	PMAIP1
chr18	242	1900	+	ONT18.3627.3272	exon	PMAIP1
chr18	157	241	+	ONT18.3627.3275	exon	PMAIP1
chr18	242	1900	+	ONT18.3627.3275	exon	PMAIP1
