seqnames	start	end	strand	transcript_id	type	gene_id
chr10	190	273	+	ENST00000368865.9	UTR	NA
chr10	273	706	+	ENST00000368865.9	intron	ENSG00000154473.18
chr10	706	900	+	ENST00000368865.9	CDS	ENSG00000154473.18
chr10	900	1119	+	ENST00000368865.9	intron	ENSG00000154473.18
chr10	1119	1188	+	ENST00000368865.9	CDS	ENSG00000154473.18
chr10	1188	1509	+	ENST00000368865.9	intron	ENSG00000154473.18
chr10	1509	1660	+	ENST00000368865.9	CDS	ENSG00000154473.18
chr10	1660	1797	+	ENST00000368865.9	intron	ENSG00000154473.18
chr10	1797	1955	+	ENST00000368865.9	CDS	ENSG00000154473.18
chr10	1955	2060	+	ENST00000368865.9	intron	ENSG00000154473.18
chr10	2060	2237	+	ENST00000368865.9	CDS	ENSG00000154473.18
chr10	2237	2343	+	ENST00000368865.9	intron	ENSG00000154473.18
chr10	2343	2559	+	ENST00000368865.9	CDS	ENSG00000154473.18
chr10	2559	3551	+	ENST00000368865.9	intron	ENSG00000154473.18
chr10	3551	3569	+	ENST00000368865.9	CDS	ENSG00000154473.18
chr10	3570	10198	+	ENST00000368865.9	UTR	NA
chr10	1636	1660	+	ONT10.5833.1002	UTR	NA
chr10	1660	1797	+	ONT10.5833.1002	intron	NA
chr10	1797	1877	+	ONT10.5833.1002	UTR	NA
chr10	1878	1955	+	ONT10.5833.1002	CDS	BUB3
chr10	1955	2060	+	ONT10.5833.1002	intron	BUB3
chr10	2060	2237	+	ONT10.5833.1002	CDS	BUB3
chr10	2237	2343	+	ONT10.5833.1002	intron	BUB3
chr10	2343	2559	+	ONT10.5833.1002	CDS	BUB3
chr10	2559	3551	+	ONT10.5833.1002	intron	BUB3
chr10	3551	3566	+	ONT10.5833.1002	CDS	BUB3
chr10	3567	5093	+	ONT10.5833.1002	UTR	NA
chr10	1638	1660	+	ONT10.5833.1003	UTR	NA
chr10	1660	1797	+	ONT10.5833.1003	intron	NA
chr10	1797	1877	+	ONT10.5833.1003	UTR	NA
chr10	1878	1955	+	ONT10.5833.1003	CDS	BUB3
chr10	1955	2060	+	ONT10.5833.1003	intron	BUB3
chr10	2060	2237	+	ONT10.5833.1003	CDS	BUB3
chr10	2237	2343	+	ONT10.5833.1003	intron	BUB3
chr10	2343	2559	+	ONT10.5833.1003	CDS	BUB3
chr10	2559	4778	+	ONT10.5833.1003	intron	BUB3
chr10	4778	4787	+	ONT10.5833.1003	CDS	BUB3
chr10	4788	5093	+	ONT10.5833.1003	UTR	NA
chr10	1641	1660	+	ONT10.5833.1004	UTR	NA
chr10	1660	1797	+	ONT10.5833.1004	intron	NA
chr10	1797	1877	+	ONT10.5833.1004	UTR	NA
chr10	1878	1955	+	ONT10.5833.1004	CDS	BUB3
chr10	1955	2060	+	ONT10.5833.1004	intron	BUB3
chr10	2060	2237	+	ONT10.5833.1004	CDS	BUB3
chr10	2237	2343	+	ONT10.5833.1004	intron	BUB3
chr10	2343	2559	+	ONT10.5833.1004	CDS	BUB3
chr10	2559	3551	+	ONT10.5833.1004	intron	BUB3
chr10	3551	3566	+	ONT10.5833.1004	CDS	BUB3
chr10	3567	4474	+	ONT10.5833.1004	UTR	NA
chr10	1638	1660	+	ONT10.5833.1005	UTR	NA
chr10	1660	1797	+	ONT10.5833.1005	intron	NA
chr10	1797	1877	+	ONT10.5833.1005	UTR	NA
chr10	1878	1955	+	ONT10.5833.1005	CDS	BUB3
chr10	1955	2060	+	ONT10.5833.1005	intron	BUB3
chr10	2060	2237	+	ONT10.5833.1005	CDS	BUB3
chr10	2237	2343	+	ONT10.5833.1005	intron	BUB3
chr10	2343	2559	+	ONT10.5833.1005	CDS	BUB3
chr10	2559	3551	+	ONT10.5833.1005	intron	BUB3
chr10	3551	3566	+	ONT10.5833.1005	CDS	BUB3
chr10	3567	3625	+	ONT10.5833.1005	UTR	NA
chr10	1641	1660	+	ONT10.5833.1008	UTR	NA
chr10	1660	1802	+	ONT10.5833.1008	intron	NA
chr10	1802	1877	+	ONT10.5833.1008	UTR	NA
chr10	1878	1955	+	ONT10.5833.1008	CDS	BUB3
chr10	1955	2060	+	ONT10.5833.1008	intron	BUB3
chr10	2060	2237	+	ONT10.5833.1008	CDS	BUB3
chr10	2237	2343	+	ONT10.5833.1008	intron	BUB3
chr10	2343	2563	+	ONT10.5833.1008	CDS	BUB3
chr10	2564	5058	+	ONT10.5833.1008	UTR	NA
chr10	1792	1877	+	ONT10.5833.1023	UTR	NA
chr10	1878	1955	+	ONT10.5833.1023	CDS	BUB3
chr10	1955	2060	+	ONT10.5833.1023	intron	BUB3
chr10	2060	2237	+	ONT10.5833.1023	CDS	BUB3
chr10	2237	2343	+	ONT10.5833.1023	intron	BUB3
chr10	2343	2559	+	ONT10.5833.1023	CDS	BUB3
chr10	2559	4778	+	ONT10.5833.1023	intron	BUB3
chr10	4778	4787	+	ONT10.5833.1023	CDS	BUB3
chr10	4788	5096	+	ONT10.5833.1023	UTR	NA
chr10	1835	1877	+	ONT10.5833.1024	UTR	NA
chr10	1878	1955	+	ONT10.5833.1024	CDS	BUB3
chr10	1955	2060	+	ONT10.5833.1024	intron	BUB3
chr10	2060	2237	+	ONT10.5833.1024	CDS	BUB3
chr10	2237	2343	+	ONT10.5833.1024	intron	BUB3
chr10	2343	2559	+	ONT10.5833.1024	CDS	BUB3
chr10	2559	3551	+	ONT10.5833.1024	intron	BUB3
chr10	3551	3566	+	ONT10.5833.1024	CDS	BUB3
chr10	3567	5096	+	ONT10.5833.1024	UTR	NA
chr10	1793	1877	+	ONT10.5833.1025	UTR	NA
chr10	1878	1955	+	ONT10.5833.1025	CDS	BUB3
chr10	1955	2060	+	ONT10.5833.1025	intron	BUB3
chr10	2060	2237	+	ONT10.5833.1025	CDS	BUB3
chr10	2237	2343	+	ONT10.5833.1025	intron	BUB3
chr10	2343	2559	+	ONT10.5833.1025	CDS	BUB3
chr10	2559	3551	+	ONT10.5833.1025	intron	BUB3
chr10	3551	3566	+	ONT10.5833.1025	CDS	BUB3
chr10	3567	4474	+	ONT10.5833.1025	UTR	NA
chr10	1792	1877	+	ONT10.5833.1028	UTR	NA
chr10	1878	1955	+	ONT10.5833.1028	CDS	BUB3
chr10	1955	2060	+	ONT10.5833.1028	intron	BUB3
chr10	2060	2237	+	ONT10.5833.1028	CDS	BUB3
chr10	2237	2343	+	ONT10.5833.1028	intron	BUB3
chr10	2343	2559	+	ONT10.5833.1028	CDS	BUB3
chr10	2559	3551	+	ONT10.5833.1028	intron	BUB3
chr10	3551	3566	+	ONT10.5833.1028	CDS	BUB3
chr10	3567	3612	+	ONT10.5833.1028	UTR	NA
chr10	1820	1877	+	ONT10.5833.1029	UTR	NA
chr10	1878	1955	+	ONT10.5833.1029	CDS	BUB3
chr10	1955	2060	+	ONT10.5833.1029	intron	BUB3
chr10	2060	2237	+	ONT10.5833.1029	CDS	BUB3
chr10	2237	2343	+	ONT10.5833.1029	intron	BUB3
chr10	2343	2563	+	ONT10.5833.1029	CDS	BUB3
chr10	2564	5096	+	ONT10.5833.1029	UTR	NA
chr10	1818	1877	+	ONT10.5833.1030	UTR	NA
chr10	1878	1955	+	ONT10.5833.1030	CDS	BUB3
chr10	1955	2060	+	ONT10.5833.1030	intron	BUB3
chr10	2060	2237	+	ONT10.5833.1030	CDS	BUB3
chr10	2237	2343	+	ONT10.5833.1030	intron	BUB3
chr10	2343	2559	+	ONT10.5833.1030	CDS	BUB3
chr10	2559	3551	+	ONT10.5833.1030	intron	BUB3
chr10	3551	3566	+	ONT10.5833.1030	CDS	BUB3
chr10	3567	3746	+	ONT10.5833.1030	UTR	NA
chr10	190	273	+	ONT10.5833.105	UTR	NA
chr10	273	748	+	ONT10.5833.105	intron	NA
chr10	748	849	+	ONT10.5833.105	UTR	NA
chr10	850	900	+	ONT10.5833.105	CDS	BUB3
chr10	900	1119	+	ONT10.5833.105	intron	BUB3
chr10	1119	1188	+	ONT10.5833.105	CDS	BUB3
chr10	1188	1509	+	ONT10.5833.105	intron	BUB3
chr10	1509	1660	+	ONT10.5833.105	CDS	BUB3
chr10	1660	1797	+	ONT10.5833.105	intron	BUB3
chr10	1797	1955	+	ONT10.5833.105	CDS	BUB3
chr10	1955	2060	+	ONT10.5833.105	intron	BUB3
chr10	2060	2237	+	ONT10.5833.105	CDS	BUB3
chr10	2237	2343	+	ONT10.5833.105	intron	BUB3
chr10	2343	2559	+	ONT10.5833.105	CDS	BUB3
chr10	2559	3551	+	ONT10.5833.105	intron	BUB3
chr10	3551	3566	+	ONT10.5833.105	CDS	BUB3
chr10	3567	5096	+	ONT10.5833.105	UTR	NA
chr10	188	273	+	ONT10.5833.110	UTR	NA
chr10	273	706	+	ONT10.5833.110	intron	BUB3
chr10	706	900	+	ONT10.5833.110	CDS	BUB3
chr10	900	1119	+	ONT10.5833.110	intron	BUB3
chr10	1119	1188	+	ONT10.5833.110	CDS	BUB3
chr10	1188	1509	+	ONT10.5833.110	intron	BUB3
chr10	1509	1628	+	ONT10.5833.110	CDS	BUB3
chr10	1628	1774	+	ONT10.5833.110	intron	BUB3
chr10	1774	1793	+	ONT10.5833.110	CDS	BUB3
chr10	1794	1955	+	ONT10.5833.110	UTR	NA
chr10	1955	2060	+	ONT10.5833.110	intron	NA
