seqnames	start	end	strand	transcript_id	type	gene_id
chr20	1349	2818	-	ENST00000202017.6	UTR	NA
chr20	2819	2901	-	ENST00000202017.6	CDS	ENSG00000088356.6
chr20	2901	3508	-	ENST00000202017.6	intron	ENSG00000088356.6
chr20	3508	3588	-	ENST00000202017.6	CDS	ENSG00000088356.6
chr20	3588	5820	-	ENST00000202017.6	intron	ENSG00000088356.6
chr20	5820	5894	-	ENST00000202017.6	CDS	ENSG00000088356.6
chr20	5894	7324	-	ENST00000202017.6	intron	ENSG00000088356.6
chr20	7324	7399	-	ENST00000202017.6	CDS	ENSG00000088356.6
chr20	7399	7523	-	ENST00000202017.6	intron	ENSG00000088356.6
chr20	7523	7612	-	ENST00000202017.6	CDS	ENSG00000088356.6
chr20	7613	7694	-	ENST00000202017.6	UTR	NA
chr20	2	1138	-	ONT20.1779.4922	UTR	NA
chr20	1139	1248	-	ONT20.1779.4922	CDS	PDRG1
chr20	1248	3508	-	ONT20.1779.4922	intron	PDRG1
chr20	3508	3588	-	ONT20.1779.4922	CDS	PDRG1
chr20	3588	5820	-	ONT20.1779.4922	intron	PDRG1
chr20	5820	5894	-	ONT20.1779.4922	CDS	PDRG1
chr20	5894	7324	-	ONT20.1779.4922	intron	PDRG1
chr20	7324	7399	-	ONT20.1779.4922	CDS	PDRG1
chr20	7399	7523	-	ONT20.1779.4922	intron	PDRG1
chr20	7523	7612	-	ONT20.1779.4922	CDS	PDRG1
chr20	7613	7689	-	ONT20.1779.4922	UTR	NA
chr20	1354	2821	-	ONT20.1779.4958	UTR	NA
chr20	2822	2901	-	ONT20.1779.4958	CDS	PDRG1
chr20	2901	3508	-	ONT20.1779.4958	intron	PDRG1
chr20	3508	3588	-	ONT20.1779.4958	CDS	PDRG1
chr20	3588	5820	-	ONT20.1779.4958	intron	PDRG1
chr20	5820	5889	-	ONT20.1779.4958	CDS	PDRG1
chr20	5890	5894	-	ONT20.1779.4958	UTR	NA
chr20	5894	7324	-	ONT20.1779.4958	intron	NA
chr20	7324	7400	-	ONT20.1779.4958	UTR	NA
chr20	1354	2821	-	ONT20.1779.4959	UTR	NA
chr20	2822	2901	-	ONT20.1779.4959	CDS	PDRG1
chr20	2901	3508	-	ONT20.1779.4959	intron	PDRG1
chr20	3508	3588	-	ONT20.1779.4959	CDS	PDRG1
chr20	3588	5820	-	ONT20.1779.4959	intron	PDRG1
chr20	5820	5894	-	ONT20.1779.4959	CDS	PDRG1
chr20	5894	7324	-	ONT20.1779.4959	intron	PDRG1
chr20	7324	7399	-	ONT20.1779.4959	CDS	PDRG1
chr20	7399	7523	-	ONT20.1779.4959	intron	PDRG1
chr20	7523	7612	-	ONT20.1779.4959	CDS	PDRG1
chr20	7613	7689	-	ONT20.1779.4959	UTR	NA
chr20	1358	2821	-	ONT20.1779.4962	UTR	NA
chr20	2822	2901	-	ONT20.1779.4962	CDS	PDRG1
chr20	2901	3508	-	ONT20.1779.4962	intron	PDRG1
chr20	3508	3588	-	ONT20.1779.4962	CDS	PDRG1
chr20	3588	5820	-	ONT20.1779.4962	intron	PDRG1
chr20	5820	5889	-	ONT20.1779.4962	CDS	PDRG1
chr20	5890	5894	-	ONT20.1779.4962	UTR	NA
chr20	5894	7324	-	ONT20.1779.4962	intron	NA
chr20	7324	7399	-	ONT20.1779.4962	UTR	NA
chr20	7399	7523	-	ONT20.1779.4962	intron	NA
chr20	7523	7594	-	ONT20.1779.4962	UTR	NA
chr20	1976	2821	-	ONT20.1779.4987	UTR	NA
chr20	2822	2901	-	ONT20.1779.4987	CDS	PDRG1
chr20	2901	3508	-	ONT20.1779.4987	intron	PDRG1
chr20	3508	3588	-	ONT20.1779.4987	CDS	PDRG1
chr20	3588	5820	-	ONT20.1779.4987	intron	PDRG1
chr20	5820	5894	-	ONT20.1779.4987	CDS	PDRG1
chr20	5894	7324	-	ONT20.1779.4987	intron	PDRG1
chr20	7324	7399	-	ONT20.1779.4987	CDS	PDRG1
chr20	7399	7523	-	ONT20.1779.4987	intron	PDRG1
chr20	7523	7612	-	ONT20.1779.4987	CDS	PDRG1
chr20	7613	7665	-	ONT20.1779.4987	UTR	NA
chr20	1970	2821	-	ONT20.1779.4988	UTR	NA
chr20	2822	2901	-	ONT20.1779.4988	CDS	PDRG1
chr20	2901	3508	-	ONT20.1779.4988	intron	PDRG1
chr20	3508	3588	-	ONT20.1779.4988	CDS	PDRG1
chr20	3588	5820	-	ONT20.1779.4988	intron	PDRG1
chr20	5820	5894	-	ONT20.1779.4988	CDS	PDRG1
chr20	5894	7324	-	ONT20.1779.4988	intron	PDRG1
chr20	7324	7399	-	ONT20.1779.4988	CDS	PDRG1
chr20	7399	7523	-	ONT20.1779.4988	intron	PDRG1
chr20	7523	7612	-	ONT20.1779.4988	CDS	PDRG1
chr20	7613	7689	-	ONT20.1779.4988	UTR	NA
chr20	1976	2821	-	ONT20.1779.4993	UTR	NA
chr20	2822	2901	-	ONT20.1779.4993	CDS	PDRG1
chr20	2901	3508	-	ONT20.1779.4993	intron	PDRG1
chr20	3508	3588	-	ONT20.1779.4993	CDS	PDRG1
chr20	3588	5820	-	ONT20.1779.4993	intron	PDRG1
chr20	5820	5889	-	ONT20.1779.4993	CDS	PDRG1
chr20	5890	5894	-	ONT20.1779.4993	UTR	NA
chr20	5894	7324	-	ONT20.1779.4993	intron	NA
chr20	7324	7401	-	ONT20.1779.4993	UTR	NA
chr20	1993	2248	-	ONT20.1779.4997	UTR	NA
chr20	2249	2274	-	ONT20.1779.4997	CDS	PDRG1
chr20	2274	3508	-	ONT20.1779.4997	intron	PDRG1
chr20	3508	3588	-	ONT20.1779.4997	CDS	PDRG1
chr20	3588	5820	-	ONT20.1779.4997	intron	PDRG1
chr20	5820	5894	-	ONT20.1779.4997	CDS	PDRG1
chr20	5894	7324	-	ONT20.1779.4997	intron	PDRG1
chr20	7324	7399	-	ONT20.1779.4997	CDS	PDRG1
chr20	7399	7523	-	ONT20.1779.4997	intron	PDRG1
chr20	7523	7612	-	ONT20.1779.4997	CDS	PDRG1
chr20	7613	7669	-	ONT20.1779.4997	UTR	NA
chr20	1977	2879	-	ONT20.1779.4999	UTR	NA
chr20	2880	2890	-	ONT20.1779.4999	CDS	PDRG1
chr20	2890	3508	-	ONT20.1779.4999	intron	PDRG1
chr20	3508	3588	-	ONT20.1779.4999	CDS	PDRG1
chr20	3588	5820	-	ONT20.1779.4999	intron	PDRG1
chr20	5820	5894	-	ONT20.1779.4999	CDS	PDRG1
chr20	5894	7324	-	ONT20.1779.4999	intron	PDRG1
chr20	7324	7399	-	ONT20.1779.4999	CDS	PDRG1
chr20	7399	7523	-	ONT20.1779.4999	intron	PDRG1
chr20	7523	7612	-	ONT20.1779.4999	CDS	PDRG1
chr20	7613	7679	-	ONT20.1779.4999	UTR	NA
chr20	1978	2901	-	ONT20.1779.5003	UTR	NA
chr20	2901	3508	-	ONT20.1779.5003	intron	NA
chr20	3508	7252	-	ONT20.1779.5003	UTR	NA
chr20	7253	7399	-	ONT20.1779.5003	CDS	PDRG1
chr20	7399	7523	-	ONT20.1779.5003	intron	PDRG1
chr20	7523	7612	-	ONT20.1779.5003	CDS	PDRG1
chr20	7613	7649	-	ONT20.1779.5003	UTR	NA
chr20	1976	2821	-	ONT20.1779.5004	UTR	NA
chr20	2822	2901	-	ONT20.1779.5004	CDS	PDRG1
chr20	2901	3508	-	ONT20.1779.5004	intron	PDRG1
chr20	3508	3588	-	ONT20.1779.5004	CDS	PDRG1
chr20	3588	5820	-	ONT20.1779.5004	intron	PDRG1
chr20	5820	5889	-	ONT20.1779.5004	CDS	PDRG1
chr20	5890	5898	-	ONT20.1779.5004	UTR	NA
chr20	1976	2901	-	ONT20.1779.5005	UTR	NA
chr20	2901	3508	-	ONT20.1779.5005	intron	NA
chr20	3508	3588	-	ONT20.1779.5005	UTR	NA
chr20	3588	5820	-	ONT20.1779.5005	intron	NA
chr20	5820	5845	-	ONT20.1779.5005	UTR	NA
chr20	5846	5916	-	ONT20.1779.5005	CDS	PDRG1
chr20	5916	7324	-	ONT20.1779.5005	intron	PDRG1
chr20	7324	7399	-	ONT20.1779.5005	CDS	PDRG1
chr20	7399	7523	-	ONT20.1779.5005	intron	PDRG1
chr20	7523	7612	-	ONT20.1779.5005	CDS	PDRG1
chr20	7613	7689	-	ONT20.1779.5005	UTR	NA
chr20	1976	2821	-	ONT20.1779.5006	UTR	NA
chr20	2822	2901	-	ONT20.1779.5006	CDS	PDRG1
chr20	2901	3508	-	ONT20.1779.5006	intron	PDRG1
chr20	3508	3582	-	ONT20.1779.5006	CDS	PDRG1
chr20	3582	5820	-	ONT20.1779.5006	intron	PDRG1
chr20	5820	5894	-	ONT20.1779.5006	CDS	PDRG1
chr20	5894	7324	-	ONT20.1779.5006	intron	PDRG1
chr20	7324	7399	-	ONT20.1779.5006	CDS	PDRG1
chr20	7399	7523	-	ONT20.1779.5006	intron	PDRG1
chr20	7523	7612	-	ONT20.1779.5006	CDS	PDRG1
chr20	7613	7723	-	ONT20.1779.5006	UTR	NA
chr20	1982	2821	-	ONT20.1779.5007	UTR	NA
chr20	2822	2901	-	ONT20.1779.5007	CDS	PDRG1
