seqnames	start	end	strand	transcript_id	type	gene_id
chr17	6	999	-	ENST00000423485.6	UTR	NA
chr17	1000	1128	-	ENST00000423485.6	CDS	ENSG00000131747.15
chr17	1128	1233	-	ENST00000423485.6	intron	ENSG00000131747.15
chr17	1233	1432	-	ENST00000423485.6	CDS	ENSG00000131747.15
chr17	1432	1533	-	ENST00000423485.6	intron	ENSG00000131747.15
chr17	1533	1667	-	ENST00000423485.6	CDS	ENSG00000131747.15
chr17	1667	2095	-	ENST00000423485.6	intron	ENSG00000131747.15
chr17	2095	2138	-	ENST00000423485.6	CDS	ENSG00000131747.15
chr17	2138	2245	-	ENST00000423485.6	intron	ENSG00000131747.15
chr17	2245	2368	-	ENST00000423485.6	CDS	ENSG00000131747.15
chr17	2368	2469	-	ENST00000423485.6	intron	ENSG00000131747.15
chr17	2469	2621	-	ENST00000423485.6	CDS	ENSG00000131747.15
chr17	2621	2920	-	ENST00000423485.6	intron	ENSG00000131747.15
chr17	2920	3010	-	ENST00000423485.6	CDS	ENSG00000131747.15
chr17	3010	3216	-	ENST00000423485.6	intron	ENSG00000131747.15
chr17	3216	3398	-	ENST00000423485.6	CDS	ENSG00000131747.15
chr17	3398	3505	-	ENST00000423485.6	intron	ENSG00000131747.15
chr17	3505	3588	-	ENST00000423485.6	CDS	ENSG00000131747.15
chr17	3588	3690	-	ENST00000423485.6	intron	ENSG00000131747.15
chr17	3690	3854	-	ENST00000423485.6	CDS	ENSG00000131747.15
chr17	3854	3957	-	ENST00000423485.6	intron	ENSG00000131747.15
chr17	3957	4048	-	ENST00000423485.6	CDS	ENSG00000131747.15
chr17	4048	4150	-	ENST00000423485.6	intron	ENSG00000131747.15
chr17	4150	4345	-	ENST00000423485.6	CDS	ENSG00000131747.15
chr17	4345	4461	-	ENST00000423485.6	intron	ENSG00000131747.15
chr17	4461	4661	-	ENST00000423485.6	CDS	ENSG00000131747.15
chr17	4661	4765	-	ENST00000423485.6	intron	ENSG00000131747.15
chr17	4765	4899	-	ENST00000423485.6	CDS	ENSG00000131747.15
chr17	4899	5004	-	ENST00000423485.6	intron	ENSG00000131747.15
chr17	5004	5235	-	ENST00000423485.6	CDS	ENSG00000131747.15
chr17	5235	5340	-	ENST00000423485.6	intron	ENSG00000131747.15
chr17	5340	5488	-	ENST00000423485.6	CDS	ENSG00000131747.15
chr17	5488	5589	-	ENST00000423485.6	intron	ENSG00000131747.15
chr17	5589	5710	-	ENST00000423485.6	CDS	ENSG00000131747.15
chr17	5710	5812	-	ENST00000423485.6	intron	ENSG00000131747.15
chr17	5812	5926	-	ENST00000423485.6	CDS	ENSG00000131747.15
chr17	5926	6027	-	ENST00000423485.6	intron	ENSG00000131747.15
chr17	6027	6119	-	ENST00000423485.6	CDS	ENSG00000131747.15
chr17	6119	6319	-	ENST00000423485.6	intron	ENSG00000131747.15
chr17	6319	6428	-	ENST00000423485.6	CDS	ENSG00000131747.15
chr17	6428	6519	-	ENST00000423485.6	intron	ENSG00000131747.15
chr17	6519	6624	-	ENST00000423485.6	CDS	ENSG00000131747.15
chr17	6624	6730	-	ENST00000423485.6	intron	ENSG00000131747.15
chr17	6730	6840	-	ENST00000423485.6	CDS	ENSG00000131747.15
chr17	6840	6950	-	ENST00000423485.6	intron	ENSG00000131747.15
chr17	6950	7075	-	ENST00000423485.6	CDS	ENSG00000131747.15
chr17	7075	7179	-	ENST00000423485.6	intron	ENSG00000131747.15
chr17	7179	7336	-	ENST00000423485.6	CDS	ENSG00000131747.15
chr17	7336	7439	-	ENST00000423485.6	intron	ENSG00000131747.15
chr17	7439	7577	-	ENST00000423485.6	CDS	ENSG00000131747.15
chr17	7577	9058	-	ENST00000423485.6	intron	ENSG00000131747.15
chr17	9058	9195	-	ENST00000423485.6	CDS	ENSG00000131747.15
chr17	9195	9303	-	ENST00000423485.6	intron	ENSG00000131747.15
chr17	9303	9404	-	ENST00000423485.6	CDS	ENSG00000131747.15
chr17	9404	9507	-	ENST00000423485.6	intron	ENSG00000131747.15
chr17	9507	9680	-	ENST00000423485.6	CDS	ENSG00000131747.15
chr17	9680	9785	-	ENST00000423485.6	intron	ENSG00000131747.15
chr17	9785	9997	-	ENST00000423485.6	CDS	ENSG00000131747.15
chr17	9997	10104	-	ENST00000423485.6	intron	ENSG00000131747.15
chr17	10104	10201	-	ENST00000423485.6	CDS	ENSG00000131747.15
chr17	10201	10305	-	ENST00000423485.6	intron	ENSG00000131747.15
chr17	10305	10450	-	ENST00000423485.6	CDS	ENSG00000131747.15
chr17	10450	10551	-	ENST00000423485.6	intron	ENSG00000131747.15
chr17	10551	10614	-	ENST00000423485.6	CDS	ENSG00000131747.15
chr17	10614	10717	-	ENST00000423485.6	intron	ENSG00000131747.15
chr17	10717	10807	-	ENST00000423485.6	CDS	ENSG00000131747.15
chr17	10807	10910	-	ENST00000423485.6	intron	ENSG00000131747.15
chr17	10910	11065	-	ENST00000423485.6	CDS	ENSG00000131747.15
