seqnames	start	end	strand	transcript_id	type	gene_id
chr4	2	640	-	ENST00000393743.8	UTR	NA
chr4	641	740	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	740	841	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	841	903	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	903	1004	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	1004	1155	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	1155	1256	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	1256	1398	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	1398	1499	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	1499	1646	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	1646	1748	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	1748	1869	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	1869	1970	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	1970	2111	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	2111	2214	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	2214	2318	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	2318	2419	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	2419	2619	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	2619	2720	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	2720	2824	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	2824	2929	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	2929	3081	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	3081	3184	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	3184	3331	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	3331	3432	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	3432	3590	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	3590	3691	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	3691	3815	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	3815	3916	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	3916	4044	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	4044	4147	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	4147	4251	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	4251	4352	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	4352	4461	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	4461	4562	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	4562	4704	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	4704	4805	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	4805	4920	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	4920	5021	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	5021	5116	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	5116	5217	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	5217	5336	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	5336	5437	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	5437	5586	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	5586	5687	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	5687	5845	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	5845	5946	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	5946	6112	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	6112	6213	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	6213	6468	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	6468	6569	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	6569	6729	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	6729	6830	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	6830	6945	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	6945	7046	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	7046	7151	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	7151	7252	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	7252	7407	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	7407	7508	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	7508	7649	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	7649	7750	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	7750	7908	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	7908	8011	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	8011	8169	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	8169	8270	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	8270	8386	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	8386	8487	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	8487	8828	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	8828	8929	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	8929	9118	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	9118	9219	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	9219	9288	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	9288	9389	-	ENST00000393743.8	intron	ENSG00000137628.18
chr4	9389	9395	-	ENST00000393743.8	CDS	ENSG00000137628.18
chr4	9396	9498	-	ENST00000393743.8	UTR	NA
chr4	9498	9599	-	ENST00000393743.8	intron	NA
chr4	9599	9729	-	ENST00000393743.8	UTR	NA
chr4	4	643	-	ONT4.12644.107	UTR	NA
chr4	644	740	-	ONT4.12644.107	CDS	DDX60
chr4	740	841	-	ONT4.12644.107	intron	DDX60
chr4	841	903	-	ONT4.12644.107	CDS	DDX60
chr4	903	1004	-	ONT4.12644.107	intron	DDX60
chr4	1004	1155	-	ONT4.12644.107	CDS	DDX60
chr4	1155	1256	-	ONT4.12644.107	intron	DDX60
chr4	1256	1398	-	ONT4.12644.107	CDS	DDX60
chr4	1398	1499	-	ONT4.12644.107	intron	DDX60
