seqnames	start	end	strand	transcript_id	type	gene_id
chr3	119	419	+	ENST00000327134.7	UTR	NA
chr3	419	749	+	ENST00000327134.7	intron	NA
chr3	749	769	+	ENST00000327134.7	UTR	NA
chr3	770	956	+	ENST00000327134.7	CDS	ENSG00000180370.10
chr3	956	1059	+	ENST00000327134.7	intron	ENSG00000180370.10
chr3	1059	1159	+	ENST00000327134.7	CDS	ENSG00000180370.10
chr3	1159	1261	+	ENST00000327134.7	intron	ENSG00000180370.10
chr3	1261	1408	+	ENST00000327134.7	CDS	ENSG00000180370.10
chr3	1408	2975	+	ENST00000327134.7	intron	ENSG00000180370.10
chr3	2975	3006	+	ENST00000327134.7	CDS	ENSG00000180370.10
chr3	3006	3505	+	ENST00000327134.7	intron	ENSG00000180370.10
chr3	3505	3612	+	ENST00000327134.7	CDS	ENSG00000180370.10
chr3	3612	4708	+	ENST00000327134.7	intron	ENSG00000180370.10
chr3	4708	4840	+	ENST00000327134.7	CDS	ENSG00000180370.10
chr3	4840	5920	+	ENST00000327134.7	intron	ENSG00000180370.10
chr3	5920	5983	+	ENST00000327134.7	CDS	ENSG00000180370.10
chr3	5983	6554	+	ENST00000327134.7	intron	ENSG00000180370.10
chr3	6554	6602	+	ENST00000327134.7	CDS	ENSG00000180370.10
chr3	6602	6727	+	ENST00000327134.7	intron	ENSG00000180370.10
chr3	6727	6839	+	ENST00000327134.7	CDS	ENSG00000180370.10
chr3	6839	6944	+	ENST00000327134.7	intron	ENSG00000180370.10
chr3	6944	7061	+	ENST00000327134.7	CDS	ENSG00000180370.10
chr3	7061	7597	+	ENST00000327134.7	intron	ENSG00000180370.10
chr3	7597	7696	+	ENST00000327134.7	CDS	ENSG00000180370.10
chr3	7696	7801	+	ENST00000327134.7	intron	ENSG00000180370.10
chr3	7801	7997	+	ENST00000327134.7	CDS	ENSG00000180370.10
chr3	7997	8098	+	ENST00000327134.7	intron	ENSG00000180370.10
chr3	8098	8235	+	ENST00000327134.7	CDS	ENSG00000180370.10
chr3	8235	8336	+	ENST00000327134.7	intron	ENSG00000180370.10
chr3	8336	8425	+	ENST00000327134.7	CDS	ENSG00000180370.10
chr3	8426	12664	+	ENST00000327134.7	UTR	NA
chr3	1058	1159	+	ONT3.9739.10272	UTR	NA
chr3	1159	1261	+	ONT3.9739.10272	intron	NA
chr3	1261	1263	+	ONT3.9739.10272	UTR	NA
chr3	1264	1408	+	ONT3.9739.10272	CDS	PAK2
chr3	1408	2975	+	ONT3.9739.10272	intron	PAK2
chr3	2975	3006	+	ONT3.9739.10272	CDS	PAK2
chr3	3006	3505	+	ONT3.9739.10272	intron	PAK2
chr3	3505	3612	+	ONT3.9739.10272	CDS	PAK2
chr3	3612	4708	+	ONT3.9739.10272	intron	PAK2
chr3	4708	4840	+	ONT3.9739.10272	CDS	PAK2
chr3	4840	5920	+	ONT3.9739.10272	intron	PAK2
chr3	5920	5983	+	ONT3.9739.10272	CDS	PAK2
chr3	5983	6554	+	ONT3.9739.10272	intron	PAK2
chr3	6554	6602	+	ONT3.9739.10272	CDS	PAK2
chr3	6602	6727	+	ONT3.9739.10272	intron	PAK2
chr3	6727	6839	+	ONT3.9739.10272	CDS	PAK2
chr3	6839	6944	+	ONT3.9739.10272	intron	PAK2
chr3	6944	7061	+	ONT3.9739.10272	CDS	PAK2
chr3	7061	7597	+	ONT3.9739.10272	intron	PAK2
chr3	7597	7696	+	ONT3.9739.10272	CDS	PAK2
chr3	7696	7801	+	ONT3.9739.10272	intron	PAK2
chr3	7801	7997	+	ONT3.9739.10272	CDS	PAK2
chr3	7997	8098	+	ONT3.9739.10272	intron	PAK2
chr3	8098	8235	+	ONT3.9739.10272	CDS	PAK2
chr3	8235	8336	+	ONT3.9739.10272	intron	PAK2
chr3	8336	8422	+	ONT3.9739.10272	CDS	PAK2
chr3	8423	9364	+	ONT3.9739.10272	UTR	NA
chr3	1057	1159	+	ONT3.9739.10275	UTR	NA
chr3	1159	1261	+	ONT3.9739.10275	intron	NA
chr3	1261	1263	+	ONT3.9739.10275	UTR	NA
chr3	1264	1408	+	ONT3.9739.10275	CDS	PAK2
chr3	1408	2975	+	ONT3.9739.10275	intron	PAK2
