seqnames	start	end	strand	transcript_id	type	gene_id
chr1	2	411	-	ENST00000271843.9	UTR	NA
chr1	412	568	-	ENST00000271843.9	CDS	ENSG00000143543.15
chr1	568	669	-	ENST00000271843.9	intron	ENSG00000143543.15
chr1	669	748	-	ENST00000271843.9	CDS	ENSG00000143543.15
chr1	748	849	-	ENST00000271843.9	intron	ENSG00000143543.15
chr1	849	931	-	ENST00000271843.9	CDS	ENSG00000143543.15
chr1	931	1061	-	ENST00000271843.9	intron	ENSG00000143543.15
chr1	1061	1098	-	ENST00000271843.9	CDS	ENSG00000143543.15
chr1	1098	1199	-	ENST00000271843.9	intron	ENSG00000143543.15
chr1	1199	1284	-	ENST00000271843.9	CDS	ENSG00000143543.15
chr1	1285	1703	-	ENST00000271843.9	UTR	NA
chr1	246	414	-	ONT1.5118.10025	UTR	NA
chr1	415	568	-	ONT1.5118.10025	CDS	JTB
chr1	568	669	-	ONT1.5118.10025	intron	JTB
chr1	669	748	-	ONT1.5118.10025	CDS	JTB
chr1	748	849	-	ONT1.5118.10025	intron	JTB
chr1	849	960	-	ONT1.5118.10025	CDS	JTB
chr1	960	1199	-	ONT1.5118.10025	intron	JTB
chr1	1199	1284	-	ONT1.5118.10025	CDS	JTB
chr1	1285	1628	-	ONT1.5118.10025	UTR	NA
chr1	246	346	-	ONT1.5118.10026	UTR	NA
chr1	347	557	-	ONT1.5118.10026	CDS	JTB
chr1	557	669	-	ONT1.5118.10026	intron	JTB
chr1	669	748	-	ONT1.5118.10026	CDS	JTB
chr1	748	849	-	ONT1.5118.10026	intron	JTB
chr1	849	931	-	ONT1.5118.10026	CDS	JTB
chr1	931	1061	-	ONT1.5118.10026	intron	JTB
chr1	1061	1098	-	ONT1.5118.10026	CDS	JTB
chr1	1098	1199	-	ONT1.5118.10026	intron	JTB
chr1	1199	1284	-	ONT1.5118.10026	CDS	JTB
chr1	1285	1418	-	ONT1.5118.10026	UTR	NA
chr1	1418	1573	-	ONT1.5118.10026	intron	NA
chr1	1573	1703	-	ONT1.5118.10026	UTR	NA
chr1	253	414	-	ONT1.5118.10054	UTR	NA
chr1	415	568	-	ONT1.5118.10054	CDS	JTB
chr1	568	669	-	ONT1.5118.10054	intron	JTB
chr1	669	748	-	ONT1.5118.10054	CDS	JTB
chr1	748	849	-	ONT1.5118.10054	intron	JTB
chr1	849	931	-	ONT1.5118.10054	CDS	JTB
