seqnames	start	end	strand	transcript_id	type	gene_id
chrX	981	6934	-	ENST00000322213.9	UTR	NA
chrX	6935	7018	-	ENST00000322213.9	CDS	ENSG00000072501.19
chrX	7018	7119	-	ENST00000322213.9	intron	ENSG00000072501.19
chrX	7119	7229	-	ENST00000322213.9	CDS	ENSG00000072501.19
chrX	7229	7517	-	ENST00000322213.9	intron	ENSG00000072501.19
chrX	7517	7586	-	ENST00000322213.9	CDS	ENSG00000072501.19
chrX	7586	8731	-	ENST00000322213.9	intron	ENSG00000072501.19
chrX	8731	8882	-	ENST00000322213.9	CDS	ENSG00000072501.19
chrX	8882	8983	-	ENST00000322213.9	intron	ENSG00000072501.19
chrX	8983	9137	-	ENST00000322213.9	CDS	ENSG00000072501.19
chrX	9137	9238	-	ENST00000322213.9	intron	ENSG00000072501.19
chrX	9238	9394	-	ENST00000322213.9	CDS	ENSG00000072501.19
chrX	9394	9495	-	ENST00000322213.9	intron	ENSG00000072501.19
chrX	9495	9605	-	ENST00000322213.9	CDS	ENSG00000072501.19
chrX	9605	9715	-	ENST00000322213.9	intron	ENSG00000072501.19
chrX	9715	9868	-	ENST00000322213.9	CDS	ENSG00000072501.19
chrX	9868	9960	-	ENST00000322213.9	intron	ENSG00000072501.19
chrX	9960	10105	-	ENST00000322213.9	CDS	ENSG00000072501.19
chrX	10105	10247	-	ENST00000322213.9	intron	ENSG00000072501.19
chrX	10247	10388	-	ENST00000322213.9	CDS	ENSG00000072501.19
chrX	10388	11399	-	ENST00000322213.9	intron	ENSG00000072501.19
chrX	11399	11505	-	ENST00000322213.9	CDS	ENSG00000072501.19
chrX	11505	11610	-	ENST00000322213.9	intron	ENSG00000072501.19
chrX	11610	11726	-	ENST00000322213.9	CDS	ENSG00000072501.19
chrX	11726	12353	-	ENST00000322213.9	intron	ENSG00000072501.19
chrX	12353	12490	-	ENST00000322213.9	CDS	ENSG00000072501.19
chrX	12490	12586	-	ENST00000322213.9	intron	ENSG00000072501.19
chrX	12586	12732	-	ENST00000322213.9	CDS	ENSG00000072501.19
chrX	12732	12834	-	ENST00000322213.9	intron	ENSG00000072501.19
chrX	12834	13013	-	ENST00000322213.9	CDS	ENSG00000072501.19
chrX	13013	13112	-	ENST00000322213.9	intron	ENSG00000072501.19
chrX	13112	13297	-	ENST00000322213.9	CDS	ENSG00000072501.19
chrX	13297	13398	-	ENST00000322213.9	intron	ENSG00000072501.19
