seqnames	start	end	strand	transcript_id	type	gene_id
chr16	1584	1651	+	ENST00000565263.6	UTR	NA
chr16	1651	3715	+	ENST00000565263.6	intron	NA
chr16	3715	3794	+	ENST00000565263.6	UTR	NA
chr16	3794	4556	+	ENST00000565263.6	intron	NA
chr16	4556	4573	+	ENST00000565263.6	UTR	NA
chr16	4574	4699	+	ENST00000565263.6	CDS	ENSG00000167264.18
chr16	4699	4800	+	ENST00000565263.6	intron	ENSG00000167264.18
chr16	4800	4845	+	ENST00000565263.6	CDS	ENSG00000167264.18
chr16	4845	5164	+	ENST00000565263.6	intron	ENSG00000167264.18
chr16	5164	5255	+	ENST00000565263.6	CDS	ENSG00000167264.18
chr16	5255	6174	+	ENST00000565263.6	intron	ENSG00000167264.18
chr16	6174	6217	+	ENST00000565263.6	CDS	ENSG00000167264.18
chr16	6217	6322	+	ENST00000565263.6	intron	ENSG00000167264.18
chr16	6322	6382	+	ENST00000565263.6	CDS	ENSG00000167264.18
chr16	6382	6485	+	ENST00000565263.6	intron	ENSG00000167264.18
chr16	6485	6532	+	ENST00000565263.6	CDS	ENSG00000167264.18
chr16	6532	6668	+	ENST00000565263.6	intron	ENSG00000167264.18
chr16	6668	6733	+	ENST00000565263.6	CDS	ENSG00000167264.18
chr16	6733	6874	+	ENST00000565263.6	intron	ENSG00000167264.18
chr16	6874	6944	+	ENST00000565263.6	CDS	ENSG00000167264.18
chr16	6944	7249	+	ENST00000565263.6	intron	ENSG00000167264.18
chr16	7249	7335	+	ENST00000565263.6	CDS	ENSG00000167264.18
chr16	7335	7436	+	ENST00000565263.6	intron	ENSG00000167264.18
chr16	7436	7604	+	ENST00000565263.6	CDS	ENSG00000167264.18
chr16	7604	7922	+	ENST00000565263.6	intron	ENSG00000167264.18
chr16	7922	8043	+	ENST00000565263.6	CDS	ENSG00000167264.18
chr16	8043	8144	+	ENST00000565263.6	intron	ENSG00000167264.18
chr16	8144	8293	+	ENST00000565263.6	CDS	ENSG00000167264.18
chr16	8293	8398	+	ENST00000565263.6	intron	ENSG00000167264.18
chr16	8398	8485	+	ENST00000565263.6	CDS	ENSG00000167264.18
chr16	8485	9382	+	ENST00000565263.6	intron	ENSG00000167264.18
chr16	9382	9455	+	ENST00000565263.6	CDS	ENSG00000167264.18
chr16	9455	9556	+	ENST00000565263.6	intron	ENSG00000167264.18
chr16	9556	9796	+	ENST00000565263.6	CDS	ENSG00000167264.18
chr16	9797	10127	+	ENST00000565263.6	UTR	NA
chr16	2	216	+	ONT16.2622.26731	UTR	NA
chr16	216	4556	+	ONT16.2622.26731	intron	NA
chr16	4556	4573	+	ONT16.2622.26731	UTR	NA
chr16	4574	4699	+	ONT16.2622.26731	CDS	DUS2
chr16	4699	4800	+	ONT16.2622.26731	intron	DUS2
chr16	4800	4845	+	ONT16.2622.26731	CDS	DUS2
chr16	4845	5164	+	ONT16.2622.26731	intron	DUS2
chr16	5164	5255	+	ONT16.2622.26731	CDS	DUS2
chr16	5255	6174	+	ONT16.2622.26731	intron	DUS2
chr16	6174	6217	+	ONT16.2622.26731	CDS	DUS2
chr16	6217	6322	+	ONT16.2622.26731	intron	DUS2
chr16	6322	6382	+	ONT16.2622.26731	CDS	DUS2
chr16	6382	6485	+	ONT16.2622.26731	intron	DUS2
chr16	6485	6532	+	ONT16.2622.26731	CDS	DUS2
chr16	6532	6668	+	ONT16.2622.26731	intron	DUS2
chr16	6668	6733	+	ONT16.2622.26731	CDS	DUS2
chr16	6733	6874	+	ONT16.2622.26731	intron	DUS2
chr16	6874	6944	+	ONT16.2622.26731	CDS	DUS2
