seqnames	start	end	strand	transcript_id	type	gene_id
chr22	343	516	+	ENST00000306149.12	UTR	NA
chr22	516	815	+	ENST00000306149.12	intron	NA
chr22	815	937	+	ENST00000306149.12	UTR	NA
chr22	938	1113	+	ENST00000306149.12	CDS	ENSG00000172346.15
chr22	1113	1487	+	ENST00000306149.12	intron	ENSG00000172346.15
chr22	1487	1609	+	ENST00000306149.12	CDS	ENSG00000172346.15
chr22	1609	2565	+	ENST00000306149.12	intron	ENSG00000172346.15
chr22	2565	2730	+	ENST00000306149.12	CDS	ENSG00000172346.15
chr22	2731	4498	+	ENST00000306149.12	UTR	NA
chr22	2	516	+	ONT22.784.34230	UTR	NA
chr22	516	815	+	ONT22.784.34230	intron	NA
chr22	815	937	+	ONT22.784.34230	UTR	NA
chr22	938	1113	+	ONT22.784.34230	CDS	CSDC2
chr22	1113	1487	+	ONT22.784.34230	intron	CSDC2
chr22	1487	1609	+	ONT22.784.34230	CDS	CSDC2
chr22	1609	2565	+	ONT22.784.34230	intron	CSDC2
chr22	2565	2727	+	ONT22.784.34230	CDS	CSDC2
chr22	2728	4497	+	ONT22.784.34230	UTR	NA
chr22	89	516	+	ONT22.784.34233	UTR	NA
chr22	516	815	+	ONT22.784.34233	intron	NA
chr22	815	937	+	ONT22.784.34233	UTR	NA
chr22	938	1113	+	ONT22.784.34233	CDS	CSDC2
chr22	1113	1487	+	ONT22.784.34233	intron	CSDC2
chr22	1487	1609	+	ONT22.784.34233	CDS	CSDC2
chr22	1609	2565	+	ONT22.784.34233	intron	CSDC2
chr22	2565	2727	+	ONT22.784.34233	CDS	CSDC2
chr22	2728	4497	+	ONT22.784.34233	UTR	NA
chr22	373	516	+	ONT22.784.34236	UTR	NA
chr22	516	815	+	ONT22.784.34236	intron	NA
chr22	815	937	+	ONT22.784.34236	UTR	NA
chr22	938	1113	+	ONT22.784.34236	CDS	CSDC2
chr22	1113	1487	+	ONT22.784.34236	intron	CSDC2
chr22	1487	1609	+	ONT22.784.34236	CDS	CSDC2
chr22	1609	2565	+	ONT22.784.34236	intron	CSDC2
chr22	2565	2727	+	ONT22.784.34236	CDS	CSDC2
chr22	2728	4495	+	ONT22.784.34236	UTR	NA
chr22	314	516	+	ONT22.784.34238	UTR	NA
chr22	516	821	+	ONT22.784.34238	intron	NA
chr22	821	937	+	ONT22.784.34238	UTR	NA
chr22	938	1113	+	ONT22.784.34238	CDS	CSDC2
