seqnames	start	end	strand	transcript_id	type	gene_id
chr10	2	89	+	ENST00000425699.3	UTR	NA
chr10	90	971	+	ENST00000425699.3	CDS	ENSG00000188613.7
chr10	972	4018	+	ENST00000425699.3	UTR	NA
chr10	2	4018	+	ENST00000425699.3	exon	ENSG00000188613.7
chr10	925	1814	+	ONT10.5576.1542	exon	NANOS1
chr10	927	4041	+	ONT10.5576.1543	exon	NANOS1
chr10	957	1813	+	ONT10.5576.1544	exon	NANOS1
chr10	993	4018	+	ONT10.5576.1546	exon	NANOS1
chr10	1014	1814	+	ONT10.5576.1547	exon	NANOS1
chr10	1068	4041	+	ONT10.5576.1549	exon	NANOS1
chr10	1079	1826	+	ONT10.5576.1550	exon	NANOS1
chr10	1215	1814	+	ONT10.5576.1555	exon	NANOS1
chr10	1204	3997	+	ONT10.5576.1556	exon	NANOS1
chr10	1218	2135	+	ONT10.5576.1557	exon	NANOS1
chr10	1215	1658	+	ONT10.5576.1558	exon	NANOS1
chr10	1220	2011	+	ONT10.5576.1562	exon	NANOS1
chr10	1275	1819	+	ONT10.5576.1564	exon	NANOS1
chr10	1350	1792	+	ONT10.5576.1568	exon	NANOS1
chr10	1361	4039	+	ONT10.5576.1571	exon	NANOS1
chr10	1410	1821	+	ONT10.5576.1572	exon	NANOS1
chr10	1442	4029	+	ONT10.5576.1574	exon	NANOS1
chr10	1467	1790	+	ONT10.5576.1575	exon	NANOS1
chr10	1542	1816	+	ONT10.5576.1578	exon	NANOS1
chr10	1556	4029	+	ONT10.5576.1579	exon	NANOS1
chr10	1609	1821	+	ONT10.5576.1581	exon	NANOS1
chr10	1612	4041	+	ONT10.5576.1582	exon	NANOS1
chr10	1681	1821	+	ONT10.5576.1583	exon	NANOS1
chr10	1906	4018	+	ONT10.5576.1589	exon	NANOS1
chr10	1957	4041	+	ONT10.5576.1593	exon	NANOS1
chr10	2066	4041	+	ONT10.5576.1594	exon	NANOS1
chr10	2120	4020	+	ONT10.5576.1596	exon	NANOS1
chr10	2153	4041	+	ONT10.5576.1598	exon	NANOS1
chr10	2206	4031	+	ONT10.5576.1600	exon	NANOS1
chr10	2285	4041	+	ONT10.5576.1601	exon	NANOS1
chr10	2343	4029	+	ONT10.5576.1602	exon	NANOS1
chr10	2411	4013	+	ONT10.5576.1603	exon	NANOS1
chr10	2518	4041	+	ONT10.5576.1607	exon	NANOS1
chr10	2609	4041	+	ONT10.5576.1610	exon	NANOS1
chr10	2712	4018	+	ONT10.5576.1612	exon	NANOS1
chr10	2739	4037	+	ONT10.5576.1616	exon	NANOS1
chr10	2804	4041	+	ONT10.5576.1617	exon	NANOS1
chr10	2895	4041	+	ONT10.5576.1618	exon	NANOS1
chr10	2930	4020	+	ONT10.5576.1621	exon	NANOS1
chr10	2997	4146	+	ONT10.5576.1622	exon	NANOS1
chr10	3012	4018	+	ONT10.5576.1623	exon	NANOS1
chr10	3090	3488	+	ONT10.5576.1624	exon	NANOS1
chr10	3113	4029	+	ONT10.5576.1625	exon	NANOS1
chr10	3148	3487	+	ONT10.5576.1628	exon	NANOS1
chr10	3207	4041	+	ONT10.5576.1629	exon	NANOS1
chr10	3248	4029	+	ONT10.5576.1631	exon	NANOS1
chr10	3253	3474	+	ONT10.5576.1632	exon	NANOS1
chr10	3302	4041	+	ONT10.5576.1633	exon	NANOS1
chr10	3345	3488	+	ONT10.5576.1635	exon	NANOS1
chr10	3357	4039	+	ONT10.5576.1636	exon	NANOS1
chr10	3435	4041	+	ONT10.5576.1637	exon	NANOS1
chr10	3483	4041	+	ONT10.5576.1639	exon	NANOS1
chr10	3551	4041	+	ONT10.5576.1641	exon	NANOS1
chr10	3618	4041	+	ONT10.5576.1643	exon	NANOS1
chr10	3676	5780	+	ONT10.5576.1644	exon	NANOS1
chr10	3686	4036	+	ONT10.5576.1645	exon	NANOS1
chr10	3752	4031	+	ONT10.5576.1646	exon	NANOS1
chr10	3833	4041	+	ONT10.5576.1648	exon	NANOS1
chr10	3923	4041	+	ONT10.5576.1649	exon	NANOS1
