seqnames	start	end	strand	transcript_id	type	gene_id
chr7	10	102	+	ENST00000649063.2	UTR	NA
chr7	103	143	+	ENST00000649063.2	CDS	ENSG00000242802.9
chr7	143	385	+	ENST00000649063.2	intron	ENSG00000242802.9
chr7	385	522	+	ENST00000649063.2	CDS	ENSG00000242802.9
chr7	522	778	+	ENST00000649063.2	intron	ENSG00000242802.9
chr7	778	964	+	ENST00000649063.2	CDS	ENSG00000242802.9
chr7	964	2526	+	ENST00000649063.2	intron	ENSG00000242802.9
chr7	2526	2670	+	ENST00000649063.2	CDS	ENSG00000242802.9
chr7	2670	2899	+	ENST00000649063.2	intron	ENSG00000242802.9
chr7	2899	3008	+	ENST00000649063.2	CDS	ENSG00000242802.9
chr7	3008	3109	+	ENST00000649063.2	intron	ENSG00000242802.9
chr7	3109	3277	+	ENST00000649063.2	CDS	ENSG00000242802.9
chr7	3277	3380	+	ENST00000649063.2	intron	ENSG00000242802.9
chr7	3380	3520	+	ENST00000649063.2	CDS	ENSG00000242802.9
chr7	3520	3659	+	ENST00000649063.2	intron	ENSG00000242802.9
chr7	3659	3696	+	ENST00000649063.2	CDS	ENSG00000242802.9
chr7	3696	3766	+	ENST00000649063.2	intron	ENSG00000242802.9
chr7	3766	3928	+	ENST00000649063.2	CDS	ENSG00000242802.9
chr7	3928	4278	+	ENST00000649063.2	intron	ENSG00000242802.9
chr7	4278	4456	+	ENST00000649063.2	CDS	ENSG00000242802.9
chr7	4456	4802	+	ENST00000649063.2	intron	ENSG00000242802.9
chr7	4802	4944	+	ENST00000649063.2	CDS	ENSG00000242802.9
chr7	4944	5322	+	ENST00000649063.2	intron	ENSG00000242802.9
chr7	5322	5462	+	ENST00000649063.2	CDS	ENSG00000242802.9
chr7	5462	5563	+	ENST00000649063.2	intron	ENSG00000242802.9
chr7	5563	5674	+	ENST00000649063.2	CDS	ENSG00000242802.9
chr7	5674	5780	+	ENST00000649063.2	intron	ENSG00000242802.9
chr7	5780	5877	+	ENST00000649063.2	CDS	ENSG00000242802.9
chr7	5877	6407	+	ENST00000649063.2	intron	ENSG00000242802.9
chr7	6407	6539	+	ENST00000649063.2	CDS	ENSG00000242802.9
chr7	6539	6621	+	ENST00000649063.2	intron	ENSG00000242802.9
chr7	6621	6835	+	ENST00000649063.2	CDS	ENSG00000242802.9
chr7	6835	6936	+	ENST00000649063.2	intron	ENSG00000242802.9
chr7	6936	7209	+	ENST00000649063.2	CDS	ENSG00000242802.9
chr7	7210	10218	+	ENST00000649063.2	UTR	NA
chr7	21	102	+	ONT7.143.12024	UTR	NA
chr7	103	143	+	ONT7.143.12024	CDS	AP5Z1
chr7	143	385	+	ONT7.143.12024	intron	AP5Z1
chr7	385	522	+	ONT7.143.12024	CDS	AP5Z1
chr7	522	778	+	ONT7.143.12024	intron	AP5Z1
chr7	778	964	+	ONT7.143.12024	CDS	AP5Z1
